timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 14:09:38.484, 1, 0, 35.76, 1215, 765
2025/04/14 14:09:39.492, 1, 0, 35.85, 1215, 765
2025/04/14 14:09:40.494, 1, 0, 35.75, 1215, 765
2025/04/14 14:09:41.496, 1, 0, 35.65, 1215, 765
2025/04/14 14:09:42.498, 1, 0, 35.65, 1215, 765
2025/04/14 14:09:43.499, 1, 0, 36.22, 1215, 765
2025/04/14 14:09:44.500, 1, 0, 35.54, 1215, 765
2025/04/14 14:09:45.520, 1, 4, 37.45, 1215, 765
2025/04/14 14:09:46.521, 1, 52, 38.08, 1215, 765
2025/04/14 14:09:47.523, 1, 0, 37.41, 1215, 765
2025/04/14 14:09:48.524, 1, 36, 37.86, 1215, 765
2025/04/14 14:09:49.525, 1, 0, 37.59, 1215, 765
2025/04/14 14:09:50.527, 1, 30, 37.67, 1215, 765
2025/04/14 14:09:51.529, 1, 0, 37.44, 1215, 765
2025/04/14 14:09:52.530, 1, 0, 37.35, 1215, 765
2025/04/14 14:09:53.531, 1, 58, 89.86, 1215, 765
2025/04/14 14:09:54.533, 1, 91, 101.67, 1215, 765
2025/04/14 14:09:55.534, 1, 92, 100.41, 1215, 765
2025/04/14 14:09:56.536, 1, 92, 95.77, 1215, 765
2025/04/14 14:09:57.537, 1, 90, 84.38, 1215, 765
2025/04/14 14:09:58.539, 1, 84, 100.14, 1215, 765
2025/04/14 14:09:59.540, 1, 92, 95.77, 1215, 765
2025/04/14 14:10:00.542, 1, 85, 98.42, 1215, 765
2025/04/14 14:10:01.543, 1, 92, 98.74, 1215, 765
2025/04/14 14:10:02.545, 1, 93, 100.05, 1215, 765
2025/04/14 14:10:03.546, 1, 90, 96.41, 1215, 765
2025/04/14 14:10:04.548, 1, 90, 101.12, 1215, 765
2025/04/14 14:10:05.549, 1, 91, 100.25, 1215, 765
2025/04/14 14:10:06.550, 1, 88, 100.24, 1215, 765
2025/04/14 14:10:07.552, 1, 91, 97.46, 1215, 765
2025/04/14 14:10:08.553, 1, 91, 91.75, 1215, 765
2025/04/14 14:10:09.555, 1, 88, 99.21, 1215, 765
2025/04/14 14:10:10.556, 1, 93, 102.25, 1215, 765
2025/04/14 14:10:11.558, 1, 92, 101.90, 1215, 765
2025/04/14 14:10:12.559, 1, 92, 98.27, 1215, 765
2025/04/14 14:10:13.561, 1, 92, 96.85, 1215, 765
2025/04/14 14:10:14.562, 1, 92, 99.62, 1215, 765
2025/04/14 14:10:15.672, 1, 91, 95.67, 1215, 765
2025/04/14 14:10:16.674, 1, 92, 94.78, 1215, 765
2025/04/14 14:10:17.677, 1, 90, 93.54, 1215, 765
2025/04/14 14:10:18.679, 1, 89, 96.26, 1215, 765
2025/04/14 14:10:19.682, 1, 88, 102.36, 1215, 765
2025/04/14 14:10:20.685, 1, 91, 105.39, 1215, 765
2025/04/14 14:10:21.689, 1, 92, 94.30, 1215, 765
2025/04/14 14:10:22.692, 1, 93, 99.82, 1215, 765
2025/04/14 14:10:23.695, 1, 90, 100.95, 1215, 765
2025/04/14 14:10:24.697, 1, 91, 84.45, 1215, 765
2025/04/14 14:10:25.699, 1, 92, 104.40, 1215, 765
2025/04/14 14:10:26.702, 1, 91, 100.30, 1215, 765
2025/04/14 14:10:27.705, 1, 92, 100.93, 1215, 765
2025/04/14 14:10:28.709, 1, 86, 97.16, 1215, 765
2025/04/14 14:10:29.711, 1, 91, 105.28, 1215, 765
2025/04/14 14:10:30.713, 1, 88, 94.50, 1215, 765
2025/04/14 14:10:31.716, 1, 91, 97.99, 1215, 765
2025/04/14 14:10:32.719, 1, 92, 97.27, 1215, 765
2025/04/14 14:10:33.721, 1, 90, 101.85, 1215, 765
2025/04/14 14:10:34.723, 1, 89, 96.87, 1215, 765
2025/04/14 14:10:35.727, 1, 92, 95.42, 1215, 765
2025/04/14 14:10:36.730, 1, 92, 101.57, 1215, 765
2025/04/14 14:10:37.732, 1, 93, 99.75, 1215, 765
2025/04/14 14:10:38.735, 1, 91, 98.08, 1215, 765
2025/04/14 14:10:39.737, 1, 92, 96.48, 1215, 765
2025/04/14 14:10:40.740, 1, 90, 99.81, 1215, 765
2025/04/14 14:10:41.743, 1, 90, 95.51, 1215, 765
2025/04/14 14:10:42.746, 1, 92, 95.65, 1215, 765
2025/04/14 14:10:43.748, 1, 92, 103.53, 1215, 765
2025/04/14 14:10:44.751, 1, 90, 100.75, 1215, 765
2025/04/14 14:10:45.754, 1, 92, 102.38, 1215, 765
2025/04/14 14:10:46.757, 1, 89, 87.49, 1215, 765
2025/04/14 14:10:47.759, 1, 92, 102.85, 1215, 765
2025/04/14 14:10:48.762, 1, 90, 104.52, 1215, 765
2025/04/14 14:10:49.765, 1, 91, 104.03, 1215, 765
2025/04/14 14:10:50.767, 1, 90, 97.73, 1215, 765
2025/04/14 14:10:51.770, 1, 93, 100.06, 1215, 765
2025/04/14 14:10:52.773, 1, 92, 99.43, 1215, 765
2025/04/14 14:10:53.776, 1, 89, 101.03, 1215, 765
2025/04/14 14:10:54.778, 1, 91, 96.19, 1215, 765
2025/04/14 14:10:55.781, 1, 92, 100.90, 1215, 765
2025/04/14 14:10:56.784, 1, 92, 101.69, 1215, 765
2025/04/14 14:10:57.786, 1, 91, 101.49, 1215, 765
2025/04/14 14:10:58.789, 1, 90, 101.36, 1215, 765
2025/04/14 14:10:59.791, 1, 92, 100.14, 1215, 765
2025/04/14 14:11:00.794, 1, 93, 100.74, 1215, 765
2025/04/14 14:11:01.797, 1, 93, 102.65, 1215, 765
2025/04/14 14:11:02.800, 1, 91, 100.06, 1215, 765
2025/04/14 14:11:03.802, 1, 90, 103.43, 1215, 765
2025/04/14 14:11:04.804, 1, 91, 99.24, 1215, 765
2025/04/14 14:11:05.807, 1, 92, 96.87, 1215, 765
2025/04/14 14:11:06.810, 1, 90, 99.80, 1215, 765
2025/04/14 14:11:07.813, 1, 92, 101.03, 1215, 765
2025/04/14 14:11:08.816, 1, 91, 99.25, 1215, 765
2025/04/14 14:11:09.818, 1, 92, 98.40, 1215, 765
2025/04/14 14:11:10.821, 1, 92, 101.80, 1215, 765
2025/04/14 14:11:11.823, 1, 92, 97.79, 1215, 765
2025/04/14 14:11:12.826, 1, 91, 100.67, 1215, 765
2025/04/14 14:11:13.829, 1, 93, 101.89, 1215, 765
