timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 09:51:33.067, 1, 0, 35.96, 1215, 765
2025/04/14 09:51:34.073, 1, 0, 36.03, 1215, 765
2025/04/14 09:51:35.074, 1, 0, 36.04, 1215, 765
2025/04/14 09:51:36.075, 1, 0, 35.95, 1215, 765
2025/04/14 09:51:37.077, 1, 0, 35.96, 1215, 765
2025/04/14 09:51:38.078, 1, 0, 35.85, 1215, 765
2025/04/14 09:51:39.080, 1, 0, 35.93, 1215, 765
2025/04/14 09:51:40.082, 1, 0, 35.95, 1215, 765
2025/04/14 09:51:41.083, 1, 23, 37.43, 1215, 765
2025/04/14 09:51:42.084, 1, 0, 37.74, 1215, 765
2025/04/14 09:51:43.085, 1, 21, 38.01, 1215, 765
2025/04/14 09:51:44.087, 1, 0, 37.21, 1215, 765
2025/04/14 09:51:45.463, 1, 19, 37.84, 1215, 765
2025/04/14 09:51:46.465, 1, 29, 37.51, 1215, 765
2025/04/14 09:51:47.466, 1, 7, 64.03, 1215, 765
2025/04/14 09:51:48.467, 1, 90, 101.44, 1215, 765
2025/04/14 09:51:49.470, 1, 92, 96.85, 1215, 765
2025/04/14 09:51:50.472, 1, 92, 100.43, 1215, 765
2025/04/14 09:51:51.475, 1, 0, 92.61, 1215, 765
2025/04/14 09:51:52.478, 1, 91, 100.80, 1215, 765
2025/04/14 09:51:53.481, 1, 94, 97.03, 1215, 765
2025/04/14 09:51:54.482, 1, 93, 96.37, 1215, 765
2025/04/14 09:51:55.485, 1, 92, 90.62, 1215, 765
2025/04/14 09:51:56.488, 1, 92, 101.58, 1215, 765
2025/04/14 09:51:57.491, 1, 92, 95.41, 1215, 765
2025/04/14 09:51:58.493, 1, 93, 97.32, 1215, 765
2025/04/14 09:51:59.496, 1, 94, 95.89, 1215, 765
2025/04/14 09:52:00.498, 1, 88, 94.25, 1215, 765
2025/04/14 09:52:01.501, 1, 91, 99.54, 1215, 765
2025/04/14 09:52:02.504, 1, 92, 98.64, 1215, 765
2025/04/14 09:52:03.506, 1, 92, 103.50, 1215, 765
2025/04/14 09:52:04.509, 1, 93, 99.74, 1215, 765
2025/04/14 09:52:05.512, 1, 92, 98.73, 1215, 765
2025/04/14 09:52:06.514, 1, 93, 104.12, 1215, 765
2025/04/14 09:52:07.517, 1, 90, 90.79, 1215, 765
2025/04/14 09:52:08.520, 1, 92, 96.81, 1215, 765
2025/04/14 09:52:09.523, 1, 92, 103.10, 1215, 765
2025/04/14 09:52:10.525, 1, 93, 97.36, 1215, 765
2025/04/14 09:52:11.527, 1, 92, 97.42, 1215, 765
2025/04/14 09:52:12.530, 1, 93, 97.00, 1215, 765
2025/04/14 09:52:13.533, 1, 93, 94.88, 1215, 765
2025/04/14 09:52:14.535, 1, 91, 97.85, 1215, 765
2025/04/14 09:52:15.656, 1, 92, 93.29, 1215, 765
2025/04/14 09:52:16.658, 1, 93, 102.26, 1215, 765
2025/04/14 09:52:17.660, 1, 92, 100.21, 1215, 765
2025/04/14 09:52:18.663, 1, 93, 106.23, 1215, 765
2025/04/14 09:52:19.666, 1, 94, 102.30, 1215, 765
2025/04/14 09:52:20.668, 1, 92, 99.74, 1215, 765
2025/04/14 09:52:21.671, 1, 92, 100.68, 1215, 765
2025/04/14 09:52:22.674, 1, 92, 94.92, 1215, 765
2025/04/14 09:52:23.677, 1, 93, 99.52, 1215, 765
2025/04/14 09:52:24.679, 1, 93, 102.98, 1215, 765
2025/04/14 09:52:25.682, 1, 93, 96.70, 1215, 765
2025/04/14 09:52:26.685, 1, 89, 99.89, 1215, 765
2025/04/14 09:52:27.687, 1, 92, 99.31, 1215, 765
2025/04/14 09:52:28.689, 1, 92, 96.82, 1215, 765
2025/04/14 09:52:29.692, 1, 92, 101.80, 1215, 765
2025/04/14 09:52:30.695, 1, 93, 102.50, 1215, 765
2025/04/14 09:52:31.697, 1, 94, 101.03, 1215, 765
2025/04/14 09:52:32.701, 1, 93, 101.12, 1215, 765
