timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 14:54:16.485, 0, 0, 35.61, 1215, 765
2025/04/14 14:54:17.491, 0, 0, 35.51, 1215, 765
2025/04/14 14:54:18.492, 0, 0, 35.71, 1215, 765
2025/04/14 14:54:19.493, 0, 0, 35.60, 1215, 765
2025/04/14 14:54:20.495, 0, 0, 35.71, 1215, 765
2025/04/14 14:54:21.496, 0, 0, 37.68, 1215, 765
2025/04/14 14:54:22.497, 0, 0, 37.59, 1215, 765
2025/04/14 14:54:23.498, 0, 0, 37.98, 1215, 765
2025/04/14 14:54:24.500, 0, 24, 38.63, 1215, 765
2025/04/14 14:54:25.501, 0, 19, 38.32, 1215, 765
2025/04/14 14:54:26.502, 0, 23, 37.31, 1215, 765
2025/04/14 14:54:27.504, 0, 24, 37.94, 1215, 765
2025/04/14 14:54:28.505, 0, 0, 37.37, 1215, 765
2025/04/14 14:54:29.506, 0, 8, 58.19, 1215, 765
2025/04/14 14:54:30.507, 0, 89, 104.43, 1215, 765
2025/04/14 14:54:31.509, 0, 88, 110.12, 1215, 765
2025/04/14 14:54:32.510, 0, 91, 114.66, 1215, 765
2025/04/14 14:54:33.511, 0, 90, 117.98, 1215, 765
2025/04/14 14:54:34.513, 0, 91, 101.75, 1215, 765
2025/04/14 14:54:35.514, 0, 92, 98.99, 1215, 765
2025/04/14 14:54:36.515, 0, 91, 103.99, 1215, 765
2025/04/14 14:54:37.517, 0, 92, 114.43, 1215, 765
2025/04/14 14:54:38.521, 0, 91, 105.51, 1215, 765
2025/04/14 14:54:39.523, 0, 93, 122.44, 1215, 765
2025/04/14 14:54:40.524, 0, 89, 106.52, 1215, 765
2025/04/14 14:54:41.527, 0, 89, 96.42, 1215, 765
2025/04/14 14:54:42.529, 0, 90, 113.48, 1215, 765
2025/04/14 14:54:43.532, 0, 92, 109.13, 1215, 765
2025/04/14 14:54:44.538, 0, 91, 97.22, 1215, 765
2025/04/14 14:54:45.540, 0, 91, 99.57, 1215, 765
2025/04/14 14:54:46.541, 0, 91, 118.40, 1215, 765
2025/04/14 14:54:47.542, 0, 93, 103.23, 1215, 765
2025/04/14 14:54:48.549, 0, 92, 105.91, 1215, 765
2025/04/14 14:54:49.550, 0, 93, 124.86, 1215, 765
2025/04/14 14:54:50.552, 0, 90, 98.60, 1215, 765
2025/04/14 14:54:51.553, 0, 90, 104.43, 1215, 765
2025/04/14 14:54:52.555, 0, 89, 101.03, 1215, 765
2025/04/14 14:54:53.557, 0, 91, 108.40, 1215, 765
2025/04/14 14:54:54.559, 0, 92, 111.65, 1215, 765
2025/04/14 14:54:55.560, 0, 91, 119.88, 1215, 765
2025/04/14 14:54:56.563, 0, 90, 115.31, 1215, 765
2025/04/14 14:54:57.566, 0, 92, 104.91, 1215, 765
2025/04/14 14:54:58.568, 0, 92, 118.23, 1215, 765
2025/04/14 14:54:59.571, 0, 91, 112.86, 1215, 765
2025/04/14 14:55:00.574, 0, 91, 126.61, 1215, 765
2025/04/14 14:55:01.576, 0, 89, 86.98, 1215, 765
2025/04/14 14:55:02.578, 0, 90, 109.42, 1215, 765
2025/04/14 14:55:03.581, 0, 88, 117.13, 1215, 765
2025/04/14 14:55:04.584, 0, 91, 105.09, 1215, 765
2025/04/14 14:55:05.586, 0, 92, 123.34, 1215, 765
2025/04/14 14:55:06.589, 0, 91, 121.89, 1215, 765
2025/04/14 14:55:07.591, 0, 92, 114.55, 1215, 765
2025/04/14 14:55:08.593, 0, 91, 118.88, 1215, 765
2025/04/14 14:55:09.594, 0, 91, 119.80, 1215, 765
2025/04/14 14:55:10.595, 0, 93, 101.26, 1215, 765
2025/04/14 14:55:11.597, 0, 89, 111.79, 1215, 765
2025/04/14 14:55:12.598, 0, 89, 109.62, 1215, 765
2025/04/14 14:55:13.600, 0, 92, 104.29, 1215, 765
2025/04/14 14:55:14.601, 0, 91, 97.30, 1215, 765
2025/04/14 14:55:15.603, 0, 92, 106.78, 1215, 765
2025/04/14 14:55:16.604, 0, 91, 97.00, 1215, 765
2025/04/14 14:55:17.605, 0, 91, 120.19, 1215, 765
2025/04/14 14:55:18.607, 0, 93, 110.31, 1215, 765
2025/04/14 14:55:19.608, 0, 92, 119.35, 1215, 765
2025/04/14 14:55:20.610, 0, 94, 107.70, 1215, 765
2025/04/14 14:55:21.611, 0, 92, 124.13, 1215, 765
2025/04/14 14:55:22.612, 0, 89, 102.71, 1215, 765
2025/04/14 14:55:23.614, 0, 90, 109.95, 1215, 765
2025/04/14 14:55:24.615, 0, 90, 115.45, 1215, 765
2025/04/14 14:55:25.617, 0, 92, 120.07, 1215, 765
2025/04/14 14:55:26.618, 0, 91, 102.30, 1215, 765
2025/04/14 14:55:27.619, 0, 92, 115.05, 1215, 765
2025/04/14 14:55:28.621, 0, 91, 124.73, 1215, 765
2025/04/14 14:55:29.622, 0, 93, 110.55, 1215, 765
2025/04/14 14:55:30.624, 0, 94, 104.32, 1215, 765
2025/04/14 14:55:31.625, 0, 91, 121.96, 1215, 765
2025/04/14 14:55:32.627, 0, 89, 103.47, 1215, 765
2025/04/14 14:55:33.628, 0, 91, 114.58, 1215, 765
2025/04/14 14:55:34.629, 0, 89, 104.71, 1215, 765
2025/04/14 14:55:35.631, 0, 90, 124.73, 1215, 765
2025/04/14 14:55:36.632, 0, 91, 117.76, 1215, 765
2025/04/14 14:55:37.633, 0, 90, 118.92, 1215, 765
2025/04/14 14:55:38.635, 0, 91, 122.02, 1215, 765
2025/04/14 14:55:39.637, 0, 92, 114.74, 1215, 765
2025/04/14 14:55:40.639, 0, 92, 120.90, 1215, 765
2025/04/14 14:55:41.641, 0, 93, 100.85, 1215, 765
2025/04/14 14:55:42.644, 0, 88, 111.16, 1215, 765
2025/04/14 14:55:43.646, 0, 89, 114.31, 1215, 765
2025/04/14 14:55:44.649, 0, 90, 114.95, 1215, 765
2025/04/14 14:55:45.652, 0, 89, 118.79, 1215, 765
2025/04/14 14:55:46.654, 0, 91, 120.89, 1215, 765
2025/04/14 14:55:47.657, 0, 91, 95.68, 1215, 765
2025/04/14 14:55:48.659, 0, 91, 121.23, 1215, 765
2025/04/14 14:55:49.662, 0, 92, 121.45, 1215, 765
2025/04/14 14:55:50.665, 0, 91, 126.11, 1215, 765
2025/04/14 14:55:51.668, 0, 91, 124.30, 1215, 765
2025/04/14 14:55:52.669, 0, 92, 127.33, 1215, 765
2025/04/14 14:55:53.670, 0, 89, 92.94, 1215, 765
2025/04/14 14:55:54.672, 0, 92, 109.46, 1215, 765
2025/04/14 14:55:55.675, 0, 89, 118.42, 1215, 765
2025/04/14 14:55:56.678, 0, 92, 102.61, 1215, 765
2025/04/14 14:55:57.680, 0, 90, 121.30, 1215, 765
2025/04/14 14:55:58.683, 0, 91, 120.74, 1215, 765
2025/04/14 14:55:59.686, 0, 91, 121.96, 1215, 765
2025/04/14 14:56:00.688, 0, 91, 101.05, 1215, 765
2025/04/14 14:56:01.691, 0, 91, 98.66, 1215, 765
2025/04/14 14:56:02.694, 0, 92, 126.39, 1215, 765
2025/04/14 14:56:03.696, 0, 89, 117.59, 1215, 765
2025/04/14 14:56:04.699, 0, 90, 113.40, 1215, 765
2025/04/14 14:56:05.702, 0, 90, 103.45, 1215, 765
2025/04/14 14:56:06.704, 0, 92, 94.69, 1215, 765
2025/04/14 14:56:07.707, 0, 91, 121.53, 1215, 765
2025/04/14 14:56:08.710, 0, 92, 97.21, 1215, 765
2025/04/14 14:56:09.712, 0, 91, 118.91, 1215, 765
2025/04/14 14:56:10.714, 0, 92, 103.40, 1215, 765
2025/04/14 14:56:11.717, 0, 91, 116.46, 1215, 765
2025/04/14 14:56:12.719, 0, 92, 100.46, 1215, 765
2025/04/14 14:56:13.722, 0, 94, 115.41, 1215, 765
2025/04/14 14:56:14.724, 0, 90, 118.97, 1215, 765
2025/04/14 14:56:15.727, 0, 91, 117.53, 1215, 765
2025/04/14 14:56:16.730, 0, 90, 95.02, 1215, 765
2025/04/14 14:56:17.732, 0, 91, 98.53, 1215, 765
2025/04/14 14:56:18.735, 0, 91, 118.87, 1215, 765
2025/04/14 14:56:19.737, 0, 91, 107.57, 1215, 765
2025/04/14 14:56:20.740, 0, 92, 102.81, 1215, 765
2025/04/14 14:56:21.743, 0, 92, 122.89, 1215, 765
2025/04/14 14:56:22.744, 0, 92, 121.99, 1215, 765
2025/04/14 14:56:23.746, 0, 91, 124.63, 1215, 765
2025/04/14 14:56:24.747, 0, 88, 110.35, 1215, 765
2025/04/14 14:56:25.749, 0, 89, 93.94, 1215, 765
2025/04/14 14:56:26.750, 0, 90, 115.38, 1215, 765
2025/04/14 14:56:27.751, 0, 91, 110.02, 1215, 765
2025/04/14 14:56:28.753, 0, 91, 105.79, 1215, 765
2025/04/14 14:56:29.754, 0, 92, 106.58, 1215, 765
2025/04/14 14:56:30.756, 0, 91, 111.71, 1215, 765
2025/04/14 14:56:31.757, 0, 91, 124.26, 1215, 765
2025/04/14 14:56:32.759, 0, 92, 118.06, 1215, 765
2025/04/14 14:56:33.760, 0, 92, 123.68, 1215, 765
2025/04/14 14:56:34.761, 0, 91, 109.52, 1215, 765
2025/04/14 14:56:35.763, 0, 90, 110.25, 1215, 765
2025/04/14 14:56:36.765, 0, 91, 111.60, 1215, 765
2025/04/14 14:56:37.768, 0, 91, 113.56, 1215, 765
2025/04/14 14:56:38.771, 0, 92, 112.02, 1215, 765
2025/04/14 14:56:39.773, 0, 91, 117.62, 1215, 765
2025/04/14 14:56:40.776, 0, 92, 107.33, 1215, 765
2025/04/14 14:56:41.779, 0, 91, 118.31, 1215, 765
2025/04/14 14:56:42.782, 0, 92, 109.16, 1215, 765
2025/04/14 14:56:43.784, 0, 91, 104.10, 1215, 765
2025/04/14 14:56:44.786, 0, 93, 119.96, 1215, 765
2025/04/14 14:56:45.789, 0, 89, 107.76, 1215, 765
2025/04/14 14:56:46.791, 0, 89, 113.60, 1215, 765
2025/04/14 14:56:47.794, 0, 92, 95.79, 1215, 765
2025/04/14 14:56:48.796, 0, 90, 115.28, 1215, 765
2025/04/14 14:56:49.799, 0, 92, 96.61, 1215, 765
