timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 09:55:46.728, 0, 0, 37.00, 1215, 765
2025/04/14 09:55:47.735, 0, 0, 36.49, 1215, 765
2025/04/14 09:55:48.737, 0, 0, 36.79, 1215, 765
2025/04/14 09:55:49.738, 0, 0, 36.29, 1215, 765
2025/04/14 09:55:50.741, 0, 0, 36.58, 1215, 765
2025/04/14 09:55:51.742, 0, 0, 38.39, 1215, 765
2025/04/14 09:55:52.743, 0, 0, 38.29, 1215, 765
2025/04/14 09:55:53.745, 0, 0, 36.39, 1215, 765
2025/04/14 09:55:54.746, 0, 0, 38.57, 1215, 765
2025/04/14 09:55:55.747, 0, 21, 38.64, 1215, 765
2025/04/14 09:55:56.749, 0, 18, 38.80, 1215, 765
2025/04/14 09:55:57.750, 0, 22, 38.44, 1215, 765
2025/04/14 09:55:58.751, 0, 20, 38.31, 1215, 765
2025/04/14 09:55:59.752, 0, 0, 38.08, 1215, 765
2025/04/14 09:56:00.754, 0, 0, 38.07, 1215, 765
2025/04/14 09:56:01.755, 0, 89, 88.92, 1215, 765
2025/04/14 09:56:02.756, 0, 89, 97.34, 1215, 765
2025/04/14 09:56:03.758, 0, 90, 98.95, 1215, 765
2025/04/14 09:56:04.759, 0, 92, 104.09, 1215, 765
2025/04/14 09:56:05.760, 0, 91, 96.89, 1215, 765
2025/04/14 09:56:06.762, 0, 91, 95.60, 1215, 765
2025/04/14 09:56:07.763, 0, 93, 98.69, 1215, 765
2025/04/14 09:56:08.765, 0, 89, 103.99, 1215, 765
2025/04/14 09:56:09.766, 0, 91, 98.24, 1215, 765
2025/04/14 09:56:10.768, 0, 91, 98.79, 1215, 765
2025/04/14 09:56:11.769, 0, 92, 104.92, 1215, 765
2025/04/14 09:56:12.771, 0, 91, 94.92, 1215, 765
2025/04/14 09:56:13.772, 0, 92, 97.81, 1215, 765
2025/04/14 09:56:14.774, 0, 92, 107.72, 1215, 765
2025/04/14 09:56:15.777, 0, 89, 102.67, 1215, 765
2025/04/14 09:56:16.779, 0, 90, 93.78, 1215, 765
2025/04/14 09:56:17.781, 0, 89, 100.90, 1215, 765
2025/04/14 09:56:18.784, 0, 92, 95.39, 1215, 765
2025/04/14 09:56:19.789, 0, 91, 98.19, 1215, 765
2025/04/14 09:56:20.791, 0, 92, 101.27, 1215, 765
2025/04/14 09:56:21.792, 0, 93, 101.87, 1215, 765
2025/04/14 09:56:22.793, 0, 89, 98.12, 1215, 765
2025/04/14 09:56:23.795, 0, 91, 106.42, 1215, 765
2025/04/14 09:56:24.796, 0, 90, 92.51, 1215, 765
2025/04/14 09:56:25.797, 0, 91, 107.13, 1215, 765
2025/04/14 09:56:26.799, 0, 92, 92.14, 1215, 765
2025/04/14 09:56:27.800, 0, 92, 90.42, 1215, 765
2025/04/14 09:56:28.802, 0, 92, 107.17, 1215, 765
2025/04/14 09:56:29.803, 0, 91, 94.60, 1215, 765
2025/04/14 09:56:30.805, 0, 89, 105.85, 1215, 765
2025/04/14 09:56:31.806, 0, 92, 108.27, 1215, 765
2025/04/14 09:56:32.808, 0, 92, 98.36, 1215, 765
2025/04/14 09:56:33.809, 0, 92, 105.96, 1215, 765
2025/04/14 09:56:34.810, 0, 92, 102.03, 1215, 765
2025/04/14 09:56:35.812, 0, 93, 95.07, 1215, 765
2025/04/14 09:56:36.813, 0, 88, 93.47, 1215, 765
2025/04/14 09:56:37.815, 0, 91, 103.51, 1215, 765
2025/04/14 09:56:38.817, 0, 90, 104.68, 1215, 765
