timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 07:45:39.557, 1, 0, 36.24, 1215, 765
2025/04/14 07:45:40.566, 1, 0, 36.14, 1215, 765
2025/04/14 07:45:41.568, 1, 0, 36.14, 1215, 765
2025/04/14 07:45:42.598, 1, 0, 36.44, 1215, 765
2025/04/14 07:45:43.600, 1, 0, 36.44, 1215, 765
2025/04/14 07:45:44.601, 1, 0, 38.43, 1215, 765
2025/04/14 07:45:45.602, 1, 0, 38.21, 1215, 765
2025/04/14 07:45:46.604, 1, 0, 36.34, 1215, 765
2025/04/14 07:45:47.605, 1, 49, 38.60, 1215, 765
2025/04/14 07:45:48.607, 1, 47, 38.51, 1215, 765
2025/04/14 07:45:49.608, 1, 45, 38.45, 1215, 765
2025/04/14 07:45:50.610, 1, 37, 38.70, 1215, 765
2025/04/14 07:45:51.611, 1, 4, 38.74, 1215, 765
2025/04/14 07:45:52.612, 1, 42, 38.32, 1215, 765
2025/04/14 07:45:53.614, 1, 31, 38.68, 1215, 765
2025/04/14 07:45:54.615, 1, 18, 38.12, 1215, 765
2025/04/14 07:45:55.617, 1, 23, 130.17, 1215, 765
2025/04/14 07:45:56.618, 1, 95, 117.18, 1215, 765
2025/04/14 07:45:57.620, 1, 96, 110.94, 1215, 765
2025/04/14 07:45:58.621, 1, 95, 119.58, 1215, 765
2025/04/14 07:45:59.622, 1, 96, 108.62, 1215, 765
2025/04/14 07:46:00.624, 1, 86, 107.92, 1215, 765
2025/04/14 07:46:01.625, 1, 96, 135.63, 1215, 765
2025/04/14 07:46:02.627, 1, 96, 113.70, 1215, 765
2025/04/14 07:46:03.629, 1, 94, 108.50, 1215, 765
2025/04/14 07:46:04.630, 1, 96, 111.71, 1215, 765
2025/04/14 07:46:05.632, 1, 94, 107.99, 1215, 765
2025/04/14 07:46:06.633, 1, 95, 120.01, 1215, 765
2025/04/14 07:46:07.635, 1, 96, 114.38, 1215, 765
2025/04/14 07:46:08.636, 1, 95, 115.39, 1215, 765
2025/04/14 07:46:09.637, 1, 96, 135.80, 1215, 765
2025/04/14 07:46:10.639, 1, 92, 119.31, 1215, 765
2025/04/14 07:46:11.640, 1, 96, 127.69, 1215, 765
2025/04/14 07:46:12.642, 1, 95, 109.17, 1215, 765
2025/04/14 07:46:13.644, 1, 95, 114.82, 1215, 765
2025/04/14 07:46:14.645, 1, 95, 117.90, 1215, 765
2025/04/14 07:46:15.658, 1, 95, 116.36, 1215, 765
2025/04/14 07:46:16.659, 1, 97, 127.24, 1215, 765
2025/04/14 07:46:17.661, 1, 96, 111.87, 1215, 765
2025/04/14 07:46:18.664, 1, 96, 123.07, 1215, 765
2025/04/14 07:46:19.665, 1, 95, 114.18, 1215, 765
2025/04/14 07:46:20.667, 1, 96, 108.78, 1215, 765
2025/04/14 07:46:21.668, 1, 95, 117.11, 1215, 765
2025/04/14 07:46:22.670, 1, 96, 130.49, 1215, 765
2025/04/14 07:46:23.672, 1, 97, 110.84, 1215, 765
2025/04/14 07:46:24.674, 1, 95, 123.22, 1215, 765
2025/04/14 07:46:25.677, 1, 91, 112.51, 1215, 765
2025/04/14 07:46:26.680, 1, 94, 128.21, 1215, 765
2025/04/14 07:46:27.685, 1, 96, 109.07, 1215, 765
2025/04/14 07:46:28.686, 1, 92, 136.24, 1215, 765
2025/04/14 07:46:29.688, 1, 96, 109.97, 1215, 765
2025/04/14 07:46:30.690, 1, 95, 121.19, 1215, 765
2025/04/14 07:46:31.693, 1, 97, 117.40, 1215, 765
2025/04/14 07:46:32.700, 1, 96, 132.01, 1215, 765
2025/04/14 07:46:33.702, 1, 95, 109.19, 1215, 765
2025/04/14 07:46:34.703, 1, 96, 110.71, 1215, 765
2025/04/14 07:46:35.705, 1, 95, 112.37, 1215, 765
2025/04/14 07:46:36.707, 1, 95, 118.31, 1215, 765
2025/04/14 07:46:37.708, 1, 96, 109.93, 1215, 765
2025/04/14 07:46:38.710, 1, 95, 118.31, 1215, 765
2025/04/14 07:46:39.711, 1, 95, 123.31, 1215, 765
2025/04/14 07:46:40.713, 1, 94, 128.68, 1215, 765
2025/04/14 07:46:41.714, 1, 95, 119.37, 1215, 765
2025/04/14 07:46:42.716, 1, 95, 118.75, 1215, 765
2025/04/14 07:46:43.717, 1, 95, 117.34, 1215, 765
2025/04/14 07:46:44.719, 1, 95, 126.09, 1215, 765
2025/04/14 07:46:45.720, 1, 94, 116.33, 1215, 765
2025/04/14 07:46:46.722, 1, 96, 111.28, 1215, 765
2025/04/14 07:46:47.723, 1, 92, 116.61, 1215, 765
2025/04/14 07:46:48.725, 1, 95, 111.14, 1215, 765
2025/04/14 07:46:49.726, 1, 95, 110.57, 1215, 765
2025/04/14 07:46:50.728, 1, 95, 109.32, 1215, 765
