timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 08:38:32.865, 1, 0, 36.44, 1215, 765
2025/04/14 08:38:33.872, 1, 0, 36.24, 1215, 765
2025/04/14 08:38:34.873, 1, 0, 36.24, 1215, 765
2025/04/14 08:38:35.874, 1, 0, 36.12, 1215, 765
2025/04/14 08:38:36.876, 1, 0, 36.53, 1215, 765
2025/04/14 08:38:37.877, 1, 0, 36.44, 1215, 765
2025/04/14 08:38:38.878, 1, 0, 36.53, 1215, 765
2025/04/14 08:38:39.881, 1, 0, 36.44, 1215, 765
2025/04/14 08:38:40.883, 1, 0, 36.35, 1215, 765
2025/04/14 08:38:41.884, 1, 48, 38.58, 1215, 765
2025/04/14 08:38:42.886, 1, 0, 38.14, 1215, 765
2025/04/14 08:38:43.887, 1, 33, 38.74, 1215, 765
2025/04/14 08:38:44.888, 1, 27, 38.39, 1215, 765
2025/04/14 08:38:45.891, 1, 25, 38.36, 1215, 765
2025/04/14 08:38:46.894, 1, 34, 38.74, 1215, 765
2025/04/14 08:38:47.895, 1, 0, 37.94, 1215, 765
2025/04/14 08:38:48.898, 1, 95, 133.32, 1215, 765
2025/04/14 08:38:49.900, 1, 93, 88.92, 1215, 765
2025/04/14 08:38:50.903, 1, 96, 110.99, 1215, 765
2025/04/14 08:38:51.905, 1, 97, 119.95, 1215, 765
2025/04/14 08:38:52.909, 1, 95, 117.20, 1215, 765
2025/04/14 08:38:53.910, 1, 97, 110.45, 1215, 765
2025/04/14 08:38:54.912, 1, 95, 114.03, 1215, 765
2025/04/14 08:38:55.913, 1, 94, 112.59, 1215, 765
2025/04/14 08:38:56.915, 1, 95, 109.90, 1215, 765
2025/04/14 08:38:57.916, 1, 96, 114.09, 1215, 765
2025/04/14 08:38:58.918, 1, 96, 132.56, 1215, 765
2025/04/14 08:38:59.919, 1, 96, 110.11, 1215, 765
2025/04/14 08:39:00.920, 1, 94, 132.32, 1215, 765
2025/04/14 08:39:01.922, 1, 97, 109.80, 1215, 765
2025/04/14 08:39:02.923, 1, 97, 116.28, 1215, 765
2025/04/14 08:39:03.925, 1, 95, 112.60, 1215, 765
2025/04/14 08:39:04.926, 1, 96, 108.90, 1215, 765
2025/04/14 08:39:05.928, 1, 95, 115.60, 1215, 765
2025/04/14 08:39:06.929, 1, 95, 122.13, 1215, 765
2025/04/14 08:39:07.931, 1, 96, 110.30, 1215, 765
2025/04/14 08:39:08.933, 1, 96, 134.94, 1215, 765
2025/04/14 08:39:09.935, 1, 97, 110.10, 1215, 765
2025/04/14 08:39:10.938, 1, 94, 123.85, 1215, 765
2025/04/14 08:39:11.941, 1, 95, 109.80, 1215, 765
2025/04/14 08:39:12.944, 1, 96, 111.78, 1215, 765
2025/04/14 08:39:13.947, 1, 95, 124.35, 1215, 765
2025/04/14 08:39:14.949, 1, 96, 109.99, 1215, 765
2025/04/14 08:39:15.951, 1, 95, 128.77, 1215, 765
2025/04/14 08:39:16.952, 1, 97, 112.64, 1215, 765
2025/04/14 08:39:17.953, 1, 96, 126.79, 1215, 765
2025/04/14 08:39:18.955, 1, 96, 108.76, 1215, 765
2025/04/14 08:39:19.956, 1, 96, 112.36, 1215, 765
2025/04/14 08:39:20.958, 1, 95, 120.74, 1215, 765
2025/04/14 08:39:21.959, 1, 96, 128.36, 1215, 765
2025/04/14 08:39:22.961, 1, 96, 112.78, 1215, 765
2025/04/14 08:39:23.962, 1, 97, 117.56, 1215, 765
2025/04/14 08:39:24.963, 1, 96, 121.32, 1215, 765
2025/04/14 08:39:25.965, 1, 96, 113.37, 1215, 765
2025/04/14 08:39:26.966, 1, 96, 111.91, 1215, 765
2025/04/14 08:39:27.968, 1, 96, 132.26, 1215, 765
2025/04/14 08:39:28.969, 1, 97, 116.89, 1215, 765
2025/04/14 08:39:29.971, 1, 96, 112.62, 1215, 765
2025/04/14 08:39:30.973, 1, 97, 112.47, 1215, 765
2025/04/14 08:39:31.974, 1, 97, 112.78, 1215, 765
2025/04/14 08:39:32.976, 1, 95, 112.24, 1215, 765
2025/04/14 08:39:33.978, 1, 95, 109.71, 1215, 765
2025/04/14 08:39:34.980, 1, 96, 110.47, 1215, 765
2025/04/14 08:39:35.983, 1, 94, 115.23, 1215, 765
2025/04/14 08:39:36.986, 1, 93, 109.50, 1215, 765
2025/04/14 08:39:37.988, 1, 96, 109.40, 1215, 765
2025/04/14 08:39:38.990, 1, 97, 134.39, 1215, 765
2025/04/14 08:39:39.993, 1, 96, 124.58, 1215, 765
2025/04/14 08:39:40.997, 1, 96, 119.85, 1215, 765
2025/04/14 08:39:41.998, 1, 97, 111.08, 1215, 765
2025/04/14 08:39:43.001, 1, 95, 125.99, 1215, 765
2025/04/14 08:39:44.005, 1, 95, 108.52, 1215, 765
2025/04/14 08:39:45.008, 1, 97, 125.49, 1215, 765
2025/04/14 08:39:46.009, 1, 96, 135.29, 1215, 765
2025/04/14 08:39:47.011, 1, 97, 119.56, 1215, 765
2025/04/14 08:39:48.012, 1, 95, 124.73, 1215, 765
2025/04/14 08:39:49.014, 1, 96, 114.51, 1215, 765
2025/04/14 08:39:50.015, 1, 95, 112.94, 1215, 765
2025/04/14 08:39:51.016, 1, 96, 111.46, 1215, 765
2025/04/14 08:39:52.018, 1, 95, 112.30, 1215, 765
2025/04/14 08:39:53.020, 1, 95, 114.32, 1215, 765
2025/04/14 08:39:54.021, 1, 97, 113.18, 1215, 765
2025/04/14 08:39:55.022, 1, 95, 115.42, 1215, 765
2025/04/14 08:39:56.024, 1, 96, 110.40, 1215, 765
2025/04/14 08:39:57.025, 1, 95, 127.73, 1215, 765
2025/04/14 08:39:58.033, 1, 94, 108.82, 1215, 765
2025/04/14 08:39:59.034, 1, 95, 109.32, 1215, 765
2025/04/14 08:40:00.035, 1, 95, 113.30, 1215, 765
2025/04/14 08:40:01.037, 1, 94, 114.41, 1215, 765
2025/04/14 08:40:02.042, 1, 97, 120.64, 1215, 765
2025/04/14 08:40:03.043, 1, 95, 115.27, 1215, 765
2025/04/14 08:40:04.045, 1, 96, 112.00, 1215, 765
2025/04/14 08:40:05.046, 1, 95, 109.85, 1215, 765
2025/04/14 08:40:06.052, 1, 96, 123.96, 1215, 765
2025/04/14 08:40:07.053, 1, 95, 110.27, 1215, 765
2025/04/14 08:40:08.055, 1, 96, 113.11, 1215, 765
2025/04/14 08:40:09.057, 1, 97, 112.05, 1215, 765
2025/04/14 08:40:10.060, 1, 95, 113.41, 1215, 765
2025/04/14 08:40:11.063, 1, 96, 111.25, 1215, 765
2025/04/14 08:40:12.065, 1, 96, 133.98, 1215, 765
2025/04/14 08:40:13.070, 1, 95, 136.05, 1215, 765
2025/04/14 08:40:14.073, 1, 96, 121.46, 1215, 765
2025/04/14 08:40:15.666, 1, 97, 118.68, 1215, 765
2025/04/14 08:40:16.668, 1, 96, 120.20, 1215, 765
2025/04/14 08:40:17.669, 1, 94, 124.55, 1215, 765
2025/04/14 08:40:18.671, 1, 95, 119.33, 1215, 765
2025/04/14 08:40:19.672, 1, 96, 111.75, 1215, 765
2025/04/14 08:40:20.673, 1, 94, 111.11, 1215, 765
2025/04/14 08:40:21.675, 1, 96, 111.86, 1215, 765
2025/04/14 08:40:22.676, 1, 95, 112.44, 1215, 765
2025/04/14 08:40:23.678, 1, 97, 110.44, 1215, 765
2025/04/14 08:40:24.681, 1, 95, 111.64, 1215, 765
2025/04/14 08:40:25.683, 1, 95, 111.72, 1215, 765
2025/04/14 08:40:26.685, 1, 96, 134.12, 1215, 765
2025/04/14 08:40:27.689, 1, 95, 120.15, 1215, 765
2025/04/14 08:40:28.691, 1, 96, 115.41, 1215, 765
2025/04/14 08:40:29.692, 1, 95, 108.64, 1215, 765
2025/04/14 08:40:30.695, 1, 95, 113.68, 1215, 765
2025/04/14 08:40:31.698, 1, 93, 111.42, 1215, 765
2025/04/14 08:40:32.700, 1, 96, 136.49, 1215, 765
2025/04/14 08:40:33.703, 1, 96, 114.36, 1215, 765
2025/04/14 08:40:34.705, 1, 95, 113.50, 1215, 765
2025/04/14 08:40:35.709, 1, 96, 112.94, 1215, 765
2025/04/14 08:40:36.712, 1, 95, 113.54, 1215, 765
2025/04/14 08:40:37.715, 1, 97, 110.61, 1215, 765
2025/04/14 08:40:38.718, 1, 96, 119.36, 1215, 765
2025/04/14 08:40:39.720, 1, 96, 114.59, 1215, 765
