timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 07:20:29.802, 0, 0, 34.30, 1215, 765
2025/04/14 07:20:30.811, 0, 0, 34.39, 1215, 765
2025/04/14 07:20:31.813, 0, 0, 34.00, 1215, 765
2025/04/14 07:20:32.814, 0, 0, 34.00, 1215, 765
2025/04/14 07:20:33.815, 0, 0, 34.21, 1215, 765
2025/04/14 07:20:34.817, 0, 0, 34.01, 1215, 765
2025/04/14 07:20:35.818, 0, 0, 34.01, 1215, 765
2025/04/14 07:20:36.819, 0, 18, 36.45, 1215, 765
2025/04/14 07:20:37.820, 0, 0, 36.15, 1215, 765
2025/04/14 07:20:38.822, 0, 21, 37.02, 1215, 765
2025/04/14 07:20:39.823, 0, 13, 36.59, 1215, 765
2025/04/14 07:20:40.824, 0, 21, 36.64, 1215, 765
2025/04/14 07:20:41.828, 0, 3, 36.49, 1215, 765
2025/04/14 07:20:42.829, 0, 55, 101.57, 1215, 765
2025/04/14 07:20:43.831, 0, 94, 102.96, 1215, 765
2025/04/14 07:20:44.833, 0, 0, 98.13, 1215, 765
2025/04/14 07:20:45.834, 0, 92, 99.59, 1215, 765
2025/04/14 07:20:46.837, 0, 96, 107.73, 1215, 765
2025/04/14 07:20:47.839, 0, 95, 104.32, 1215, 765
2025/04/14 07:20:48.842, 0, 96, 104.02, 1215, 765
2025/04/14 07:20:49.845, 0, 96, 107.04, 1215, 765
2025/04/14 07:20:50.847, 0, 94, 104.96, 1215, 765
2025/04/14 07:20:52.363, 0, 96, 103.87, 1215, 765
2025/04/14 07:20:53.364, 0, 96, 109.28, 1215, 765
2025/04/14 07:20:54.366, 0, 96, 106.24, 1215, 765
2025/04/14 07:20:55.367, 0, 95, 105.54, 1215, 765
2025/04/14 07:20:56.368, 0, 94, 103.27, 1215, 765
2025/04/14 07:20:57.370, 0, 94, 107.11, 1215, 765
2025/04/14 07:20:58.371, 0, 94, 99.35, 1215, 765
2025/04/14 07:20:59.373, 0, 96, 104.96, 1215, 765
2025/04/14 07:21:00.374, 0, 93, 103.27, 1215, 765
2025/04/14 07:21:01.376, 0, 95, 105.98, 1215, 765
2025/04/14 07:21:02.377, 0, 94, 103.87, 1215, 765
2025/04/14 07:21:03.379, 0, 96, 108.12, 1215, 765
2025/04/14 07:21:04.380, 0, 95, 102.04, 1215, 765
2025/04/14 07:21:05.381, 0, 96, 102.32, 1215, 765
2025/04/14 07:21:06.384, 0, 94, 101.05, 1215, 765
2025/04/14 07:21:07.386, 0, 95, 102.69, 1215, 765
2025/04/14 07:21:08.389, 0, 94, 105.88, 1215, 765
