timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 04:45:23.514, 0, 0, 36.90, 1215, 765
2025/04/14 04:45:24.520, 0, 0, 36.43, 1215, 765
2025/04/14 04:45:25.525, 0, 0, 36.48, 1215, 765
2025/04/14 04:45:26.526, 0, 0, 36.49, 1215, 765
2025/04/14 04:45:27.528, 0, 0, 36.40, 1215, 765
2025/04/14 04:45:28.529, 0, 0, 36.30, 1215, 765
2025/04/14 04:45:29.532, 0, 0, 36.20, 1215, 765
2025/04/14 04:45:30.533, 0, 0, 36.48, 1215, 765
2025/04/14 04:45:31.535, 0, 11, 38.91, 1215, 765
2025/04/14 04:45:32.536, 0, 14, 38.57, 1215, 765
2025/04/14 04:45:33.538, 0, 26, 38.53, 1215, 765
2025/04/14 04:45:34.542, 0, 0, 38.37, 1215, 765
2025/04/14 04:45:35.544, 0, 25, 38.53, 1215, 765
2025/04/14 04:45:36.545, 0, 29, 38.91, 1215, 765
2025/04/14 04:45:37.546, 0, 7, 38.29, 1215, 765
2025/04/14 04:45:38.551, 0, 92, 104.52, 1215, 765
2025/04/14 04:45:39.552, 0, 92, 105.32, 1215, 765
2025/04/14 04:45:40.554, 0, 91, 107.34, 1215, 765
2025/04/14 04:45:41.556, 0, 92, 105.69, 1215, 765
2025/04/14 04:45:42.559, 0, 92, 105.08, 1215, 765
2025/04/14 04:45:43.562, 0, 91, 106.81, 1215, 765
2025/04/14 04:45:44.565, 0, 91, 106.50, 1215, 765
2025/04/14 04:45:45.567, 0, 91, 110.14, 1215, 765
2025/04/14 04:45:46.569, 0, 91, 105.11, 1215, 765
2025/04/14 04:45:47.572, 0, 92, 105.31, 1215, 765
2025/04/14 04:45:48.574, 0, 92, 107.27, 1215, 765
2025/04/14 04:45:49.577, 0, 91, 103.20, 1215, 765
2025/04/14 04:45:50.581, 0, 91, 102.18, 1215, 765
2025/04/14 04:45:51.583, 0, 93, 107.06, 1215, 765
2025/04/14 04:45:52.584, 0, 92, 108.12, 1215, 765
2025/04/14 04:45:53.586, 0, 94, 107.60, 1215, 765
2025/04/14 04:45:54.587, 0, 92, 106.30, 1215, 765
2025/04/14 04:45:55.589, 0, 92, 105.93, 1215, 765
2025/04/14 04:45:56.590, 0, 91, 102.47, 1215, 765
2025/04/14 04:45:57.591, 0, 92, 105.69, 1215, 765
2025/04/14 04:45:58.593, 0, 91, 102.39, 1215, 765
2025/04/14 04:45:59.594, 0, 93, 107.35, 1215, 765
2025/04/14 04:46:00.596, 0, 87, 104.15, 1215, 765
2025/04/14 04:46:01.597, 0, 93, 105.79, 1215, 765
2025/04/14 04:46:02.598, 0, 91, 102.85, 1215, 765
2025/04/14 04:46:03.600, 0, 92, 106.31, 1215, 765
2025/04/14 04:46:04.601, 0, 91, 103.54, 1215, 765
2025/04/14 04:46:05.603, 0, 92, 108.60, 1215, 765
2025/04/14 04:46:06.604, 0, 90, 107.29, 1215, 765
