timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 00:20:52.457, 0, 0, 38.78, 1215, 765
2025/04/14 00:20:53.464, 0, 0, 36.59, 1215, 765
2025/04/14 00:20:54.465, 0, 0, 36.67, 1215, 765
2025/04/14 00:20:55.468, 0, 0, 36.78, 1215, 765
2025/04/14 00:20:56.470, 0, 0, 36.49, 1215, 765
2025/04/14 00:20:57.472, 0, 0, 36.40, 1215, 765
2025/04/14 00:20:58.474, 0, 0, 36.29, 1215, 765
2025/04/14 00:20:59.475, 0, 0, 36.39, 1215, 765
2025/04/14 00:21:00.476, 0, 29, 40.43, 1215, 765
2025/04/14 00:21:01.478, 0, 20, 38.59, 1215, 765
2025/04/14 00:21:02.479, 0, 21, 38.89, 1215, 765
2025/04/14 00:21:03.480, 0, 9, 38.17, 1215, 765
2025/04/14 00:21:04.482, 0, 22, 38.97, 1215, 765
2025/04/14 00:21:05.483, 0, 3, 38.79, 1215, 765
2025/04/14 00:21:06.484, 0, 8, 38.87, 1215, 765
2025/04/14 00:21:07.485, 0, 94, 104.00, 1215, 765
2025/04/14 00:21:08.487, 0, 94, 105.48, 1215, 765
2025/04/14 00:21:09.488, 0, 95, 108.07, 1215, 765
2025/04/14 00:21:10.489, 0, 94, 106.68, 1215, 765
2025/04/14 00:21:11.491, 0, 95, 103.53, 1215, 765
2025/04/14 00:21:12.492, 0, 93, 99.43, 1215, 765
2025/04/14 00:21:13.493, 0, 93, 105.10, 1215, 765
2025/04/14 00:21:14.495, 0, 92, 106.78, 1215, 765
2025/04/14 00:21:15.496, 0, 93, 110.30, 1215, 765
2025/04/14 00:21:16.498, 0, 94, 105.96, 1215, 765
2025/04/14 00:21:17.499, 0, 95, 103.47, 1215, 765
2025/04/14 00:21:18.501, 0, 93, 107.77, 1215, 765
2025/04/14 00:21:19.502, 0, 94, 106.91, 1215, 765
2025/04/14 00:21:20.505, 0, 94, 106.51, 1215, 765
2025/04/14 00:21:21.507, 0, 95, 104.17, 1215, 765
2025/04/14 00:21:22.509, 0, 94, 108.00, 1215, 765
2025/04/14 00:21:23.510, 0, 95, 105.30, 1215, 765
2025/04/14 00:21:24.511, 0, 93, 102.53, 1215, 765
2025/04/14 00:21:25.513, 0, 93, 108.56, 1215, 765
2025/04/14 00:21:26.514, 0, 93, 111.00, 1215, 765
2025/04/14 00:21:27.516, 0, 96, 107.27, 1215, 765
2025/04/14 00:21:28.517, 0, 96, 106.51, 1215, 765
2025/04/14 00:21:29.519, 0, 96, 107.58, 1215, 765
2025/04/14 00:21:30.520, 0, 93, 103.53, 1215, 765
2025/04/14 00:21:31.522, 0, 94, 105.50, 1215, 765
2025/04/14 00:21:32.523, 0, 93, 104.91, 1215, 765
2025/04/14 00:21:33.524, 0, 95, 110.70, 1215, 765
2025/04/14 00:21:34.526, 0, 93, 106.65, 1215, 765
2025/04/14 00:21:35.527, 0, 96, 107.41, 1215, 765
2025/04/14 00:21:36.529, 0, 94, 104.91, 1215, 765
2025/04/14 00:21:37.530, 0, 95, 106.21, 1215, 765
2025/04/14 00:21:38.532, 0, 93, 101.44, 1215, 765
2025/04/14 00:21:39.533, 0, 96, 106.78, 1215, 765
2025/04/14 00:21:40.535, 0, 96, 108.25, 1215, 765
2025/04/14 00:21:41.536, 0, 93, 108.16, 1215, 765
2025/04/14 00:21:42.537, 0, 93, 102.40, 1215, 765
2025/04/14 00:21:43.539, 0, 95, 108.28, 1215, 765
2025/04/14 00:21:44.541, 0, 94, 106.99, 1215, 765
2025/04/14 00:21:45.542, 0, 95, 105.52, 1215, 765
2025/04/14 00:21:46.545, 0, 94, 103.25, 1215, 765
2025/04/14 00:21:47.548, 0, 93, 105.61, 1215, 765
2025/04/14 00:21:48.550, 0, 94, 107.91, 1215, 765
2025/04/14 00:21:49.553, 0, 95, 104.48, 1215, 765
2025/04/14 00:21:50.556, 0, 94, 104.17, 1215, 765
2025/04/14 00:21:51.558, 0, 96, 108.52, 1215, 765
2025/04/14 00:21:52.560, 0, 93, 106.74, 1215, 765
2025/04/14 00:21:53.562, 0, 95, 105.92, 1215, 765
2025/04/14 00:21:54.565, 0, 94, 107.66, 1215, 765
2025/04/14 00:21:55.567, 0, 94, 103.94, 1215, 765
2025/04/14 00:21:56.570, 0, 94, 106.85, 1215, 765
2025/04/14 00:21:57.572, 0, 96, 104.77, 1215, 765
2025/04/14 00:21:58.576, 0, 94, 107.63, 1215, 765
2025/04/14 00:21:59.577, 0, 94, 106.97, 1215, 765
2025/04/14 00:22:00.580, 0, 88, 106.56, 1215, 765
2025/04/14 00:22:01.583, 0, 95, 104.19, 1215, 765
2025/04/14 00:22:02.585, 0, 93, 107.75, 1215, 765
2025/04/14 00:22:03.588, 0, 96, 113.01, 1215, 765
2025/04/14 00:22:04.590, 0, 92, 101.96, 1215, 765
2025/04/14 00:22:05.593, 0, 95, 107.36, 1215, 765
2025/04/14 00:22:06.596, 0, 93, 106.55, 1215, 765
2025/04/14 00:22:07.598, 0, 95, 109.11, 1215, 765
2025/04/14 00:22:08.601, 0, 95, 107.11, 1215, 765
2025/04/14 00:22:09.603, 0, 96, 105.10, 1215, 765
2025/04/14 00:22:10.606, 0, 93, 106.18, 1215, 765
2025/04/14 00:22:11.609, 0, 95, 109.02, 1215, 765
2025/04/14 00:22:12.612, 0, 93, 108.26, 1215, 765
2025/04/14 00:22:13.614, 0, 95, 108.12, 1215, 765
2025/04/14 00:22:14.617, 0, 95, 108.22, 1215, 765
2025/04/14 00:22:15.619, 0, 94, 108.54, 1215, 765
2025/04/14 00:22:16.622, 0, 94, 103.63, 1215, 765
2025/04/14 00:22:17.625, 0, 95, 108.33, 1215, 765
2025/04/14 00:22:18.628, 0, 93, 107.63, 1215, 765
2025/04/14 00:22:19.630, 0, 96, 103.97, 1215, 765
2025/04/14 00:22:20.633, 0, 94, 107.94, 1215, 765
2025/04/14 00:22:21.635, 0, 94, 105.95, 1215, 765
2025/04/14 00:22:22.636, 0, 93, 106.14, 1215, 765
2025/04/14 00:22:23.638, 0, 95, 109.22, 1215, 765
2025/04/14 00:22:24.639, 0, 94, 108.63, 1215, 765
2025/04/14 00:22:25.640, 0, 95, 106.63, 1215, 765
2025/04/14 00:22:26.642, 0, 95, 107.25, 1215, 765
2025/04/14 00:22:27.643, 0, 94, 108.04, 1215, 765
2025/04/14 00:22:28.645, 0, 94, 108.24, 1215, 765
2025/04/14 00:22:29.646, 0, 94, 106.14, 1215, 765
2025/04/14 00:22:30.647, 0, 94, 105.04, 1215, 765
2025/04/14 00:22:31.649, 0, 96, 109.52, 1215, 765
2025/04/14 00:22:32.650, 0, 96, 100.46, 1215, 765
2025/04/14 00:22:33.651, 0, 95, 106.84, 1215, 765
2025/04/14 00:22:34.653, 0, 94, 98.89, 1215, 765
2025/04/14 00:22:35.654, 0, 95, 108.82, 1215, 765
2025/04/14 00:22:36.656, 0, 95, 108.53, 1215, 765
2025/04/14 00:22:37.657, 0, 96, 105.92, 1215, 765
2025/04/14 00:22:38.659, 0, 92, 107.18, 1215, 765
2025/04/14 00:22:39.660, 0, 94, 106.95, 1215, 765
2025/04/14 00:22:40.661, 0, 94, 107.62, 1215, 765
2025/04/14 00:22:41.663, 0, 95, 104.36, 1215, 765
2025/04/14 00:22:42.664, 0, 94, 102.56, 1215, 765
2025/04/14 00:22:43.666, 0, 89, 102.95, 1215, 765
2025/04/14 00:22:44.667, 0, 92, 104.75, 1215, 765
2025/04/14 00:22:45.669, 0, 95, 103.41, 1215, 765
2025/04/14 00:22:46.670, 0, 93, 106.09, 1215, 765
2025/04/14 00:22:47.671, 0, 95, 108.45, 1215, 765
2025/04/14 00:22:48.673, 0, 94, 106.14, 1215, 765
2025/04/14 00:22:49.674, 0, 95, 109.11, 1215, 765
2025/04/14 00:22:50.676, 0, 93, 105.02, 1215, 765
2025/04/14 00:22:51.677, 0, 94, 106.80, 1215, 765
2025/04/14 00:22:52.679, 0, 95, 106.71, 1215, 765
2025/04/14 00:22:53.682, 0, 95, 108.71, 1215, 765
2025/04/14 00:22:54.685, 0, 94, 107.60, 1215, 765
2025/04/14 00:22:55.687, 0, 96, 103.58, 1215, 765
2025/04/14 00:22:56.690, 0, 94, 105.29, 1215, 765
2025/04/14 00:22:57.692, 0, 95, 108.60, 1215, 765
2025/04/14 00:22:58.695, 0, 93, 106.84, 1215, 765
2025/04/14 00:22:59.697, 0, 96, 105.27, 1215, 765
2025/04/14 00:23:00.702, 0, 95, 107.38, 1215, 765
2025/04/14 00:23:01.703, 0, 94, 106.53, 1215, 765
2025/04/14 00:23:02.705, 0, 93, 105.04, 1215, 765
2025/04/14 00:23:03.708, 0, 95, 107.88, 1215, 765
2025/04/14 00:23:04.711, 0, 93, 107.54, 1215, 765
2025/04/14 00:23:05.713, 0, 95, 108.51, 1215, 765
2025/04/14 00:23:06.716, 0, 94, 107.73, 1215, 765
2025/04/14 00:23:07.719, 0, 94, 108.01, 1215, 765
2025/04/14 00:23:08.724, 0, 94, 107.72, 1215, 765
2025/04/14 00:23:09.725, 0, 94, 108.98, 1215, 765
2025/04/14 00:23:10.726, 0, 94, 105.82, 1215, 765
2025/04/14 00:23:11.729, 0, 95, 108.39, 1215, 765
2025/04/14 00:23:12.731, 0, 94, 108.24, 1215, 765
2025/04/14 00:23:13.734, 0, 94, 105.38, 1215, 765
2025/04/14 00:23:14.737, 0, 94, 105.82, 1215, 765
2025/04/14 00:23:15.741, 0, 93, 107.34, 1215, 765
2025/04/14 00:23:16.742, 0, 94, 107.67, 1215, 765
2025/04/14 00:23:17.744, 0, 95, 104.92, 1215, 765
2025/04/14 00:23:18.747, 0, 95, 102.36, 1215, 765
2025/04/14 00:23:19.749, 0, 95, 105.53, 1215, 765
2025/04/14 00:23:20.752, 0, 93, 105.74, 1215, 765
