timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/14 01:19:14.375, 1, 0, 36.34, 1215, 765
2025/04/14 01:19:15.380, 1, 0, 38.24, 1215, 765
2025/04/14 01:19:16.381, 1, 0, 36.34, 1215, 765
2025/04/14 01:19:17.383, 1, 0, 36.24, 1215, 765
2025/04/14 01:19:18.384, 1, 0, 36.22, 1215, 765
2025/04/14 01:19:19.385, 1, 0, 36.72, 1215, 765
2025/04/14 01:19:20.387, 1, 0, 36.14, 1215, 765
2025/04/14 01:19:21.388, 1, 0, 36.14, 1215, 765
2025/04/14 01:19:22.404, 1, 24, 38.64, 1215, 765
2025/04/14 01:19:23.405, 1, 0, 38.01, 1215, 765
2025/04/14 01:19:24.407, 1, 23, 38.36, 1215, 765
2025/04/14 01:19:25.408, 1, 17, 38.93, 1215, 765
2025/04/14 01:19:26.409, 1, 21, 38.13, 1215, 765
2025/04/14 01:19:27.411, 1, 0, 37.74, 1215, 765
2025/04/14 01:19:28.412, 1, 95, 103.90, 1215, 765
2025/04/14 01:19:29.413, 1, 95, 103.40, 1215, 765
2025/04/14 01:19:30.415, 1, 96, 107.62, 1215, 765
2025/04/14 01:19:31.416, 1, 95, 105.96, 1215, 765
2025/04/14 01:19:32.418, 1, 96, 104.36, 1215, 765
2025/04/14 01:19:33.421, 1, 96, 103.58, 1215, 765
2025/04/14 01:19:34.423, 1, 96, 105.07, 1215, 765
2025/04/14 01:19:35.426, 1, 96, 105.38, 1215, 765
2025/04/14 01:19:36.428, 1, 96, 106.16, 1215, 765
2025/04/14 01:19:37.431, 1, 96, 106.37, 1215, 765
2025/04/14 01:19:38.434, 1, 96, 104.47, 1215, 765
2025/04/14 01:19:39.437, 1, 96, 105.77, 1215, 765
2025/04/14 01:19:40.440, 1, 96, 103.18, 1215, 765
2025/04/14 01:19:41.443, 1, 96, 105.88, 1215, 765
2025/04/14 01:19:42.445, 1, 96, 103.70, 1215, 765
2025/04/14 01:19:43.447, 1, 96, 106.87, 1215, 765
2025/04/14 01:19:44.450, 1, 96, 104.20, 1215, 765
2025/04/14 01:19:45.532, 1, 96, 104.98, 1215, 765
2025/04/14 01:19:46.533, 1, 96, 105.57, 1215, 765
2025/04/14 01:19:47.536, 1, 96, 105.38, 1215, 765
2025/04/14 01:19:48.539, 1, 96, 104.68, 1215, 765
