timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/13 23:50:34.352, 0, 0, 35.50, 1215, 765
2025/04/13 23:50:35.360, 0, 0, 35.51, 1215, 765
2025/04/13 23:50:36.361, 0, 0, 35.40, 1215, 765
2025/04/13 23:50:37.363, 0, 0, 35.40, 1215, 765
2025/04/13 23:50:38.364, 0, 0, 35.40, 1215, 765
2025/04/13 23:50:39.366, 0, 0, 35.30, 1215, 765
2025/04/13 23:50:40.368, 0, 0, 35.30, 1215, 765
2025/04/13 23:50:41.370, 0, 0, 39.47, 1215, 765
2025/04/13 23:50:42.371, 0, 50, 38.02, 1215, 765
2025/04/13 23:50:43.372, 0, 45, 37.40, 1215, 765
2025/04/13 23:50:44.373, 0, 0, 37.30, 1215, 765
2025/04/13 23:50:45.516, 0, 34, 37.72, 1215, 765
2025/04/13 23:50:46.517, 0, 36, 38.04, 1215, 765
2025/04/13 23:50:47.519, 0, 29, 37.85, 1215, 765
2025/04/13 23:50:48.521, 0, 37, 37.33, 1215, 765
2025/04/13 23:50:49.522, 0, 10, 99.19, 1215, 765
2025/04/13 23:50:50.523, 0, 88, 102.54, 1215, 765
2025/04/13 23:50:51.525, 0, 89, 98.81, 1215, 765
2025/04/13 23:50:52.526, 0, 88, 100.70, 1215, 765
2025/04/13 23:50:53.528, 0, 92, 103.93, 1215, 765
2025/04/13 23:50:54.529, 0, 91, 98.78, 1215, 765
2025/04/13 23:50:55.531, 0, 92, 103.40, 1215, 765
2025/04/13 23:50:56.532, 0, 90, 103.01, 1215, 765
2025/04/13 23:50:57.534, 0, 89, 102.92, 1215, 765
2025/04/13 23:50:58.535, 0, 90, 108.54, 1215, 765
2025/04/13 23:50:59.536, 0, 91, 96.21, 1215, 765
2025/04/13 23:51:00.538, 0, 91, 92.37, 1215, 765
2025/04/13 23:51:01.539, 0, 92, 105.45, 1215, 765
2025/04/13 23:51:02.541, 0, 89, 103.72, 1215, 765
2025/04/13 23:51:03.542, 0, 92, 101.69, 1215, 765
2025/04/13 23:51:04.544, 0, 90, 101.12, 1215, 765
2025/04/13 23:51:05.545, 0, 91, 104.38, 1215, 765
2025/04/13 23:51:06.546, 0, 90, 104.94, 1215, 765
2025/04/13 23:51:07.548, 0, 92, 106.02, 1215, 765
2025/04/13 23:51:08.549, 0, 89, 102.69, 1215, 765
2025/04/13 23:51:09.551, 0, 90, 103.74, 1215, 765
2025/04/13 23:51:10.552, 0, 90, 104.28, 1215, 765
2025/04/13 23:51:11.554, 0, 92, 108.29, 1215, 765
2025/04/13 23:51:12.555, 0, 89, 103.60, 1215, 765
2025/04/13 23:51:13.557, 0, 93, 101.30, 1215, 765
2025/04/13 23:51:14.558, 0, 90, 105.34, 1215, 765
2025/04/13 23:51:15.560, 0, 91, 105.43, 1215, 765
2025/04/13 23:51:16.561, 0, 90, 104.52, 1215, 765
2025/04/13 23:51:17.562, 0, 91, 107.87, 1215, 765
2025/04/13 23:51:18.564, 0, 91, 105.26, 1215, 765
2025/04/13 23:51:19.565, 0, 93, 105.40, 1215, 765
2025/04/13 23:51:20.567, 0, 91, 104.15, 1215, 765
2025/04/13 23:51:21.568, 0, 91, 100.52, 1215, 765
2025/04/13 23:51:22.570, 0, 91, 104.12, 1215, 765
2025/04/13 23:51:23.573, 0, 92, 106.40, 1215, 765
2025/04/13 23:51:24.574, 0, 91, 103.55, 1215, 765
2025/04/13 23:51:25.576, 0, 93, 101.65, 1215, 765
2025/04/13 23:51:26.577, 0, 90, 101.73, 1215, 765
2025/04/13 23:51:27.578, 0, 91, 105.84, 1215, 765
2025/04/13 23:51:28.580, 0, 91, 101.94, 1215, 765
2025/04/13 23:51:29.581, 0, 92, 103.17, 1215, 765
2025/04/13 23:51:30.583, 0, 91, 103.56, 1215, 765
2025/04/13 23:51:31.584, 0, 93, 101.16, 1215, 765
