timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/13 19:42:40.457, 1, 0, 35.15, 1215, 765
2025/04/13 19:42:41.464, 1, 0, 35.04, 1215, 765
2025/04/13 19:42:42.466, 1, 0, 35.05, 1215, 765
2025/04/13 19:42:43.467, 1, 0, 35.04, 1215, 765
2025/04/13 19:42:44.468, 1, 0, 37.02, 1215, 765
2025/04/13 19:42:45.470, 1, 0, 37.01, 1215, 765
2025/04/13 19:42:46.471, 1, 0, 35.04, 1215, 765
2025/04/13 19:42:47.472, 1, 0, 35.05, 1215, 765
2025/04/13 19:42:48.473, 1, 16, 37.48, 1215, 765
2025/04/13 19:42:49.475, 1, 26, 37.01, 1215, 765
2025/04/13 19:42:50.476, 1, 26, 37.46, 1215, 765
2025/04/13 19:42:51.477, 1, 0, 36.94, 1215, 765
2025/04/13 19:42:52.479, 1, 24, 37.48, 1215, 765
2025/04/13 19:42:53.480, 1, 19, 36.92, 1215, 765
2025/04/13 19:42:54.481, 1, 0, 36.92, 1215, 765
2025/04/13 19:42:55.482, 1, 91, 99.44, 1215, 765
2025/04/13 19:42:56.484, 1, 93, 101.23, 1215, 765
2025/04/13 19:42:57.485, 1, 94, 100.85, 1215, 765
2025/04/13 19:42:58.486, 1, 93, 99.34, 1215, 765
2025/04/13 19:42:59.488, 1, 94, 106.73, 1215, 765
2025/04/13 19:43:00.489, 1, 93, 103.34, 1215, 765
2025/04/13 19:43:01.491, 1, 94, 101.17, 1215, 765
2025/04/13 19:43:02.492, 1, 94, 104.89, 1215, 765
2025/04/13 19:43:03.493, 1, 93, 103.20, 1215, 765
2025/04/13 19:43:04.495, 1, 94, 100.19, 1215, 765
2025/04/13 19:43:05.496, 1, 93, 98.30, 1215, 765
2025/04/13 19:43:06.497, 1, 95, 99.56, 1215, 765
2025/04/13 19:43:07.500, 1, 92, 100.47, 1215, 765
2025/04/13 19:43:08.504, 1, 93, 100.95, 1215, 765
2025/04/13 19:43:09.505, 1, 92, 102.51, 1215, 765
2025/04/13 19:43:10.508, 1, 93, 101.71, 1215, 765
2025/04/13 19:43:11.512, 1, 94, 103.78, 1215, 765
2025/04/13 19:43:12.513, 1, 94, 103.73, 1215, 765
2025/04/13 19:43:13.516, 1, 92, 101.08, 1215, 765
2025/04/13 19:43:14.519, 1, 94, 103.10, 1215, 765
2025/04/13 19:43:15.520, 1, 93, 102.64, 1215, 765
2025/04/13 19:43:16.522, 1, 94, 98.45, 1215, 765
2025/04/13 19:43:17.523, 1, 93, 97.27, 1215, 765
2025/04/13 19:43:18.524, 1, 95, 108.43, 1215, 765
2025/04/13 19:43:19.526, 1, 93, 102.59, 1215, 765
2025/04/13 19:43:20.527, 1, 93, 99.54, 1215, 765
2025/04/13 19:43:21.529, 1, 94, 97.04, 1215, 765
2025/04/13 19:43:22.530, 1, 94, 103.44, 1215, 765
2025/04/13 19:43:23.532, 1, 92, 102.51, 1215, 765
2025/04/13 19:43:24.533, 1, 96, 98.61, 1215, 765
2025/04/13 19:43:25.535, 1, 93, 99.50, 1215, 765
2025/04/13 19:43:26.536, 1, 95, 100.05, 1215, 765
2025/04/13 19:43:27.537, 1, 93, 102.23, 1215, 765
2025/04/13 19:43:28.539, 1, 94, 107.26, 1215, 765
2025/04/13 19:43:29.541, 1, 94, 102.78, 1215, 765
2025/04/13 19:43:30.543, 1, 92, 101.15, 1215, 765
2025/04/13 19:43:31.546, 1, 93, 103.30, 1215, 765
2025/04/13 19:43:32.549, 1, 95, 103.71, 1215, 765
2025/04/13 19:43:33.553, 1, 93, 100.73, 1215, 765
2025/04/13 19:43:34.554, 1, 93, 107.66, 1215, 765
2025/04/13 19:43:35.557, 1, 93, 102.54, 1215, 765
2025/04/13 19:43:36.559, 1, 94, 104.23, 1215, 765
2025/04/13 19:43:37.562, 1, 93, 102.32, 1215, 765
2025/04/13 19:43:38.565, 1, 94, 102.46, 1215, 765
2025/04/13 19:43:39.567, 1, 94, 102.34, 1215, 765
2025/04/13 19:43:40.569, 1, 94, 103.79, 1215, 765
2025/04/13 19:43:41.571, 1, 91, 101.53, 1215, 765
2025/04/13 19:43:42.578, 1, 93, 99.62, 1215, 765
2025/04/13 19:43:43.579, 1, 93, 98.28, 1215, 765
2025/04/13 19:43:44.581, 1, 93, 103.30, 1215, 765
2025/04/13 19:43:45.582, 1, 94, 103.58, 1215, 765
2025/04/13 19:43:46.584, 1, 93, 99.45, 1215, 765
2025/04/13 19:43:47.585, 1, 94, 102.89, 1215, 765
2025/04/13 19:43:48.587, 1, 94, 99.52, 1215, 765
2025/04/13 19:43:49.588, 1, 93, 99.81, 1215, 765
2025/04/13 19:43:50.589, 1, 95, 105.22, 1215, 765
2025/04/13 19:43:51.591, 1, 94, 100.83, 1215, 765
2025/04/13 19:43:52.592, 1, 95, 102.22, 1215, 765
2025/04/13 19:43:53.594, 1, 93, 101.82, 1215, 765
2025/04/13 19:43:54.595, 1, 94, 107.50, 1215, 765
2025/04/13 19:43:55.597, 1, 93, 104.41, 1215, 765
2025/04/13 19:43:56.598, 1, 95, 104.23, 1215, 765
2025/04/13 19:43:57.600, 1, 90, 102.49, 1215, 765
2025/04/13 19:43:58.601, 1, 94, 102.83, 1215, 765
2025/04/13 19:43:59.602, 1, 93, 102.50, 1215, 765
2025/04/13 19:44:00.604, 1, 85, 100.45, 1215, 765
2025/04/13 19:44:01.606, 1, 90, 102.00, 1215, 765
2025/04/13 19:44:02.611, 1, 93, 101.62, 1215, 765
2025/04/13 19:44:03.612, 1, 90, 103.63, 1215, 765
2025/04/13 19:44:04.614, 1, 94, 103.20, 1215, 765
2025/04/13 19:44:05.616, 1, 93, 104.16, 1215, 765
2025/04/13 19:44:06.619, 1, 94, 102.11, 1215, 765
2025/04/13 19:44:07.621, 1, 93, 102.48, 1215, 765
2025/04/13 19:44:08.624, 1, 95, 102.24, 1215, 765
2025/04/13 19:44:09.627, 1, 92, 105.62, 1215, 765
2025/04/13 19:44:10.630, 1, 94, 103.87, 1215, 765
2025/04/13 19:44:11.631, 1, 93, 101.51, 1215, 765
2025/04/13 19:44:12.633, 1, 94, 102.50, 1215, 765
2025/04/13 19:44:13.638, 1, 93, 103.35, 1215, 765
2025/04/13 19:44:14.641, 1, 95, 106.40, 1215, 765
2025/04/13 19:44:15.643, 1, 92, 102.80, 1215, 765
2025/04/13 19:44:16.644, 1, 94, 102.85, 1215, 765
2025/04/13 19:44:17.647, 1, 93, 103.10, 1215, 765
2025/04/13 19:44:18.648, 1, 94, 100.82, 1215, 765
2025/04/13 19:44:19.651, 1, 93, 102.73, 1215, 765
2025/04/13 19:44:20.654, 1, 95, 104.98, 1215, 765
2025/04/13 19:44:21.655, 1, 92, 104.59, 1215, 765
2025/04/13 19:44:22.657, 1, 94, 104.29, 1215, 765
2025/04/13 19:44:23.658, 1, 94, 104.89, 1215, 765
2025/04/13 19:44:24.659, 1, 93, 108.56, 1215, 765
2025/04/13 19:44:25.661, 1, 95, 102.41, 1215, 765
2025/04/13 19:44:26.662, 1, 94, 103.40, 1215, 765
2025/04/13 19:44:27.663, 1, 93, 104.79, 1215, 765
2025/04/13 19:44:28.665, 1, 93, 103.13, 1215, 765
2025/04/13 19:44:29.666, 1, 94, 105.51, 1215, 765
2025/04/13 19:44:30.668, 1, 94, 102.66, 1215, 765
2025/04/13 19:44:31.669, 1, 95, 102.69, 1215, 765
2025/04/13 19:44:32.671, 1, 95, 103.69, 1215, 765
2025/04/13 19:44:33.672, 1, 93, 102.54, 1215, 765
2025/04/13 19:44:34.674, 1, 94, 101.17, 1215, 765
2025/04/13 19:44:35.675, 1, 93, 103.61, 1215, 765
2025/04/13 19:44:36.678, 1, 95, 101.70, 1215, 765
2025/04/13 19:44:37.681, 1, 93, 102.73, 1215, 765
2025/04/13 19:44:38.685, 1, 95, 106.11, 1215, 765
2025/04/13 19:44:39.687, 1, 93, 104.89, 1215, 765
2025/04/13 19:44:40.689, 1, 94, 104.58, 1215, 765
2025/04/13 19:44:41.691, 1, 93, 104.42, 1215, 765
2025/04/13 19:44:42.694, 1, 94, 103.81, 1215, 765
2025/04/13 19:44:43.697, 1, 90, 102.25, 1215, 765
2025/04/13 19:44:44.699, 1, 95, 106.19, 1215, 765
2025/04/13 19:44:45.701, 1, 92, 99.61, 1215, 765
2025/04/13 19:44:46.702, 1, 95, 105.58, 1215, 765
2025/04/13 19:44:47.704, 1, 93, 101.53, 1215, 765
2025/04/13 19:44:48.705, 1, 95, 104.99, 1215, 765
2025/04/13 19:44:49.707, 1, 94, 104.83, 1215, 765
2025/04/13 19:44:50.708, 1, 95, 104.12, 1215, 765
2025/04/13 19:44:51.709, 1, 92, 98.45, 1215, 765
2025/04/13 19:44:52.711, 1, 94, 104.73, 1215, 765
2025/04/13 19:44:53.712, 1, 93, 103.87, 1215, 765
2025/04/13 19:44:54.714, 1, 95, 105.71, 1215, 765
2025/04/13 19:44:55.715, 1, 94, 105.19, 1215, 765
2025/04/13 19:44:56.716, 1, 95, 104.42, 1215, 765
2025/04/13 19:44:57.718, 1, 93, 102.46, 1215, 765
2025/04/13 19:44:58.719, 1, 94, 100.82, 1215, 765
2025/04/13 19:44:59.721, 1, 93, 102.60, 1215, 765
2025/04/13 19:45:00.722, 1, 95, 101.51, 1215, 765
2025/04/13 19:45:01.725, 1, 93, 105.40, 1215, 765
2025/04/13 19:45:02.726, 1, 95, 109.35, 1215, 765
2025/04/13 19:45:03.728, 1, 93, 102.17, 1215, 765
2025/04/13 19:45:04.729, 1, 94, 105.87, 1215, 765
2025/04/13 19:45:05.731, 1, 93, 99.68, 1215, 765
2025/04/13 19:45:06.732, 1, 94, 100.68, 1215, 765
2025/04/13 19:45:07.734, 1, 95, 105.55, 1215, 765
2025/04/13 19:45:08.735, 1, 94, 106.11, 1215, 765
2025/04/13 19:45:09.737, 1, 94, 103.24, 1215, 765
2025/04/13 19:45:10.738, 1, 95, 103.59, 1215, 765
2025/04/13 19:45:11.739, 1, 93, 105.07, 1215, 765
2025/04/13 19:45:12.741, 1, 95, 104.32, 1215, 765
2025/04/13 19:45:13.742, 1, 94, 102.71, 1215, 765
2025/04/13 19:45:14.744, 1, 95, 100.44, 1215, 765
2025/04/13 19:45:15.748, 1, 94, 100.19, 1215, 765
2025/04/13 19:45:16.749, 1, 93, 105.88, 1215, 765
2025/04/13 19:45:17.751, 1, 93, 101.36, 1215, 765
2025/04/13 19:45:18.752, 1, 94, 104.30, 1215, 765
2025/04/13 19:45:19.755, 1, 94, 105.51, 1215, 765
2025/04/13 19:45:20.757, 1, 92, 102.01, 1215, 765
2025/04/13 19:45:21.758, 1, 93, 103.10, 1215, 765
2025/04/13 19:45:22.760, 1, 94, 104.13, 1215, 765
2025/04/13 19:45:23.761, 1, 93, 107.81, 1215, 765
2025/04/13 19:45:24.762, 1, 95, 102.71, 1215, 765
2025/04/13 19:45:25.764, 1, 94, 103.34, 1215, 765
2025/04/13 19:45:26.765, 1, 90, 102.95, 1215, 765
2025/04/13 19:45:27.767, 1, 93, 101.51, 1215, 765
2025/04/13 19:45:28.768, 1, 94, 102.11, 1215, 765
2025/04/13 19:45:29.769, 1, 93, 104.00, 1215, 765
2025/04/13 19:45:30.771, 1, 94, 103.43, 1215, 765
2025/04/13 19:45:31.772, 1, 94, 102.15, 1215, 765
2025/04/13 19:45:32.774, 1, 93, 106.37, 1215, 765
