timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/13 17:36:51.311, 1, 0, 36.23, 1215, 765
2025/04/13 17:36:52.317, 1, 0, 36.24, 1215, 765
2025/04/13 17:36:53.318, 1, 0, 36.13, 1215, 765
2025/04/13 17:36:54.320, 1, 0, 36.23, 1215, 765
2025/04/13 17:36:55.321, 1, 0, 36.10, 1215, 765
2025/04/13 17:36:56.322, 1, 0, 36.04, 1215, 765
2025/04/13 17:36:57.325, 1, 0, 36.00, 1215, 765
2025/04/13 17:36:58.327, 1, 0, 36.03, 1215, 765
2025/04/13 17:36:59.328, 1, 34, 38.60, 1215, 765
2025/04/13 17:37:00.329, 1, 29, 37.80, 1215, 765
2025/04/13 17:37:01.330, 1, 26, 37.91, 1215, 765
2025/04/13 17:37:02.332, 1, 27, 37.81, 1215, 765
2025/04/13 17:37:03.333, 1, 21, 38.20, 1215, 765
2025/04/13 17:37:04.334, 1, 3, 37.60, 1215, 765
2025/04/13 17:37:05.336, 1, 0, 37.92, 1215, 765
2025/04/13 17:37:06.337, 1, 93, 100.15, 1215, 765
2025/04/13 17:37:07.338, 1, 93, 101.20, 1215, 765
2025/04/13 17:37:08.340, 1, 94, 97.63, 1215, 765
2025/04/13 17:37:09.341, 1, 94, 102.90, 1215, 765
2025/04/13 17:37:10.343, 1, 95, 105.15, 1215, 765
2025/04/13 17:37:11.344, 1, 94, 102.04, 1215, 765
2025/04/13 17:37:12.346, 1, 95, 100.88, 1215, 765
2025/04/13 17:37:13.348, 1, 93, 102.47, 1215, 765
2025/04/13 17:37:14.351, 1, 94, 103.13, 1215, 765
2025/04/13 17:37:15.498, 1, 95, 99.30, 1215, 765
2025/04/13 17:37:16.499, 1, 94, 104.35, 1215, 765
2025/04/13 17:37:17.501, 1, 94, 111.41, 1215, 765
2025/04/13 17:37:18.503, 1, 94, 99.32, 1215, 765
2025/04/13 17:37:19.507, 1, 93, 102.44, 1215, 765
2025/04/13 17:37:20.509, 1, 93, 102.28, 1215, 765
2025/04/13 17:37:21.511, 1, 93, 99.24, 1215, 765
2025/04/13 17:37:22.514, 1, 95, 99.40, 1215, 765
2025/04/13 17:37:23.517, 1, 94, 94.35, 1215, 765
2025/04/13 17:37:24.520, 1, 94, 99.77, 1215, 765
2025/04/13 17:37:25.522, 1, 93, 97.57, 1215, 765
2025/04/13 17:37:26.525, 1, 95, 99.36, 1215, 765
2025/04/13 17:37:27.527, 1, 94, 97.79, 1215, 765
2025/04/13 17:37:28.531, 1, 96, 98.17, 1215, 765
2025/04/13 17:37:29.533, 1, 90, 101.77, 1215, 765
2025/04/13 17:37:30.535, 1, 94, 100.45, 1215, 765
2025/04/13 17:37:31.540, 1, 94, 103.73, 1215, 765
2025/04/13 17:37:32.541, 1, 95, 102.49, 1215, 765
2025/04/13 17:37:33.544, 1, 93, 98.91, 1215, 765
2025/04/13 17:37:34.546, 1, 95, 107.08, 1215, 765
2025/04/13 17:37:35.549, 1, 91, 103.46, 1215, 765
2025/04/13 17:37:36.553, 1, 94, 99.41, 1215, 765
2025/04/13 17:37:37.555, 1, 94, 102.70, 1215, 765
2025/04/13 17:37:38.557, 1, 95, 102.68, 1215, 765
2025/04/13 17:37:39.560, 1, 94, 99.78, 1215, 765
2025/04/13 17:37:40.563, 1, 96, 102.95, 1215, 765
2025/04/13 17:37:41.566, 1, 92, 101.72, 1215, 765
2025/04/13 17:37:42.568, 1, 94, 105.46, 1215, 765
2025/04/13 17:37:43.572, 1, 93, 103.75, 1215, 765
2025/04/13 17:37:44.574, 1, 95, 105.74, 1215, 765
2025/04/13 17:37:45.575, 1, 94, 104.78, 1215, 765
2025/04/13 17:37:46.577, 1, 96, 105.28, 1215, 765
2025/04/13 17:37:47.578, 1, 93, 104.06, 1215, 765
2025/04/13 17:37:48.580, 1, 95, 101.32, 1215, 765
2025/04/13 17:37:49.581, 1, 93, 98.35, 1215, 765
2025/04/13 17:37:50.583, 1, 95, 103.04, 1215, 765
2025/04/13 17:37:51.584, 1, 94, 100.40, 1215, 765
2025/04/13 17:37:52.586, 1, 95, 103.03, 1215, 765
2025/04/13 17:37:53.587, 1, 93, 97.74, 1215, 765
2025/04/13 17:37:54.588, 1, 94, 103.81, 1215, 765
2025/04/13 17:37:55.590, 1, 93, 102.48, 1215, 765
2025/04/13 17:37:56.591, 1, 95, 103.00, 1215, 765
2025/04/13 17:37:57.593, 1, 94, 102.65, 1215, 765
2025/04/13 17:37:58.594, 1, 95, 104.88, 1215, 765
2025/04/13 17:37:59.596, 1, 93, 102.24, 1215, 765
2025/04/13 17:38:00.598, 1, 85, 95.93, 1215, 765
2025/04/13 17:38:01.601, 1, 93, 103.43, 1215, 765
2025/04/13 17:38:02.604, 1, 95, 101.87, 1215, 765
2025/04/13 17:38:03.606, 1, 94, 104.39, 1215, 765
2025/04/13 17:38:04.608, 1, 96, 101.75, 1215, 765
2025/04/13 17:38:05.611, 1, 92, 103.55, 1215, 765
2025/04/13 17:38:06.614, 1, 95, 101.27, 1215, 765
2025/04/13 17:38:07.616, 1, 93, 100.91, 1215, 765
2025/04/13 17:38:08.619, 1, 95, 100.22, 1215, 765
2025/04/13 17:38:09.622, 1, 94, 98.95, 1215, 765
2025/04/13 17:38:10.625, 1, 96, 102.11, 1215, 765
2025/04/13 17:38:11.628, 1, 93, 99.97, 1215, 765
2025/04/13 17:38:12.630, 1, 95, 102.80, 1215, 765
2025/04/13 17:38:13.633, 1, 93, 102.21, 1215, 765
2025/04/13 17:38:14.636, 1, 94, 101.55, 1215, 765
2025/04/13 17:38:15.637, 1, 94, 102.75, 1215, 765
2025/04/13 17:38:16.639, 1, 96, 100.96, 1215, 765
2025/04/13 17:38:17.640, 1, 93, 99.90, 1215, 765
2025/04/13 17:38:18.642, 1, 94, 104.26, 1215, 765
2025/04/13 17:38:19.643, 1, 93, 103.87, 1215, 765
2025/04/13 17:38:20.645, 1, 95, 105.39, 1215, 765
2025/04/13 17:38:21.646, 1, 94, 104.77, 1215, 765
2025/04/13 17:38:22.648, 1, 96, 106.56, 1215, 765
2025/04/13 17:38:23.649, 1, 93, 103.91, 1215, 765
2025/04/13 17:38:24.651, 1, 95, 99.39, 1215, 765
2025/04/13 17:38:25.652, 1, 93, 103.42, 1215, 765
2025/04/13 17:38:26.654, 1, 95, 100.86, 1215, 765
2025/04/13 17:38:27.655, 1, 94, 104.59, 1215, 765
2025/04/13 17:38:28.657, 1, 96, 99.99, 1215, 765
2025/04/13 17:38:29.659, 1, 93, 101.69, 1215, 765
2025/04/13 17:38:30.660, 1, 95, 106.34, 1215, 765
2025/04/13 17:38:31.662, 1, 93, 104.06, 1215, 765
2025/04/13 17:38:32.664, 1, 95, 101.14, 1215, 765
2025/04/13 17:38:33.667, 1, 94, 107.66, 1215, 765
2025/04/13 17:38:34.669, 1, 95, 105.51, 1215, 765
2025/04/13 17:38:35.672, 1, 88, 99.70, 1215, 765
2025/04/13 17:38:36.675, 1, 95, 104.52, 1215, 765
2025/04/13 17:38:37.677, 1, 93, 101.52, 1215, 765
2025/04/13 17:38:38.680, 1, 95, 104.91, 1215, 765
2025/04/13 17:38:39.683, 1, 94, 102.79, 1215, 765
2025/04/13 17:38:40.685, 1, 96, 104.05, 1215, 765
2025/04/13 17:38:41.688, 1, 93, 102.08, 1215, 765
2025/04/13 17:38:42.691, 1, 93, 102.53, 1215, 765
2025/04/13 17:38:43.694, 1, 95, 104.50, 1215, 765
2025/04/13 17:38:44.696, 1, 94, 104.65, 1215, 765
2025/04/13 17:38:45.698, 1, 95, 106.46, 1215, 765
2025/04/13 17:38:46.701, 1, 95, 102.53, 1215, 765
2025/04/13 17:38:47.704, 1, 95, 105.31, 1215, 765
2025/04/13 17:38:48.706, 1, 94, 102.37, 1215, 765
2025/04/13 17:38:49.709, 1, 93, 103.45, 1215, 765
2025/04/13 17:38:50.710, 1, 94, 105.60, 1215, 765
2025/04/13 17:38:51.712, 1, 94, 101.26, 1215, 765
2025/04/13 17:38:52.713, 1, 92, 101.74, 1215, 765
2025/04/13 17:38:53.715, 1, 93, 102.48, 1215, 765
2025/04/13 17:38:54.716, 1, 95, 105.59, 1215, 765
