timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/12 20:48:03.997, 1, 0, 36.03, 1215, 765
2025/04/12 20:48:05.003, 1, 0, 36.13, 1215, 765
2025/04/12 20:48:06.004, 1, 0, 36.03, 1215, 765
2025/04/12 20:48:07.005, 1, 0, 36.03, 1215, 765
2025/04/12 20:48:08.007, 1, 0, 35.94, 1215, 765
2025/04/12 20:48:09.008, 1, 0, 35.94, 1215, 765
2025/04/12 20:48:10.009, 1, 0, 35.84, 1215, 765
2025/04/12 20:48:11.011, 1, 0, 39.71, 1215, 765
2025/04/12 20:48:12.012, 1, 23, 38.64, 1215, 765
2025/04/12 20:48:13.013, 1, 25, 37.87, 1215, 765
2025/04/12 20:48:14.014, 1, 0, 37.61, 1215, 765
2025/04/12 20:48:15.205, 1, 22, 37.50, 1215, 765
2025/04/12 20:48:16.206, 1, 23, 37.60, 1215, 765
2025/04/12 20:48:17.208, 1, 23, 38.04, 1215, 765
2025/04/12 20:48:18.209, 1, 24, 38.01, 1215, 765
2025/04/12 20:48:19.210, 1, 8, 37.84, 1215, 765
2025/04/12 20:48:20.212, 1, 12, 38.46, 1215, 765
2025/04/12 20:48:21.213, 1, 0, 37.52, 1215, 765
2025/04/12 20:48:22.226, 1, 94, 102.07, 1215, 765
2025/04/12 20:48:23.229, 1, 94, 111.97, 1215, 765
2025/04/12 20:48:24.230, 1, 93, 94.29, 1215, 765
2025/04/12 20:48:25.231, 1, 93, 107.03, 1215, 765
2025/04/12 20:48:26.234, 1, 94, 108.08, 1215, 765
2025/04/12 20:48:27.237, 1, 93, 106.15, 1215, 765
2025/04/12 20:48:28.240, 1, 93, 98.63, 1215, 765
2025/04/12 20:48:29.242, 1, 94, 109.21, 1215, 765
2025/04/12 20:48:30.244, 1, 95, 108.65, 1215, 765
2025/04/12 20:48:31.247, 1, 95, 111.48, 1215, 765
2025/04/12 20:48:32.251, 1, 95, 105.83, 1215, 765
2025/04/12 20:48:33.253, 1, 94, 100.43, 1215, 765
2025/04/12 20:48:34.255, 1, 93, 105.99, 1215, 765
2025/04/12 20:48:35.258, 1, 94, 105.49, 1215, 765
2025/04/12 20:48:36.260, 1, 94, 109.23, 1215, 765
2025/04/12 20:48:37.263, 1, 94, 107.94, 1215, 765
2025/04/12 20:48:38.266, 1, 93, 107.89, 1215, 765
2025/04/12 20:48:39.269, 1, 94, 106.96, 1215, 765
2025/04/12 20:48:40.271, 1, 94, 111.84, 1215, 765
2025/04/12 20:48:41.274, 1, 95, 108.55, 1215, 765
2025/04/12 20:48:42.277, 1, 94, 101.47, 1215, 765
2025/04/12 20:48:43.280, 1, 91, 103.35, 1215, 765
2025/04/12 20:48:44.282, 1, 94, 93.95, 1215, 765
2025/04/12 20:48:45.398, 1, 93, 97.39, 1215, 765
2025/04/12 20:48:46.399, 1, 94, 107.09, 1215, 765
2025/04/12 20:48:47.401, 1, 94, 103.83, 1215, 765
2025/04/12 20:48:48.402, 1, 94, 101.98, 1215, 765
2025/04/12 20:48:49.404, 1, 93, 95.96, 1215, 765
2025/04/12 20:48:50.405, 1, 95, 109.95, 1215, 765
2025/04/12 20:48:51.407, 1, 94, 107.82, 1215, 765
2025/04/12 20:48:52.408, 1, 94, 107.45, 1215, 765
2025/04/12 20:48:53.410, 1, 95, 108.71, 1215, 765
2025/04/12 20:48:54.411, 1, 93, 101.96, 1215, 765
2025/04/12 20:48:55.414, 1, 94, 113.74, 1215, 765
2025/04/12 20:48:56.417, 1, 94, 114.89, 1215, 765
2025/04/12 20:48:57.420, 1, 94, 115.36, 1215, 765
2025/04/12 20:48:58.423, 1, 94, 110.90, 1215, 765
2025/04/12 20:48:59.425, 1, 94, 113.79, 1215, 765
2025/04/12 20:49:00.428, 1, 94, 111.53, 1215, 765
2025/04/12 20:49:01.431, 1, 94, 107.88, 1215, 765
2025/04/12 20:49:02.434, 1, 95, 110.56, 1215, 765
2025/04/12 20:49:03.436, 1, 95, 109.01, 1215, 765
2025/04/12 20:49:04.439, 1, 94, 116.88, 1215, 765
2025/04/12 20:49:05.442, 1, 94, 102.20, 1215, 765
2025/04/12 20:49:06.445, 1, 94, 103.13, 1215, 765
2025/04/12 20:49:07.447, 1, 93, 106.63, 1215, 765
2025/04/12 20:49:08.450, 1, 94, 108.17, 1215, 765
2025/04/12 20:49:09.453, 1, 94, 110.15, 1215, 765
2025/04/12 20:49:10.456, 1, 93, 108.64, 1215, 765
2025/04/12 20:49:11.458, 1, 94, 99.27, 1215, 765
