timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/12 10:02:04.041, 0, 0, 35.90, 1215, 765
2025/04/12 10:02:05.048, 0, 0, 36.00, 1215, 765
2025/04/12 10:02:06.051, 0, 0, 35.80, 1215, 765
2025/04/12 10:02:07.053, 0, 0, 36.19, 1215, 765
2025/04/12 10:02:08.054, 0, 0, 36.10, 1215, 765
2025/04/12 10:02:09.055, 0, 0, 35.90, 1215, 765
2025/04/12 10:02:10.057, 0, 0, 35.87, 1215, 765
2025/04/12 10:02:11.058, 0, 0, 36.00, 1215, 765
2025/04/12 10:02:12.059, 0, 46, 38.10, 1215, 765
2025/04/12 10:02:13.063, 0, 0, 37.95, 1215, 765
2025/04/12 10:02:14.064, 0, 0, 38.08, 1215, 765
2025/04/12 10:02:15.252, 0, 27, 38.59, 1215, 765
2025/04/12 10:02:16.253, 0, 3, 37.98, 1215, 765
2025/04/12 10:02:17.255, 0, 30, 38.14, 1215, 765
2025/04/12 10:02:18.256, 0, 30, 38.31, 1215, 765
2025/04/12 10:02:19.257, 0, 31, 38.88, 1215, 765
2025/04/12 10:02:20.259, 0, 27, 37.95, 1215, 765
2025/04/12 10:02:21.260, 0, 18, 37.86, 1215, 765
2025/04/12 10:02:22.262, 0, 7, 37.78, 1215, 765
2025/04/12 10:02:23.263, 0, 57, 119.36, 1215, 765
2025/04/12 10:02:24.264, 0, 96, 110.83, 1215, 765
2025/04/12 10:02:25.266, 0, 97, 116.21, 1215, 765
2025/04/12 10:02:26.267, 0, 96, 119.31, 1215, 765
2025/04/12 10:02:27.269, 0, 97, 116.23, 1215, 765
2025/04/12 10:02:28.270, 0, 96, 125.00, 1215, 765
2025/04/12 10:02:29.272, 0, 97, 122.78, 1215, 765
2025/04/12 10:02:30.273, 0, 97, 122.24, 1215, 765
2025/04/12 10:02:31.275, 0, 97, 120.24, 1215, 765
2025/04/12 10:02:32.276, 0, 92, 124.59, 1215, 765
2025/04/12 10:02:33.278, 0, 97, 123.50, 1215, 765
2025/04/12 10:02:34.280, 0, 96, 115.96, 1215, 765
2025/04/12 10:02:35.283, 0, 94, 118.80, 1215, 765
2025/04/12 10:02:36.287, 0, 96, 123.25, 1215, 765
2025/04/12 10:02:37.289, 0, 97, 120.98, 1215, 765
2025/04/12 10:02:38.290, 0, 96, 121.94, 1215, 765
2025/04/12 10:02:39.294, 0, 97, 117.81, 1215, 765
2025/04/12 10:02:40.296, 0, 97, 126.59, 1215, 765
2025/04/12 10:02:41.298, 0, 96, 122.68, 1215, 765
2025/04/12 10:02:42.301, 0, 96, 118.51, 1215, 765
2025/04/12 10:02:43.303, 0, 97, 119.38, 1215, 765
2025/04/12 10:02:44.306, 0, 94, 113.07, 1215, 765
2025/04/12 10:02:45.309, 0, 97, 124.51, 1215, 765
2025/04/12 10:02:46.312, 0, 96, 113.00, 1215, 765
2025/04/12 10:02:47.314, 0, 97, 125.97, 1215, 765
2025/04/12 10:02:48.316, 0, 97, 122.01, 1215, 765
2025/04/12 10:02:49.319, 0, 97, 123.01, 1215, 765
2025/04/12 10:02:50.321, 0, 93, 115.39, 1215, 765
2025/04/12 10:02:51.329, 0, 97, 120.07, 1215, 765
2025/04/12 10:02:52.335, 0, 95, 121.24, 1215, 765
2025/04/12 10:02:53.337, 0, 97, 128.23, 1215, 765
2025/04/12 10:02:54.338, 0, 96, 115.04, 1215, 765
2025/04/12 10:02:55.340, 0, 97, 126.13, 1215, 765
2025/04/12 10:02:56.341, 0, 95, 114.90, 1215, 765
2025/04/12 10:02:57.343, 0, 97, 121.61, 1215, 765
2025/04/12 10:02:58.344, 0, 97, 119.44, 1215, 765
2025/04/12 10:02:59.345, 0, 96, 122.85, 1215, 765
2025/04/12 10:03:00.347, 0, 95, 123.78, 1215, 765
2025/04/12 10:03:01.349, 0, 96, 121.59, 1215, 765
2025/04/12 10:03:02.350, 0, 96, 120.04, 1215, 765
2025/04/12 10:03:03.351, 0, 97, 119.54, 1215, 765
2025/04/12 10:03:04.353, 0, 96, 122.47, 1215, 765
2025/04/12 10:03:05.354, 0, 97, 118.27, 1215, 765
2025/04/12 10:03:06.356, 0, 97, 117.78, 1215, 765
2025/04/12 10:03:07.358, 0, 97, 118.10, 1215, 765
2025/04/12 10:03:08.360, 0, 94, 124.48, 1215, 765
2025/04/12 10:03:09.363, 0, 96, 126.07, 1215, 765
2025/04/12 10:03:10.365, 0, 97, 124.83, 1215, 765
2025/04/12 10:03:11.368, 0, 96, 115.43, 1215, 765
2025/04/12 10:03:12.371, 0, 96, 119.38, 1215, 765
2025/04/12 10:03:13.374, 0, 97, 125.35, 1215, 765
2025/04/12 10:03:14.380, 0, 96, 122.97, 1215, 765
2025/04/12 10:03:15.382, 0, 97, 124.80, 1215, 765
2025/04/12 10:03:16.383, 0, 97, 127.75, 1215, 765
2025/04/12 10:03:17.385, 0, 96, 121.58, 1215, 765
2025/04/12 10:03:18.387, 0, 95, 123.38, 1215, 765
2025/04/12 10:03:19.393, 0, 97, 116.31, 1215, 765
2025/04/12 10:03:20.395, 0, 96, 122.76, 1215, 765
2025/04/12 10:03:21.396, 0, 97, 123.24, 1215, 765
2025/04/12 10:03:22.398, 0, 96, 116.94, 1215, 765
2025/04/12 10:03:23.399, 0, 97, 124.75, 1215, 765
2025/04/12 10:03:24.401, 0, 97, 121.74, 1215, 765
2025/04/12 10:03:25.402, 0, 97, 116.86, 1215, 765
2025/04/12 10:03:26.404, 0, 95, 122.08, 1215, 765
2025/04/12 10:03:27.405, 0, 97, 122.54, 1215, 765
2025/04/12 10:03:28.407, 0, 96, 116.84, 1215, 765
2025/04/12 10:03:29.408, 0, 96, 117.73, 1215, 765
2025/04/12 10:03:30.410, 0, 97, 117.84, 1215, 765
2025/04/12 10:03:31.415, 0, 96, 116.33, 1215, 765
2025/04/12 10:03:32.417, 0, 97, 119.97, 1215, 765
2025/04/12 10:03:33.418, 0, 97, 117.38, 1215, 765
2025/04/12 10:03:34.419, 0, 97, 117.59, 1215, 765
2025/04/12 10:03:35.421, 0, 96, 121.37, 1215, 765
2025/04/12 10:03:36.422, 0, 96, 117.46, 1215, 765
2025/04/12 10:03:37.424, 0, 97, 121.70, 1215, 765
2025/04/12 10:03:38.425, 0, 96, 116.30, 1215, 765
2025/04/12 10:03:39.427, 0, 97, 124.45, 1215, 765
2025/04/12 10:03:40.428, 0, 96, 121.75, 1215, 765
2025/04/12 10:03:41.430, 0, 97, 125.96, 1215, 765
2025/04/12 10:03:42.431, 0, 97, 116.63, 1215, 765
2025/04/12 10:03:43.433, 0, 97, 117.97, 1215, 765
2025/04/12 10:03:44.435, 0, 96, 120.14, 1215, 765
2025/04/12 10:03:45.438, 0, 97, 123.75, 1215, 765
2025/04/12 10:03:46.441, 0, 96, 122.84, 1215, 765
2025/04/12 10:03:47.446, 0, 97, 120.61, 1215, 765
2025/04/12 10:03:48.447, 0, 96, 126.04, 1215, 765
2025/04/12 10:03:49.449, 0, 97, 124.08, 1215, 765
2025/04/12 10:03:50.451, 0, 97, 118.61, 1215, 765
2025/04/12 10:03:51.453, 0, 98, 118.34, 1215, 765
2025/04/12 10:03:52.455, 0, 97, 125.49, 1215, 765
2025/04/12 10:03:53.456, 0, 96, 124.32, 1215, 765
2025/04/12 10:03:54.458, 0, 97, 116.76, 1215, 765
2025/04/12 10:03:55.459, 0, 96, 119.78, 1215, 765
2025/04/12 10:03:56.461, 0, 97, 124.65, 1215, 765
2025/04/12 10:03:57.462, 0, 97, 118.06, 1215, 765
2025/04/12 10:03:58.464, 0, 97, 123.55, 1215, 765
2025/04/12 10:03:59.465, 0, 97, 121.36, 1215, 765
2025/04/12 10:04:00.467, 0, 97, 115.84, 1215, 765
2025/04/12 10:04:01.468, 0, 95, 118.54, 1215, 765
2025/04/12 10:04:02.470, 0, 95, 126.28, 1215, 765
2025/04/12 10:04:03.471, 0, 97, 120.25, 1215, 765
2025/04/12 10:04:04.472, 0, 96, 118.89, 1215, 765
2025/04/12 10:04:05.474, 0, 97, 116.97, 1215, 765
