timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/11 10:24:13.118, 0, 0, 34.41, 1215, 765
2025/04/11 10:24:14.124, 0, 0, 34.41, 1215, 765
2025/04/11 10:24:15.125, 0, 0, 34.31, 1215, 765
2025/04/11 10:24:16.127, 0, 0, 34.41, 1215, 765
2025/04/11 10:24:17.128, 0, 0, 34.29, 1215, 765
2025/04/11 10:24:18.129, 0, 0, 34.41, 1215, 765
2025/04/11 10:24:19.131, 0, 0, 34.31, 1215, 765
2025/04/11 10:24:20.132, 0, 0, 34.70, 1215, 765
2025/04/11 10:24:21.137, 0, 18, 37.04, 1215, 765
2025/04/11 10:24:22.138, 0, 7, 36.55, 1215, 765
2025/04/11 10:24:23.139, 0, 2, 36.29, 1215, 765
2025/04/11 10:24:24.141, 0, 25, 36.45, 1215, 765
2025/04/11 10:24:25.142, 0, 25, 36.77, 1215, 765
2025/04/11 10:24:26.143, 0, 6, 36.47, 1215, 765
2025/04/11 10:24:27.145, 0, 91, 101.38, 1215, 765
2025/04/11 10:24:28.146, 0, 91, 104.46, 1215, 765
2025/04/11 10:24:29.148, 0, 93, 109.81, 1215, 765
2025/04/11 10:24:30.149, 0, 93, 103.45, 1215, 765
2025/04/11 10:24:31.151, 0, 93, 103.74, 1215, 765
2025/04/11 10:24:32.152, 0, 93, 105.64, 1215, 765
2025/04/11 10:24:33.154, 0, 92, 103.18, 1215, 765
2025/04/11 10:24:34.155, 0, 93, 102.05, 1215, 765
2025/04/11 10:24:35.158, 0, 94, 104.27, 1215, 765
2025/04/11 10:24:36.160, 0, 93, 106.60, 1215, 765
2025/04/11 10:24:37.164, 0, 93, 96.40, 1215, 765
2025/04/11 10:24:38.165, 0, 94, 99.77, 1215, 765
2025/04/11 10:24:39.168, 0, 93, 109.17, 1215, 765
2025/04/11 10:24:40.171, 0, 93, 98.86, 1215, 765
2025/04/11 10:24:41.173, 0, 93, 99.32, 1215, 765
2025/04/11 10:24:42.176, 0, 93, 108.73, 1215, 765
2025/04/11 10:24:43.179, 0, 93, 105.83, 1215, 765
2025/04/11 10:24:44.182, 0, 94, 102.11, 1215, 765
2025/04/11 10:24:45.187, 0, 93, 99.46, 1215, 765
2025/04/11 10:24:46.189, 0, 93, 106.14, 1215, 765
2025/04/11 10:24:47.190, 0, 93, 107.47, 1215, 765
2025/04/11 10:24:48.192, 0, 93, 106.14, 1215, 765
2025/04/11 10:24:49.193, 0, 93, 102.76, 1215, 765
2025/04/11 10:24:50.195, 0, 93, 101.22, 1215, 765
2025/04/11 10:24:51.199, 0, 93, 101.74, 1215, 765
2025/04/11 10:24:52.200, 0, 93, 101.12, 1215, 765
2025/04/11 10:24:53.202, 0, 93, 99.99, 1215, 765
2025/04/11 10:24:54.203, 0, 93, 107.06, 1215, 765
2025/04/11 10:24:55.205, 0, 94, 113.51, 1215, 765
2025/04/11 10:24:56.206, 0, 93, 101.61, 1215, 765
2025/04/11 10:24:57.208, 0, 92, 107.77, 1215, 765
2025/04/11 10:24:58.209, 0, 92, 110.18, 1215, 765
2025/04/11 10:24:59.210, 0, 93, 97.17, 1215, 765
2025/04/11 10:25:00.212, 0, 94, 106.80, 1215, 765
2025/04/11 10:25:01.213, 0, 94, 109.34, 1215, 765
2025/04/11 10:25:02.215, 0, 93, 112.58, 1215, 765
2025/04/11 10:25:03.216, 0, 92, 100.80, 1215, 765
2025/04/11 10:25:04.218, 0, 94, 110.36, 1215, 765
2025/04/11 10:25:05.219, 0, 93, 96.63, 1215, 765
2025/04/11 10:25:06.221, 0, 93, 94.70, 1215, 765
2025/04/11 10:25:07.222, 0, 93, 100.51, 1215, 765
2025/04/11 10:25:08.224, 0, 93, 106.95, 1215, 765
2025/04/11 10:25:09.227, 0, 93, 109.26, 1215, 765
2025/04/11 10:25:10.228, 0, 93, 109.07, 1215, 765
2025/04/11 10:25:11.231, 0, 93, 101.67, 1215, 765
2025/04/11 10:25:12.233, 0, 92, 104.74, 1215, 765
2025/04/11 10:25:13.235, 0, 93, 100.77, 1215, 765
2025/04/11 10:25:14.240, 0, 89, 104.39, 1215, 765
2025/04/11 10:25:15.241, 0, 93, 100.17, 1215, 765
2025/04/11 10:25:16.243, 0, 93, 101.61, 1215, 765
2025/04/11 10:25:17.246, 0, 92, 105.90, 1215, 765
2025/04/11 10:25:18.249, 0, 92, 104.42, 1215, 765
2025/04/11 10:25:19.251, 0, 88, 110.67, 1215, 765
2025/04/11 10:25:20.254, 0, 93, 102.46, 1215, 765
2025/04/11 10:25:21.257, 0, 93, 110.41, 1215, 765
2025/04/11 10:25:22.258, 0, 93, 102.42, 1215, 765
2025/04/11 10:25:23.260, 0, 94, 98.77, 1215, 765
2025/04/11 10:25:24.261, 0, 93, 101.62, 1215, 765
2025/04/11 10:25:25.263, 0, 93, 107.64, 1215, 765
2025/04/11 10:25:26.264, 0, 93, 108.69, 1215, 765
2025/04/11 10:25:27.266, 0, 93, 97.57, 1215, 765
2025/04/11 10:25:28.267, 0, 93, 113.19, 1215, 765
2025/04/11 10:25:29.269, 0, 92, 106.35, 1215, 765
2025/04/11 10:25:30.270, 0, 92, 103.61, 1215, 765
2025/04/11 10:25:31.272, 0, 93, 106.02, 1215, 765
2025/04/11 10:25:32.273, 0, 93, 110.12, 1215, 765
2025/04/11 10:25:33.275, 0, 93, 111.24, 1215, 765
2025/04/11 10:25:34.276, 0, 92, 109.46, 1215, 765
2025/04/11 10:25:35.278, 0, 93, 104.74, 1215, 765
2025/04/11 10:25:36.279, 0, 93, 110.40, 1215, 765
2025/04/11 10:25:37.281, 0, 93, 102.99, 1215, 765
2025/04/11 10:25:38.282, 0, 93, 105.62, 1215, 765
2025/04/11 10:25:39.284, 0, 93, 102.63, 1215, 765
2025/04/11 10:25:40.287, 0, 94, 99.87, 1215, 765
2025/04/11 10:25:41.288, 0, 92, 104.64, 1215, 765
2025/04/11 10:25:42.290, 0, 94, 102.39, 1215, 765
2025/04/11 10:25:43.291, 0, 93, 103.98, 1215, 765
2025/04/11 10:25:44.293, 0, 92, 111.26, 1215, 765
2025/04/11 10:25:45.295, 0, 93, 102.46, 1215, 765
2025/04/11 10:25:46.296, 0, 93, 105.45, 1215, 765
2025/04/11 10:25:47.298, 0, 92, 112.11, 1215, 765
2025/04/11 10:25:48.299, 0, 90, 104.51, 1215, 765
2025/04/11 10:25:49.300, 0, 92, 111.96, 1215, 765
2025/04/11 10:25:50.302, 0, 93, 99.03, 1215, 765
2025/04/11 10:25:51.304, 0, 92, 99.39, 1215, 765
2025/04/11 10:25:52.307, 0, 94, 108.65, 1215, 765
2025/04/11 10:25:53.308, 0, 94, 103.21, 1215, 765
2025/04/11 10:25:54.310, 0, 87, 99.48, 1215, 765
2025/04/11 10:25:55.311, 0, 80, 104.83, 1215, 765
2025/04/11 10:25:56.313, 0, 84, 102.76, 1215, 765
2025/04/11 10:25:57.314, 0, 79, 90.61, 1215, 765
2025/04/11 10:25:58.316, 0, 77, 95.37, 1215, 765
