timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/11 12:34:54.585, 0, 0, 35.11, 1215, 765
2025/04/11 12:34:55.590, 0, 0, 35.21, 1215, 765
2025/04/11 12:34:56.592, 0, 0, 35.38, 1215, 765
2025/04/11 12:34:57.593, 0, 0, 35.11, 1215, 765
2025/04/11 12:34:58.595, 0, 0, 35.11, 1215, 765
2025/04/11 12:34:59.596, 0, 0, 35.09, 1215, 765
2025/04/11 12:35:00.598, 0, 0, 35.11, 1215, 765
2025/04/11 12:35:01.599, 0, 0, 35.12, 1215, 765
2025/04/11 12:35:02.601, 0, 4, 37.42, 1215, 765
2025/04/11 12:35:03.602, 0, 29, 37.58, 1215, 765
2025/04/11 12:35:04.603, 0, 32, 37.35, 1215, 765
2025/04/11 12:35:05.605, 0, 31, 37.32, 1215, 765
2025/04/11 12:35:06.606, 0, 0, 37.09, 1215, 765
2025/04/11 12:35:07.608, 0, 28, 37.53, 1215, 765
2025/04/11 12:35:08.609, 0, 25, 76.93, 1215, 765
2025/04/11 12:35:09.610, 0, 86, 105.31, 1215, 765
2025/04/11 12:35:10.612, 0, 86, 102.20, 1215, 765
2025/04/11 12:35:11.613, 0, 87, 87.73, 1215, 765
2025/04/11 12:35:12.615, 0, 87, 94.66, 1215, 765
2025/04/11 12:35:13.616, 0, 87, 89.87, 1215, 765
2025/04/11 12:35:14.955, 0, 87, 103.46, 1215, 765
2025/04/11 12:35:15.958, 0, 84, 95.68, 1215, 765
2025/04/11 12:35:16.961, 0, 87, 92.16, 1215, 765
2025/04/11 12:35:17.963, 0, 86, 79.66, 1215, 765
2025/04/11 12:35:18.966, 0, 86, 107.69, 1215, 765
2025/04/11 12:35:19.970, 0, 87, 82.40, 1215, 765
2025/04/11 12:35:20.971, 0, 87, 83.11, 1215, 765
2025/04/11 12:35:22.044, 0, 87, 106.38, 1215, 765
2025/04/11 12:35:23.045, 0, 86, 85.43, 1215, 765
2025/04/11 12:35:24.046, 0, 87, 85.88, 1215, 765
2025/04/11 12:35:25.048, 0, 86, 83.64, 1215, 765
2025/04/11 12:35:26.049, 0, 86, 103.43, 1215, 765
2025/04/11 12:35:27.051, 0, 87, 82.98, 1215, 765
2025/04/11 12:35:28.052, 0, 87, 87.55, 1215, 765
2025/04/11 12:35:29.054, 0, 87, 89.95, 1215, 765
2025/04/11 12:35:30.055, 0, 88, 98.94, 1215, 765
2025/04/11 12:35:31.057, 0, 85, 109.95, 1215, 765
2025/04/11 12:35:32.058, 0, 85, 107.99, 1215, 765
2025/04/11 12:35:33.060, 0, 86, 101.38, 1215, 765
2025/04/11 12:35:34.063, 0, 87, 82.18, 1215, 765
2025/04/11 12:35:35.064, 0, 87, 94.17, 1215, 765
2025/04/11 12:35:36.068, 0, 87, 85.39, 1215, 765
2025/04/11 12:35:37.070, 0, 87, 105.99, 1215, 765
2025/04/11 12:35:38.073, 0, 87, 84.30, 1215, 765
2025/04/11 12:35:39.076, 0, 87, 102.08, 1215, 765
2025/04/11 12:35:40.078, 0, 86, 98.98, 1215, 765
2025/04/11 12:35:41.081, 0, 87, 80.22, 1215, 765
2025/04/11 12:35:42.084, 0, 86, 95.09, 1215, 765
2025/04/11 12:35:43.086, 0, 87, 100.65, 1215, 765
2025/04/11 12:35:44.089, 0, 87, 83.60, 1215, 765
2025/04/11 12:35:45.092, 0, 88, 99.07, 1215, 765
2025/04/11 12:35:46.094, 0, 86, 98.84, 1215, 765
2025/04/11 12:35:47.095, 0, 79, 96.35, 1215, 765
2025/04/11 12:35:48.100, 0, 81, 98.78, 1215, 765
2025/04/11 12:35:49.102, 0, 80, 72.21, 1215, 765
2025/04/11 12:35:50.104, 0, 83, 77.10, 1215, 765
2025/04/11 12:35:51.107, 0, 87, 91.02, 1215, 765
2025/04/11 12:35:52.109, 0, 79, 95.50, 1215, 765
2025/04/11 12:35:53.110, 0, 86, 91.11, 1215, 765
2025/04/11 12:35:54.112, 0, 87, 85.64, 1215, 765
