timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/11 10:39:14.512, 1, 0, 38.34, 1215, 765
2025/04/11 10:39:15.517, 1, 0, 38.34, 1215, 765
2025/04/11 10:39:16.518, 1, 0, 36.34, 1215, 765
2025/04/11 10:39:17.519, 1, 0, 36.24, 1215, 765
2025/04/11 10:39:18.521, 1, 0, 36.24, 1215, 765
2025/04/11 10:39:19.522, 1, 0, 36.23, 1215, 765
2025/04/11 10:39:20.524, 1, 0, 36.04, 1215, 765
2025/04/11 10:39:21.525, 1, 0, 40.00, 1215, 765
2025/04/11 10:39:22.526, 1, 24, 38.94, 1215, 765
2025/04/11 10:39:23.533, 1, 25, 38.83, 1215, 765
2025/04/11 10:39:24.535, 1, 22, 39.04, 1215, 765
2025/04/11 10:39:25.536, 1, 31, 38.28, 1215, 765
2025/04/11 10:39:26.538, 1, 0, 37.83, 1215, 765
2025/04/11 10:39:27.539, 1, 59, 102.94, 1215, 765
2025/04/11 10:39:28.541, 1, 91, 86.53, 1215, 765
2025/04/11 10:39:29.543, 1, 92, 87.87, 1215, 765
2025/04/11 10:39:30.544, 1, 92, 101.61, 1215, 765
2025/04/11 10:39:31.546, 1, 92, 104.20, 1215, 765
2025/04/11 10:39:32.548, 1, 91, 99.64, 1215, 765
2025/04/11 10:39:33.552, 1, 91, 99.25, 1215, 765
2025/04/11 10:39:34.554, 1, 92, 109.64, 1215, 765
2025/04/11 10:39:35.555, 1, 91, 101.98, 1215, 765
2025/04/11 10:39:36.558, 1, 91, 100.56, 1215, 765
2025/04/11 10:39:37.564, 1, 92, 109.85, 1215, 765
2025/04/11 10:39:38.568, 1, 92, 88.47, 1215, 765
2025/04/11 10:39:39.570, 1, 93, 104.99, 1215, 765
2025/04/11 10:39:40.572, 1, 92, 104.19, 1215, 765
2025/04/11 10:39:41.573, 1, 93, 105.88, 1215, 765
2025/04/11 10:39:42.574, 1, 93, 99.96, 1215, 765
2025/04/11 10:39:43.577, 1, 91, 97.71, 1215, 765
2025/04/11 10:39:45.132, 1, 92, 88.61, 1215, 765
2025/04/11 10:39:46.135, 1, 92, 100.93, 1215, 765
2025/04/11 10:39:47.137, 1, 92, 103.27, 1215, 765
2025/04/11 10:39:48.140, 1, 93, 100.07, 1215, 765
2025/04/11 10:39:49.143, 1, 93, 94.81, 1215, 765
2025/04/11 10:39:50.146, 1, 94, 109.11, 1215, 765
2025/04/11 10:39:51.147, 1, 91, 96.11, 1215, 765
2025/04/11 10:39:52.150, 1, 91, 99.84, 1215, 765
2025/04/11 10:39:53.151, 1, 92, 91.69, 1215, 765
2025/04/11 10:39:54.155, 1, 92, 98.75, 1215, 765
2025/04/11 10:39:55.158, 1, 92, 95.50, 1215, 765
2025/04/11 10:39:56.161, 1, 92, 106.29, 1215, 765
2025/04/11 10:39:57.164, 1, 93, 104.98, 1215, 765
2025/04/11 10:39:58.167, 1, 92, 94.24, 1215, 765
2025/04/11 10:39:59.169, 1, 91, 97.79, 1215, 765
2025/04/11 10:40:00.171, 1, 92, 95.62, 1215, 765
2025/04/11 10:40:01.174, 1, 92, 104.39, 1215, 765
2025/04/11 10:40:02.177, 1, 92, 105.65, 1215, 765
2025/04/11 10:40:03.179, 1, 92, 100.16, 1215, 765
2025/04/11 10:40:04.181, 1, 93, 105.57, 1215, 765
2025/04/11 10:40:05.184, 1, 93, 96.69, 1215, 765
2025/04/11 10:40:06.187, 1, 91, 99.65, 1215, 765
2025/04/11 10:40:07.190, 1, 91, 92.58, 1215, 765
2025/04/11 10:40:08.193, 1, 92, 91.16, 1215, 765
2025/04/11 10:40:09.196, 1, 92, 98.43, 1215, 765
2025/04/11 10:40:10.198, 1, 93, 99.51, 1215, 765
2025/04/11 10:40:11.201, 1, 92, 107.23, 1215, 765
2025/04/11 10:40:12.204, 1, 93, 109.40, 1215, 765
2025/04/11 10:40:13.207, 1, 93, 151.33, 1215, 765
2025/04/11 10:40:14.209, 1, 90, 94.31, 1215, 765
2025/04/11 10:40:15.210, 1, 91, 96.19, 1215, 765
2025/04/11 10:40:16.213, 1, 92, 104.18, 1215, 765
2025/04/11 10:40:17.216, 1, 92, 105.46, 1215, 765
2025/04/11 10:40:18.218, 1, 92, 99.45, 1215, 765
2025/04/11 10:40:19.221, 1, 93, 104.13, 1215, 765
2025/04/11 10:40:20.225, 1, 93, 98.47, 1215, 765
2025/04/11 10:40:21.228, 1, 91, 90.27, 1215, 765
2025/04/11 10:40:22.230, 1, 92, 99.76, 1215, 765
2025/04/11 10:40:23.233, 1, 91, 91.98, 1215, 765
2025/04/11 10:40:24.236, 1, 92, 103.78, 1215, 765
