timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/11 08:10:23.985, 0, 0, 36.00, 1215, 765
2025/04/11 08:10:24.991, 0, 0, 35.99, 1215, 765
2025/04/11 08:10:25.992, 0, 0, 36.00, 1215, 765
2025/04/11 08:10:26.993, 0, 0, 36.00, 1215, 765
2025/04/11 08:10:27.995, 0, 0, 35.90, 1215, 765
2025/04/11 08:10:28.996, 0, 0, 35.81, 1215, 765
2025/04/11 08:10:29.997, 0, 0, 35.98, 1215, 765
2025/04/11 08:10:30.999, 0, 0, 35.80, 1215, 765
2025/04/11 08:10:32.000, 0, 26, 38.23, 1215, 765
2025/04/11 08:10:33.001, 0, 0, 37.88, 1215, 765
2025/04/11 08:10:34.002, 0, 22, 37.92, 1215, 765
2025/04/11 08:10:35.003, 0, 22, 37.97, 1215, 765
2025/04/11 08:10:36.005, 0, 16, 38.26, 1215, 765
2025/04/11 08:10:37.006, 0, 5, 37.49, 1215, 765
2025/04/11 08:10:38.007, 0, 97, 153.49, 1215, 765
2025/04/11 08:10:39.009, 0, 94, 118.52, 1215, 765
2025/04/11 08:10:40.010, 0, 95, 149.82, 1215, 765
2025/04/11 08:10:41.011, 0, 97, 147.85, 1215, 765
2025/04/11 08:10:42.013, 0, 97, 127.46, 1215, 765
2025/04/11 08:10:43.014, 0, 97, 121.71, 1215, 765
2025/04/11 08:10:44.015, 0, 24, 38.49, 1215, 765
2025/04/11 08:10:45.128, 0, 97, 132.11, 1215, 765
2025/04/11 08:10:46.129, 0, 97, 119.50, 1215, 765
2025/04/11 08:10:47.131, 0, 96, 123.75, 1215, 765
2025/04/11 08:10:48.132, 0, 97, 153.30, 1215, 765
2025/04/11 08:10:49.133, 0, 97, 128.10, 1215, 765
2025/04/11 08:10:50.135, 0, 97, 122.34, 1215, 765
2025/04/11 08:10:51.136, 0, 97, 124.17, 1215, 765
2025/04/11 08:10:52.138, 0, 97, 124.72, 1215, 765
2025/04/11 08:10:53.139, 0, 97, 118.29, 1215, 765
2025/04/11 08:10:54.141, 0, 97, 115.84, 1215, 765
2025/04/11 08:10:55.142, 0, 97, 115.85, 1215, 765
2025/04/11 08:10:56.145, 0, 97, 129.55, 1215, 765
2025/04/11 08:10:57.147, 0, 96, 148.71, 1215, 765
2025/04/11 08:10:58.148, 0, 97, 152.10, 1215, 765
2025/04/11 08:10:59.149, 0, 97, 151.44, 1215, 765
2025/04/11 08:11:00.152, 0, 97, 122.18, 1215, 765
2025/04/11 08:11:01.154, 0, 97, 119.98, 1215, 765
2025/04/11 08:11:02.157, 0, 97, 118.35, 1215, 765
2025/04/11 08:11:03.159, 0, 97, 136.08, 1215, 765
2025/04/11 08:11:04.162, 0, 97, 139.02, 1215, 765
2025/04/11 08:11:05.165, 0, 97, 131.99, 1215, 765
2025/04/11 08:11:06.173, 0, 97, 138.30, 1215, 765
2025/04/11 08:11:07.175, 0, 97, 125.21, 1215, 765
2025/04/11 08:11:08.176, 0, 97, 115.55, 1215, 765
2025/04/11 08:11:09.177, 0, 97, 143.42, 1215, 765
2025/04/11 08:11:10.180, 0, 97, 132.47, 1215, 765
2025/04/11 08:11:11.182, 0, 97, 136.31, 1215, 765
2025/04/11 08:11:12.183, 0, 96, 147.40, 1215, 765
2025/04/11 08:11:13.186, 0, 97, 136.29, 1215, 765
2025/04/11 08:11:14.189, 0, 97, 121.85, 1215, 765
2025/04/11 08:11:15.191, 0, 97, 117.31, 1215, 765
2025/04/11 08:11:16.193, 0, 97, 120.77, 1215, 765
2025/04/11 08:11:17.195, 0, 97, 117.84, 1215, 765
2025/04/11 08:11:18.198, 0, 97, 116.03, 1215, 765
2025/04/11 08:11:19.201, 0, 94, 121.43, 1215, 765
2025/04/11 08:11:20.204, 0, 97, 143.93, 1215, 765
2025/04/11 08:11:21.206, 0, 97, 120.49, 1215, 765
2025/04/11 08:11:22.211, 0, 97, 115.04, 1215, 765
2025/04/11 08:11:23.212, 0, 97, 133.93, 1215, 765
2025/04/11 08:11:24.214, 0, 97, 146.77, 1215, 765
2025/04/11 08:11:25.215, 0, 97, 127.16, 1215, 765
2025/04/11 08:11:26.217, 0, 96, 136.28, 1215, 765
2025/04/11 08:11:27.218, 0, 97, 121.93, 1215, 765
2025/04/11 08:11:28.220, 0, 97, 123.88, 1215, 765
2025/04/11 08:11:29.221, 0, 97, 148.65, 1215, 765
2025/04/11 08:11:30.223, 0, 97, 129.89, 1215, 765
2025/04/11 08:11:31.224, 0, 97, 129.24, 1215, 765
2025/04/11 08:11:32.225, 0, 97, 127.66, 1215, 765
2025/04/11 08:11:33.227, 0, 97, 123.33, 1215, 765
2025/04/11 08:11:34.228, 0, 96, 125.14, 1215, 765
2025/04/11 08:11:35.230, 0, 97, 145.51, 1215, 765
2025/04/11 08:11:36.231, 0, 97, 148.46, 1215, 765
2025/04/11 08:11:37.232, 0, 97, 130.77, 1215, 765
2025/04/11 08:11:38.234, 0, 96, 128.13, 1215, 765
2025/04/11 08:11:39.235, 0, 97, 132.41, 1215, 765
2025/04/11 08:11:40.237, 0, 96, 132.94, 1215, 765
2025/04/11 08:11:41.238, 0, 97, 119.63, 1215, 765
2025/04/11 08:11:42.241, 0, 97, 127.53, 1215, 765
2025/04/11 08:11:43.242, 0, 97, 145.27, 1215, 765
2025/04/11 08:11:44.243, 0, 97, 132.72, 1215, 765
2025/04/11 08:11:45.245, 0, 97, 135.95, 1215, 765
2025/04/11 08:11:46.246, 0, 97, 143.52, 1215, 765
2025/04/11 08:11:47.248, 0, 97, 125.31, 1215, 765
2025/04/11 08:11:48.249, 0, 97, 119.36, 1215, 765
2025/04/11 08:11:49.250, 0, 97, 123.27, 1215, 765
2025/04/11 08:11:50.252, 0, 97, 147.00, 1215, 765
2025/04/11 08:11:51.253, 0, 97, 131.91, 1215, 765
2025/04/11 08:11:52.255, 0, 97, 127.01, 1215, 765
2025/04/11 08:11:53.256, 0, 97, 137.75, 1215, 765
2025/04/11 08:11:54.257, 0, 97, 130.42, 1215, 765
2025/04/11 08:11:55.259, 0, 97, 118.59, 1215, 765
2025/04/11 08:11:56.260, 0, 97, 125.29, 1215, 765
2025/04/11 08:11:57.262, 0, 97, 142.45, 1215, 765
2025/04/11 08:11:58.263, 0, 97, 150.72, 1215, 765
2025/04/11 08:11:59.264, 0, 97, 118.44, 1215, 765
2025/04/11 08:12:00.266, 0, 95, 122.29, 1215, 765
2025/04/11 08:12:01.270, 0, 97, 123.18, 1215, 765
2025/04/11 08:12:02.271, 0, 97, 127.74, 1215, 765
2025/04/11 08:12:03.274, 0, 97, 136.68, 1215, 765
2025/04/11 08:12:04.276, 0, 97, 129.08, 1215, 765
2025/04/11 08:12:05.279, 0, 97, 118.11, 1215, 765
2025/04/11 08:12:06.282, 0, 97, 120.93, 1215, 765
2025/04/11 08:12:07.284, 0, 96, 120.55, 1215, 765
2025/04/11 08:12:08.287, 0, 97, 132.50, 1215, 765
2025/04/11 08:12:09.289, 0, 97, 133.24, 1215, 765
2025/04/11 08:12:10.292, 0, 97, 125.46, 1215, 765
2025/04/11 08:12:11.295, 0, 97, 121.18, 1215, 765
2025/04/11 08:12:12.297, 0, 97, 119.01, 1215, 765
2025/04/11 08:12:13.300, 0, 97, 119.74, 1215, 765
2025/04/11 08:12:14.302, 0, 97, 121.57, 1215, 765
2025/04/11 08:12:15.305, 0, 96, 132.72, 1215, 765
2025/04/11 08:12:16.308, 0, 97, 127.50, 1215, 765
2025/04/11 08:12:17.309, 0, 97, 123.02, 1215, 765
2025/04/11 08:12:18.311, 0, 96, 125.83, 1215, 765
2025/04/11 08:12:19.312, 0, 97, 117.09, 1215, 765
2025/04/11 08:12:20.313, 0, 97, 117.32, 1215, 765
2025/04/11 08:12:21.315, 0, 97, 119.89, 1215, 765
2025/04/11 08:12:22.316, 0, 97, 121.78, 1215, 765
2025/04/11 08:12:23.317, 0, 97, 145.74, 1215, 765
2025/04/11 08:12:24.319, 0, 97, 123.82, 1215, 765
2025/04/11 08:12:25.320, 0, 97, 124.95, 1215, 765
2025/04/11 08:12:26.322, 0, 97, 115.62, 1215, 765
2025/04/11 08:12:27.323, 0, 97, 125.04, 1215, 765
2025/04/11 08:12:28.325, 0, 97, 140.20, 1215, 765
2025/04/11 08:12:29.326, 0, 97, 130.37, 1215, 765
2025/04/11 08:12:30.327, 0, 97, 117.74, 1215, 765
2025/04/11 08:12:31.329, 0, 97, 116.29, 1215, 765
2025/04/11 08:12:32.332, 0, 97, 149.64, 1215, 765
2025/04/11 08:12:33.334, 0, 97, 152.56, 1215, 765
2025/04/11 08:12:34.337, 0, 94, 134.50, 1215, 765
2025/04/11 08:12:35.340, 0, 97, 125.82, 1215, 765
2025/04/11 08:12:36.342, 0, 97, 118.47, 1215, 765
2025/04/11 08:12:37.345, 0, 97, 119.14, 1215, 765
2025/04/11 08:12:38.347, 0, 97, 138.01, 1215, 765
2025/04/11 08:12:39.350, 0, 97, 146.31, 1215, 765
2025/04/11 08:12:40.353, 0, 97, 116.65, 1215, 765
