timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/11 09:25:08.635, 0, 0, 36.10, 1215, 765
2025/04/11 09:25:09.640, 0, 0, 35.70, 1215, 765
2025/04/11 09:25:10.642, 0, 0, 36.00, 1215, 765
2025/04/11 09:25:11.643, 0, 0, 35.90, 1215, 765
2025/04/11 09:25:12.644, 0, 0, 36.10, 1215, 765
2025/04/11 09:25:13.646, 0, 0, 35.81, 1215, 765
2025/04/11 09:25:14.647, 0, 0, 36.28, 1215, 765
2025/04/11 09:25:15.648, 0, 29, 38.44, 1215, 765
2025/04/11 09:25:16.650, 0, 34, 38.19, 1215, 765
2025/04/11 09:25:17.651, 0, 32, 37.98, 1215, 765
2025/04/11 09:25:18.653, 0, 0, 37.72, 1215, 765
2025/04/11 09:25:19.655, 0, 2, 37.79, 1215, 765
2025/04/11 09:25:20.656, 0, 29, 51.26, 1215, 765
2025/04/11 09:25:22.053, 0, 94, 119.92, 1215, 765
2025/04/11 09:25:23.055, 0, 93, 110.61, 1215, 765
2025/04/11 09:25:24.058, 0, 95, 116.67, 1215, 765
2025/04/11 09:25:25.060, 0, 96, 118.07, 1215, 765
2025/04/11 09:25:26.063, 0, 95, 124.14, 1215, 765
2025/04/11 09:25:27.065, 0, 91, 115.18, 1215, 765
2025/04/11 09:25:28.068, 0, 94, 124.65, 1215, 765
2025/04/11 09:25:29.071, 0, 96, 119.85, 1215, 765
2025/04/11 09:25:30.073, 0, 96, 124.54, 1215, 765
2025/04/11 09:25:31.076, 0, 95, 130.01, 1215, 765
2025/04/11 09:25:32.080, 0, 96, 130.62, 1215, 765
2025/04/11 09:25:33.083, 0, 94, 136.23, 1215, 765
2025/04/11 09:25:34.086, 0, 95, 122.93, 1215, 765
2025/04/11 09:25:35.088, 0, 95, 136.07, 1215, 765
2025/04/11 09:25:36.090, 0, 95, 142.53, 1215, 765
2025/04/11 09:25:37.093, 0, 96, 130.23, 1215, 765
2025/04/11 09:25:38.096, 0, 95, 149.30, 1215, 765
2025/04/11 09:25:39.099, 0, 96, 136.95, 1215, 765
2025/04/11 09:25:40.101, 0, 96, 113.28, 1215, 765
2025/04/11 09:25:41.104, 0, 95, 124.38, 1215, 765
2025/04/11 09:25:42.106, 0, 95, 126.93, 1215, 765
2025/04/11 09:25:43.109, 0, 94, 133.90, 1215, 765
2025/04/11 09:25:44.112, 0, 94, 123.60, 1215, 765
2025/04/11 09:25:45.114, 0, 96, 118.20, 1215, 765
2025/04/11 09:25:46.117, 0, 95, 129.84, 1215, 765
2025/04/11 09:25:47.119, 0, 96, 124.12, 1215, 765
2025/04/11 09:25:48.123, 0, 95, 117.62, 1215, 765
2025/04/11 09:25:49.125, 0, 94, 122.19, 1215, 765
2025/04/11 09:25:50.127, 0, 95, 117.27, 1215, 765
2025/04/11 09:25:51.130, 0, 95, 120.25, 1215, 765
2025/04/11 09:25:52.133, 0, 95, 116.13, 1215, 765
2025/04/11 09:25:53.135, 0, 94, 134.16, 1215, 765
2025/04/11 09:25:54.138, 0, 96, 154.34, 1215, 765
2025/04/11 09:25:55.141, 0, 96, 106.30, 1215, 765
2025/04/11 09:25:56.143, 0, 95, 126.24, 1215, 765
2025/04/11 09:25:57.146, 0, 94, 142.98, 1215, 765
2025/04/11 09:25:58.148, 0, 94, 113.92, 1215, 765
2025/04/11 09:25:59.151, 0, 95, 117.13, 1215, 765
2025/04/11 09:26:00.153, 0, 94, 147.77, 1215, 765
2025/04/11 09:26:01.156, 0, 95, 132.15, 1215, 765
2025/04/11 09:26:02.158, 0, 96, 107.55, 1215, 765
2025/04/11 09:26:03.161, 0, 95, 125.26, 1215, 765
2025/04/11 09:26:04.164, 0, 96, 122.03, 1215, 765
2025/04/11 09:26:05.166, 0, 95, 124.91, 1215, 765
2025/04/11 09:26:06.169, 0, 96, 121.11, 1215, 765
2025/04/11 09:26:07.171, 0, 96, 124.01, 1215, 765
2025/04/11 09:26:08.174, 0, 96, 127.23, 1215, 765
2025/04/11 09:26:09.176, 0, 94, 150.23, 1215, 765
2025/04/11 09:26:10.179, 0, 95, 131.39, 1215, 765
2025/04/11 09:26:11.184, 0, 95, 144.29, 1215, 765
2025/04/11 09:26:12.185, 0, 96, 151.73, 1215, 765
2025/04/11 09:26:13.189, 0, 95, 119.72, 1215, 765
2025/04/11 09:26:14.192, 0, 95, 119.18, 1215, 765
2025/04/11 09:26:15.195, 0, 95, 130.57, 1215, 765
2025/04/11 09:26:16.197, 0, 90, 115.68, 1215, 765
2025/04/11 09:26:17.199, 0, 96, 120.30, 1215, 765
2025/04/11 09:26:18.202, 0, 95, 119.80, 1215, 765
2025/04/11 09:26:19.205, 0, 94, 122.46, 1215, 765
2025/04/11 09:26:20.207, 0, 95, 119.60, 1215, 765
2025/04/11 09:26:21.210, 0, 96, 132.23, 1215, 765
2025/04/11 09:26:22.214, 0, 95, 128.64, 1215, 765
2025/04/11 09:26:23.217, 0, 94, 109.68, 1215, 765
2025/04/11 09:26:24.219, 0, 96, 141.91, 1215, 765
2025/04/11 09:26:25.222, 0, 94, 127.24, 1215, 765
2025/04/11 09:26:26.224, 0, 96, 124.04, 1215, 765
2025/04/11 09:26:27.228, 0, 95, 120.23, 1215, 765
2025/04/11 09:26:28.230, 0, 95, 122.90, 1215, 765
2025/04/11 09:26:29.233, 0, 95, 124.45, 1215, 765
2025/04/11 09:26:30.235, 0, 95, 131.30, 1215, 765
2025/04/11 09:26:31.238, 0, 95, 134.71, 1215, 765
2025/04/11 09:26:32.241, 0, 96, 131.18, 1215, 765
2025/04/11 09:26:33.243, 0, 94, 121.91, 1215, 765
2025/04/11 09:26:34.246, 0, 95, 123.69, 1215, 765
2025/04/11 09:26:35.248, 0, 96, 129.73, 1215, 765
2025/04/11 09:26:36.251, 0, 97, 148.78, 1215, 765
2025/04/11 09:26:37.253, 0, 95, 123.58, 1215, 765
2025/04/11 09:26:38.256, 0, 95, 117.66, 1215, 765
2025/04/11 09:26:39.259, 0, 94, 113.47, 1215, 765
2025/04/11 09:26:40.261, 0, 95, 120.64, 1215, 765
2025/04/11 09:26:41.265, 0, 95, 119.86, 1215, 765
2025/04/11 09:26:42.266, 0, 96, 114.48, 1215, 765
2025/04/11 09:26:43.269, 0, 95, 130.49, 1215, 765
2025/04/11 09:26:44.272, 0, 95, 133.86, 1215, 765
2025/04/11 09:26:45.275, 0, 94, 152.09, 1215, 765
2025/04/11 09:26:46.277, 0, 95, 124.27, 1215, 765
2025/04/11 09:26:47.280, 0, 94, 113.78, 1215, 765
2025/04/11 09:26:48.282, 0, 95, 123.71, 1215, 765
2025/04/11 09:26:49.284, 0, 94, 121.95, 1215, 765
2025/04/11 09:26:50.288, 0, 96, 136.15, 1215, 765
2025/04/11 09:26:51.289, 0, 94, 120.69, 1215, 765
2025/04/11 09:26:52.292, 0, 94, 117.40, 1215, 765
2025/04/11 09:26:53.295, 0, 95, 122.92, 1215, 765
2025/04/11 09:26:54.298, 0, 95, 132.95, 1215, 765
2025/04/11 09:26:55.300, 0, 94, 120.54, 1215, 765
2025/04/11 09:26:56.303, 0, 96, 113.74, 1215, 765
2025/04/11 09:26:57.306, 0, 95, 154.43, 1215, 765
2025/04/11 09:26:58.310, 0, 96, 136.64, 1215, 765
2025/04/11 09:26:59.313, 0, 95, 113.33, 1215, 765
2025/04/11 09:27:00.315, 0, 96, 120.65, 1215, 765
2025/04/11 09:27:01.318, 0, 95, 116.14, 1215, 765
2025/04/11 09:27:02.320, 0, 95, 125.81, 1215, 765
2025/04/11 09:27:03.323, 0, 95, 136.36, 1215, 765
2025/04/11 09:27:04.327, 0, 95, 127.28, 1215, 765
2025/04/11 09:27:05.328, 0, 95, 120.19, 1215, 765
2025/04/11 09:27:06.331, 0, 95, 119.65, 1215, 765
2025/04/11 09:27:07.333, 0, 95, 126.27, 1215, 765
2025/04/11 09:27:08.337, 0, 94, 128.65, 1215, 765
2025/04/11 09:27:09.339, 0, 96, 132.26, 1215, 765
2025/04/11 09:27:10.341, 0, 96, 137.85, 1215, 765
2025/04/11 09:27:11.344, 0, 91, 114.66, 1215, 765
2025/04/11 09:27:12.346, 0, 95, 118.75, 1215, 765
2025/04/11 09:27:13.350, 0, 95, 114.72, 1215, 765
2025/04/11 09:27:14.352, 0, 95, 121.89, 1215, 765
2025/04/11 09:27:15.354, 0, 95, 128.47, 1215, 765
2025/04/11 09:27:16.357, 0, 96, 135.43, 1215, 765
2025/04/11 09:27:17.360, 0, 94, 112.13, 1215, 765
2025/04/11 09:27:18.362, 0, 95, 126.77, 1215, 765
