timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/10 22:34:09.533, 1, 0, 36.44, 1215, 765
2025/04/10 22:34:10.539, 1, 0, 36.53, 1215, 765
2025/04/10 22:34:11.540, 1, 0, 36.53, 1215, 765
2025/04/10 22:34:12.541, 1, 0, 36.32, 1215, 765
2025/04/10 22:34:13.543, 1, 0, 36.33, 1215, 765
2025/04/10 22:34:14.871, 1, 0, 38.23, 1215, 765
2025/04/10 22:34:15.872, 1, 0, 36.82, 1215, 765
2025/04/10 22:34:16.873, 1, 4, 38.42, 1215, 765
2025/04/10 22:34:17.875, 1, 26, 38.79, 1215, 765
2025/04/10 22:34:18.876, 1, 26, 39.06, 1215, 765
2025/04/10 22:34:19.878, 1, 24, 38.61, 1215, 765
2025/04/10 22:34:20.879, 1, 5, 37.82, 1215, 765
2025/04/10 22:34:21.979, 1, 19, 38.90, 1215, 765
2025/04/10 22:34:22.984, 1, 5, 37.82, 1215, 765
2025/04/10 22:34:23.986, 1, 95, 112.50, 1215, 765
2025/04/10 22:34:24.987, 1, 94, 107.17, 1215, 765
2025/04/10 22:34:25.988, 1, 93, 109.98, 1215, 765
2025/04/10 22:34:26.990, 1, 96, 105.30, 1215, 765
2025/04/10 22:34:27.991, 1, 95, 106.79, 1215, 765
2025/04/10 22:34:28.993, 1, 95, 111.15, 1215, 765
2025/04/10 22:34:29.994, 1, 93, 112.08, 1215, 765
2025/04/10 22:34:30.996, 1, 95, 112.29, 1215, 765
2025/04/10 22:34:31.997, 1, 95, 108.79, 1215, 765
2025/04/10 22:34:32.998, 1, 95, 112.78, 1215, 765
2025/04/10 22:34:34.000, 1, 96, 111.67, 1215, 765
2025/04/10 22:34:35.001, 1, 95, 106.14, 1215, 765
2025/04/10 22:34:36.003, 1, 95, 108.03, 1215, 765
2025/04/10 22:34:37.004, 1, 94, 109.89, 1215, 765
2025/04/10 22:34:38.006, 1, 95, 109.29, 1215, 765
2025/04/10 22:34:39.008, 1, 94, 111.07, 1215, 765
2025/04/10 22:34:40.011, 1, 94, 106.53, 1215, 765
2025/04/10 22:34:41.014, 1, 96, 109.48, 1215, 765
2025/04/10 22:34:42.016, 1, 95, 106.59, 1215, 765
2025/04/10 22:34:43.019, 1, 94, 111.00, 1215, 765
2025/04/10 22:34:44.022, 1, 95, 113.33, 1215, 765
2025/04/10 22:34:45.028, 1, 95, 107.51, 1215, 765
2025/04/10 22:34:46.031, 1, 95, 113.06, 1215, 765
2025/04/10 22:34:47.033, 1, 95, 105.69, 1215, 765
2025/04/10 22:34:48.036, 1, 95, 109.66, 1215, 765
2025/04/10 22:34:49.039, 1, 96, 112.12, 1215, 765
2025/04/10 22:34:50.041, 1, 93, 113.11, 1215, 765
2025/04/10 22:34:51.044, 1, 96, 107.73, 1215, 765
2025/04/10 22:34:52.048, 1, 92, 109.60, 1215, 765
2025/04/10 22:34:53.050, 1, 96, 109.91, 1215, 765
2025/04/10 22:34:54.053, 1, 93, 106.95, 1215, 765
2025/04/10 22:34:55.056, 1, 94, 113.42, 1215, 765
2025/04/10 22:34:56.058, 1, 95, 109.74, 1215, 765
2025/04/10 22:34:57.061, 1, 95, 111.04, 1215, 765
2025/04/10 22:34:58.063, 1, 94, 115.96, 1215, 765
2025/04/10 22:34:59.066, 1, 96, 110.41, 1215, 765
2025/04/10 22:35:00.069, 1, 95, 112.13, 1215, 765
2025/04/10 22:35:01.071, 1, 95, 112.83, 1215, 765
2025/04/10 22:35:02.074, 1, 96, 108.07, 1215, 765
2025/04/10 22:35:03.077, 1, 95, 109.86, 1215, 765
2025/04/10 22:35:04.079, 1, 96, 110.88, 1215, 765
2025/04/10 22:35:05.081, 1, 95, 114.16, 1215, 765
2025/04/10 22:35:06.084, 1, 95, 105.36, 1215, 765
2025/04/10 22:35:07.086, 1, 95, 112.19, 1215, 765
2025/04/10 22:35:08.089, 1, 95, 109.61, 1215, 765
2025/04/10 22:35:09.093, 1, 96, 112.81, 1215, 765
2025/04/10 22:35:10.096, 1, 96, 108.56, 1215, 765
2025/04/10 22:35:11.098, 1, 93, 111.47, 1215, 765
2025/04/10 22:35:12.101, 1, 94, 111.38, 1215, 765
2025/04/10 22:35:13.103, 1, 96, 112.30, 1215, 765
2025/04/10 22:35:14.106, 1, 94, 105.20, 1215, 765
2025/04/10 22:35:15.108, 1, 94, 106.93, 1215, 765
2025/04/10 22:35:16.110, 1, 96, 110.99, 1215, 765
2025/04/10 22:35:17.113, 1, 96, 111.38, 1215, 765
2025/04/10 22:35:18.116, 1, 94, 107.01, 1215, 765
2025/04/10 22:35:19.118, 1, 96, 109.30, 1215, 765
2025/04/10 22:35:20.121, 1, 95, 111.59, 1215, 765
2025/04/10 22:35:21.125, 1, 96, 107.33, 1215, 765
2025/04/10 22:35:22.128, 1, 94, 107.81, 1215, 765
2025/04/10 22:35:23.131, 1, 95, 111.52, 1215, 765
2025/04/10 22:35:24.134, 1, 94, 112.07, 1215, 765
2025/04/10 22:35:25.136, 1, 96, 108.20, 1215, 765
2025/04/10 22:35:26.139, 1, 93, 107.32, 1215, 765
2025/04/10 22:35:27.141, 1, 96, 109.10, 1215, 765
2025/04/10 22:35:28.144, 1, 94, 106.05, 1215, 765
2025/04/10 22:35:29.147, 1, 95, 111.92, 1215, 765
2025/04/10 22:35:30.150, 1, 94, 110.91, 1215, 765
2025/04/10 22:35:31.152, 1, 96, 110.15, 1215, 765
2025/04/10 22:35:32.155, 1, 91, 109.54, 1215, 765
2025/04/10 22:35:33.157, 1, 96, 111.60, 1215, 765
2025/04/10 22:35:34.160, 1, 94, 108.19, 1215, 765
2025/04/10 22:35:35.163, 1, 94, 111.10, 1215, 765
