timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/10 20:19:30.529, 1, 0, 35.15, 1215, 765
2025/04/10 20:19:31.536, 1, 0, 35.23, 1215, 765
2025/04/10 20:19:32.537, 1, 0, 35.14, 1215, 765
2025/04/10 20:19:33.539, 1, 0, 35.04, 1215, 765
2025/04/10 20:19:34.540, 1, 0, 35.14, 1215, 765
2025/04/10 20:19:35.542, 1, 0, 34.93, 1215, 765
2025/04/10 20:19:36.545, 1, 0, 35.23, 1215, 765
2025/04/10 20:19:37.546, 1, 0, 36.72, 1215, 765
2025/04/10 20:19:38.547, 1, 22, 37.01, 1215, 765
2025/04/10 20:19:39.549, 1, 24, 37.05, 1215, 765
2025/04/10 20:19:40.553, 1, 22, 37.66, 1215, 765
2025/04/10 20:19:41.554, 1, 30, 37.37, 1215, 765
2025/04/10 20:19:42.556, 1, 0, 37.42, 1215, 765
2025/04/10 20:19:43.557, 1, 93, 109.27, 1215, 765
2025/04/10 20:19:44.940, 1, 96, 108.32, 1215, 765
2025/04/10 20:19:45.942, 1, 96, 104.92, 1215, 765
2025/04/10 20:19:46.943, 1, 95, 104.47, 1215, 765
2025/04/10 20:19:47.945, 1, 95, 112.01, 1215, 765
2025/04/10 20:19:48.948, 1, 93, 107.33, 1215, 765
2025/04/10 20:19:49.950, 1, 95, 106.82, 1215, 765
2025/04/10 20:19:50.952, 1, 95, 109.99, 1215, 765
2025/04/10 20:19:51.955, 1, 96, 108.82, 1215, 765
2025/04/10 20:19:52.958, 1, 96, 110.93, 1215, 765
2025/04/10 20:19:53.960, 1, 96, 109.73, 1215, 765
2025/04/10 20:19:54.963, 1, 95, 106.57, 1215, 765
2025/04/10 20:19:55.966, 1, 95, 114.04, 1215, 765
2025/04/10 20:19:56.968, 1, 95, 105.30, 1215, 765
2025/04/10 20:19:57.971, 1, 95, 108.72, 1215, 765
2025/04/10 20:19:58.973, 1, 96, 104.78, 1215, 765
2025/04/10 20:19:59.975, 1, 96, 106.65, 1215, 765
2025/04/10 20:20:00.978, 1, 95, 108.00, 1215, 765
2025/04/10 20:20:01.981, 1, 96, 106.98, 1215, 765
2025/04/10 20:20:02.983, 1, 96, 110.31, 1215, 765
2025/04/10 20:20:03.985, 1, 95, 110.19, 1215, 765
2025/04/10 20:20:04.986, 1, 95, 110.01, 1215, 765
2025/04/10 20:20:05.988, 1, 95, 109.35, 1215, 765
2025/04/10 20:20:06.989, 1, 95, 110.10, 1215, 765
2025/04/10 20:20:07.990, 1, 96, 109.36, 1215, 765
2025/04/10 20:20:08.992, 1, 95, 109.42, 1215, 765
2025/04/10 20:20:09.993, 1, 92, 107.50, 1215, 765
2025/04/10 20:20:10.995, 1, 93, 105.62, 1215, 765
2025/04/10 20:20:11.996, 1, 96, 108.12, 1215, 765
2025/04/10 20:20:12.998, 1, 96, 106.97, 1215, 765
2025/04/10 20:20:13.999, 1, 95, 109.59, 1215, 765
2025/04/10 20:20:15.008, 1, 96, 107.05, 1215, 765
2025/04/10 20:20:16.010, 1, 95, 109.64, 1215, 765
2025/04/10 20:20:17.011, 1, 95, 108.82, 1215, 765
2025/04/10 20:20:18.013, 1, 96, 106.48, 1215, 765
