timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/10 15:23:06.133, 0, 0, 34.11, 1215, 765
2025/04/10 15:23:07.138, 0, 0, 34.21, 1215, 765
2025/04/10 15:23:08.139, 0, 0, 34.41, 1215, 765
2025/04/10 15:23:09.141, 0, 0, 34.22, 1215, 765
2025/04/10 15:23:10.142, 0, 0, 34.10, 1215, 765
2025/04/10 15:23:11.143, 0, 0, 34.32, 1215, 765
2025/04/10 15:23:12.145, 0, 0, 34.12, 1215, 765
2025/04/10 15:23:13.146, 0, 0, 38.71, 1215, 765
2025/04/10 15:23:14.147, 0, 20, 36.52, 1215, 765
2025/04/10 15:23:15.149, 0, 0, 36.26, 1215, 765
2025/04/10 15:23:16.150, 0, 19, 36.39, 1215, 765
2025/04/10 15:23:17.151, 0, 19, 36.58, 1215, 765
2025/04/10 15:23:18.152, 0, 0, 36.27, 1215, 765
2025/04/10 15:23:19.154, 0, 16, 36.54, 1215, 765
2025/04/10 15:23:20.155, 0, 10, 36.49, 1215, 765
2025/04/10 15:23:21.156, 0, 91, 108.82, 1215, 765
2025/04/10 15:23:22.158, 0, 95, 108.09, 1215, 765
2025/04/10 15:23:23.159, 0, 95, 110.58, 1215, 765
2025/04/10 15:23:24.161, 0, 95, 107.91, 1215, 765
2025/04/10 15:23:25.162, 0, 95, 107.27, 1215, 765
2025/04/10 15:23:26.163, 0, 95, 112.33, 1215, 765
2025/04/10 15:23:27.165, 0, 95, 108.53, 1215, 765
2025/04/10 15:23:28.166, 0, 95, 109.75, 1215, 765
2025/04/10 15:23:29.168, 0, 95, 105.36, 1215, 765
2025/04/10 15:23:30.169, 0, 95, 110.78, 1215, 765
2025/04/10 15:23:31.171, 0, 92, 106.28, 1215, 765
2025/04/10 15:23:32.172, 0, 95, 109.06, 1215, 765
2025/04/10 15:23:33.173, 0, 95, 112.28, 1215, 765
2025/04/10 15:23:34.175, 0, 95, 109.10, 1215, 765
2025/04/10 15:23:35.176, 0, 95, 112.05, 1215, 765
2025/04/10 15:23:36.178, 0, 95, 110.00, 1215, 765
2025/04/10 15:23:37.179, 0, 95, 109.14, 1215, 765
2025/04/10 15:23:38.181, 0, 95, 106.76, 1215, 765
2025/04/10 15:23:39.182, 0, 95, 110.93, 1215, 765
2025/04/10 15:23:40.183, 0, 95, 112.25, 1215, 765
2025/04/10 15:23:41.185, 0, 95, 104.47, 1215, 765
2025/04/10 15:23:42.186, 0, 95, 110.68, 1215, 765
