timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/11 05:09:31.541, 1, 0, 36.53, 1215, 765
2025/04/11 05:09:32.551, 1, 0, 36.42, 1215, 765
2025/04/11 05:09:33.553, 1, 0, 36.44, 1215, 765
2025/04/11 05:09:34.554, 1, 0, 36.23, 1215, 765
2025/04/11 05:09:35.555, 1, 0, 36.52, 1215, 765
2025/04/11 05:09:36.557, 1, 0, 36.34, 1215, 765
2025/04/11 05:09:37.558, 1, 0, 36.53, 1215, 765
2025/04/11 05:09:38.559, 1, 0, 36.23, 1215, 765
2025/04/11 05:09:39.576, 1, 23, 38.82, 1215, 765
2025/04/11 05:09:40.577, 1, 1, 38.53, 1215, 765
2025/04/11 05:09:41.578, 1, 21, 38.21, 1215, 765
2025/04/11 05:09:42.580, 1, 25, 38.76, 1215, 765
2025/04/11 05:09:43.581, 1, 12, 38.42, 1215, 765
2025/04/11 05:09:44.929, 1, 0, 38.02, 1215, 765
2025/04/11 05:09:45.931, 1, 92, 106.59, 1215, 765
2025/04/11 05:09:46.934, 1, 95, 109.29, 1215, 765
2025/04/11 05:09:47.937, 1, 95, 109.09, 1215, 765
2025/04/11 05:09:48.939, 1, 95, 103.84, 1215, 765
2025/04/11 05:09:49.942, 1, 95, 105.99, 1215, 765
2025/04/11 05:09:50.944, 1, 0, 38.53, 1215, 765
2025/04/11 05:09:51.996, 1, 94, 107.20, 1215, 765
2025/04/11 05:09:52.997, 1, 95, 103.22, 1215, 765
2025/04/11 05:09:53.999, 1, 95, 106.44, 1215, 765
2025/04/11 05:09:55.000, 1, 95, 108.76, 1215, 765
2025/04/11 05:09:56.001, 1, 95, 104.92, 1215, 765
2025/04/11 05:09:57.003, 1, 94, 108.02, 1215, 765
2025/04/11 05:09:58.004, 1, 94, 107.36, 1215, 765
2025/04/11 05:09:59.007, 1, 95, 112.32, 1215, 765
2025/04/11 05:10:00.010, 1, 95, 109.58, 1215, 765
2025/04/11 05:10:01.012, 1, 93, 108.38, 1215, 765
2025/04/11 05:10:02.015, 1, 95, 113.02, 1215, 765
2025/04/11 05:10:03.017, 1, 93, 113.13, 1215, 765
2025/04/11 05:10:04.020, 1, 95, 106.92, 1215, 765
2025/04/11 05:10:05.023, 1, 95, 103.70, 1215, 765
2025/04/11 05:10:06.026, 1, 95, 107.99, 1215, 765
2025/04/11 05:10:07.028, 1, 95, 105.98, 1215, 765
2025/04/11 05:10:08.031, 1, 92, 107.50, 1215, 765
2025/04/11 05:10:09.034, 1, 95, 107.60, 1215, 765
2025/04/11 05:10:10.036, 1, 95, 111.41, 1215, 765
