timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/04/11 03:05:49.437, 0, 0, 35.70, 1215, 765
2025/04/11 03:05:50.444, 0, 0, 35.49, 1215, 765
2025/04/11 03:05:51.866, 0, 0, 37.40, 1215, 765
2025/04/11 03:05:52.867, 0, 0, 35.50, 1215, 765
2025/04/11 03:05:53.868, 0, 0, 35.41, 1215, 765
2025/04/11 03:05:54.869, 0, 0, 35.30, 1215, 765
2025/04/11 03:05:55.871, 0, 0, 35.39, 1215, 765
2025/04/11 03:05:56.872, 0, 4, 37.47, 1215, 765
2025/04/11 03:05:57.873, 0, 12, 37.59, 1215, 765
2025/04/11 03:05:58.875, 0, 32, 37.62, 1215, 765
2025/04/11 03:05:59.876, 0, 32, 37.60, 1215, 765
2025/04/11 03:06:00.877, 0, 27, 37.81, 1215, 765
2025/04/11 03:06:01.879, 0, 5, 37.39, 1215, 765
2025/04/11 03:06:02.880, 0, 94, 105.65, 1215, 765
2025/04/11 03:06:03.881, 0, 93, 115.69, 1215, 765
2025/04/11 03:06:04.883, 0, 94, 105.25, 1215, 765
2025/04/11 03:06:05.884, 0, 93, 113.06, 1215, 765
2025/04/11 03:06:06.886, 0, 93, 109.67, 1215, 765
2025/04/11 03:06:07.887, 0, 91, 103.62, 1215, 765
2025/04/11 03:06:08.888, 0, 93, 106.09, 1215, 765
2025/04/11 03:06:09.890, 0, 94, 108.84, 1215, 765
2025/04/11 03:06:10.891, 0, 93, 110.21, 1215, 765
2025/04/11 03:06:11.893, 0, 93, 106.29, 1215, 765
2025/04/11 03:06:12.894, 0, 94, 107.73, 1215, 765
2025/04/11 03:06:13.896, 0, 94, 111.31, 1215, 765
2025/04/11 03:06:14.897, 0, 93, 113.89, 1215, 765
2025/04/11 03:06:15.898, 0, 93, 109.71, 1215, 765
2025/04/11 03:06:16.900, 0, 94, 104.82, 1215, 765
2025/04/11 03:06:17.901, 0, 93, 105.11, 1215, 765
2025/04/11 03:06:18.903, 0, 93, 111.13, 1215, 765
2025/04/11 03:06:19.904, 0, 94, 110.32, 1215, 765
2025/04/11 03:06:20.905, 0, 94, 106.44, 1215, 765
2025/04/11 03:06:22.009, 0, 94, 106.48, 1215, 765
2025/04/11 03:06:23.012, 0, 93, 104.76, 1215, 765
2025/04/11 03:06:24.014, 0, 95, 109.42, 1215, 765
2025/04/11 03:06:25.017, 0, 93, 111.83, 1215, 765
2025/04/11 03:06:26.019, 0, 95, 109.56, 1215, 765
2025/04/11 03:06:27.022, 0, 93, 112.03, 1215, 765
2025/04/11 03:06:28.026, 0, 95, 111.34, 1215, 765
2025/04/11 03:06:29.029, 0, 94, 110.58, 1215, 765
2025/04/11 03:06:30.031, 0, 94, 108.79, 1215, 765
2025/04/11 03:06:31.034, 0, 93, 104.71, 1215, 765
2025/04/11 03:06:32.036, 0, 94, 111.61, 1215, 765
2025/04/11 03:06:33.039, 0, 93, 111.37, 1215, 765
2025/04/11 03:06:34.041, 0, 95, 114.54, 1215, 765
2025/04/11 03:06:35.044, 0, 94, 110.49, 1215, 765
2025/04/11 03:06:36.047, 0, 94, 107.92, 1215, 765
2025/04/11 03:06:37.049, 0, 93, 103.26, 1215, 765
2025/04/11 03:06:38.051, 0, 94, 108.78, 1215, 765
2025/04/11 03:06:39.054, 0, 93, 104.78, 1215, 765
2025/04/11 03:06:40.056, 0, 95, 112.28, 1215, 765
2025/04/11 03:06:41.059, 0, 93, 103.43, 1215, 765
2025/04/11 03:06:42.061, 0, 94, 109.25, 1215, 765
2025/04/11 03:06:43.064, 0, 93, 108.87, 1215, 765
2025/04/11 03:06:44.067, 0, 94, 105.84, 1215, 765
2025/04/11 03:06:45.069, 0, 93, 106.62, 1215, 765
2025/04/11 03:06:46.072, 0, 91, 108.99, 1215, 765
2025/04/11 03:06:47.074, 0, 93, 106.84, 1215, 765
2025/04/11 03:06:48.077, 0, 94, 111.84, 1215, 765
2025/04/11 03:06:49.079, 0, 93, 107.82, 1215, 765
2025/04/11 03:06:50.082, 0, 95, 106.56, 1215, 765
2025/04/11 03:06:51.085, 0, 94, 105.49, 1215, 765
2025/04/11 03:06:52.088, 0, 94, 113.96, 1215, 765
2025/04/11 03:06:53.090, 0, 94, 109.20, 1215, 765
2025/04/11 03:06:54.093, 0, 92, 108.08, 1215, 765
2025/04/11 03:06:55.095, 0, 94, 107.87, 1215, 765
2025/04/11 03:06:56.098, 0, 94, 107.83, 1215, 765
2025/04/11 03:06:57.100, 0, 92, 104.04, 1215, 765
2025/04/11 03:06:58.103, 0, 94, 108.10, 1215, 765
2025/04/11 03:06:59.106, 0, 93, 104.87, 1215, 765
2025/04/11 03:07:00.108, 0, 94, 108.92, 1215, 765
2025/04/11 03:07:01.111, 0, 93, 114.42, 1215, 765
2025/04/11 03:07:02.113, 0, 95, 106.71, 1215, 765
2025/04/11 03:07:03.116, 0, 93, 106.97, 1215, 765
2025/04/11 03:07:04.118, 0, 94, 113.20, 1215, 765
2025/04/11 03:07:05.121, 0, 93, 104.82, 1215, 765
