timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/16 17:46:52.620, 0, 0, 38.73
2025/01/16 17:46:53.621, 0, 0, 38.81
2025/01/16 17:46:54.621, 0, 0, 38.71
2025/01/16 17:46:55.621, 0, 0, 38.70
2025/01/16 17:46:56.622, 0, 0, 38.80
2025/01/16 17:46:57.622, 0, 0, 38.91
2025/01/16 17:46:58.622, 0, 0, 38.91
2025/01/16 17:46:59.622, 0, 0, 38.81
2025/01/16 17:47:00.622, 0, 0, 38.71
2025/01/16 17:47:01.623, 0, 0, 38.63
2025/01/16 17:47:02.623, 0, 0, 38.61
2025/01/16 17:47:03.623, 0, 0, 38.51
2025/01/16 17:47:04.623, 0, 0, 38.51
2025/01/16 17:47:05.623, 0, 0, 38.51
2025/01/16 17:47:06.624, 0, 0, 38.11
2025/01/16 17:47:07.624, 0, 0, 38.41
2025/01/16 17:47:08.624, 0, 0, 38.41
2025/01/16 17:47:09.624, 0, 0, 38.32
2025/01/16 17:47:10.624, 0, 0, 38.21
2025/01/16 17:47:11.625, 0, 0, 38.21
2025/01/16 17:47:12.625, 0, 0, 38.41
2025/01/16 17:47:13.625, 0, 0, 38.31
2025/01/16 17:47:14.625, 0, 0, 38.22
2025/01/16 17:47:15.625, 0, 0, 38.21
2025/01/16 17:47:16.625, 0, 28, 39.27
2025/01/16 17:47:17.626, 0, 73, 39.28
2025/01/16 17:47:18.626, 0, 45, 38.90
2025/01/16 17:47:19.626, 0, 23, 38.90
2025/01/16 17:47:20.626, 0, 83, 38.80
2025/01/16 17:47:21.626, 0, 55, 39.28
2025/01/16 17:47:22.627, 0, 0, 38.12
2025/01/16 17:47:23.627, 0, 0, 38.11
2025/01/16 17:47:24.627, 0, 0, 38.13
2025/01/16 17:47:25.627, 0, 0, 38.11
2025/01/16 17:47:26.627, 0, 0, 38.11
2025/01/16 17:47:27.628, 0, 0, 38.11
2025/01/16 17:47:28.628, 0, 0, 38.11
2025/01/16 17:47:29.628, 0, 0, 38.11
2025/01/16 17:47:30.628, 0, 0, 38.01
2025/01/16 17:47:31.628, 0, 0, 37.71
2025/01/16 17:47:32.629, 0, 0, 37.81
2025/01/16 17:47:33.629, 0, 0, 37.72
2025/01/16 17:47:34.629, 0, 0, 37.71
2025/01/16 17:47:35.629, 0, 5, 155.14
2025/01/16 17:47:36.629, 0, 96, 110.86
2025/01/16 17:47:37.630, 0, 97, 108.38
2025/01/16 17:47:38.630, 0, 95, 114.31
2025/01/16 17:47:39.630, 0, 95, 114.90
2025/01/16 17:47:40.630, 0, 96, 115.80
2025/01/16 17:47:41.630, 0, 97, 111.69
2025/01/16 17:47:42.631, 0, 95, 124.72
2025/01/16 17:47:43.631, 0, 96, 107.87
2025/01/16 17:47:44.631, 0, 96, 117.19
2025/01/16 17:47:45.631, 0, 96, 123.98
2025/01/16 17:47:46.631, 0, 96, 118.69
2025/01/16 17:47:47.632, 0, 96, 109.92
2025/01/16 17:47:48.632, 0, 95, 119.00
2025/01/16 17:47:49.632, 0, 96, 121.55
2025/01/16 17:47:50.632, 0, 95, 111.74
2025/01/16 17:47:51.632, 0, 96, 119.87
2025/01/16 17:47:52.633, 0, 96, 112.27
2025/01/16 17:47:53.633, 0, 96, 117.47
2025/01/16 17:47:54.633, 0, 96, 110.62
2025/01/16 17:47:55.633, 0, 96, 111.42
2025/01/16 17:47:56.634, 0, 96, 112.99
2025/01/16 17:47:57.634, 0, 96, 124.38
2025/01/16 17:47:58.634, 0, 94, 160.59
2025/01/16 17:47:59.634, 0, 97, 125.46
2025/01/16 17:48:00.634, 0, 96, 124.17
2025/01/16 17:48:01.634, 0, 96, 102.80
2025/01/16 17:48:02.635, 0, 95, 110.43
2025/01/16 17:48:03.635, 0, 97, 107.87
2025/01/16 17:48:04.635, 0, 96, 111.06
2025/01/16 17:48:05.635, 0, 97, 120.84
2025/01/16 17:48:06.636, 0, 96, 112.65
2025/01/16 17:48:07.636, 0, 95, 115.30
2025/01/16 17:48:08.636, 0, 95, 118.11
2025/01/16 17:48:09.636, 0, 96, 113.45
2025/01/16 17:48:10.636, 0, 96, 125.88
2025/01/16 17:48:11.637, 0, 96, 112.51
2025/01/16 17:48:12.637, 0, 96, 125.84
2025/01/16 17:48:13.637, 0, 96, 121.31
2025/01/16 17:48:14.637, 0, 96, 123.39
2025/01/16 17:48:15.637, 0, 97, 124.54
2025/01/16 17:48:16.638, 0, 96, 113.98
2025/01/16 17:48:17.638, 0, 96, 115.02
2025/01/16 17:48:18.638, 0, 96, 104.59
2025/01/16 17:48:19.638, 0, 95, 112.34
2025/01/16 17:48:20.638, 0, 95, 112.80
2025/01/16 17:48:21.639, 0, 95, 110.85
2025/01/16 17:48:22.639, 0, 96, 112.60
2025/01/16 17:48:23.639, 0, 96, 107.09
2025/01/16 17:48:24.639, 0, 95, 111.95
2025/01/16 17:48:25.639, 0, 95, 103.70
2025/01/16 17:48:26.640, 0, 95, 112.50
2025/01/16 17:48:27.640, 0, 96, 112.55
2025/01/16 17:48:28.640, 0, 94, 156.88
2025/01/16 17:48:29.640, 0, 95, 119.71
2025/01/16 17:48:30.641, 0, 95, 114.55
2025/01/16 17:48:31.641, 0, 95, 122.00
2025/01/16 17:48:32.641, 0, 95, 124.23
2025/01/16 17:48:33.641, 0, 95, 125.07
2025/01/16 17:48:34.641, 0, 95, 111.82
2025/01/16 17:48:35.642, 0, 95, 113.71
2025/01/16 17:48:36.642, 0, 96, 113.27
2025/01/16 17:48:37.642, 0, 95, 111.34
2025/01/16 17:48:38.642, 0, 95, 122.39
2025/01/16 17:48:39.642, 0, 97, 132.30
2025/01/16 17:48:40.643, 0, 96, 107.16
2025/01/16 17:48:41.643, 0, 96, 121.54
2025/01/16 17:48:42.643, 0, 95, 112.99
