timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/17 09:41:01.432, 0, 0, 38.54
2025/01/17 09:41:02.433, 0, 0, 38.37
2025/01/17 09:41:03.433, 0, 0, 38.41
2025/01/17 09:41:04.433, 0, 0, 38.51
2025/01/17 09:41:05.433, 0, 0, 38.00
2025/01/17 09:41:06.433, 0, 0, 38.31
2025/01/17 09:41:07.434, 0, 0, 38.31
2025/01/17 09:41:08.434, 0, 0, 38.19
2025/01/17 09:41:09.434, 0, 0, 38.11
2025/01/17 09:41:10.434, 0, 0, 38.19
2025/01/17 09:41:11.435, 0, 0, 38.11
2025/01/17 09:41:12.435, 0, 0, 38.11
2025/01/17 09:41:13.435, 0, 0, 38.11
2025/01/17 09:41:14.435, 0, 0, 38.11
2025/01/17 09:41:15.436, 0, 0, 38.11
2025/01/17 09:41:16.436, 0, 0, 38.01
2025/01/17 09:41:17.436, 0, 0, 38.41
2025/01/17 09:41:18.436, 0, 0, 38.01
2025/01/17 09:41:19.436, 0, 0, 38.11
2025/01/17 09:41:20.437, 0, 0, 38.01
2025/01/17 09:41:21.437, 0, 0, 38.22
2025/01/17 09:41:22.437, 0, 0, 38.19
2025/01/17 09:41:23.437, 0, 0, 38.31
2025/01/17 09:41:24.437, 0, 0, 38.32
2025/01/17 09:41:25.437, 0, 29, 39.27
2025/01/17 09:41:26.437, 0, 73, 38.98
2025/01/17 09:41:27.438, 0, 54, 38.31
2025/01/17 09:41:28.438, 0, 27, 38.98
2025/01/17 09:41:29.438, 0, 54, 38.51
2025/01/17 09:41:30.438, 0, 0, 37.84
2025/01/17 09:41:31.439, 0, 0, 37.83
2025/01/17 09:41:32.439, 0, 0, 37.83
2025/01/17 09:41:33.439, 0, 0, 37.92
2025/01/17 09:41:34.439, 0, 0, 37.71
2025/01/17 09:41:35.439, 0, 0, 37.71
2025/01/17 09:41:36.440, 0, 0, 37.52
2025/01/17 09:41:37.440, 0, 0, 37.52
2025/01/17 09:41:38.440, 0, 0, 37.41
2025/01/17 09:41:39.440, 0, 0, 37.32
2025/01/17 09:41:40.440, 0, 0, 37.42
2025/01/17 09:41:41.441, 0, 0, 37.42
2025/01/17 09:41:42.441, 0, 0, 37.42
2025/01/17 09:41:43.441, 0, 8, 37.61
2025/01/17 09:41:44.441, 0, 95, 139.66
2025/01/17 09:41:45.441, 0, 97, 137.82
2025/01/17 09:41:46.441, 0, 97, 137.79
2025/01/17 09:41:47.442, 0, 97, 140.71
2025/01/17 09:41:48.442, 0, 97, 141.34
2025/01/17 09:41:49.442, 0, 97, 138.92
2025/01/17 09:41:50.442, 0, 97, 140.61
2025/01/17 09:41:51.442, 0, 95, 139.24
2025/01/17 09:41:52.443, 0, 96, 141.56
2025/01/17 09:41:53.443, 0, 49, 38.51
2025/01/17 09:41:54.443, 0, 95, 95.89
2025/01/17 09:41:55.443, 0, 97, 141.41
2025/01/17 09:41:56.443, 0, 97, 139.82
2025/01/17 09:41:57.444, 0, 97, 140.68
2025/01/17 09:41:58.444, 0, 95, 117.93
2025/01/17 09:41:59.444, 0, 97, 134.72
2025/01/17 09:42:00.444, 0, 97, 145.10
2025/01/17 09:42:01.444, 0, 94, 126.85
2025/01/17 09:42:02.445, 0, 97, 138.06
2025/01/17 09:42:03.445, 0, 97, 141.66
2025/01/17 09:42:04.445, 0, 97, 140.57
2025/01/17 09:42:05.445, 0, 97, 142.38
2025/01/17 09:42:06.446, 0, 97, 142.12
2025/01/17 09:42:07.446, 0, 97, 138.74
2025/01/17 09:42:08.446, 0, 97, 141.34
2025/01/17 09:42:09.446, 0, 95, 134.31
2025/01/17 09:42:10.446, 0, 97, 139.71
2025/01/17 09:42:11.447, 0, 97, 129.14
2025/01/17 09:42:12.447, 0, 97, 138.24
2025/01/17 09:42:13.447, 0, 97, 139.21
2025/01/17 09:42:14.447, 0, 97, 136.29
