timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/09 22:57:13.745, 0, 0, 39.08
2025/01/09 22:57:14.746, 0, 0, 38.35
2025/01/09 22:57:15.746, 0, 0, 38.79
2025/01/09 22:57:16.746, 0, 0, 38.97
2025/01/09 22:57:17.746, 0, 0, 38.47
2025/01/09 22:57:18.746, 0, 0, 38.45
2025/01/09 22:57:19.746, 0, 0, 38.85
2025/01/09 22:57:20.747, 0, 0, 38.57
2025/01/09 22:57:21.747, 0, 0, 38.77
2025/01/09 22:57:22.747, 0, 0, 38.58
2025/01/09 22:57:23.747, 0, 0, 38.88
2025/01/09 22:57:24.747, 0, 0, 38.67
2025/01/09 22:57:25.747, 0, 0, 38.45
2025/01/09 22:57:26.747, 0, 0, 38.58
2025/01/09 22:57:27.748, 0, 0, 38.49
2025/01/09 22:57:28.748, 0, 0, 38.38
2025/01/09 22:57:29.748, 0, 0, 38.07
2025/01/09 22:57:30.748, 0, 0, 38.37
2025/01/09 22:57:31.748, 0, 0, 37.97
2025/01/09 22:57:32.748, 0, 0, 38.48
2025/01/09 22:57:33.749, 0, 0, 38.38
2025/01/09 22:57:34.749, 0, 0, 38.05
2025/01/09 22:57:35.749, 0, 56, 39.28
2025/01/09 22:57:36.749, 0, 56, 39.18
2025/01/09 22:57:37.749, 0, 20, 39.08
2025/01/09 22:57:38.749, 0, 54, 37.95
2025/01/09 22:57:39.749, 0, 20, 37.60
2025/01/09 22:57:40.750, 0, 0, 37.88
2025/01/09 22:57:41.750, 0, 0, 37.87
2025/01/09 22:57:42.750, 0, 0, 37.80
2025/01/09 22:57:43.750, 0, 0, 37.69
2025/01/09 22:57:44.750, 0, 0, 37.90
2025/01/09 22:57:45.750, 0, 0, 37.90
2025/01/09 22:57:46.750, 0, 0, 37.51
2025/01/09 22:57:47.751, 0, 0, 37.81
2025/01/09 22:57:48.751, 0, 0, 37.81
2025/01/09 22:57:49.751, 0, 0, 37.32
2025/01/09 22:57:50.751, 0, 0, 37.71
2025/01/09 22:57:51.751, 0, 0, 37.70
2025/01/09 22:57:52.751, 0, 3, 37.90
2025/01/09 22:57:53.751, 0, 98, 120.38
2025/01/09 22:57:54.752, 0, 98, 116.11
2025/01/09 22:57:55.752, 0, 98, 119.50
2025/01/09 22:57:56.752, 0, 98, 120.26
2025/01/09 22:57:57.752, 0, 97, 119.08
2025/01/09 22:57:58.752, 0, 98, 121.86
2025/01/09 22:57:59.752, 0, 98, 122.70
2025/01/09 22:58:00.753, 0, 98, 119.21
2025/01/09 22:58:01.753, 0, 98, 122.37
2025/01/09 22:58:02.753, 0, 98, 119.47
2025/01/09 22:58:03.753, 0, 98, 128.70
2025/01/09 22:58:04.753, 0, 98, 124.30
2025/01/09 22:58:05.753, 0, 97, 119.40
2025/01/09 22:58:06.753, 0, 97, 114.93
2025/01/09 22:58:07.754, 0, 98, 119.05
2025/01/09 22:58:08.754, 0, 97, 124.19
2025/01/09 22:58:09.754, 0, 97, 119.73
2025/01/09 22:58:10.754, 0, 98, 121.25
2025/01/09 22:58:11.754, 0, 98, 120.19
2025/01/09 22:58:12.754, 0, 98, 119.78
2025/01/09 22:58:13.754, 0, 98, 121.24
2025/01/09 22:58:14.755, 0, 79, 123.52
2025/01/09 22:58:15.755, 0, 98, 123.20
2025/01/09 22:58:16.755, 0, 98, 124.22
2025/01/09 22:58:17.755, 0, 97, 122.89
2025/01/09 22:58:18.755, 0, 97, 126.50
2025/01/09 22:58:19.755, 0, 97, 118.40
2025/01/09 22:58:20.755, 0, 98, 123.76
2025/01/09 22:58:21.756, 0, 97, 121.26
2025/01/09 22:58:22.756, 0, 97, 127.62
2025/01/09 22:58:23.756, 0, 97, 122.36
2025/01/09 22:58:24.756, 0, 98, 122.70
2025/01/09 22:58:25.756, 0, 98, 120.89
2025/01/09 22:58:26.756, 0, 97, 119.20
2025/01/09 22:58:27.756, 0, 98, 124.42
2025/01/09 22:58:28.757, 0, 97, 119.04
2025/01/09 22:58:29.757, 0, 97, 122.69
2025/01/09 22:58:30.757, 0, 97, 119.35
2025/01/09 22:58:31.757, 0, 97, 126.56
2025/01/09 22:58:32.757, 0, 97, 116.34
2025/01/09 22:58:33.757, 0, 97, 122.01
2025/01/09 22:58:34.757, 0, 98, 126.22
2025/01/09 22:58:35.758, 0, 97, 127.67
2025/01/09 22:58:36.758, 0, 98, 116.75
2025/01/09 22:58:37.758, 0, 98, 113.46
2025/01/09 22:58:38.758, 0, 98, 123.77
2025/01/09 22:58:39.758, 0, 97, 125.29
2025/01/09 22:58:40.758, 0, 97, 124.44
2025/01/09 22:58:41.759, 0, 98, 116.39
2025/01/09 22:58:42.759, 0, 97, 119.83
2025/01/09 22:58:43.759, 0, 97, 116.70
2025/01/09 22:58:44.759, 0, 97, 122.11
2025/01/09 22:58:45.759, 0, 98, 125.52
2025/01/09 22:58:46.759, 0, 97, 126.38
2025/01/09 22:58:47.759, 0, 98, 153.88
2025/01/09 22:58:48.760, 0, 97, 116.12
2025/01/09 22:58:49.760, 0, 97, 129.17
2025/01/09 22:58:50.760, 0, 96, 128.79
2025/01/09 22:58:51.760, 0, 98, 115.86
2025/01/09 22:58:52.760, 0, 98, 120.52
2025/01/09 22:58:53.760, 0, 97, 118.33
2025/01/09 22:58:54.761, 0, 97, 125.97
2025/01/09 22:58:55.761, 0, 98, 125.58
2025/01/09 22:58:56.761, 0, 97, 121.33
2025/01/09 22:58:57.761, 0, 97, 126.23
2025/01/09 22:58:58.761, 0, 95, 119.58
2025/01/09 22:58:59.761, 0, 97, 127.94
2025/01/09 22:59:00.761, 0, 97, 127.67
2025/01/09 22:59:01.762, 0, 97, 119.54
2025/01/09 22:59:02.762, 0, 97, 118.24
2025/01/09 22:59:03.762, 0, 97, 120.88
2025/01/09 22:59:04.762, 0, 98, 120.86
2025/01/09 22:59:05.762, 0, 97, 122.45
2025/01/09 22:59:06.762, 0, 97, 129.20
2025/01/09 22:59:07.762, 0, 98, 121.33
2025/01/09 22:59:08.763, 0, 97, 122.15
2025/01/09 22:59:09.763, 0, 97, 115.02
2025/01/09 22:59:10.763, 0, 98, 122.98
