timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/18 01:49:18.686, 0, 0, 38.44
2025/01/18 01:49:19.686, 0, 0, 38.07
2025/01/18 01:49:20.687, 0, 0, 38.30
2025/01/18 01:49:21.687, 0, 0, 38.01
2025/01/18 01:49:22.687, 0, 0, 38.31
2025/01/18 01:49:23.687, 0, 0, 38.32
2025/01/18 01:49:24.687, 0, 0, 38.21
2025/01/18 01:49:25.688, 0, 0, 38.11
2025/01/18 01:49:26.688, 0, 0, 38.32
2025/01/18 01:49:27.688, 0, 0, 38.02
2025/01/18 01:49:28.689, 0, 0, 38.41
2025/01/18 01:49:29.689, 0, 0, 38.22
2025/01/18 01:49:30.689, 0, 0, 38.01
2025/01/18 01:49:31.690, 0, 0, 38.01
2025/01/18 01:49:32.690, 0, 0, 38.50
2025/01/18 01:49:33.690, 0, 0, 38.21
2025/01/18 01:49:34.690, 0, 0, 38.21
2025/01/18 01:49:35.690, 0, 0, 38.22
2025/01/18 01:49:36.691, 0, 0, 38.11
2025/01/18 01:49:37.691, 0, 0, 38.01
2025/01/18 01:49:38.691, 0, 0, 38.32
2025/01/18 01:49:39.691, 0, 0, 37.80
2025/01/18 01:49:40.691, 0, 0, 38.21
2025/01/18 01:49:41.692, 0, 0, 37.90
2025/01/18 01:49:42.692, 0, 54, 39.27
2025/01/18 01:49:43.692, 0, 85, 38.50
2025/01/18 01:49:44.692, 0, 81, 38.40
2025/01/18 01:49:45.692, 0, 63, 38.79
2025/01/18 01:49:46.693, 0, 64, 38.50
2025/01/18 01:49:47.693, 0, 62, 38.79
2025/01/18 01:49:48.693, 0, 41, 38.10
2025/01/18 01:49:49.693, 0, 0, 37.63
2025/01/18 01:49:50.694, 0, 0, 37.71
2025/01/18 01:49:51.694, 0, 0, 38.02
2025/01/18 01:49:52.694, 0, 0, 37.71
2025/01/18 01:49:53.694, 0, 0, 37.91
2025/01/18 01:49:54.695, 0, 0, 37.91
2025/01/18 01:49:55.695, 0, 0, 37.71
2025/01/18 01:49:56.695, 0, 0, 37.71
2025/01/18 01:49:57.695, 0, 0, 37.62
2025/01/18 01:49:58.695, 0, 0, 37.91
2025/01/18 01:49:59.696, 0, 0, 37.62
2025/01/18 01:50:00.696, 0, 0, 37.91
2025/01/18 01:50:01.696, 0, 0, 37.52
2025/01/18 01:50:02.696, 0, 0, 37.91
2025/01/18 01:50:03.697, 0, 0, 37.62
2025/01/18 01:50:04.697, 0, 0, 37.62
2025/01/18 01:50:05.697, 0, 0, 37.62
2025/01/18 01:50:06.697, 0, 0, 37.91
2025/01/18 01:50:07.697, 0, 0, 37.62
2025/01/18 01:50:08.698, 0, 0, 37.81
2025/01/18 01:50:09.698, 0, 0, 37.52
2025/01/18 01:50:10.698, 0, 0, 37.52
2025/01/18 01:50:11.698, 0, 0, 38.11
2025/01/18 01:50:12.699, 0, 0, 37.71
2025/01/18 01:50:13.699, 0, 0, 37.91
2025/01/18 01:50:14.699, 0, 0, 37.62
2025/01/18 01:50:15.699, 0, 0, 37.81
2025/01/18 01:50:16.699, 0, 0, 37.52
2025/01/18 01:50:17.700, 0, 0, 37.81
2025/01/18 01:50:18.700, 0, 0, 37.52
2025/01/18 01:50:19.700, 0, 0, 37.22
2025/01/18 01:50:20.700, 0, 0, 37.31
2025/01/18 01:50:21.700, 0, 0, 37.22
2025/01/18 01:50:22.701, 0, 0, 37.52
2025/01/18 01:50:23.701, 0, 0, 37.11
2025/01/18 01:50:24.701, 0, 0, 37.22
2025/01/18 01:50:25.701, 0, 0, 37.52
2025/01/18 01:50:26.702, 0, 0, 37.22
2025/01/18 01:50:27.702, 0, 0, 37.22
2025/01/18 01:50:28.702, 0, 0, 37.11
2025/01/18 01:50:29.703, 0, 71, 120.63
2025/01/18 01:50:30.703, 0, 96, 119.71
2025/01/18 01:50:31.703, 0, 96, 109.63
2025/01/18 01:50:32.703, 0, 95, 111.40
2025/01/18 01:50:33.703, 0, 96, 123.18
2025/01/18 01:50:34.704, 0, 95, 117.32
2025/01/18 01:50:35.704, 0, 96, 100.12
2025/01/18 01:50:36.704, 0, 95, 111.21
2025/01/18 01:50:37.704, 0, 96, 122.30
2025/01/18 01:50:38.705, 0, 95, 120.98
2025/01/18 01:50:39.705, 0, 95, 110.13
2025/01/18 01:50:40.705, 0, 97, 121.33
2025/01/18 01:50:41.705, 0, 97, 120.57
2025/01/18 01:50:42.705, 0, 96, 111.32
2025/01/18 01:50:43.706, 0, 95, 112.52
2025/01/18 01:50:44.706, 0, 96, 123.70
2025/01/18 01:50:45.706, 0, 96, 120.68
2025/01/18 01:50:46.706, 0, 95, 110.54
2025/01/18 01:50:47.706, 0, 95, 107.97
2025/01/18 01:50:48.707, 0, 95, 109.03
2025/01/18 01:50:49.707, 0, 95, 108.90
2025/01/18 01:50:50.707, 0, 96, 112.04
2025/01/18 01:50:51.707, 0, 95, 121.29
2025/01/18 01:50:52.708, 0, 95, 127.37
2025/01/18 01:50:53.708, 0, 96, 111.01
2025/01/18 01:50:54.708, 0, 96, 110.26
2025/01/18 01:50:55.708, 0, 96, 118.43
2025/01/18 01:50:56.708, 0, 96, 110.99
2025/01/18 01:50:57.708, 0, 96, 109.86
2025/01/18 01:50:58.709, 0, 96, 103.68
