timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/12 10:46:32.999, 0, 0, 38.59
2025/01/12 10:46:34.001, 0, 0, 38.87
2025/01/12 10:46:35.001, 0, 0, 38.58
2025/01/12 10:46:36.001, 0, 0, 38.58
2025/01/12 10:46:37.001, 0, 0, 38.47
2025/01/12 10:46:38.001, 0, 0, 38.39
2025/01/12 10:46:39.001, 0, 0, 38.38
2025/01/12 10:46:40.001, 0, 0, 38.27
2025/01/12 10:46:41.002, 0, 0, 38.00
2025/01/12 10:46:42.002, 0, 0, 38.29
2025/01/12 10:46:43.002, 0, 0, 38.20
2025/01/12 10:46:44.002, 0, 0, 38.19
2025/01/12 10:46:45.002, 0, 0, 38.08
2025/01/12 10:46:46.002, 0, 0, 38.07
2025/01/12 10:46:47.003, 0, 0, 37.89
2025/01/12 10:46:48.003, 0, 0, 38.08
2025/01/12 10:46:49.003, 0, 0, 38.07
2025/01/12 10:46:50.003, 0, 0, 38.09
2025/01/12 10:46:51.003, 0, 0, 38.08
2025/01/12 10:46:52.004, 0, 0, 37.98
2025/01/12 10:46:53.004, 0, 0, 38.07
2025/01/12 10:46:54.004, 0, 0, 38.08
2025/01/12 10:46:55.004, 0, 0, 37.89
2025/01/12 10:46:56.004, 0, 0, 37.80
2025/01/12 10:46:57.004, 0, 0, 37.90
2025/01/12 10:46:58.005, 0, 0, 38.07
2025/01/12 10:46:59.005, 0, 0, 37.88
2025/01/12 10:47:00.005, 0, 0, 38.09
2025/01/12 10:47:01.005, 0, 22, 38.97
2025/01/12 10:47:02.006, 0, 48, 38.91
2025/01/12 10:47:03.006, 0, 58, 37.74
2025/01/12 10:47:04.006, 0, 41, 38.71
2025/01/12 10:47:05.006, 0, 0, 37.50
2025/01/12 10:47:06.006, 0, 0, 37.53
2025/01/12 10:47:07.007, 0, 0, 37.49
2025/01/12 10:47:08.007, 0, 0, 37.39
2025/01/12 10:47:09.007, 0, 0, 37.97
2025/01/12 10:47:10.007, 0, 0, 37.89
2025/01/12 10:47:11.007, 0, 0, 37.88
2025/01/12 10:47:12.008, 0, 0, 37.90
2025/01/12 10:47:13.008, 0, 0, 37.79
2025/01/12 10:47:14.008, 0, 0, 37.69
2025/01/12 10:47:15.008, 0, 0, 37.53
2025/01/12 10:47:16.008, 0, 0, 38.10
2025/01/12 10:47:17.009, 0, 0, 37.89
2025/01/12 10:47:18.009, 0, 0, 37.69
2025/01/12 10:47:19.009, 0, 0, 37.80
2025/01/12 10:47:20.009, 0, 0, 37.58
2025/01/12 10:47:21.009, 0, 0, 37.39
2025/01/12 10:47:22.010, 0, 0, 37.19
2025/01/12 10:47:23.010, 0, 0, 38.15
2025/01/12 10:47:24.010, 0, 0, 37.59
2025/01/12 10:47:25.010, 0, 0, 37.78
2025/01/12 10:47:26.010, 0, 0, 37.69
2025/01/12 10:47:27.011, 0, 0, 37.50
2025/01/12 10:47:28.011, 0, 0, 37.30
2025/01/12 10:47:29.011, 0, 0, 37.58
2025/01/12 10:47:30.011, 0, 0, 37.49
2025/01/12 10:47:31.012, 0, 0, 37.30
2025/01/12 10:47:32.012, 0, 0, 37.67
2025/01/12 10:47:33.012, 0, 0, 37.29
