timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/18 23:17:00.438, 0, 0, 38.62
2025/01/18 23:17:01.438, 0, 0, 38.52
2025/01/18 23:17:02.438, 0, 0, 38.51
2025/01/18 23:17:03.439, 0, 0, 38.41
2025/01/18 23:17:04.439, 0, 0, 38.40
2025/01/18 23:17:05.439, 0, 0, 38.11
2025/01/18 23:17:06.439, 0, 0, 38.32
2025/01/18 23:17:07.439, 0, 0, 38.32
2025/01/18 23:17:08.440, 0, 0, 38.32
2025/01/18 23:17:09.440, 0, 0, 38.31
2025/01/18 23:17:10.440, 0, 0, 38.22
2025/01/18 23:17:11.441, 0, 0, 38.11
2025/01/18 23:17:12.441, 0, 0, 38.22
2025/01/18 23:17:13.441, 0, 0, 38.11
2025/01/18 23:17:14.442, 0, 0, 38.11
2025/01/18 23:17:15.442, 0, 0, 38.01
2025/01/18 23:17:16.442, 0, 0, 38.01
2025/01/18 23:17:17.442, 0, 0, 38.11
2025/01/18 23:17:18.442, 0, 0, 37.90
2025/01/18 23:17:19.443, 0, 0, 38.01
2025/01/18 23:17:20.443, 0, 0, 37.91
2025/01/18 23:17:21.443, 0, 0, 38.09
2025/01/18 23:17:22.443, 0, 0, 37.91
2025/01/18 23:17:23.443, 0, 0, 38.21
2025/01/18 23:17:24.444, 0, 0, 37.90
2025/01/18 23:17:25.444, 0, 52, 37.91
2025/01/18 23:17:26.444, 0, 21, 38.50
2025/01/18 23:17:27.444, 0, 37, 38.59
2025/01/18 23:17:28.444, 0, 85, 37.91
2025/01/18 23:17:29.445, 0, 69, 38.01
2025/01/18 23:17:30.445, 0, 82, 38.69
2025/01/18 23:17:31.445, 0, 81, 38.49
2025/01/18 23:17:32.445, 0, 0, 37.83
2025/01/18 23:17:33.446, 0, 0, 37.83
2025/01/18 23:17:34.446, 0, 0, 37.73
2025/01/18 23:17:35.446, 0, 0, 37.91
2025/01/18 23:17:36.446, 0, 0, 37.81
2025/01/18 23:17:37.447, 0, 0, 37.80
2025/01/18 23:17:38.447, 0, 0, 37.81
2025/01/18 23:17:39.447, 0, 0, 37.71
2025/01/18 23:17:40.447, 0, 0, 37.70
2025/01/18 23:17:41.447, 0, 0, 38.01
2025/01/18 23:17:42.448, 0, 0, 38.01
2025/01/18 23:17:43.448, 0, 0, 37.81
2025/01/18 23:17:44.448, 0, 0, 37.71
2025/01/18 23:17:45.448, 0, 0, 37.62
2025/01/18 23:17:46.448, 0, 0, 37.71
2025/01/18 23:17:47.449, 0, 0, 37.62
2025/01/18 23:17:48.449, 0, 0, 37.52
2025/01/18 23:17:49.449, 0, 0, 37.62
2025/01/18 23:17:50.449, 0, 0, 37.62
2025/01/18 23:17:51.450, 0, 0, 37.81
2025/01/18 23:17:52.450, 0, 0, 37.62
2025/01/18 23:17:53.450, 0, 0, 37.61
2025/01/18 23:17:54.450, 0, 0, 37.61
2025/01/18 23:17:55.450, 0, 0, 37.62
2025/01/18 23:17:56.451, 0, 0, 37.61
2025/01/18 23:17:57.451, 0, 0, 37.62
2025/01/18 23:17:58.451, 0, 0, 37.71
2025/01/18 23:17:59.451, 0, 0, 37.80
2025/01/18 23:18:00.451, 0, 0, 37.60
2025/01/18 23:18:01.452, 0, 0, 37.62
2025/01/18 23:18:02.452, 0, 0, 37.62
2025/01/18 23:18:03.452, 0, 0, 37.52
2025/01/18 23:18:04.452, 0, 0, 37.52
2025/01/18 23:18:05.452, 0, 0, 37.12
2025/01/18 23:18:06.453, 0, 0, 37.12
2025/01/18 23:18:07.453, 0, 0, 37.42
2025/01/18 23:18:08.453, 0, 0, 37.41
2025/01/18 23:18:09.453, 0, 0, 37.11
2025/01/18 23:18:10.453, 0, 0, 37.42
2025/01/18 23:18:11.454, 0, 0, 37.32
2025/01/18 23:18:12.454, 0, 99, 121.88
2025/01/18 23:18:13.454, 0, 98, 120.25
2025/01/18 23:18:14.454, 0, 98, 116.38
2025/01/18 23:18:15.454, 0, 98, 121.40
2025/01/18 23:18:16.455, 0, 98, 120.68
2025/01/18 23:18:17.455, 0, 98, 119.39
2025/01/18 23:18:18.455, 0, 98, 119.19
2025/01/18 23:18:19.455, 0, 98, 116.06
2025/01/18 23:18:20.456, 0, 98, 122.75
2025/01/18 23:18:21.456, 0, 98, 120.29
2025/01/18 23:18:22.456, 0, 98, 121.31
2025/01/18 23:18:23.456, 0, 95, 134.72
2025/01/18 23:18:24.456, 0, 98, 118.89
2025/01/18 23:18:25.456, 0, 98, 123.29
2025/01/18 23:18:26.457, 0, 98, 123.13
2025/01/18 23:18:27.457, 0, 98, 124.79
2025/01/18 23:18:28.457, 0, 98, 123.20
2025/01/18 23:18:29.457, 0, 98, 127.74
2025/01/18 23:18:30.458, 0, 98, 123.69
2025/01/18 23:18:31.458, 0, 98, 118.89
2025/01/18 23:18:32.458, 0, 98, 119.13
2025/01/18 23:18:33.458, 0, 98, 122.67
2025/01/18 23:18:34.458, 0, 97, 154.14
2025/01/18 23:18:35.459, 0, 98, 122.59
2025/01/18 23:18:36.459, 0, 98, 119.53
2025/01/18 23:18:37.459, 0, 98, 122.01
2025/01/18 23:18:38.459, 0, 98, 127.64
2025/01/18 23:18:39.459, 0, 98, 120.63
2025/01/18 23:18:40.460, 0, 98, 122.49
2025/01/18 23:18:41.460, 0, 98, 121.83
2025/01/18 23:18:42.460, 0, 98, 118.86
2025/01/18 23:18:43.460, 0, 98, 117.49
2025/01/18 23:18:44.461, 0, 98, 120.94
2025/01/18 23:18:45.461, 0, 98, 157.23
2025/01/18 23:18:46.461, 0, 98, 123.94
2025/01/18 23:18:47.461, 0, 98, 123.95
2025/01/18 23:18:48.461, 0, 98, 122.07
2025/01/18 23:18:49.462, 0, 98, 124.62
2025/01/18 23:18:50.462, 0, 98, 122.60
2025/01/18 23:18:51.462, 0, 98, 120.45
2025/01/18 23:18:52.462, 0, 98, 124.79
2025/01/18 23:18:53.462, 0, 98, 122.04
2025/01/18 23:18:54.463, 0, 98, 123.37
2025/01/18 23:18:55.463, 0, 98, 124.19
2025/01/18 23:18:56.463, 0, 96, 136.27
2025/01/18 23:18:57.463, 0, 97, 127.08
2025/01/18 23:18:58.463, 0, 98, 125.56
2025/01/18 23:18:59.464, 0, 98, 116.21
2025/01/18 23:19:00.464, 0, 98, 125.50
2025/01/18 23:19:01.464, 0, 98, 116.79
2025/01/18 23:19:02.464, 0, 98, 124.27
2025/01/18 23:19:03.465, 0, 98, 123.63
2025/01/18 23:19:04.465, 0, 98, 120.20
2025/01/18 23:19:05.465, 0, 98, 123.54
2025/01/18 23:19:06.465, 0, 98, 123.81
2025/01/18 23:19:07.465, 0, 96, 159.55
2025/01/18 23:19:08.466, 0, 98, 120.29
2025/01/18 23:19:09.466, 0, 97, 118.48
2025/01/18 23:19:10.466, 0, 97, 117.96
2025/01/18 23:19:11.466, 0, 98, 124.52
2025/01/18 23:19:12.466, 0, 98, 126.56
2025/01/18 23:19:13.467, 0, 97, 118.04
2025/01/18 23:19:14.467, 0, 98, 125.44
2025/01/18 23:19:15.467, 0, 97, 117.04
2025/01/18 23:19:16.467, 0, 98, 120.83
2025/01/18 23:19:17.467, 0, 98, 129.60
2025/01/18 23:19:18.468, 0, 98, 123.41
2025/01/18 23:19:19.468, 0, 97, 127.91
2025/01/18 23:19:20.468, 0, 97, 131.85
2025/01/18 23:19:21.468, 0, 97, 115.69
2025/01/18 23:19:22.469, 0, 97, 117.69
2025/01/18 23:19:23.469, 0, 98, 118.36
2025/01/18 23:19:24.469, 0, 97, 123.83
2025/01/18 23:19:25.469, 0, 97, 121.20
2025/01/18 23:19:26.469, 0, 97, 122.21
2025/01/18 23:19:27.470, 0, 98, 126.76
2025/01/18 23:19:28.470, 0, 98, 125.18
2025/01/18 23:19:29.470, 0, 98, 122.17
2025/01/18 23:19:30.470, 0, 97, 118.89
2025/01/18 23:19:31.470, 0, 97, 119.26
2025/01/18 23:19:32.471, 0, 97, 116.55
2025/01/18 23:19:33.471, 0, 98, 125.12
2025/01/18 23:19:34.471, 0, 98, 132.55
2025/01/18 23:19:35.471, 0, 98, 128.50
2025/01/18 23:19:36.472, 0, 98, 121.29
2025/01/18 23:19:37.472, 0, 98, 125.60
2025/01/18 23:19:38.472, 0, 98, 126.65
2025/01/18 23:19:39.472, 0, 97, 128.62
2025/01/18 23:19:40.472, 0, 97, 127.96
2025/01/18 23:19:41.472, 0, 98, 129.17
2025/01/18 23:19:42.473, 0, 97, 133.12
2025/01/18 23:19:43.473, 0, 97, 118.82
2025/01/18 23:19:44.473, 0, 97, 134.24
2025/01/18 23:19:45.473, 0, 97, 128.07
2025/01/18 23:19:46.474, 0, 97, 130.48
2025/01/18 23:19:47.474, 0, 97, 120.09
2025/01/18 23:19:48.474, 0, 98, 121.76
2025/01/18 23:19:49.474, 0, 97, 122.06
2025/01/18 23:19:50.474, 0, 97, 133.55
2025/01/18 23:19:51.475, 0, 98, 120.38
2025/01/18 23:19:52.475, 0, 97, 119.45
2025/01/18 23:19:53.475, 0, 98, 117.11
2025/01/18 23:19:54.475, 0, 97, 124.97
2025/01/18 23:19:55.475, 0, 97, 134.28
2025/01/18 23:19:56.476, 0, 97, 128.78
2025/01/18 23:19:57.476, 0, 97, 130.88
2025/01/18 23:19:58.476, 0, 98, 119.28
2025/01/18 23:19:59.476, 0, 97, 122.44
2025/01/18 23:20:00.476, 0, 98, 125.18
2025/01/18 23:20:01.477, 0, 97, 131.85
2025/01/18 23:20:02.477, 0, 97, 125.58
2025/01/18 23:20:03.477, 0, 97, 125.67
2025/01/18 23:20:04.477, 0, 97, 115.96
2025/01/18 23:20:05.477, 0, 97, 125.75
2025/01/18 23:20:06.478, 0, 97, 126.58
2025/01/18 23:20:07.478, 0, 98, 120.36
2025/01/18 23:20:08.478, 0, 97, 118.24
2025/01/18 23:20:09.478, 0, 98, 115.96
2025/01/18 23:20:10.479, 0, 98, 123.93
2025/01/18 23:20:11.479, 0, 97, 119.12
2025/01/18 23:20:12.479, 0, 97, 119.31
2025/01/18 23:20:13.479, 0, 97, 120.34
2025/01/18 23:20:14.479, 0, 98, 117.66
2025/01/18 23:20:15.480, 0, 97, 127.22
2025/01/18 23:20:16.480, 0, 97, 122.20
2025/01/18 23:20:17.480, 0, 98, 128.97
2025/01/18 23:20:18.480, 0, 98, 125.67
2025/01/18 23:20:19.480, 0, 98, 132.82
2025/01/18 23:20:20.481, 0, 98, 118.34
2025/01/18 23:20:21.481, 0, 96, 130.77
2025/01/18 23:20:22.481, 0, 97, 118.73
2025/01/18 23:20:23.481, 0, 97, 122.57
2025/01/18 23:20:24.481, 0, 97, 118.87
2025/01/18 23:20:25.482, 0, 98, 133.14
2025/01/18 23:20:26.482, 0, 97, 122.15
2025/01/18 23:20:27.482, 0, 97, 121.38
2025/01/18 23:20:28.482, 0, 97, 117.45
2025/01/18 23:20:29.482, 0, 98, 124.08
2025/01/18 23:20:30.483, 0, 97, 121.51
2025/01/18 23:20:31.483, 0, 98, 120.44
2025/01/18 23:20:32.483, 0, 97, 131.63
2025/01/18 23:20:33.483, 0, 97, 119.04
2025/01/18 23:20:34.484, 0, 97, 125.91
2025/01/18 23:20:35.484, 0, 98, 118.39
2025/01/18 23:20:36.484, 0, 97, 121.43
2025/01/18 23:20:37.484, 0, 98, 117.84
2025/01/18 23:20:38.484, 0, 97, 123.58
2025/01/18 23:20:39.485, 0, 97, 116.97
2025/01/18 23:20:40.485, 0, 97, 126.23
2025/01/18 23:20:41.485, 0, 97, 116.99
2025/01/18 23:20:42.485, 0, 96, 124.13
2025/01/18 23:20:43.485, 0, 97, 131.77
2025/01/18 23:20:44.486, 0, 97, 118.17
2025/01/18 23:20:45.486, 0, 97, 124.13
2025/01/18 23:20:46.486, 0, 97, 129.83
2025/01/18 23:20:47.486, 0, 98, 119.64
2025/01/18 23:20:48.486, 0, 97, 123.30
2025/01/18 23:20:49.487, 0, 97, 130.00
2025/01/18 23:20:50.487, 0, 97, 121.69
2025/01/18 23:20:51.487, 0, 97, 121.66
2025/01/18 23:20:52.487, 0, 98, 120.66
2025/01/18 23:20:53.487, 0, 97, 120.82
2025/01/18 23:20:54.488, 0, 97, 122.39
2025/01/18 23:20:55.488, 0, 97, 129.55
2025/01/18 23:20:56.488, 0, 97, 133.51
2025/01/18 23:20:57.488, 0, 97, 124.11
2025/01/18 23:20:58.489, 0, 98, 116.93
2025/01/18 23:20:59.489, 0, 97, 115.63
2025/01/18 23:21:00.489, 0, 97, 124.03
2025/01/18 23:21:01.489, 0, 97, 115.56
2025/01/18 23:21:02.489, 0, 97, 117.23
2025/01/18 23:21:03.490, 0, 97, 127.18
2025/01/18 23:21:04.490, 0, 97, 126.47
2025/01/18 23:21:05.490, 0, 97, 120.92
2025/01/18 23:21:06.490, 0, 98, 130.98
2025/01/18 23:21:07.490, 0, 97, 121.44
2025/01/18 23:21:08.491, 0, 97, 125.47
