timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/18 13:23:57.010, 0, 0, 38.81
2025/01/18 13:23:58.011, 0, 0, 38.57
2025/01/18 13:23:59.011, 0, 0, 38.71
2025/01/18 13:24:00.011, 0, 0, 38.71
2025/01/18 13:24:01.011, 0, 0, 38.51
2025/01/18 13:24:02.012, 0, 0, 38.60
2025/01/18 13:24:03.012, 0, 0, 38.59
2025/01/18 13:24:04.012, 0, 0, 38.51
2025/01/18 13:24:05.012, 0, 0, 38.51
2025/01/18 13:24:06.012, 0, 0, 38.19
2025/01/18 13:24:07.012, 0, 0, 38.32
2025/01/18 13:24:08.013, 0, 0, 38.01
2025/01/18 13:24:09.013, 0, 0, 37.91
2025/01/18 13:24:10.013, 0, 0, 38.32
2025/01/18 13:24:11.013, 0, 0, 38.30
2025/01/18 13:24:12.013, 0, 0, 38.32
2025/01/18 13:24:13.013, 0, 0, 38.32
2025/01/18 13:24:14.014, 0, 0, 38.21
2025/01/18 13:24:15.014, 0, 0, 38.32
2025/01/18 13:24:16.014, 0, 0, 38.32
2025/01/18 13:24:17.014, 0, 0, 38.11
2025/01/18 13:24:18.014, 0, 0, 38.11
2025/01/18 13:24:19.014, 0, 0, 38.10
2025/01/18 13:24:20.015, 0, 0, 37.91
2025/01/18 13:24:21.015, 0, 57, 39.17
2025/01/18 13:24:22.015, 0, 54, 39.47
2025/01/18 13:24:23.015, 0, 24, 38.40
2025/01/18 13:24:24.016, 0, 0, 38.78
2025/01/18 13:24:25.016, 0, 55, 38.88
2025/01/18 13:24:26.016, 0, 53, 38.50
2025/01/18 13:24:27.016, 0, 61, 38.69
2025/01/18 13:24:28.016, 0, 0, 37.93
2025/01/18 13:24:29.017, 0, 0, 37.83
2025/01/18 13:24:30.017, 0, 0, 38.02
2025/01/18 13:24:31.017, 0, 0, 38.31
2025/01/18 13:24:32.018, 0, 0, 38.11
2025/01/18 13:24:33.018, 0, 0, 38.10
2025/01/18 13:24:34.018, 0, 0, 38.01
2025/01/18 13:24:35.018, 0, 0, 38.61
2025/01/18 13:24:36.018, 0, 0, 37.91
2025/01/18 13:24:37.019, 0, 0, 37.71
2025/01/18 13:24:38.019, 0, 0, 37.91
2025/01/18 13:24:39.019, 0, 0, 37.91
2025/01/18 13:24:40.019, 0, 0, 37.81
2025/01/18 13:24:41.020, 0, 0, 37.90
2025/01/18 13:24:42.020, 0, 0, 37.91
2025/01/18 13:24:43.020, 0, 0, 37.90
2025/01/18 13:24:44.020, 0, 0, 37.91
2025/01/18 13:24:45.020, 0, 0, 37.90
2025/01/18 13:24:46.021, 0, 0, 37.62
2025/01/18 13:24:47.021, 0, 0, 37.81
2025/01/18 13:24:48.021, 0, 0, 37.81
2025/01/18 13:24:49.021, 0, 0, 37.71
2025/01/18 13:24:50.022, 0, 0, 37.71
2025/01/18 13:24:51.022, 0, 0, 37.71
2025/01/18 13:24:52.022, 0, 0, 37.52
2025/01/18 13:24:53.022, 0, 0, 37.41
2025/01/18 13:24:54.022, 0, 0, 37.41
2025/01/18 13:24:55.023, 0, 0, 37.80
2025/01/18 13:24:56.023, 0, 0, 37.41
2025/01/18 13:24:57.023, 0, 0, 37.61
2025/01/18 13:24:58.023, 0, 0, 37.52
2025/01/18 13:24:59.024, 0, 0, 37.21
2025/01/18 13:25:00.024, 0, 0, 37.42
2025/01/18 13:25:01.024, 0, 0, 37.51
2025/01/18 13:25:02.024, 0, 0, 37.42
2025/01/18 13:25:03.024, 0, 0, 37.52
2025/01/18 13:25:04.025, 0, 0, 37.00
2025/01/18 13:25:05.025, 0, 0, 37.32
2025/01/18 13:25:06.025, 0, 0, 37.32
2025/01/18 13:25:07.025, 0, 0, 37.32
2025/01/18 13:25:08.026, 0, 93, 37.62
2025/01/18 13:25:09.026, 0, 97, 117.06
2025/01/18 13:25:10.026, 0, 97, 121.53
2025/01/18 13:25:11.026, 0, 97, 119.29
2025/01/18 13:25:12.026, 0, 97, 119.24
2025/01/18 13:25:13.027, 0, 97, 119.18
2025/01/18 13:25:14.027, 0, 97, 119.69
2025/01/18 13:25:15.027, 0, 97, 127.57
2025/01/18 13:25:16.027, 0, 97, 122.01
2025/01/18 13:25:17.028, 0, 97, 122.01
2025/01/18 13:25:18.028, 0, 97, 122.91
2025/01/18 13:25:19.028, 0, 97, 117.21
2025/01/18 13:25:20.028, 0, 97, 122.99
2025/01/18 13:25:21.028, 0, 97, 119.10
2025/01/18 13:25:22.029, 0, 97, 120.53
2025/01/18 13:25:23.029, 0, 97, 117.99
2025/01/18 13:25:24.029, 0, 96, 121.37
2025/01/18 13:25:25.029, 0, 97, 120.09
2025/01/18 13:25:26.029, 0, 97, 119.02
2025/01/18 13:25:27.030, 0, 98, 119.29
2025/01/18 13:25:28.030, 0, 97, 113.92
2025/01/18 13:25:29.030, 0, 97, 119.90
2025/01/18 13:25:30.030, 0, 98, 122.30
2025/01/18 13:25:31.031, 0, 97, 118.85
2025/01/18 13:25:32.031, 0, 97, 121.49
2025/01/18 13:25:33.031, 0, 97, 121.31
