timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/06 22:46:46.354, 1, 0, 39.21
2025/01/06 22:46:47.355, 1, 0, 39.21
2025/01/06 22:46:48.355, 1, 0, 39.29
2025/01/06 22:46:49.355, 1, 0, 39.11
2025/01/06 22:46:50.355, 1, 0, 39.11
2025/01/06 22:46:51.355, 1, 0, 39.11
2025/01/06 22:46:52.355, 1, 0, 39.11
2025/01/06 22:46:53.355, 1, 0, 39.11
2025/01/06 22:46:54.356, 1, 0, 38.91
2025/01/06 22:46:55.356, 1, 0, 38.82
2025/01/06 22:46:56.356, 1, 0, 39.01
2025/01/06 22:46:57.356, 1, 0, 39.01
2025/01/06 22:46:58.356, 1, 0, 39.08
2025/01/06 22:46:59.356, 1, 0, 38.82
2025/01/06 22:47:00.356, 1, 0, 38.79
2025/01/06 22:47:01.357, 1, 0, 39.01
2025/01/06 22:47:02.357, 1, 0, 38.82
2025/01/06 22:47:03.357, 1, 0, 38.82
2025/01/06 22:47:04.357, 1, 0, 38.72
2025/01/06 22:47:05.357, 1, 0, 38.82
2025/01/06 22:47:06.357, 1, 0, 38.72
2025/01/06 22:47:07.358, 1, 0, 38.72
2025/01/06 22:47:08.358, 1, 0, 38.72
2025/01/06 22:47:09.358, 1, 0, 38.72
2025/01/06 22:47:10.358, 1, 0, 38.52
2025/01/06 22:47:11.358, 1, 0, 38.72
2025/01/06 22:47:12.358, 1, 0, 38.51
2025/01/06 22:47:13.358, 1, 0, 38.52
2025/01/06 22:47:14.359, 1, 4, 38.42
2025/01/06 22:47:15.359, 1, 12, 39.49
2025/01/06 22:47:16.359, 1, 12, 38.42
2025/01/06 22:47:17.359, 1, 43, 39.50
2025/01/06 22:47:18.359, 1, 50, 38.40
2025/01/06 22:47:19.359, 1, 0, 38.33
2025/01/06 22:47:20.359, 1, 0, 38.52
2025/01/06 22:47:21.359, 1, 0, 38.53
2025/01/06 22:47:22.360, 1, 0, 38.53
2025/01/06 22:47:23.360, 1, 0, 38.43
2025/01/06 22:47:24.360, 1, 0, 38.53
2025/01/06 22:47:25.360, 1, 0, 38.62
2025/01/06 22:47:26.360, 1, 100, 162.22
2025/01/06 22:47:27.360, 1, 100, 185.37
2025/01/06 22:47:28.361, 1, 100, 178.78
2025/01/06 22:47:29.361, 1, 39, 132.34
2025/01/06 22:47:30.361, 1, 98, 129.76
2025/01/06 22:47:31.361, 1, 98, 132.50
2025/01/06 22:47:32.361, 1, 96, 133.04
2025/01/06 22:47:33.361, 1, 97, 123.33
2025/01/06 22:47:34.361, 1, 97, 130.22
2025/01/06 22:47:35.362, 1, 98, 118.84
2025/01/06 22:47:36.362, 1, 96, 132.07
2025/01/06 22:47:37.362, 1, 96, 134.15
2025/01/06 22:47:38.362, 1, 98, 124.82
2025/01/06 22:47:39.362, 1, 96, 132.26
2025/01/06 22:47:40.362, 1, 98, 121.03
2025/01/06 22:47:41.362, 1, 98, 129.49
2025/01/06 22:47:42.363, 1, 96, 134.33
2025/01/06 22:47:43.363, 1, 97, 112.42
2025/01/06 22:47:44.363, 1, 98, 133.68
2025/01/06 22:47:45.363, 1, 98, 134.04
2025/01/06 22:47:46.363, 1, 96, 135.95
2025/01/06 22:47:47.363, 1, 96, 106.90
2025/01/06 22:47:48.364, 1, 98, 107.22
2025/01/06 22:47:49.364, 1, 98, 137.07
2025/01/06 22:47:50.364, 1, 97, 130.90
2025/01/06 22:47:51.364, 1, 97, 132.84
2025/01/06 22:47:52.364, 1, 96, 138.90
2025/01/06 22:47:53.364, 1, 96, 130.65
2025/01/06 22:47:54.364, 1, 98, 114.98
2025/01/06 22:47:55.365, 1, 96, 128.64
2025/01/06 22:47:56.365, 1, 96, 102.54
2025/01/06 22:47:57.365, 1, 97, 136.88
2025/01/06 22:47:58.365, 1, 97, 100.83
2025/01/06 22:47:59.365, 1, 97, 134.52
2025/01/06 22:48:00.365, 1, 96, 109.24
2025/01/06 22:48:01.365, 1, 96, 130.62
2025/01/06 22:48:02.366, 1, 96, 117.18
2025/01/06 22:48:03.366, 1, 98, 135.44
2025/01/06 22:48:04.366, 1, 98, 139.57
2025/01/06 22:48:05.366, 1, 100, 172.66
2025/01/06 22:48:06.366, 1, 100, 163.70
2025/01/06 22:48:07.366, 1, 100, 158.76
2025/01/06 22:48:08.366, 1, 98, 133.20
2025/01/06 22:48:09.367, 1, 97, 128.59
2025/01/06 22:48:10.367, 1, 98, 131.75
2025/01/06 22:48:11.367, 1, 98, 133.05
2025/01/06 22:48:12.367, 1, 96, 133.94
2025/01/06 22:48:13.367, 1, 98, 134.09
2025/01/06 22:48:14.367, 1, 96, 110.42
2025/01/06 22:48:15.367, 1, 98, 133.28
2025/01/06 22:48:16.368, 1, 96, 138.76
2025/01/06 22:48:17.368, 1, 97, 130.73
2025/01/06 22:48:18.368, 1, 98, 134.54
2025/01/06 22:48:19.368, 1, 98, 106.70
2025/01/06 22:48:20.368, 1, 98, 131.92
2025/01/06 22:48:21.368, 1, 98, 135.02
2025/01/06 22:48:22.369, 1, 96, 126.07
2025/01/06 22:48:23.369, 1, 97, 120.33
2025/01/06 22:48:24.369, 1, 96, 132.90
2025/01/06 22:48:25.369, 1, 98, 133.82
2025/01/06 22:48:26.369, 1, 97, 100.33
2025/01/06 22:48:27.369, 1, 96, 133.06
2025/01/06 22:48:28.369, 1, 97, 119.23
2025/01/06 22:48:29.370, 1, 98, 138.24
2025/01/06 22:48:30.370, 1, 98, 136.64
2025/01/06 22:48:31.370, 1, 98, 135.81
2025/01/06 22:48:32.370, 1, 97, 131.52
2025/01/06 22:48:33.370, 1, 97, 139.60
2025/01/06 22:48:34.370, 1, 98, 133.68
2025/01/06 22:48:35.371, 1, 98, 113.37
2025/01/06 22:48:36.371, 1, 98, 133.69
2025/01/06 22:48:37.371, 1, 98, 116.92
2025/01/06 22:48:38.371, 1, 98, 121.58
2025/01/06 22:48:39.371, 1, 100, 177.12
2025/01/06 22:48:40.371, 1, 100, 177.80
2025/01/06 22:48:41.371, 1, 100, 169.90
2025/01/06 22:48:42.372, 1, 98, 134.74
2025/01/06 22:48:43.372, 1, 98, 134.12
2025/01/06 22:48:44.372, 1, 98, 135.55
2025/01/06 22:48:45.372, 1, 97, 133.00
2025/01/06 22:48:46.372, 1, 96, 115.82
2025/01/06 22:48:47.372, 1, 98, 134.39
2025/01/06 22:48:48.372, 1, 96, 110.43
2025/01/06 22:48:49.373, 1, 96, 136.32
2025/01/06 22:48:50.373, 1, 96, 115.12
2025/01/06 22:48:51.373, 1, 98, 133.71
2025/01/06 22:48:52.373, 1, 97, 136.08
2025/01/06 22:48:53.374, 1, 97, 132.29
2025/01/06 22:48:54.374, 1, 98, 134.28
2025/01/06 22:48:55.374, 1, 96, 111.58
2025/01/06 22:48:56.374, 1, 97, 133.87
