timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/06 12:31:54.628, 1, 0, 39.32
2025/01/06 12:31:55.628, 1, 0, 39.32
2025/01/06 12:31:56.629, 1, 0, 39.18
2025/01/06 12:31:57.629, 1, 0, 39.11
2025/01/06 12:31:58.629, 1, 0, 39.11
2025/01/06 12:31:59.629, 1, 0, 39.21
2025/01/06 12:32:00.629, 1, 0, 39.01
2025/01/06 12:32:01.629, 1, 0, 39.00
2025/01/06 12:32:02.629, 1, 0, 39.01
2025/01/06 12:32:03.630, 1, 0, 38.91
2025/01/06 12:32:04.630, 1, 0, 38.82
2025/01/06 12:32:05.630, 1, 0, 39.01
2025/01/06 12:32:06.630, 1, 0, 38.91
2025/01/06 12:32:07.630, 1, 0, 38.82
2025/01/06 12:32:08.630, 1, 0, 38.72
2025/01/06 12:32:09.630, 1, 0, 38.72
2025/01/06 12:32:10.631, 1, 0, 38.72
2025/01/06 12:32:11.631, 1, 0, 38.73
2025/01/06 12:32:12.631, 1, 0, 38.62
2025/01/06 12:32:13.631, 1, 0, 38.62
2025/01/06 12:32:14.631, 1, 0, 38.72
2025/01/06 12:32:15.631, 1, 0, 38.62
2025/01/06 12:32:16.631, 1, 0, 38.52
2025/01/06 12:32:17.632, 1, 0, 38.62
2025/01/06 12:32:18.632, 1, 0, 38.52
2025/01/06 12:32:19.632, 1, 0, 38.33
2025/01/06 12:32:20.632, 1, 0, 38.33
2025/01/06 12:32:21.632, 1, 0, 38.52
2025/01/06 12:32:22.632, 1, 28, 39.38
2025/01/06 12:32:23.632, 1, 53, 39.29
2025/01/06 12:32:24.632, 1, 30, 38.42
2025/01/06 12:32:25.633, 1, 25, 39.38
2025/01/06 12:32:26.633, 1, 18, 39.59
2025/01/06 12:32:27.633, 1, 40, 38.33
2025/01/06 12:32:28.633, 1, 0, 38.33
2025/01/06 12:32:29.633, 1, 0, 38.42
2025/01/06 12:32:30.633, 1, 0, 38.23
2025/01/06 12:32:31.633, 1, 0, 38.33
2025/01/06 12:32:32.634, 1, 0, 38.33
2025/01/06 12:32:33.634, 1, 0, 38.33
2025/01/06 12:32:34.634, 1, 61, 38.82
2025/01/06 12:32:35.634, 1, 98, 122.05
2025/01/06 12:32:36.634, 1, 98, 151.65
2025/01/06 12:32:37.634, 1, 98, 121.64
2025/01/06 12:32:38.634, 1, 97, 121.19
2025/01/06 12:32:39.635, 1, 98, 138.18
2025/01/06 12:32:40.635, 1, 98, 121.67
2025/01/06 12:32:41.635, 1, 98, 123.59
2025/01/06 12:32:42.635, 1, 98, 151.41
2025/01/06 12:32:43.635, 1, 98, 131.71
2025/01/06 12:32:44.635, 1, 98, 132.73
2025/01/06 12:32:45.635, 1, 98, 122.91
2025/01/06 12:32:46.636, 1, 98, 123.64
2025/01/06 12:32:47.636, 1, 98, 138.37
2025/01/06 12:32:48.636, 1, 98, 123.37
2025/01/06 12:32:49.636, 1, 98, 123.66
2025/01/06 12:32:50.636, 1, 99, 124.49
2025/01/06 12:32:51.636, 1, 98, 123.98
2025/01/06 12:32:52.636, 1, 98, 133.14
2025/01/06 12:32:53.637, 1, 98, 120.61
2025/01/06 12:32:54.637, 1, 98, 148.85
2025/01/06 12:32:55.637, 1, 98, 124.66
2025/01/06 12:32:56.637, 1, 97, 129.81
2025/01/06 12:32:57.637, 1, 98, 122.82
2025/01/06 12:32:58.637, 1, 98, 141.06
2025/01/06 12:32:59.637, 1, 98, 123.38
2025/01/06 12:33:00.637, 1, 98, 126.51
2025/01/06 12:33:01.638, 1, 98, 141.24
2025/01/06 12:33:02.638, 1, 98, 124.51
2025/01/06 12:33:03.638, 1, 97, 126.32
2025/01/06 12:33:04.638, 1, 98, 149.30
2025/01/06 12:33:05.638, 1, 96, 158.81
2025/01/06 12:33:06.638, 1, 98, 145.11
2025/01/06 12:33:07.638, 1, 98, 156.39
2025/01/06 12:33:08.639, 1, 98, 125.94
2025/01/06 12:33:09.639, 1, 98, 127.83
2025/01/06 12:33:10.639, 1, 98, 122.31
2025/01/06 12:33:11.639, 1, 98, 122.50
2025/01/06 12:33:12.639, 1, 98, 155.13
2025/01/06 12:33:13.639, 1, 98, 122.04
2025/01/06 12:33:14.639, 1, 98, 122.67
2025/01/06 12:33:15.640, 1, 98, 124.32
2025/01/06 12:33:16.640, 1, 98, 126.94
2025/01/06 12:33:17.640, 1, 98, 121.81
2025/01/06 12:33:18.640, 1, 98, 124.12
2025/01/06 12:33:19.640, 1, 98, 129.47
2025/01/06 12:33:20.640, 1, 98, 137.39
2025/01/06 12:33:21.640, 1, 99, 139.70
2025/01/06 12:33:22.641, 1, 98, 155.90
2025/01/06 12:33:23.641, 1, 98, 132.54
2025/01/06 12:33:24.641, 1, 98, 121.42
2025/01/06 12:33:25.641, 1, 98, 124.18
2025/01/06 12:33:26.641, 1, 98, 121.34
2025/01/06 12:33:27.641, 1, 98, 127.20
2025/01/06 12:33:28.641, 1, 98, 150.24
2025/01/06 12:33:29.642, 1, 98, 129.28
2025/01/06 12:33:30.642, 1, 98, 133.11
2025/01/06 12:33:31.642, 1, 98, 121.26
2025/01/06 12:33:32.642, 1, 98, 126.61
2025/01/06 12:33:33.642, 1, 98, 133.31
2025/01/06 12:33:34.642, 1, 98, 124.71
2025/01/06 12:33:35.642, 1, 98, 134.28
2025/01/06 12:33:36.643, 1, 98, 132.71
2025/01/06 12:33:37.643, 1, 98, 131.71
2025/01/06 12:33:38.643, 1, 98, 122.60
2025/01/06 12:33:39.643, 1, 98, 129.13
2025/01/06 12:33:40.643, 1, 98, 137.10
2025/01/06 12:33:41.643, 1, 98, 126.57
2025/01/06 12:33:42.643, 1, 98, 129.23
2025/01/06 12:33:43.644, 1, 98, 136.75
2025/01/06 12:33:44.644, 1, 98, 152.99
2025/01/06 12:33:45.644, 1, 98, 125.01
2025/01/06 12:33:46.644, 1, 98, 124.49
