timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/05 20:10:12.495, 0, 0, 38.29
2025/01/05 20:10:13.496, 0, 0, 38.18
2025/01/05 20:10:14.496, 0, 0, 38.49
2025/01/05 20:10:15.496, 0, 0, 38.49
2025/01/05 20:10:16.496, 0, 0, 38.49
2025/01/05 20:10:17.497, 0, 0, 38.38
2025/01/05 20:10:18.497, 0, 0, 38.39
2025/01/05 20:10:19.497, 0, 0, 38.39
2025/01/05 20:10:20.497, 0, 0, 38.08
2025/01/05 20:10:21.497, 0, 0, 38.29
2025/01/05 20:10:22.497, 0, 0, 37.98
2025/01/05 20:10:23.497, 0, 0, 37.98
2025/01/05 20:10:24.498, 0, 0, 37.88
2025/01/05 20:10:25.498, 0, 0, 38.29
2025/01/05 20:10:26.498, 0, 0, 37.89
2025/01/05 20:10:27.498, 0, 0, 38.28
2025/01/05 20:10:28.498, 0, 0, 37.89
2025/01/05 20:10:29.498, 0, 0, 38.18
2025/01/05 20:10:30.498, 0, 0, 38.49
2025/01/05 20:10:31.498, 0, 0, 37.79
2025/01/05 20:10:32.499, 0, 0, 37.69
2025/01/05 20:10:33.499, 0, 0, 38.29
2025/01/05 20:10:34.499, 0, 0, 37.69
2025/01/05 20:10:35.499, 0, 0, 37.98
2025/01/05 20:10:36.499, 0, 0, 37.89
2025/01/05 20:10:37.499, 0, 0, 37.98
2025/01/05 20:10:38.499, 0, 0, 37.98
2025/01/05 20:10:39.500, 0, 0, 37.98
2025/01/05 20:10:40.500, 0, 82, 38.56
2025/01/05 20:10:41.500, 0, 0, 38.79
2025/01/05 20:10:42.500, 0, 65, 37.69
2025/01/05 20:10:43.500, 0, 13, 37.89
2025/01/05 20:10:44.500, 0, 0, 38.57
2025/01/05 20:10:45.500, 0, 56, 38.52
2025/01/05 20:10:46.501, 0, 61, 39.03
2025/01/05 20:10:47.501, 0, 54, 39.04
2025/01/05 20:10:48.501, 0, 0, 37.58
2025/01/05 20:10:49.501, 0, 0, 37.89
2025/01/05 20:10:50.501, 0, 0, 37.79
2025/01/05 20:10:51.501, 0, 0, 37.79
2025/01/05 20:10:52.501, 0, 0, 37.49
2025/01/05 20:10:53.502, 0, 0, 37.40
2025/01/05 20:10:54.502, 0, 89, 159.83
2025/01/05 20:10:55.502, 0, 97, 119.20
2025/01/05 20:10:56.502, 0, 97, 120.53
2025/01/05 20:10:57.502, 0, 97, 122.65
2025/01/05 20:10:58.502, 0, 97, 122.50
2025/01/05 20:10:59.502, 0, 97, 124.00
2025/01/05 20:11:00.502, 0, 96, 97.41
2025/01/05 20:11:01.503, 0, 97, 123.46
2025/01/05 20:11:02.503, 0, 97, 124.01
2025/01/05 20:11:03.503, 0, 97, 119.29
2025/01/05 20:11:04.503, 0, 97, 121.63
2025/01/05 20:11:05.503, 0, 97, 122.72
2025/01/05 20:11:06.503, 0, 97, 124.20
2025/01/05 20:11:07.503, 0, 97, 123.43
2025/01/05 20:11:08.504, 0, 97, 116.31
2025/01/05 20:11:09.504, 0, 97, 124.20
2025/01/05 20:11:10.504, 0, 97, 128.98
2025/01/05 20:11:11.504, 0, 97, 121.62
2025/01/05 20:11:12.504, 0, 97, 122.11
2025/01/05 20:11:13.504, 0, 97, 123.26
2025/01/05 20:11:14.504, 0, 97, 123.66
2025/01/05 20:11:15.504, 0, 97, 118.96
2025/01/05 20:11:16.505, 0, 97, 118.99
2025/01/05 20:11:17.505, 0, 97, 123.52
2025/01/05 20:11:18.505, 0, 97, 125.21
2025/01/05 20:11:19.505, 0, 97, 128.49
2025/01/05 20:11:20.505, 0, 97, 121.39
2025/01/05 20:11:21.505, 0, 100, 122.15
2025/01/05 20:11:22.505, 0, 97, 117.57
2025/01/05 20:11:23.506, 0, 97, 123.88
2025/01/05 20:11:24.506, 0, 97, 121.57
2025/01/05 20:11:25.506, 0, 97, 122.08
2025/01/05 20:11:26.506, 0, 97, 118.45
2025/01/05 20:11:27.506, 0, 97, 121.63
2025/01/05 20:11:28.506, 0, 97, 123.85
2025/01/05 20:11:29.506, 0, 97, 124.04
2025/01/05 20:11:30.507, 0, 97, 123.86
2025/01/05 20:11:31.507, 0, 97, 117.69
2025/01/05 20:11:32.507, 0, 97, 120.88
2025/01/05 20:11:33.507, 0, 94, 169.90
2025/01/05 20:11:34.507, 0, 97, 123.12
2025/01/05 20:11:35.507, 0, 97, 122.43
2025/01/05 20:11:36.507, 0, 97, 119.99
2025/01/05 20:11:37.508, 0, 97, 122.82
2025/01/05 20:11:38.508, 0, 97, 122.22
2025/01/05 20:11:39.508, 0, 97, 124.90
2025/01/05 20:11:40.508, 0, 97, 122.88
2025/01/05 20:11:41.508, 0, 97, 125.29
2025/01/05 20:11:42.508, 0, 97, 111.17
2025/01/05 20:11:43.508, 0, 97, 120.80
2025/01/05 20:11:44.509, 0, 97, 123.50
2025/01/05 20:11:45.509, 0, 97, 124.11
2025/01/05 20:11:46.509, 0, 97, 125.29
2025/01/05 20:11:47.509, 0, 97, 122.37
2025/01/05 20:11:48.509, 0, 97, 122.07
