timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/05 08:02:55.661, 1, 0, 40.09
2025/01/05 08:02:56.662, 1, 0, 39.98
2025/01/05 08:02:57.662, 1, 0, 39.89
2025/01/05 08:02:58.662, 1, 0, 39.83
2025/01/05 08:02:59.662, 1, 0, 39.82
2025/01/05 08:03:00.662, 1, 0, 39.74
2025/01/05 08:03:01.663, 1, 0, 39.71
2025/01/05 08:03:02.663, 1, 0, 39.54
2025/01/05 08:03:03.663, 1, 0, 39.61
2025/01/05 08:03:04.663, 1, 0, 39.53
2025/01/05 08:03:05.663, 1, 0, 39.53
2025/01/05 08:03:06.663, 1, 0, 39.42
2025/01/05 08:03:07.663, 1, 0, 39.42
2025/01/05 08:03:08.663, 1, 0, 39.22
2025/01/05 08:03:09.664, 1, 0, 39.23
2025/01/05 08:03:10.664, 1, 0, 39.14
2025/01/05 08:03:11.664, 1, 0, 39.14
2025/01/05 08:03:12.664, 1, 0, 39.11
2025/01/05 08:03:13.664, 1, 0, 39.11
2025/01/05 08:03:14.665, 1, 0, 39.01
2025/01/05 08:03:15.665, 1, 0, 39.01
2025/01/05 08:03:16.665, 1, 0, 39.01
2025/01/05 08:03:17.665, 1, 0, 38.94
2025/01/05 08:03:18.665, 1, 0, 38.82
2025/01/05 08:03:19.665, 1, 0, 38.93
2025/01/05 08:03:20.665, 1, 0, 38.65
2025/01/05 08:03:21.665, 1, 0, 38.65
2025/01/05 08:03:22.665, 1, 0, 38.65
2025/01/05 08:03:23.666, 1, 0, 38.55
2025/01/05 08:03:24.666, 1, 50, 39.71
2025/01/05 08:03:25.666, 1, 40, 38.65
2025/01/05 08:03:26.666, 1, 0, 38.62
2025/01/05 08:03:27.666, 1, 52, 39.29
2025/01/05 08:03:28.666, 1, 53, 38.52
2025/01/05 08:03:29.666, 1, 12, 39.72
2025/01/05 08:03:30.667, 1, 0, 38.42
2025/01/05 08:03:31.667, 1, 0, 38.42
2025/01/05 08:03:32.667, 1, 0, 38.42
2025/01/05 08:03:33.667, 1, 0, 38.35
2025/01/05 08:03:34.667, 1, 0, 38.35
2025/01/05 08:03:35.667, 1, 9, 38.33
2025/01/05 08:03:36.667, 1, 98, 114.02
2025/01/05 08:03:37.667, 1, 97, 114.70
2025/01/05 08:03:38.668, 1, 98, 118.13
2025/01/05 08:03:39.668, 1, 97, 104.83
2025/01/05 08:03:40.668, 1, 98, 120.68
2025/01/05 08:03:41.668, 1, 97, 119.26
2025/01/05 08:03:42.668, 1, 92, 112.25
2025/01/05 08:03:43.668, 1, 97, 120.51
2025/01/05 08:03:44.669, 1, 97, 121.69
2025/01/05 08:03:45.669, 1, 98, 121.36
2025/01/05 08:03:46.669, 1, 97, 122.57
2025/01/05 08:03:47.669, 1, 97, 122.09
2025/01/05 08:03:48.669, 1, 97, 154.58
2025/01/05 08:03:49.669, 1, 98, 119.68
2025/01/05 08:03:50.669, 1, 97, 119.10
2025/01/05 08:03:51.670, 1, 97, 121.11
2025/01/05 08:03:52.670, 1, 98, 120.59
2025/01/05 08:03:53.670, 1, 98, 121.26
2025/01/05 08:03:54.670, 1, 98, 118.96
2025/01/05 08:03:55.670, 1, 97, 117.46
2025/01/05 08:03:56.670, 1, 97, 119.12
2025/01/05 08:03:57.670, 1, 97, 119.65
2025/01/05 08:03:58.670, 1, 97, 119.47
2025/01/05 08:03:59.671, 1, 100, 156.22
2025/01/05 08:04:00.671, 1, 97, 123.03
2025/01/05 08:04:01.671, 1, 98, 115.81
2025/01/05 08:04:02.671, 1, 98, 119.16
2025/01/05 08:04:03.671, 1, 98, 119.12
2025/01/05 08:04:04.671, 1, 97, 121.24
2025/01/05 08:04:05.671, 1, 97, 120.53
2025/01/05 08:04:06.672, 1, 97, 120.59
2025/01/05 08:04:07.672, 1, 98, 122.58
2025/01/05 08:04:08.672, 1, 98, 121.29
2025/01/05 08:04:09.672, 1, 98, 122.12
2025/01/05 08:04:10.672, 1, 98, 122.71
2025/01/05 08:04:11.672, 1, 97, 121.93
2025/01/05 08:04:12.672, 1, 97, 123.61
2025/01/05 08:04:13.672, 1, 97, 122.92
2025/01/05 08:04:14.673, 1, 97, 121.50
2025/01/05 08:04:15.673, 1, 98, 115.16
2025/01/05 08:04:16.673, 1, 98, 119.16
2025/01/05 08:04:17.673, 1, 98, 119.72
2025/01/05 08:04:18.673, 1, 98, 120.84
2025/01/05 08:04:19.673, 1, 97, 121.43
