timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/02 04:43:40.375, 1, 0, 37.64
2025/01/02 04:43:41.377, 1, 0, 37.40
2025/01/02 04:43:42.377, 1, 0, 37.42
2025/01/02 04:43:43.377, 1, 0, 37.64
2025/01/02 04:43:44.377, 1, 0, 37.62
2025/01/02 04:43:45.378, 1, 0, 37.33
2025/01/02 04:43:46.378, 1, 0, 37.23
2025/01/02 04:43:47.378, 1, 0, 37.31
2025/01/02 04:43:48.378, 1, 0, 37.23
2025/01/02 04:43:49.378, 1, 0, 37.53
2025/01/02 04:43:50.378, 1, 0, 37.10
2025/01/02 04:43:51.378, 1, 0, 37.52
2025/01/02 04:43:52.378, 1, 0, 37.30
2025/01/02 04:43:53.379, 1, 0, 37.53
2025/01/02 04:43:54.379, 1, 0, 37.49
2025/01/02 04:43:55.379, 1, 0, 37.52
2025/01/02 04:43:56.379, 1, 0, 37.42
2025/01/02 04:43:57.379, 1, 0, 37.22
2025/01/02 04:43:58.379, 1, 0, 37.52
2025/01/02 04:43:59.379, 1, 0, 37.52
2025/01/02 04:44:00.380, 1, 0, 37.49
2025/01/02 04:44:01.380, 1, 0, 37.43
2025/01/02 04:44:02.380, 1, 0, 37.53
2025/01/02 04:44:03.380, 1, 0, 37.51
2025/01/02 04:44:04.380, 1, 0, 37.62
2025/01/02 04:44:05.380, 1, 0, 37.52
2025/01/02 04:44:06.380, 1, 0, 37.52
2025/01/02 04:44:07.381, 1, 0, 37.41
2025/01/02 04:44:08.381, 1, 0, 37.52
2025/01/02 04:44:09.381, 1, 34, 37.52
2025/01/02 04:44:10.381, 1, 0, 38.30
2025/01/02 04:44:11.381, 1, 0, 37.58
2025/01/02 04:44:12.381, 1, 39, 38.31
2025/01/02 04:44:13.381, 1, 48, 38.25
2025/01/02 04:44:14.381, 1, 15, 38.41
2025/01/02 04:44:15.382, 1, 16, 37.22
2025/01/02 04:44:16.382, 1, 0, 37.53
2025/01/02 04:44:17.382, 1, 0, 37.23
2025/01/02 04:44:18.382, 1, 0, 37.23
2025/01/02 04:44:19.382, 1, 0, 37.25
2025/01/02 04:44:20.382, 1, 0, 37.25
2025/01/02 04:44:21.382, 1, 0, 37.52
2025/01/02 04:44:22.382, 1, 39, 83.39
2025/01/02 04:44:23.383, 1, 93, 110.60
2025/01/02 04:44:24.383, 1, 94, 108.70
2025/01/02 04:44:25.383, 1, 94, 116.70
2025/01/02 04:44:26.383, 1, 95, 109.09
2025/01/02 04:44:27.383, 1, 95, 112.45
2025/01/02 04:44:28.383, 1, 96, 118.20
2025/01/02 04:44:29.383, 1, 95, 117.03
2025/01/02 04:44:30.384, 1, 95, 110.08
2025/01/02 04:44:31.384, 1, 94, 109.96
2025/01/02 04:44:32.384, 1, 96, 116.89
2025/01/02 04:44:33.384, 1, 95, 115.89
2025/01/02 04:44:34.384, 1, 95, 109.12
2025/01/02 04:44:35.384, 1, 94, 120.10
2025/01/02 04:44:36.384, 1, 96, 112.54
2025/01/02 04:44:37.384, 1, 95, 116.28
2025/01/02 04:44:38.385, 1, 95, 120.48
2025/01/02 04:44:39.385, 1, 97, 116.87
2025/01/02 04:44:40.385, 1, 94, 120.36
2025/01/02 04:44:41.385, 1, 95, 113.81
2025/01/02 04:44:42.385, 1, 96, 114.46
2025/01/02 04:44:43.385, 1, 95, 105.15
2025/01/02 04:44:44.385, 1, 95, 120.15
2025/01/02 04:44:45.386, 1, 96, 115.61
2025/01/02 04:44:46.386, 1, 96, 109.17
2025/01/02 04:44:47.386, 1, 96, 115.44
2025/01/02 04:44:48.386, 1, 97, 112.39
2025/01/02 04:44:49.386, 1, 96, 112.97
2025/01/02 04:44:50.386, 1, 95, 119.05
2025/01/02 04:44:51.386, 1, 95, 110.54
2025/01/02 04:44:52.386, 1, 96, 117.93
2025/01/02 04:44:53.387, 1, 94, 121.62
2025/01/02 04:44:54.387, 1, 95, 118.81
2025/01/02 04:44:55.387, 1, 93, 119.77
2025/01/02 04:44:56.387, 1, 96, 115.91
2025/01/02 04:44:57.387, 1, 97, 109.75
2025/01/02 04:44:58.387, 1, 94, 117.43
2025/01/02 04:44:59.387, 1, 96, 110.44
2025/01/02 04:45:00.388, 1, 97, 113.19
2025/01/02 04:45:01.388, 1, 94, 109.64
2025/01/02 04:45:02.388, 1, 95, 123.05
2025/01/02 04:45:03.388, 1, 96, 118.21
2025/01/02 04:45:04.388, 1, 95, 116.91
2025/01/02 04:45:05.388, 1, 95, 122.89
2025/01/02 04:45:06.388, 1, 95, 114.06
2025/01/02 04:45:07.388, 1, 97, 109.41
2025/01/02 04:45:08.389, 1, 95, 122.51
2025/01/02 04:45:09.389, 1, 95, 121.82
2025/01/02 04:45:10.389, 1, 96, 110.77
2025/01/02 04:45:11.389, 1, 96, 113.72
2025/01/02 04:45:12.389, 1, 94, 113.87
2025/01/02 04:45:13.389, 1, 96, 118.03
2025/01/02 04:45:14.389, 1, 96, 121.17
2025/01/02 04:45:15.389, 1, 95, 111.60
2025/01/02 04:45:16.390, 1, 95, 121.09
2025/01/02 04:45:17.390, 1, 95, 118.99
2025/01/02 04:45:18.390, 1, 96, 117.95
2025/01/02 04:45:19.390, 1, 95, 111.17
2025/01/02 04:45:20.390, 1, 96, 113.75
2025/01/02 04:45:21.390, 1, 95, 120.91
2025/01/02 04:45:22.390, 1, 95, 115.22
2025/01/02 04:45:23.391, 1, 96, 120.14
2025/01/02 04:45:24.391, 1, 95, 121.75
2025/01/02 04:45:25.391, 1, 96, 112.99
2025/01/02 04:45:26.391, 1, 96, 123.58
2025/01/02 04:45:27.391, 1, 95, 133.08
2025/01/02 04:45:28.391, 1, 96, 122.16
2025/01/02 04:45:29.391, 1, 96, 117.33
2025/01/02 04:45:30.391, 1, 95, 112.39
2025/01/02 04:45:31.392, 1, 96, 120.68
2025/01/02 04:45:32.392, 1, 96, 119.60
2025/01/02 04:45:33.392, 1, 96, 109.40
2025/01/02 04:45:34.392, 1, 96, 121.75
2025/01/02 04:45:35.392, 1, 96, 122.47
2025/01/02 04:45:36.392, 1, 95, 124.68
2025/01/02 04:45:37.392, 1, 95, 114.67
2025/01/02 04:45:38.392, 1, 95, 110.97
2025/01/02 04:45:39.393, 1, 95, 120.07
2025/01/02 04:45:40.393, 1, 96, 115.74
2025/01/02 04:45:41.393, 1, 96, 112.76
2025/01/02 04:45:42.393, 1, 95, 116.46
2025/01/02 04:45:43.393, 1, 96, 111.75
2025/01/02 04:45:44.393, 1, 95, 101.35
2025/01/02 04:45:45.393, 1, 95, 123.32
2025/01/02 04:45:46.394, 1, 96, 114.62
2025/01/02 04:45:47.394, 1, 95, 107.85
2025/01/02 04:45:48.394, 1, 95, 120.03
2025/01/02 04:45:49.394, 1, 95, 125.20
2025/01/02 04:45:50.394, 1, 94, 117.75
2025/01/02 04:45:51.394, 1, 96, 122.61
2025/01/02 04:45:52.394, 1, 95, 110.84
2025/01/02 04:45:53.394, 1, 96, 118.09
2025/01/02 04:45:54.395, 1, 96, 111.96
2025/01/02 04:45:55.395, 1, 95, 122.55
2025/01/02 04:45:56.395, 1, 95, 104.35
2025/01/02 04:45:57.395, 1, 96, 118.96
2025/01/02 04:45:58.395, 1, 95, 121.48
2025/01/02 04:45:59.395, 1, 95, 119.54
2025/01/02 04:46:00.395, 1, 95, 116.92
2025/01/02 04:46:01.395, 1, 95, 112.01
2025/01/02 04:46:02.396, 1, 95, 115.59
2025/01/02 04:46:03.396, 1, 96, 121.78
2025/01/02 04:46:04.396, 1, 96, 121.65
2025/01/02 04:46:05.396, 1, 95, 115.21
2025/01/02 04:46:06.396, 1, 94, 118.64
2025/01/02 04:46:07.396, 1, 96, 121.55
2025/01/02 04:46:08.396, 1, 96, 121.15
2025/01/02 04:46:09.397, 1, 95, 115.67
2025/01/02 04:46:10.397, 1, 96, 121.06
2025/01/02 04:46:11.397, 1, 96, 105.61
2025/01/02 04:46:12.397, 1, 95, 123.74
2025/01/02 04:46:13.397, 1, 96, 122.71
2025/01/02 04:46:14.397, 1, 95, 105.17
2025/01/02 04:46:15.397, 1, 95, 121.69
2025/01/02 04:46:16.397, 1, 93, 103.64
2025/01/02 04:46:17.398, 1, 96, 124.86
2025/01/02 04:46:18.398, 1, 94, 117.01
2025/01/02 04:46:19.398, 1, 95, 112.97
2025/01/02 04:46:20.398, 1, 96, 117.11
2025/01/02 04:46:21.398, 1, 95, 122.41
2025/01/02 04:46:22.398, 1, 96, 110.47
2025/01/02 04:46:23.398, 1, 95, 119.58
2025/01/02 04:46:24.398, 1, 97, 124.47
2025/01/02 04:46:25.399, 1, 96, 121.62
2025/01/02 04:46:26.399, 1, 96, 116.63
2025/01/02 04:46:27.399, 1, 94, 116.51
2025/01/02 04:46:28.399, 1, 96, 122.01
2025/01/02 04:46:29.399, 1, 96, 115.75
2025/01/02 04:46:30.399, 1, 95, 121.79
2025/01/02 04:46:31.399, 1, 95, 117.29
2025/01/02 04:46:32.400, 1, 95, 120.47
2025/01/02 04:46:33.400, 1, 96, 123.30
2025/01/02 04:46:34.400, 1, 95, 120.31
2025/01/02 04:46:35.400, 1, 95, 131.49
2025/01/02 04:46:36.400, 1, 96, 117.63
2025/01/02 04:46:37.400, 1, 95, 116.80
2025/01/02 04:46:38.400, 1, 95, 117.50
2025/01/02 04:46:39.400, 1, 95, 121.54
2025/01/02 04:46:40.401, 1, 96, 131.07
2025/01/02 04:46:41.401, 1, 95, 113.06
2025/01/02 04:46:42.401, 1, 95, 121.20
2025/01/02 04:46:43.401, 1, 95, 119.70
2025/01/02 04:46:44.401, 1, 94, 120.85
2025/01/02 04:46:45.401, 1, 95, 104.96
2025/01/02 04:46:46.401, 1, 96, 116.73
2025/01/02 04:46:47.402, 1, 96, 122.60
2025/01/02 04:46:48.402, 1, 95, 127.61
