timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/02 02:18:56.249, 0, 0, 36.82
2025/01/02 02:18:57.250, 0, 0, 36.81
2025/01/02 02:18:58.250, 0, 0, 36.91
2025/01/02 02:18:59.250, 0, 0, 36.81
2025/01/02 02:19:00.251, 0, 0, 36.81
2025/01/02 02:19:01.251, 0, 0, 36.81
2025/01/02 02:19:02.251, 0, 0, 36.71
2025/01/02 02:19:03.251, 0, 0, 36.81
2025/01/02 02:19:04.251, 0, 0, 36.82
2025/01/02 02:19:05.251, 0, 0, 36.82
2025/01/02 02:19:06.252, 0, 0, 36.72
2025/01/02 02:19:07.252, 0, 0, 36.51
2025/01/02 02:19:08.252, 0, 0, 36.82
2025/01/02 02:19:09.252, 0, 0, 36.72
2025/01/02 02:19:10.252, 0, 0, 36.82
2025/01/02 02:19:11.252, 0, 0, 36.72
2025/01/02 02:19:12.252, 0, 0, 36.80
2025/01/02 02:19:13.253, 0, 0, 36.82
2025/01/02 02:19:14.253, 0, 0, 36.81
2025/01/02 02:19:15.253, 0, 0, 37.01
2025/01/02 02:19:16.253, 0, 0, 36.81
2025/01/02 02:19:17.253, 0, 0, 36.70
2025/01/02 02:19:18.253, 0, 0, 36.81
2025/01/02 02:19:19.254, 0, 0, 36.81
2025/01/02 02:19:20.254, 0, 0, 36.81
2025/01/02 02:19:21.254, 0, 0, 36.90
2025/01/02 02:19:22.254, 0, 0, 37.21
2025/01/02 02:19:23.254, 0, 84, 36.90
2025/01/02 02:19:24.254, 0, 85, 37.89
2025/01/02 02:19:25.254, 0, 74, 37.60
2025/01/02 02:19:26.255, 0, 84, 37.40
2025/01/02 02:19:27.255, 0, 49, 37.49
2025/01/02 02:19:28.255, 0, 0, 37.40
2025/01/02 02:19:29.255, 0, 5, 36.61
2025/01/02 02:19:30.255, 0, 18, 36.82
2025/01/02 02:19:31.255, 0, 0, 36.81
2025/01/02 02:19:32.256, 0, 0, 36.92
2025/01/02 02:19:33.256, 0, 0, 36.82
2025/01/02 02:19:34.256, 0, 0, 36.82
2025/01/02 02:19:35.256, 0, 0, 36.81
2025/01/02 02:19:36.256, 0, 0, 36.92
2025/01/02 02:19:37.256, 0, 0, 36.72
2025/01/02 02:19:38.256, 0, 52, 152.84
2025/01/02 02:19:39.257, 0, 89, 82.70
2025/01/02 02:19:40.257, 0, 91, 93.21
2025/01/02 02:19:41.257, 0, 92, 95.95
2025/01/02 02:19:42.257, 0, 92, 90.69
2025/01/02 02:19:43.257, 0, 85, 112.97
2025/01/02 02:19:44.257, 0, 93, 158.17
2025/01/02 02:19:45.258, 0, 90, 113.38
2025/01/02 02:19:46.258, 0, 90, 106.09
2025/01/02 02:19:47.258, 0, 90, 112.58
2025/01/02 02:19:48.258, 0, 90, 88.82
2025/01/02 02:19:49.258, 0, 90, 104.95
2025/01/02 02:19:50.258, 0, 90, 96.98
2025/01/02 02:19:51.259, 0, 91, 100.61
2025/01/02 02:19:52.259, 0, 90, 117.05
2025/01/02 02:19:53.259, 0, 90, 120.21
2025/01/02 02:19:54.259, 0, 92, 115.85
2025/01/02 02:19:55.259, 0, 90, 84.40
2025/01/02 02:19:56.259, 0, 93, 110.10
2025/01/02 02:19:57.259, 0, 90, 114.17
2025/01/02 02:19:58.261, 0, 92, 114.06
2025/01/02 02:19:59.261, 0, 93, 157.88
2025/01/02 02:20:00.262, 0, 90, 115.60
2025/01/02 02:20:01.262, 0, 92, 104.95
2025/01/02 02:20:02.262, 0, 92, 115.52
2025/01/02 02:20:03.262, 0, 90, 98.43
2025/01/02 02:20:04.263, 0, 90, 114.99
2025/01/02 02:20:05.263, 0, 90, 89.17
2025/01/02 02:20:06.263, 0, 92, 111.17
2025/01/02 02:20:07.263, 0, 90, 107.19
2025/01/02 02:20:08.263, 0, 92, 109.68
2025/01/02 02:20:09.263, 0, 90, 93.53
2025/01/02 02:20:10.263, 0, 92, 112.01
2025/01/02 02:20:11.264, 0, 90, 93.88
2025/01/02 02:20:12.264, 0, 90, 91.13
2025/01/02 02:20:13.264, 0, 91, 100.71
2025/01/02 02:20:14.264, 0, 92, 112.18
2025/01/02 02:20:15.264, 0, 90, 102.21
2025/01/02 02:20:16.264, 0, 91, 113.81
2025/01/02 02:20:17.264, 0, 89, 94.55
2025/01/02 02:20:18.265, 0, 90, 118.52
2025/01/02 02:20:19.265, 0, 91, 108.18
2025/01/02 02:20:20.265, 0, 92, 98.85
2025/01/02 02:20:21.265, 0, 90, 82.40
2025/01/02 02:20:22.265, 0, 89, 114.60
2025/01/02 02:20:23.265, 0, 90, 88.75
2025/01/02 02:20:24.266, 0, 93, 112.52
2025/01/02 02:20:25.266, 0, 91, 122.36
2025/01/02 02:20:26.266, 0, 90, 114.86
2025/01/02 02:20:27.266, 0, 90, 112.57
2025/01/02 02:20:28.266, 0, 90, 99.37
2025/01/02 02:20:29.266, 0, 91, 113.56
2025/01/02 02:20:30.266, 0, 91, 117.53
2025/01/02 02:20:31.267, 0, 89, 120.89
2025/01/02 02:20:32.267, 0, 92, 112.78
2025/01/02 02:20:33.267, 0, 90, 102.15
