timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/01 19:56:50.744, 0, 0, 36.61
2025/01/01 19:56:51.746, 0, 0, 36.71
2025/01/01 19:56:52.746, 0, 0, 36.71
2025/01/01 19:56:53.746, 0, 0, 36.66
2025/01/01 19:56:54.746, 0, 0, 36.58
2025/01/01 19:56:55.746, 0, 0, 36.69
2025/01/01 19:56:56.747, 0, 0, 36.49
2025/01/01 19:56:57.747, 0, 0, 36.09
2025/01/01 19:56:58.747, 0, 0, 36.78
2025/01/01 19:56:59.747, 0, 0, 36.79
2025/01/01 19:57:00.747, 0, 0, 36.49
2025/01/01 19:57:01.747, 0, 0, 36.69
2025/01/01 19:57:02.747, 0, 0, 36.70
2025/01/01 19:57:03.748, 0, 0, 36.69
2025/01/01 19:57:04.748, 0, 0, 36.38
2025/01/01 19:57:05.748, 0, 0, 36.29
2025/01/01 19:57:06.748, 0, 0, 36.70
2025/01/01 19:57:07.748, 0, 0, 36.49
2025/01/01 19:57:08.748, 0, 0, 36.59
2025/01/01 19:57:09.748, 0, 0, 36.69
2025/01/01 19:57:10.749, 0, 0, 36.60
2025/01/01 19:57:11.749, 0, 0, 36.60
2025/01/01 19:57:12.749, 0, 0, 36.58
2025/01/01 19:57:13.749, 0, 0, 36.49
2025/01/01 19:57:14.749, 0, 0, 36.60
2025/01/01 19:57:15.749, 0, 0, 36.69
2025/01/01 19:57:16.749, 0, 0, 36.49
2025/01/01 19:57:17.750, 0, 0, 36.97
2025/01/01 19:57:18.750, 0, 0, 37.06
2025/01/01 19:57:19.750, 0, 22, 37.07
2025/01/01 19:57:20.750, 0, 42, 37.55
2025/01/01 19:57:21.750, 0, 81, 36.96
2025/01/01 19:57:22.750, 0, 28, 36.48
2025/01/01 19:57:23.750, 0, 9, 36.59
2025/01/01 19:57:24.751, 0, 0, 37.36
2025/01/01 19:57:25.751, 0, 0, 36.60
2025/01/01 19:57:26.751, 0, 0, 36.70
2025/01/01 19:57:27.751, 0, 0, 36.38
2025/01/01 19:57:28.751, 0, 0, 36.49
2025/01/01 19:57:29.751, 0, 0, 36.29
2025/01/01 19:57:30.751, 0, 0, 36.48
2025/01/01 19:57:31.751, 0, 0, 36.69
2025/01/01 19:57:32.752, 0, 0, 36.69
2025/01/01 19:57:33.752, 0, 98, 137.10
2025/01/01 19:57:34.752, 0, 97, 156.63
2025/01/01 19:57:35.752, 0, 97, 126.72
2025/01/01 19:57:36.752, 0, 98, 129.16
2025/01/01 19:57:37.752, 0, 97, 151.89
2025/01/01 19:57:38.752, 0, 98, 119.39
2025/01/01 19:57:39.753, 0, 94, 129.04
2025/01/01 19:57:40.753, 0, 98, 125.87
2025/01/01 19:57:41.753, 0, 98, 129.72
2025/01/01 19:57:42.753, 0, 98, 124.74
2025/01/01 19:57:43.753, 0, 97, 157.07
2025/01/01 19:57:44.753, 0, 98, 123.33
2025/01/01 19:57:45.754, 0, 98, 123.01
2025/01/01 19:57:46.754, 0, 97, 138.81
2025/01/01 19:57:47.754, 0, 98, 117.72
2025/01/01 19:57:48.754, 0, 98, 130.58
2025/01/01 19:57:49.754, 0, 98, 128.10
2025/01/01 19:57:50.754, 0, 98, 124.23
2025/01/01 19:57:51.754, 0, 98, 142.71
2025/01/01 19:57:52.755, 0, 97, 163.95
2025/01/01 19:57:53.755, 0, 98, 122.65
2025/01/01 19:57:54.755, 0, 98, 122.13
2025/01/01 19:57:55.755, 0, 98, 136.57
2025/01/01 19:57:56.755, 0, 98, 115.93
2025/01/01 19:57:57.755, 0, 98, 137.24
2025/01/01 19:57:58.755, 0, 98, 127.57
2025/01/01 19:57:59.756, 0, 97, 127.01
2025/01/01 19:58:00.756, 0, 97, 125.32
2025/01/01 19:58:01.756, 0, 98, 137.94
2025/01/01 19:58:02.756, 0, 98, 151.12
2025/01/01 19:58:03.756, 0, 98, 130.45
2025/01/01 19:58:04.756, 0, 98, 125.33
2025/01/01 19:58:05.756, 0, 98, 155.37
2025/01/01 19:58:06.757, 0, 97, 129.17
2025/01/01 19:58:07.757, 0, 98, 130.51
2025/01/01 19:58:08.757, 0, 98, 125.04
2025/01/01 19:58:09.757, 0, 97, 134.70
2025/01/01 19:58:10.757, 0, 97, 129.79
2025/01/01 19:58:11.757, 0, 98, 120.32
2025/01/01 19:58:12.757, 0, 97, 128.82
2025/01/01 19:58:13.757, 0, 96, 124.81
2025/01/01 19:58:14.758, 0, 98, 125.34
2025/01/01 19:58:15.758, 0, 98, 130.11
2025/01/01 19:58:16.758, 0, 98, 162.19
2025/01/01 19:58:17.758, 0, 97, 143.04
2025/01/01 19:58:18.758, 0, 98, 126.44
2025/01/01 19:58:19.758, 0, 98, 135.03
2025/01/01 19:58:20.758, 0, 98, 148.62
2025/01/01 19:58:21.759, 0, 98, 125.38
2025/01/01 19:58:22.759, 0, 98, 165.87
2025/01/01 19:58:23.759, 0, 98, 161.40
2025/01/01 19:58:24.759, 0, 98, 155.52
2025/01/01 19:58:25.759, 0, 97, 126.07
2025/01/01 19:58:26.759, 0, 98, 128.00
2025/01/01 19:58:27.759, 0, 98, 135.45
2025/01/01 19:58:28.760, 0, 98, 120.55
2025/01/01 19:58:29.760, 0, 98, 134.74
2025/01/01 19:58:30.760, 0, 98, 157.37
2025/01/01 19:58:31.760, 0, 97, 126.86
2025/01/01 19:58:32.760, 0, 98, 133.85
2025/01/01 19:58:33.760, 0, 97, 163.35
2025/01/01 19:58:34.760, 0, 98, 152.75
2025/01/01 19:58:35.760, 0, 98, 129.83
2025/01/01 19:58:36.761, 0, 98, 164.24
2025/01/01 19:58:37.761, 0, 98, 162.93
2025/01/01 19:58:38.761, 0, 98, 127.83
2025/01/01 19:58:39.761, 0, 98, 125.94
2025/01/01 19:58:40.761, 0, 98, 130.25
2025/01/01 19:58:41.761, 0, 98, 163.88
2025/01/01 19:58:42.761, 0, 98, 149.15
2025/01/01 19:58:43.762, 0, 98, 122.45
2025/01/01 19:58:44.762, 0, 98, 126.49
2025/01/01 19:58:45.762, 0, 98, 125.24
2025/01/01 19:58:46.762, 0, 98, 132.08
2025/01/01 19:58:47.762, 0, 98, 130.72
2025/01/01 19:58:48.762, 0, 98, 131.18
2025/01/01 19:58:49.762, 0, 98, 142.74
2025/01/01 19:58:50.762, 0, 98, 128.47
2025/01/01 19:58:51.763, 0, 98, 153.32
2025/01/01 19:58:52.763, 0, 97, 143.11
2025/01/01 19:58:53.763, 0, 98, 147.13
2025/01/01 19:58:54.763, 0, 98, 134.27
2025/01/01 19:58:55.763, 0, 98, 121.32
2025/01/01 19:58:56.763, 0, 98, 128.04
2025/01/01 19:58:57.763, 0, 98, 143.96
2025/01/01 19:58:58.764, 0, 98, 132.12
2025/01/01 19:58:59.764, 0, 97, 133.91
2025/01/01 19:59:00.764, 0, 97, 135.27
2025/01/01 19:59:01.764, 0, 98, 148.46
2025/01/01 19:59:02.764, 0, 98, 141.43
2025/01/01 19:59:03.764, 0, 98, 126.72
2025/01/01 19:59:04.764, 0, 98, 128.24
2025/01/01 19:59:05.764, 0, 96, 159.61
2025/01/01 19:59:06.765, 0, 98, 154.48
2025/01/01 19:59:07.765, 0, 98, 134.66
2025/01/01 19:59:08.765, 0, 98, 123.45
2025/01/01 19:59:09.765, 0, 98, 132.78
2025/01/01 19:59:10.765, 0, 98, 127.15
2025/01/01 19:59:11.765, 0, 98, 165.37
2025/01/01 19:59:12.765, 0, 98, 132.85
2025/01/01 19:59:13.766, 0, 98, 134.09
2025/01/01 19:59:14.766, 0, 97, 140.32
2025/01/01 19:59:15.766, 0, 97, 142.26
2025/01/01 19:59:16.766, 0, 98, 158.15
2025/01/01 19:59:17.766, 0, 97, 128.69
2025/01/01 19:59:18.766, 0, 98, 126.21
2025/01/01 19:59:19.766, 0, 98, 134.86
2025/01/01 19:59:20.766, 0, 98, 142.82
2025/01/01 19:59:21.767, 0, 98, 162.26
2025/01/01 19:59:22.767, 0, 98, 123.14
2025/01/01 19:59:23.767, 0, 98, 134.57
2025/01/01 19:59:24.767, 0, 98, 134.37
2025/01/01 19:59:25.767, 0, 98, 127.34
2025/01/01 19:59:26.767, 0, 98, 132.83
2025/01/01 19:59:27.767, 0, 98, 151.00
2025/01/01 19:59:28.767, 0, 98, 121.07
2025/01/01 19:59:29.768, 0, 98, 152.15
2025/01/01 19:59:30.768, 0, 98, 155.44
2025/01/01 19:59:31.768, 0, 98, 130.09
2025/01/01 19:59:32.768, 0, 98, 124.07
2025/01/01 19:59:33.768, 0, 98, 146.97
2025/01/01 19:59:34.768, 0, 98, 142.44
2025/01/01 19:59:35.768, 0, 98, 137.41
2025/01/01 19:59:36.768, 0, 98, 132.71
2025/01/01 19:59:37.769, 0, 98, 123.48
2025/01/01 19:59:38.769, 0, 98, 136.15
2025/01/01 19:59:39.769, 0, 98, 146.38
2025/01/01 19:59:40.769, 0, 98, 133.61
2025/01/01 19:59:41.769, 0, 98, 128.62
2025/01/01 19:59:42.769, 0, 98, 126.68
2025/01/01 19:59:43.769, 0, 98, 139.11
2025/01/01 19:59:44.770, 0, 98, 148.97
2025/01/01 19:59:45.770, 0, 98, 122.73
2025/01/01 19:59:46.770, 0, 97, 135.37
2025/01/01 19:59:47.770, 0, 98, 136.52
2025/01/01 19:59:48.770, 0, 98, 164.98
2025/01/01 19:59:49.770, 0, 98, 139.89
2025/01/01 19:59:50.770, 0, 98, 130.61
2025/01/01 19:59:51.770, 0, 98, 128.30
2025/01/01 19:59:52.771, 0, 98, 128.90
2025/01/01 19:59:53.771, 0, 97, 128.30
2025/01/01 19:59:54.771, 0, 98, 130.95
2025/01/01 19:59:55.771, 0, 98, 127.75
2025/01/01 19:59:56.771, 0, 98, 141.21
2025/01/01 19:59:57.771, 0, 98, 157.23
2025/01/01 19:59:58.771, 0, 98, 166.58
2025/01/01 19:59:59.772, 0, 98, 164.57
2025/01/01 20:00:00.772, 0, 98, 162.39
2025/01/01 20:00:01.772, 0, 98, 161.26
2025/01/01 20:00:02.772, 0, 98, 141.69
2025/01/01 20:00:03.772, 0, 98, 141.84
2025/01/01 20:00:04.772, 0, 98, 159.79
2025/01/01 20:00:05.772, 0, 98, 134.51
2025/01/01 20:00:06.772, 0, 98, 142.92
2025/01/01 20:00:07.772, 0, 98, 127.43
2025/01/01 20:00:08.773, 0, 98, 133.40
2025/01/01 20:00:09.773, 0, 98, 131.21
