timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/01 16:28:59.591, 1, 0, 37.05
2025/01/01 16:29:00.591, 1, 0, 37.05
2025/01/01 16:29:01.591, 1, 0, 36.95
2025/01/01 16:29:02.591, 1, 0, 37.05
2025/01/01 16:29:03.592, 1, 0, 37.04
2025/01/01 16:29:04.592, 1, 0, 37.05
2025/01/01 16:29:05.592, 1, 0, 37.04
2025/01/01 16:29:06.592, 1, 0, 37.05
2025/01/01 16:29:07.592, 1, 0, 37.04
2025/01/01 16:29:08.592, 1, 0, 37.04
2025/01/01 16:29:09.592, 1, 0, 37.03
2025/01/01 16:29:10.592, 1, 0, 37.03
2025/01/01 16:29:11.593, 1, 0, 37.15
2025/01/01 16:29:12.593, 1, 0, 37.13
2025/01/01 16:29:13.593, 1, 0, 37.12
2025/01/01 16:29:14.593, 1, 0, 37.03
2025/01/01 16:29:15.593, 1, 0, 37.12
2025/01/01 16:29:16.593, 1, 0, 37.04
2025/01/01 16:29:17.593, 1, 0, 37.13
2025/01/01 16:29:18.594, 1, 0, 36.94
2025/01/01 16:29:19.594, 1, 0, 36.94
2025/01/01 16:29:20.594, 1, 0, 36.94
2025/01/01 16:29:21.594, 1, 0, 36.95
2025/01/01 16:29:22.594, 1, 0, 36.94
2025/01/01 16:29:23.594, 1, 0, 36.84
2025/01/01 16:29:24.594, 1, 0, 36.84
2025/01/01 16:29:25.595, 1, 0, 37.03
2025/01/01 16:29:26.595, 1, 45, 38.01
2025/01/01 16:29:27.595, 1, 52, 36.93
2025/01/01 16:29:28.595, 1, 8, 37.04
2025/01/01 16:29:29.595, 1, 53, 38.11
2025/01/01 16:29:30.595, 1, 53, 38.10
2025/01/01 16:29:31.595, 1, 12, 37.99
2025/01/01 16:29:32.595, 1, 0, 37.04
2025/01/01 16:29:33.596, 1, 0, 36.93
2025/01/01 16:29:34.596, 1, 0, 37.13
2025/01/01 16:29:35.596, 1, 0, 37.04
2025/01/01 16:29:36.596, 1, 0, 37.04
2025/01/01 16:29:37.596, 1, 0, 36.92
2025/01/01 16:29:38.596, 1, 0, 37.03
2025/01/01 16:29:39.596, 1, 96, 116.83
2025/01/01 16:29:40.597, 1, 97, 115.87
2025/01/01 16:29:41.597, 1, 97, 117.62
2025/01/01 16:29:42.597, 1, 97, 115.68
2025/01/01 16:29:43.597, 1, 90, 119.09
2025/01/01 16:29:44.597, 1, 98, 116.38
2025/01/01 16:29:45.597, 1, 98, 120.64
2025/01/01 16:29:46.597, 1, 98, 117.48
2025/01/01 16:29:47.597, 1, 98, 115.60
2025/01/01 16:29:48.598, 1, 98, 118.03
2025/01/01 16:29:49.598, 1, 98, 116.44
2025/01/01 16:29:50.598, 1, 98, 117.67
2025/01/01 16:29:51.598, 1, 98, 115.80
2025/01/01 16:29:52.598, 1, 97, 117.71
2025/01/01 16:29:53.598, 1, 96, 122.17
2025/01/01 16:29:54.598, 1, 98, 120.89
2025/01/01 16:29:55.599, 1, 98, 117.04
2025/01/01 16:29:56.599, 1, 98, 122.95
2025/01/01 16:29:57.599, 1, 98, 119.29
2025/01/01 16:29:58.599, 1, 97, 117.99
2025/01/01 16:29:59.599, 1, 98, 121.67
2025/01/01 16:30:00.599, 1, 98, 122.73
2025/01/01 16:30:01.599, 1, 98, 121.94
2025/01/01 16:30:02.600, 1, 98, 117.75
2025/01/01 16:30:03.600, 1, 98, 121.94
