timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/01 07:23:04.341, 1, 0, 37.73
2025/01/01 07:23:05.342, 1, 0, 37.63
2025/01/01 07:23:06.342, 1, 0, 37.81
2025/01/01 07:23:07.342, 1, 0, 37.83
2025/01/01 07:23:08.343, 1, 0, 37.73
2025/01/01 07:23:09.343, 1, 0, 37.32
2025/01/01 07:23:10.343, 1, 0, 37.50
2025/01/01 07:23:11.343, 1, 0, 37.73
2025/01/01 07:23:12.343, 1, 0, 37.52
2025/01/01 07:23:13.343, 1, 0, 37.63
2025/01/01 07:23:14.343, 1, 0, 37.82
2025/01/01 07:23:15.344, 1, 0, 37.42
2025/01/01 07:23:16.344, 1, 0, 37.73
2025/01/01 07:23:17.344, 1, 0, 37.23
2025/01/01 07:23:18.344, 1, 0, 37.42
2025/01/01 07:23:19.344, 1, 0, 37.42
2025/01/01 07:23:20.344, 1, 0, 37.62
2025/01/01 07:23:21.344, 1, 0, 37.73
2025/01/01 07:23:22.345, 1, 0, 37.63
2025/01/01 07:23:23.345, 1, 0, 37.42
2025/01/01 07:23:24.345, 1, 0, 37.42
2025/01/01 07:23:25.345, 1, 0, 37.82
2025/01/01 07:23:26.345, 1, 0, 37.52
2025/01/01 07:23:27.345, 1, 0, 37.73
2025/01/01 07:23:28.345, 1, 0, 37.52
2025/01/01 07:23:29.345, 1, 0, 37.73
2025/01/01 07:23:30.346, 1, 20, 37.82
2025/01/01 07:23:31.346, 1, 0, 37.81
2025/01/01 07:23:32.346, 1, 1, 38.70
2025/01/01 07:23:33.346, 1, 50, 38.70
2025/01/01 07:23:34.346, 1, 36, 37.71
2025/01/01 07:23:35.346, 1, 42, 37.91
2025/01/01 07:23:36.346, 1, 0, 37.53
2025/01/01 07:23:37.347, 1, 0, 37.64
2025/01/01 07:23:38.347, 1, 0, 37.42
2025/01/01 07:23:39.347, 1, 0, 37.82
2025/01/01 07:23:40.347, 1, 0, 37.83
2025/01/01 07:23:41.347, 1, 0, 37.83
2025/01/01 07:23:42.347, 1, 0, 38.02
2025/01/01 07:23:43.348, 1, 66, 121.33
2025/01/01 07:23:44.348, 1, 97, 117.73
2025/01/01 07:23:45.348, 1, 97, 119.12
2025/01/01 07:23:46.348, 1, 97, 119.11
2025/01/01 07:23:47.348, 1, 97, 117.42
2025/01/01 07:23:48.348, 1, 97, 115.45
2025/01/01 07:23:49.348, 1, 96, 116.88
2025/01/01 07:23:50.349, 1, 97, 119.79
2025/01/01 07:23:51.349, 1, 97, 121.47
2025/01/01 07:23:52.349, 1, 97, 117.92
