timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/04 10:54:21.472, 1, 0, 37.15
2025/01/04 10:54:22.474, 1, 0, 37.24
2025/01/04 10:54:23.474, 1, 0, 37.15
2025/01/04 10:54:24.475, 1, 0, 37.25
2025/01/04 10:54:25.475, 1, 0, 37.25
2025/01/04 10:54:26.475, 1, 0, 37.35
2025/01/04 10:54:27.475, 1, 0, 37.24
2025/01/04 10:54:28.475, 1, 0, 37.15
2025/01/04 10:54:29.475, 1, 0, 37.15
2025/01/04 10:54:30.476, 1, 0, 37.15
2025/01/04 10:54:31.476, 1, 0, 37.15
2025/01/04 10:54:32.476, 1, 0, 37.34
2025/01/04 10:54:33.476, 1, 0, 37.25
2025/01/04 10:54:34.476, 1, 0, 37.15
2025/01/04 10:54:35.476, 1, 0, 37.25
2025/01/04 10:54:36.476, 1, 0, 37.05
2025/01/04 10:54:37.477, 1, 0, 36.95
2025/01/04 10:54:38.477, 1, 0, 36.94
2025/01/04 10:54:39.477, 1, 0, 36.95
2025/01/04 10:54:40.477, 1, 0, 36.94
2025/01/04 10:54:41.477, 1, 0, 36.84
2025/01/04 10:54:42.477, 1, 0, 36.95
2025/01/04 10:54:43.478, 1, 0, 36.94
2025/01/04 10:54:44.478, 1, 0, 37.05
2025/01/04 10:54:45.478, 1, 0, 36.94
2025/01/04 10:54:46.478, 1, 0, 36.94
2025/01/04 10:54:47.478, 1, 0, 37.05
2025/01/04 10:54:48.478, 1, 0, 36.94
2025/01/04 10:54:49.478, 1, 0, 37.64
2025/01/04 10:54:50.479, 1, 18, 37.05
2025/01/04 10:54:51.479, 1, 0, 38.12
2025/01/04 10:54:52.479, 1, 51, 38.33
2025/01/04 10:54:53.479, 1, 47, 37.05
2025/01/04 10:54:54.479, 1, 38, 38.02
2025/01/04 10:54:55.479, 1, 49, 37.04
2025/01/04 10:54:56.479, 1, 0, 37.05
2025/01/04 10:54:57.480, 1, 0, 37.05
2025/01/04 10:54:58.480, 1, 0, 37.05
2025/01/04 10:54:59.480, 1, 0, 36.95
2025/01/04 10:55:00.480, 1, 0, 37.05
2025/01/04 10:55:01.480, 1, 0, 37.05
2025/01/04 10:55:02.480, 1, 0, 36.94
2025/01/04 10:55:03.480, 1, 74, 40.52
2025/01/04 10:55:04.481, 1, 97, 113.52
2025/01/04 10:55:05.481, 1, 96, 115.79
2025/01/04 10:55:06.481, 1, 96, 115.58
2025/01/04 10:55:07.481, 1, 95, 114.01
2025/01/04 10:55:08.481, 1, 96, 113.82
2025/01/04 10:55:09.481, 1, 95, 112.52
2025/01/04 10:55:10.481, 1, 95, 123.01
2025/01/04 10:55:11.482, 1, 96, 118.69
2025/01/04 10:55:12.482, 1, 95, 105.45
2025/01/04 10:55:13.482, 1, 95, 107.77
2025/01/04 10:55:14.482, 1, 96, 115.56
