timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/04 13:39:42.162, 1, 0, 37.82
2025/01/04 13:39:43.163, 1, 0, 37.51
2025/01/04 13:39:44.163, 1, 0, 37.80
2025/01/04 13:39:45.163, 1, 0, 37.73
2025/01/04 13:39:46.163, 1, 0, 37.52
2025/01/04 13:39:47.163, 1, 0, 37.82
2025/01/04 13:39:48.163, 1, 0, 37.73
2025/01/04 13:39:49.164, 1, 0, 37.82
2025/01/04 13:39:50.164, 1, 0, 37.73
2025/01/04 13:39:51.164, 1, 0, 37.73
2025/01/04 13:39:52.164, 1, 0, 37.73
2025/01/04 13:39:53.164, 1, 0, 37.41
2025/01/04 13:39:54.164, 1, 0, 37.42
2025/01/04 13:39:55.164, 1, 0, 37.71
2025/01/04 13:39:56.165, 1, 0, 37.92
2025/01/04 13:39:57.165, 1, 0, 37.42
2025/01/04 13:39:58.165, 1, 0, 37.73
2025/01/04 13:39:59.165, 1, 0, 37.92
2025/01/04 13:40:00.165, 1, 0, 37.92
2025/01/04 13:40:01.165, 1, 0, 37.82
2025/01/04 13:40:02.165, 1, 0, 37.82
2025/01/04 13:40:03.165, 1, 0, 37.82
2025/01/04 13:40:04.166, 1, 0, 37.52
2025/01/04 13:40:05.166, 1, 0, 37.73
2025/01/04 13:40:06.166, 1, 0, 37.52
2025/01/04 13:40:07.166, 1, 0, 37.83
2025/01/04 13:40:08.166, 1, 0, 37.82
2025/01/04 13:40:09.166, 1, 0, 37.53
2025/01/04 13:40:10.166, 1, 28, 38.35
2025/01/04 13:40:11.167, 1, 0, 38.36
2025/01/04 13:40:12.167, 1, 39, 38.15
2025/01/04 13:40:13.167, 1, 39, 38.28
2025/01/04 13:40:14.167, 1, 39, 38.58
2025/01/04 13:40:15.167, 1, 38, 38.46
2025/01/04 13:40:16.167, 1, 17, 38.65
2025/01/04 13:40:17.167, 1, 23, 38.65
2025/01/04 13:40:18.167, 1, 25, 38.56
2025/01/04 13:40:19.168, 1, 0, 37.63
2025/01/04 13:40:20.168, 1, 0, 37.73
2025/01/04 13:40:21.168, 1, 0, 37.52
2025/01/04 13:40:22.168, 1, 0, 37.63
2025/01/04 13:40:23.168, 1, 0, 37.52
2025/01/04 13:40:24.168, 1, 0, 37.93
2025/01/04 13:40:25.168, 1, 0, 37.92
2025/01/04 13:40:26.169, 1, 8, 37.73
2025/01/04 13:40:27.169, 1, 86, 113.96
2025/01/04 13:40:28.169, 1, 87, 116.78
2025/01/04 13:40:29.169, 1, 86, 111.77
2025/01/04 13:40:30.169, 1, 87, 113.45
2025/01/04 13:40:31.169, 1, 87, 111.01
2025/01/04 13:40:32.169, 1, 87, 88.46
2025/01/04 13:40:33.169, 1, 88, 112.64
2025/01/04 13:40:34.170, 1, 84, 95.04
2025/01/04 13:40:35.170, 1, 87, 100.56
2025/01/04 13:40:36.170, 1, 87, 113.41
2025/01/04 13:40:37.170, 1, 89, 113.35
2025/01/04 13:40:38.170, 1, 87, 96.27
2025/01/04 13:40:39.170, 1, 87, 113.39
2025/01/04 13:40:40.170, 1, 87, 89.55
2025/01/04 13:40:41.171, 1, 89, 93.31
2025/01/04 13:40:42.171, 1, 90, 111.95
2025/01/04 13:40:43.171, 1, 90, 112.51
2025/01/04 13:40:44.171, 1, 87, 103.16
2025/01/04 13:40:45.171, 1, 90, 110.93
2025/01/04 13:40:46.171, 1, 86, 115.92
2025/01/04 13:40:47.171, 1, 90, 96.54
2025/01/04 13:40:48.171, 1, 87, 111.08
2025/01/04 13:40:49.172, 1, 90, 110.62
2025/01/04 13:40:50.172, 1, 87, 109.00
2025/01/04 13:40:51.172, 1, 90, 113.29
2025/01/04 13:40:52.172, 1, 87, 96.56
2025/01/04 13:40:53.172, 1, 89, 108.95
2025/01/04 13:40:54.172, 1, 87, 115.02
2025/01/04 13:40:55.172, 1, 85, 113.58
2025/01/04 13:40:56.173, 1, 90, 107.48
2025/01/04 13:40:57.173, 1, 87, 115.24
2025/01/04 13:40:58.173, 1, 87, 88.38
2025/01/04 13:40:59.173, 1, 90, 81.84
2025/01/04 13:41:00.173, 1, 90, 80.66
2025/01/04 13:41:01.173, 1, 88, 113.38
2025/01/04 13:41:02.173, 1, 90, 96.14
2025/01/04 13:41:03.174, 1, 90, 109.99
2025/01/04 13:41:04.174, 1, 87, 110.81
2025/01/04 13:41:05.174, 1, 87, 114.83
2025/01/04 13:41:06.174, 1, 87, 105.27
2025/01/04 13:41:07.174, 1, 88, 111.00
2025/01/04 13:41:08.174, 1, 86, 112.08
2025/01/04 13:41:09.175, 1, 87, 114.36
2025/01/04 13:41:10.175, 1, 87, 111.04
2025/01/04 13:41:11.175, 1, 87, 103.66
2025/01/04 13:41:12.175, 1, 88, 83.43
2025/01/04 13:41:13.175, 1, 89, 110.86
2025/01/04 13:41:14.175, 1, 90, 110.22
2025/01/04 13:41:15.175, 1, 89, 109.45
2025/01/04 13:41:16.175, 1, 87, 102.56
2025/01/04 13:41:17.176, 1, 90, 89.42
2025/01/04 13:41:18.176, 1, 88, 98.98
2025/01/04 13:41:19.176, 1, 90, 111.61
2025/01/04 13:41:20.176, 1, 87, 110.72
2025/01/04 13:41:21.176, 1, 86, 111.17
2025/01/04 13:41:22.176, 1, 89, 84.32
2025/01/04 13:41:23.176, 1, 88, 128.93
