timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/04 08:21:25.370, 0, 0, 36.72
2025/01/04 08:21:26.371, 0, 0, 36.90
2025/01/04 08:21:27.371, 0, 0, 36.89
2025/01/04 08:21:28.372, 0, 0, 36.89
2025/01/04 08:21:29.372, 0, 0, 36.89
2025/01/04 08:21:30.372, 0, 0, 36.70
2025/01/04 08:21:31.372, 0, 0, 36.89
2025/01/04 08:21:32.372, 0, 0, 36.79
2025/01/04 08:21:33.372, 0, 0, 36.79
2025/01/04 08:21:34.372, 0, 0, 36.90
2025/01/04 08:21:35.373, 0, 0, 36.88
2025/01/04 08:21:36.373, 0, 0, 36.90
2025/01/04 08:21:37.373, 0, 0, 36.70
2025/01/04 08:21:38.373, 0, 0, 36.89
2025/01/04 08:21:39.373, 0, 0, 36.70
2025/01/04 08:21:40.373, 0, 0, 36.79
2025/01/04 08:21:41.373, 0, 0, 36.89
2025/01/04 08:21:42.373, 0, 0, 36.88
2025/01/04 08:21:43.374, 0, 0, 36.88
2025/01/04 08:21:44.374, 0, 0, 36.70
2025/01/04 08:21:45.374, 0, 0, 36.58
2025/01/04 08:21:46.374, 0, 0, 36.68
2025/01/04 08:21:47.374, 0, 0, 36.58
2025/01/04 08:21:48.374, 0, 0, 36.60
2025/01/04 08:21:49.374, 0, 0, 36.68
2025/01/04 08:21:50.375, 0, 0, 36.68
2025/01/04 08:21:51.375, 0, 0, 36.60
2025/01/04 08:21:52.375, 0, 0, 36.70
2025/01/04 08:21:53.375, 0, 53, 37.75
2025/01/04 08:21:54.375, 0, 59, 36.67
2025/01/04 08:21:55.375, 0, 18, 37.73
2025/01/04 08:21:56.375, 0, 58, 37.56
2025/01/04 08:21:57.376, 0, 28, 36.70
2025/01/04 08:21:58.376, 0, 6, 37.08
2025/01/04 08:21:59.376, 0, 0, 36.70
2025/01/04 08:22:00.376, 0, 0, 36.69
2025/01/04 08:22:01.376, 0, 0, 36.70
2025/01/04 08:22:02.376, 0, 0, 36.70
2025/01/04 08:22:03.376, 0, 0, 36.58
2025/01/04 08:22:04.377, 0, 0, 36.70
2025/01/04 08:22:05.377, 0, 0, 36.58
2025/01/04 08:22:06.377, 0, 63, 92.20
2025/01/04 08:22:07.377, 0, 95, 116.56
2025/01/04 08:22:08.377, 0, 95, 109.45
2025/01/04 08:22:09.377, 0, 93, 116.74
2025/01/04 08:22:10.377, 0, 93, 124.84
2025/01/04 08:22:11.378, 0, 95, 119.71
2025/01/04 08:22:12.378, 0, 95, 113.20
2025/01/04 08:22:13.378, 0, 93, 118.48
2025/01/04 08:22:14.378, 0, 95, 118.88
2025/01/04 08:22:15.378, 0, 93, 92.79
2025/01/04 08:22:16.378, 0, 93, 102.05
2025/01/04 08:22:17.378, 0, 93, 118.44
2025/01/04 08:22:18.379, 0, 95, 109.21
2025/01/04 08:22:19.379, 0, 95, 116.30
