timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/04 03:38:32.449, 0, 0, 36.98
2025/01/04 03:38:33.451, 0, 0, 36.89
2025/01/04 03:38:34.451, 0, 0, 36.79
2025/01/04 03:38:35.451, 0, 0, 36.89
2025/01/04 03:38:36.451, 0, 0, 36.79
2025/01/04 03:38:37.451, 0, 0, 36.79
2025/01/04 03:38:38.451, 0, 0, 36.79
2025/01/04 03:38:39.452, 0, 0, 36.89
2025/01/04 03:38:40.452, 0, 0, 36.89
2025/01/04 03:38:41.452, 0, 0, 36.98
2025/01/04 03:38:42.452, 0, 0, 36.68
2025/01/04 03:38:43.452, 0, 0, 37.00
2025/01/04 03:38:44.452, 0, 0, 36.89
2025/01/04 03:38:45.452, 0, 0, 36.89
2025/01/04 03:38:46.452, 0, 0, 36.79
2025/01/04 03:38:47.453, 0, 0, 36.79
2025/01/04 03:38:48.453, 0, 0, 36.79
2025/01/04 03:38:49.453, 0, 0, 36.89
2025/01/04 03:38:50.453, 0, 0, 37.01
2025/01/04 03:38:51.453, 0, 0, 36.68
2025/01/04 03:38:52.453, 0, 0, 36.58
2025/01/04 03:38:53.453, 0, 0, 36.60
2025/01/04 03:38:54.453, 0, 0, 36.60
2025/01/04 03:38:55.454, 0, 0, 36.79
2025/01/04 03:38:56.454, 0, 52, 37.88
2025/01/04 03:38:57.454, 0, 59, 37.94
2025/01/04 03:38:58.454, 0, 59, 36.67
2025/01/04 03:38:59.454, 0, 0, 37.36
2025/01/04 03:39:00.454, 0, 56, 37.82
2025/01/04 03:39:01.454, 0, 53, 37.87
2025/01/04 03:39:02.455, 0, 0, 36.58
2025/01/04 03:39:03.455, 0, 0, 36.48
2025/01/04 03:39:04.455, 0, 0, 36.68
2025/01/04 03:39:05.455, 0, 0, 36.58
2025/01/04 03:39:06.455, 0, 0, 36.70
2025/01/04 03:39:07.455, 0, 0, 36.70
2025/01/04 03:39:08.455, 0, 0, 36.69
2025/01/04 03:39:09.455, 0, 97, 124.88
2025/01/04 03:39:10.456, 0, 94, 120.93
2025/01/04 03:39:11.456, 0, 98, 120.27
2025/01/04 03:39:12.456, 0, 97, 133.68
2025/01/04 03:39:13.456, 0, 98, 127.19
2025/01/04 03:39:14.456, 0, 98, 125.68
2025/01/04 03:39:15.456, 0, 98, 132.31
2025/01/04 03:39:16.456, 0, 98, 127.20
2025/01/04 03:39:17.457, 0, 98, 135.18
2025/01/04 03:39:18.457, 0, 98, 123.97
2025/01/04 03:39:19.457, 0, 98, 120.31
2025/01/04 03:39:20.457, 0, 98, 123.31
2025/01/04 03:39:21.457, 0, 96, 140.71
2025/01/04 03:39:22.457, 0, 98, 134.79
2025/01/04 03:39:23.457, 0, 98, 137.66
2025/01/04 03:39:24.458, 0, 98, 156.85
2025/01/04 03:39:25.458, 0, 97, 144.01
2025/01/04 03:39:26.458, 0, 98, 137.70
2025/01/04 03:39:27.458, 0, 98, 127.67
2025/01/04 03:39:28.458, 0, 98, 128.23
2025/01/04 03:39:29.458, 0, 98, 132.67
2025/01/04 03:39:30.458, 0, 97, 127.68
2025/01/04 03:39:31.459, 0, 98, 137.86
2025/01/04 03:39:32.459, 0, 98, 157.29
2025/01/04 03:39:33.459, 0, 98, 145.49
2025/01/04 03:39:34.459, 0, 98, 151.71
2025/01/04 03:39:35.459, 0, 97, 153.44
2025/01/04 03:39:36.459, 0, 98, 126.73
2025/01/04 03:39:37.459, 0, 98, 125.63
2025/01/04 03:39:38.460, 0, 98, 123.71
2025/01/04 03:39:39.460, 0, 98, 126.83
2025/01/04 03:39:40.460, 0, 98, 128.80
2025/01/04 03:39:41.460, 0, 96, 123.14
2025/01/04 03:39:42.460, 0, 98, 131.28
2025/01/04 03:39:43.460, 0, 98, 134.46
2025/01/04 03:39:44.460, 0, 98, 137.93
2025/01/04 03:39:45.461, 0, 98, 138.01
2025/01/04 03:39:46.461, 0, 98, 154.24
2025/01/04 03:39:47.461, 0, 98, 160.82
2025/01/04 03:39:48.461, 0, 98, 159.45
2025/01/04 03:39:49.461, 0, 98, 155.03
2025/01/04 03:39:50.461, 0, 97, 125.04
2025/01/04 03:39:51.461, 0, 98, 125.84
2025/01/04 03:39:52.462, 0, 98, 123.04
2025/01/04 03:39:53.462, 0, 98, 122.77
2025/01/04 03:39:54.462, 0, 98, 124.71
2025/01/04 03:39:55.462, 0, 98, 142.99
2025/01/04 03:39:56.462, 0, 98, 134.54
2025/01/04 03:39:57.462, 0, 98, 130.70
2025/01/04 03:39:58.462, 0, 98, 126.31
