timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/03 12:32:03.990, 1, 0, 37.15
2025/01/03 12:32:04.991, 1, 0, 37.35
2025/01/03 12:32:05.991, 1, 0, 37.42
2025/01/03 12:32:06.991, 1, 0, 37.35
2025/01/03 12:32:07.992, 1, 0, 37.33
2025/01/03 12:32:08.992, 1, 0, 37.43
2025/01/03 12:32:09.992, 1, 0, 37.34
2025/01/03 12:32:10.992, 1, 0, 37.43
2025/01/03 12:32:11.992, 1, 0, 37.13
2025/01/03 12:32:12.992, 1, 0, 37.12
2025/01/03 12:32:13.992, 1, 0, 37.44
2025/01/03 12:32:14.993, 1, 0, 37.54
2025/01/03 12:32:15.993, 1, 0, 37.15
2025/01/03 12:32:16.993, 1, 0, 37.35
2025/01/03 12:32:17.993, 1, 0, 37.35
2025/01/03 12:32:18.993, 1, 0, 37.14
2025/01/03 12:32:19.993, 1, 0, 37.44
2025/01/03 12:32:20.993, 1, 0, 37.32
2025/01/03 12:32:21.994, 1, 0, 37.15
2025/01/03 12:32:22.994, 1, 0, 37.44
2025/01/03 12:32:23.994, 1, 0, 37.13
2025/01/03 12:32:24.994, 1, 0, 37.15
2025/01/03 12:32:25.994, 1, 0, 37.25
2025/01/03 12:32:26.994, 1, 0, 37.25
2025/01/03 12:32:27.994, 1, 0, 37.15
2025/01/03 12:32:28.995, 1, 0, 37.44
2025/01/03 12:32:29.995, 1, 0, 37.53
2025/01/03 12:32:30.995, 1, 0, 37.44
2025/01/03 12:32:31.995, 1, 0, 37.25
2025/01/03 12:32:32.995, 1, 51, 38.33
2025/01/03 12:32:33.995, 1, 53, 37.43
2025/01/03 12:32:34.995, 1, 10, 37.53
2025/01/03 12:32:35.995, 1, 16, 38.31
2025/01/03 12:32:36.996, 1, 53, 38.33
2025/01/03 12:32:37.996, 1, 23, 37.53
2025/01/03 12:32:38.996, 1, 0, 37.15
2025/01/03 12:32:39.996, 1, 0, 37.54
2025/01/03 12:32:40.996, 1, 0, 37.54
2025/01/03 12:32:41.996, 1, 0, 37.15
2025/01/03 12:32:42.996, 1, 0, 37.44
2025/01/03 12:32:43.997, 1, 0, 37.44
2025/01/03 12:32:44.997, 1, 0, 37.34
2025/01/03 12:32:45.997, 1, 32, 116.37
2025/01/03 12:32:46.997, 1, 97, 118.54
2025/01/03 12:32:47.997, 1, 97, 112.52
2025/01/03 12:32:48.997, 1, 97, 113.51
2025/01/03 12:32:49.997, 1, 96, 108.92
2025/01/03 12:32:50.998, 1, 97, 112.82
2025/01/03 12:32:51.998, 1, 96, 116.46
2025/01/03 12:32:52.998, 1, 97, 113.36
2025/01/03 12:32:53.998, 1, 97, 118.12
2025/01/03 12:32:54.998, 1, 97, 119.49
2025/01/03 12:32:55.998, 1, 97, 117.76
2025/01/03 12:32:56.998, 1, 97, 118.61
2025/01/03 12:32:57.998, 1, 97, 120.91
2025/01/03 12:32:58.999, 1, 96, 116.48
2025/01/03 12:32:59.999, 1, 97, 119.10
2025/01/03 12:33:00.999, 1, 97, 114.10
2025/01/03 12:33:01.999, 1, 97, 120.23
2025/01/03 12:33:02.999, 1, 97, 121.02
2025/01/03 12:33:03.999, 1, 97, 120.62
2025/01/03 12:33:04.999, 1, 97, 117.67
2025/01/03 12:33:06.000, 1, 97, 116.87
2025/01/03 12:33:07.000, 1, 97, 113.71
2025/01/03 12:33:08.000, 1, 97, 112.99
2025/01/03 12:33:09.000, 1, 95, 115.08
2025/01/03 12:33:10.000, 1, 97, 120.66
2025/01/03 12:33:11.000, 1, 97, 112.76
2025/01/03 12:33:12.000, 1, 97, 115.61
2025/01/03 12:33:13.001, 1, 96, 116.69
2025/01/03 12:33:14.001, 1, 97, 119.94
2025/01/03 12:33:15.001, 1, 97, 115.82
2025/01/03 12:33:16.001, 1, 97, 114.49
2025/01/03 12:33:17.001, 1, 95, 121.33
2025/01/03 12:33:18.001, 1, 97, 121.52
2025/01/03 12:33:19.001, 1, 97, 120.72
2025/01/03 12:33:20.002, 1, 97, 116.16
2025/01/03 12:33:21.002, 1, 97, 117.02
2025/01/03 12:33:22.002, 1, 97, 120.86
2025/01/03 12:33:23.002, 1, 97, 121.07
2025/01/03 12:33:24.002, 1, 97, 119.74
2025/01/03 12:33:25.002, 1, 97, 118.23
2025/01/03 12:33:26.002, 1, 97, 117.22
2025/01/03 12:33:27.003, 1, 97, 115.79
2025/01/03 12:33:28.003, 1, 97, 114.80
2025/01/03 12:33:29.003, 1, 97, 119.93
2025/01/03 12:33:30.003, 1, 97, 117.89
2025/01/03 12:33:31.003, 1, 97, 121.22
2025/01/03 12:33:32.003, 1, 97, 122.01
2025/01/03 12:33:33.003, 1, 97, 120.16
2025/01/03 12:33:34.004, 1, 97, 115.89
2025/01/03 12:33:35.004, 1, 97, 121.96
2025/01/03 12:33:36.004, 1, 97, 121.88
2025/01/03 12:33:37.004, 1, 97, 115.63
2025/01/03 12:33:38.004, 1, 97, 117.00
2025/01/03 12:33:39.004, 1, 95, 115.38
2025/01/03 12:33:40.004, 1, 97, 119.23
2025/01/03 12:33:41.005, 1, 97, 119.12
2025/01/03 12:33:42.005, 1, 97, 113.86
2025/01/03 12:33:43.005, 1, 97, 119.03
2025/01/03 12:33:44.005, 1, 97, 118.60
2025/01/03 12:33:45.005, 1, 97, 123.40
2025/01/03 12:33:46.005, 1, 97, 118.69
2025/01/03 12:33:47.005, 1, 97, 116.97
2025/01/03 12:33:48.006, 1, 97, 122.81
2025/01/03 12:33:49.006, 1, 95, 116.44
2025/01/03 12:33:50.006, 1, 93, 116.97
2025/01/03 12:33:51.006, 1, 97, 116.87
2025/01/03 12:33:52.006, 1, 97, 124.90
2025/01/03 12:33:53.006, 1, 97, 118.65
2025/01/03 12:33:54.007, 1, 97, 122.52
2025/01/03 12:33:55.007, 1, 97, 118.25
2025/01/03 12:33:56.007, 1, 97, 115.33
2025/01/03 12:33:57.007, 1, 97, 120.73
2025/01/03 12:33:58.007, 1, 94, 126.83
2025/01/03 12:33:59.007, 1, 97, 119.40
2025/01/03 12:34:00.007, 1, 97, 115.20
2025/01/03 12:34:01.007, 1, 95, 120.60
2025/01/03 12:34:02.008, 1, 97, 119.19
