timestamp, index, utilization.gpu [%], power.draw [W]
2025/01/03 04:07:12.380, 0, 0, 36.80
2025/01/03 04:07:13.381, 0, 0, 36.79
2025/01/03 04:07:14.382, 0, 0, 36.70
2025/01/03 04:07:15.382, 0, 0, 36.80
2025/01/03 04:07:16.382, 0, 0, 36.70
2025/01/03 04:07:17.382, 0, 0, 36.79
2025/01/03 04:07:18.382, 0, 0, 36.79
2025/01/03 04:07:19.382, 0, 0, 36.70
2025/01/03 04:07:20.382, 0, 0, 36.80
2025/01/03 04:07:21.382, 0, 0, 36.79
2025/01/03 04:07:22.383, 0, 0, 36.79
2025/01/03 04:07:23.383, 0, 0, 36.79
2025/01/03 04:07:24.383, 0, 0, 36.80
2025/01/03 04:07:25.383, 0, 0, 36.79
2025/01/03 04:07:26.383, 0, 0, 36.80
2025/01/03 04:07:27.383, 0, 0, 36.79
2025/01/03 04:07:28.383, 0, 0, 36.79
2025/01/03 04:07:29.384, 0, 0, 36.79
2025/01/03 04:07:30.384, 0, 0, 36.80
2025/01/03 04:07:31.384, 0, 0, 36.68
2025/01/03 04:07:32.384, 0, 0, 36.79
2025/01/03 04:07:33.384, 0, 0, 36.79
2025/01/03 04:07:34.384, 0, 0, 36.80
2025/01/03 04:07:35.384, 0, 0, 36.79
2025/01/03 04:07:36.384, 0, 0, 36.70
2025/01/03 04:07:37.384, 0, 0, 36.90
2025/01/03 04:07:38.385, 0, 0, 36.87
2025/01/03 04:07:39.385, 0, 12, 37.17
2025/01/03 04:07:40.385, 0, 0, 36.78
2025/01/03 04:07:41.385, 0, 36, 37.62
2025/01/03 04:07:42.385, 0, 33, 37.55
2025/01/03 04:07:43.385, 0, 32, 37.65
2025/01/03 04:07:44.385, 0, 0, 37.18
2025/01/03 04:07:45.386, 0, 0, 37.45
2025/01/03 04:07:46.386, 0, 28, 37.69
2025/01/03 04:07:47.386, 0, 35, 37.54
2025/01/03 04:07:48.386, 0, 0, 36.89
2025/01/03 04:07:49.386, 0, 0, 36.79
