file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_epsilon_0.0003_run_1.csv,615,110.86,68175.91
gpu_monitor_epsilon_0.0003_run_2.csv,609,111.96,68186.17
gpu_monitor_epsilon_0.0003_run_3.csv,620,110.4,68446.89
gpu_monitor_epsilon_0.0003_run_4.csv,616,110.81,68258.19
gpu_monitor_epsilon_0.0003_run_5.csv,616,110.96,68350.66
gpu_monitor_epsilon_0.0006_run_1.csv,616,111.17,68483.24
gpu_monitor_epsilon_0.0006_run_2.csv,616,111.18,68487.57
gpu_monitor_epsilon_0.0006_run_3.csv,616,111.05,68408.53
gpu_monitor_epsilon_0.0006_run_4.csv,623,110.47,68823.26
gpu_monitor_epsilon_0.0006_run_5.csv,614,111.31,68346.27
gpu_monitor_epsilon_0.0009_run_1.csv,611,112.05,68460.99
gpu_monitor_epsilon_0.0009_run_2.csv,614,111.04,68181.53
gpu_monitor_epsilon_0.0009_run_3.csv,616,110.87,68298.17
gpu_monitor_epsilon_0.0009_run_4.csv,617,110.99,68483.54
gpu_monitor_epsilon_0.0009_run_5.csv,618,110.8,68473.75
gpu_monitor_epsilon_0.002_run_1.csv,611,111.63,68206.7
gpu_monitor_epsilon_0.002_run_2.csv,611,111.7,68249.81
gpu_monitor_epsilon_0.002_run_3.csv,610,111.89,68255.78
gpu_monitor_epsilon_0.002_run_4.csv,611,111.42,68075.17
gpu_monitor_epsilon_0.002_run_5.csv,624,110.12,68716.13
gpu_monitor_epsilon_0.004_run_1.csv,611,111.3,68003.03
gpu_monitor_epsilon_0.004_run_2.csv,609,112.14,68291.85
gpu_monitor_epsilon_0.004_run_3.csv,616,110.93,68335.88
gpu_monitor_epsilon_0.004_run_4.csv,615,111.19,68384.74
gpu_monitor_epsilon_0.004_run_5.csv,609,111.91,68152.29
