file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_minp_0.02_run_1.csv,619,110.02,68102.14
gpu_monitor_minp_0.02_run_2.csv,627,109.66,68757.12
gpu_monitor_minp_0.02_run_3.csv,627,109.51,68660.19
gpu_monitor_minp_0.02_run_4.csv,627,109.03,68361.46
gpu_monitor_minp_0.02_run_5.csv,620,110.1,68261.61
gpu_monitor_minp_0.05_run_1.csv,628,109.13,68532.22
gpu_monitor_minp_0.05_run_2.csv,626,109.76,68707.84
gpu_monitor_minp_0.05_run_3.csv,622,110.14,68504.45
gpu_monitor_minp_0.05_run_4.csv,623,110.16,68630.15
gpu_monitor_minp_0.05_run_5.csv,622,109.93,68375.47
gpu_monitor_minp_0.1_run_1.csv,619,110.08,68142.5
gpu_monitor_minp_0.1_run_2.csv,619,109.93,68049.47
gpu_monitor_minp_0.1_run_3.csv,620,109.38,67815.2
gpu_monitor_minp_0.1_run_4.csv,621,110.01,68317.97
gpu_monitor_minp_0.1_run_5.csv,622,110.23,68561.67
gpu_monitor_minp_0.2_run_1.csv,621,109.87,68229.15
gpu_monitor_minp_0.2_run_2.csv,620,110.11,68269.77
gpu_monitor_minp_0.2_run_3.csv,620,109.94,68160.89
gpu_monitor_minp_0.2_run_4.csv,627,109.53,68674.37
gpu_monitor_minp_0.2_run_5.csv,620,110.29,68381.67
gpu_monitor_minp_0.3_run_1.csv,623,109.73,68361.02
gpu_monitor_minp_0.3_run_2.csv,621,110.3,68496.12
gpu_monitor_minp_0.3_run_3.csv,627,109.48,68643.64
gpu_monitor_minp_0.3_run_4.csv,620,110.37,68426.39
gpu_monitor_minp_0.3_run_5.csv,628,109.49,68761.99
