file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_temperature_0.1_run_1.csv,611,112.25,68585.26
gpu_monitor_temperature_0.1_run_2.csv,613,111.57,68393.83
gpu_monitor_temperature_0.1_run_3.csv,617,111.53,68816.33
gpu_monitor_temperature_0.1_run_4.csv,615,111.54,68594.79
gpu_monitor_temperature_0.1_run_5.csv,608,112.6,68460.82
gpu_monitor_temperature_0.3_run_1.csv,612,112.19,68660.25
gpu_monitor_temperature_0.3_run_2.csv,616,111.39,68615.08
gpu_monitor_temperature_0.3_run_3.csv,615,111.91,68821.61
gpu_monitor_temperature_0.3_run_4.csv,617,111.32,68687.27
gpu_monitor_temperature_0.3_run_5.csv,611,111.98,68418.33
gpu_monitor_temperature_0.5_run_1.csv,614,111.52,68476.13
gpu_monitor_temperature_0.5_run_2.csv,609,112.44,68477.93
gpu_monitor_temperature_0.5_run_3.csv,610,112.5,68623.97
gpu_monitor_temperature_0.5_run_4.csv,608,112.72,68534.04
gpu_monitor_temperature_0.5_run_5.csv,612,112.0,68543.99
gpu_monitor_temperature_0.7_run_1.csv,605,112.71,68188.56
gpu_monitor_temperature_0.7_run_2.csv,614,111.64,68547.27
gpu_monitor_temperature_0.7_run_3.csv,613,111.47,68331.11
gpu_monitor_temperature_0.7_run_4.csv,612,112.18,68656.61
gpu_monitor_temperature_0.7_run_5.csv,607,112.64,68369.52
gpu_monitor_temperature_0.9_run_1.csv,604,112.47,67929.29
gpu_monitor_temperature_0.9_run_2.csv,605,112.62,68138.03
gpu_monitor_temperature_0.9_run_3.csv,605,112.55,68093.19
gpu_monitor_temperature_0.9_run_4.csv,605,112.52,68075.64
gpu_monitor_temperature_0.9_run_5.csv,604,112.76,68104.13
gpu_monitor_temperature_1.0_run_1.csv,607,111.64,67765.29
gpu_monitor_temperature_1.0_run_2.csv,607,112.55,68319.33
gpu_monitor_temperature_1.0_run_3.csv,608,111.81,67978.09
gpu_monitor_temperature_1.0_run_4.csv,606,112.12,67943.97
gpu_monitor_temperature_1.0_run_5.csv,609,111.63,67981.6
gpu_monitor_temperature_1.2_run_1.csv,607,112.57,68332.42
gpu_monitor_temperature_1.2_run_2.csv,601,112.72,67744.57
gpu_monitor_temperature_1.2_run_3.csv,603,112.49,67832.51
gpu_monitor_temperature_1.2_run_4.csv,609,111.61,67971.16
gpu_monitor_temperature_1.2_run_5.csv,600,112.8,67677.84
gpu_monitor_temperature_1.5_run_1.csv,606,112.26,68030.43
gpu_monitor_temperature_1.5_run_2.csv,612,111.72,68372.88
gpu_monitor_temperature_1.5_run_3.csv,607,112.04,68010.19
gpu_monitor_temperature_1.5_run_4.csv,607,112.24,68126.84
gpu_monitor_temperature_1.5_run_5.csv,604,112.57,67992.31
gpu_monitor_temperature_2.0_run_1.csv,603,112.63,67913.67
gpu_monitor_temperature_2.0_run_2.csv,606,112.04,67895.56
gpu_monitor_temperature_2.0_run_3.csv,608,112.41,68347.35
gpu_monitor_temperature_2.0_run_4.csv,605,112.48,68050.27
gpu_monitor_temperature_2.0_run_5.csv,608,112.39,68334.72
