file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_topk_1_run_1.csv,621,110.1,68370.21
gpu_monitor_topk_1_run_2.csv,615,110.51,67965.66
gpu_monitor_topk_1_run_3.csv,617,110.68,68288.81
gpu_monitor_topk_1_run_4.csv,624,109.61,68394.99
gpu_monitor_topk_1_run_5.csv,617,110.34,68081.94
gpu_monitor_topk_5_run_1.csv,616,110.49,68059.73
gpu_monitor_topk_5_run_2.csv,618,110.38,68211.83
gpu_monitor_topk_5_run_3.csv,625,109.59,68494.18
gpu_monitor_topk_5_run_4.csv,615,110.78,68132.54
gpu_monitor_topk_5_run_5.csv,616,110.61,68136.47
gpu_monitor_topk_25_run_1.csv,606,110.38,66889.81
gpu_monitor_topk_25_run_2.csv,606,110.39,66894.47
gpu_monitor_topk_25_run_3.csv,605,110.69,66967.83
gpu_monitor_topk_25_run_4.csv,612,109.73,67152.04
gpu_monitor_topk_25_run_5.csv,606,110.77,67124.57
gpu_monitor_topk_50_run_1.csv,618,109.49,67664.33
gpu_monitor_topk_50_run_2.csv,610,110.41,67347.27
gpu_monitor_topk_50_run_3.csv,612,110.16,67420.48
gpu_monitor_topk_50_run_4.csv,616,110.02,67771.7
gpu_monitor_topk_50_run_5.csv,617,109.97,67851.43
gpu_monitor_topk_100_run_1.csv,609,110.76,67453.03
gpu_monitor_topk_100_run_2.csv,615,109.99,67643.62
gpu_monitor_topk_100_run_3.csv,614,110.05,67571.43
gpu_monitor_topk_100_run_4.csv,608,110.62,67257.99
gpu_monitor_topk_100_run_5.csv,617,109.81,67753.24
gpu_monitor_topk_250_run_1.csv,616,109.73,67595.32
gpu_monitor_topk_250_run_2.csv,617,109.98,67860.11
gpu_monitor_topk_250_run_3.csv,617,110.0,67869.27
gpu_monitor_topk_250_run_4.csv,611,110.62,67588.9
gpu_monitor_topk_250_run_5.csv,609,110.59,67348.03
gpu_monitor_topk_500_run_1.csv,616,109.49,67445.99
gpu_monitor_topk_500_run_2.csv,620,109.39,67820.51
gpu_monitor_topk_500_run_3.csv,616,110.04,67785.78
gpu_monitor_topk_500_run_4.csv,611,110.55,67544.34
gpu_monitor_topk_500_run_5.csv,618,109.8,67853.83
