file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_alpha_0.2_run_1.csv,837,99.22,83050.2
gpu_monitor_alpha_0.2_run_2.csv,835,99.58,83146.2
gpu_monitor_alpha_0.2_run_3.csv,848,98.13,83214.31
gpu_monitor_alpha_0.2_run_4.csv,845,98.78,83472.3
gpu_monitor_alpha_0.2_run_5.csv,841,98.99,83250.37
gpu_monitor_alpha_0.4_run_1.csv,846,98.03,82936.69
gpu_monitor_alpha_0.4_run_2.csv,846,98.68,83484.22
gpu_monitor_alpha_0.4_run_3.csv,848,98.52,83545.57
gpu_monitor_alpha_0.4_run_4.csv,840,98.45,82701.32
gpu_monitor_alpha_0.4_run_5.csv,849,98.52,83640.64
gpu_monitor_alpha_0.6_run_1.csv,832,98.72,82134.84
gpu_monitor_alpha_0.6_run_2.csv,837,98.38,82344.33
gpu_monitor_alpha_0.6_run_3.csv,838,98.12,82220.51
gpu_monitor_alpha_0.6_run_4.csv,831,98.76,82068.13
gpu_monitor_alpha_0.6_run_5.csv,831,99.02,82289.46
gpu_monitor_alpha_0.8_run_1.csv,837,98.71,82622.77
gpu_monitor_alpha_0.8_run_2.csv,830,98.75,81959.63
gpu_monitor_alpha_0.8_run_3.csv,835,98.29,82075.99
gpu_monitor_alpha_0.8_run_4.csv,833,98.61,82145.72
gpu_monitor_alpha_0.8_run_5.csv,833,98.25,81845.56
gpu_monitor_alpha_1.0_run_1.csv,823,99.21,81653.2
gpu_monitor_alpha_1.0_run_2.csv,828,98.47,81533.67
gpu_monitor_alpha_1.0_run_3.csv,822,99.23,81569.27
gpu_monitor_alpha_1.0_run_4.csv,827,99.24,82071.07
gpu_monitor_alpha_1.0_run_5.csv,826,98.75,81564.6
