file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_epsilon_0.0003_run_1.csv,616,109.17,67251.53
gpu_monitor_epsilon_0.0003_run_2.csv,610,110.1,67159.64
gpu_monitor_epsilon_0.0003_run_3.csv,617,109.15,67342.98
gpu_monitor_epsilon_0.0003_run_4.csv,611,110.49,67512.26
gpu_monitor_epsilon_0.0003_run_5.csv,609,110.33,67191.43
gpu_monitor_epsilon_0.0006_run_1.csv,610,109.94,67065.7
gpu_monitor_epsilon_0.0006_run_2.csv,610,110.23,67240.48
gpu_monitor_epsilon_0.0006_run_3.csv,617,109.69,67678.5
gpu_monitor_epsilon_0.0006_run_4.csv,610,110.18,67209.39
gpu_monitor_epsilon_0.0006_run_5.csv,616,109.57,67496.74
gpu_monitor_epsilon_0.0009_run_1.csv,622,109.13,67880.62
gpu_monitor_epsilon_0.0009_run_2.csv,614,110.21,67669.25
gpu_monitor_epsilon_0.0009_run_3.csv,620,109.65,67985.78
gpu_monitor_epsilon_0.0009_run_4.csv,622,109.35,68018.55
gpu_monitor_epsilon_0.0009_run_5.csv,617,110.05,67902.75
gpu_monitor_epsilon_0.002_run_1.csv,626,108.91,68175.69
gpu_monitor_epsilon_0.002_run_2.csv,627,108.96,68314.8
gpu_monitor_epsilon_0.002_run_3.csv,618,109.96,67955.57
gpu_monitor_epsilon_0.002_run_4.csv,622,109.36,68022.16
gpu_monitor_epsilon_0.002_run_5.csv,622,109.51,68112.4
gpu_monitor_epsilon_0.004_run_1.csv,622,109.19,67914.14
gpu_monitor_epsilon_0.004_run_2.csv,626,109.03,68254.52
gpu_monitor_epsilon_0.004_run_3.csv,622,109.33,68003.39
gpu_monitor_epsilon_0.004_run_4.csv,623,109.55,68252.2
gpu_monitor_epsilon_0.004_run_5.csv,616,110.39,68000.86
