file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_minp_0.02_run_1.csv,625,108.63,67892.83
gpu_monitor_minp_0.02_run_2.csv,619,109.49,67774.66
gpu_monitor_minp_0.02_run_3.csv,620,109.38,67814.14
gpu_monitor_minp_0.02_run_4.csv,615,109.85,67559.58
gpu_monitor_minp_0.02_run_5.csv,619,109.64,67866.61
gpu_monitor_minp_0.05_run_1.csv,619,109.64,67866.9
gpu_monitor_minp_0.05_run_2.csv,623,109.33,68109.84
gpu_monitor_minp_0.05_run_3.csv,618,110.19,68096.64
gpu_monitor_minp_0.05_run_4.csv,623,109.7,68343.33
gpu_monitor_minp_0.05_run_5.csv,624,109.02,68025.54
gpu_monitor_minp_0.1_run_1.csv,623,109.21,68040.21
gpu_monitor_minp_0.1_run_2.csv,624,109.14,68105.82
gpu_monitor_minp_0.1_run_3.csv,624,109.07,68060.45
gpu_monitor_minp_0.1_run_4.csv,627,109.07,68384.57
gpu_monitor_minp_0.1_run_5.csv,625,109.19,68241.4
gpu_monitor_minp_0.2_run_1.csv,614,109.97,67518.64
gpu_monitor_minp_0.2_run_2.csv,620,109.34,67791.71
gpu_monitor_minp_0.2_run_3.csv,614,109.69,67348.22
gpu_monitor_minp_0.2_run_4.csv,619,109.59,67834.71
gpu_monitor_minp_0.2_run_5.csv,621,109.3,67873.85
gpu_monitor_minp_0.3_run_1.csv,621,109.32,67888.24
gpu_monitor_minp_0.3_run_2.csv,618,109.99,67976.49
gpu_monitor_minp_0.3_run_3.csv,619,109.96,68066.2
gpu_monitor_minp_0.3_run_4.csv,622,109.61,68179.82
gpu_monitor_minp_0.3_run_5.csv,623,109.3,68092.26
