timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/27 11:42:41.504, 1, 0, 38.73
2024/12/27 11:42:42.505, 1, 0, 38.72
2024/12/27 11:42:43.505, 1, 0, 38.68
2024/12/27 11:42:44.505, 1, 0, 38.51
2024/12/27 11:42:45.506, 1, 0, 38.52
2024/12/27 11:42:46.506, 1, 0, 38.52
2024/12/27 11:42:47.506, 1, 0, 38.42
2024/12/27 11:42:48.506, 1, 0, 38.42
2024/12/27 11:42:49.506, 1, 0, 38.42
2024/12/27 11:42:50.506, 1, 0, 38.63
2024/12/27 11:42:51.506, 1, 0, 38.42
2024/12/27 11:42:52.507, 1, 0, 38.42
2024/12/27 11:42:53.507, 1, 0, 38.52
2024/12/27 11:42:54.507, 1, 0, 38.47
2024/12/27 11:42:55.507, 1, 0, 38.30
2024/12/27 11:42:56.507, 1, 0, 38.43
2024/12/27 11:42:57.507, 1, 0, 38.48
2024/12/27 11:42:58.507, 1, 0, 38.30
2024/12/27 11:42:59.508, 1, 0, 38.42
2024/12/27 11:43:00.508, 1, 0, 38.23
2024/12/27 11:43:01.508, 1, 0, 38.33
2024/12/27 11:43:02.508, 1, 0, 38.23
2024/12/27 11:43:03.508, 1, 0, 38.23
2024/12/27 11:43:04.508, 1, 0, 38.24
2024/12/27 11:43:05.508, 1, 0, 38.23
2024/12/27 11:43:06.509, 1, 0, 38.12
2024/12/27 11:43:07.509, 1, 0, 38.12
2024/12/27 11:43:08.509, 1, 53, 39.58
2024/12/27 11:43:09.509, 1, 2, 39.28
2024/12/27 11:43:10.509, 1, 21, 39.49
2024/12/27 11:43:11.509, 1, 0, 39.91
2024/12/27 11:43:12.510, 1, 0, 38.12
2024/12/27 11:43:13.510, 1, 0, 37.81
2024/12/27 11:43:14.510, 1, 0, 38.33
2024/12/27 11:43:15.510, 1, 0, 38.13
2024/12/27 11:43:16.510, 1, 0, 37.92
2024/12/27 11:43:17.510, 1, 0, 38.23
2024/12/27 11:43:18.510, 1, 0, 38.21
2024/12/27 11:43:19.511, 1, 0, 37.71
2024/12/27 11:43:20.511, 1, 0, 38.14
2024/12/27 11:43:21.511, 1, 0, 38.02
2024/12/27 11:43:22.511, 1, 0, 38.02
2024/12/27 11:43:23.511, 1, 0, 38.02
2024/12/27 11:43:24.511, 1, 0, 38.00
2024/12/27 11:43:25.511, 1, 0, 37.73
2024/12/27 11:43:26.512, 1, 0, 37.92
2024/12/27 11:43:27.512, 1, 0, 38.02
2024/12/27 11:43:28.512, 1, 0, 37.92
2024/12/27 11:43:29.512, 1, 0, 37.92
2024/12/27 11:43:30.512, 1, 0, 38.13
2024/12/27 11:43:31.512, 1, 0, 38.02
2024/12/27 11:43:32.512, 1, 0, 37.62
2024/12/27 11:43:33.513, 1, 0, 37.81
2024/12/27 11:43:34.513, 1, 0, 37.92
2024/12/27 11:43:35.513, 1, 0, 37.63
2024/12/27 11:43:36.513, 1, 0, 37.73
2024/12/27 11:43:37.513, 1, 0, 37.82
2024/12/27 11:43:38.513, 1, 0, 38.14
2024/12/27 11:43:39.513, 1, 0, 37.71
2024/12/27 11:43:40.514, 1, 0, 37.82
2024/12/27 11:43:41.514, 1, 0, 37.92
2024/12/27 11:43:42.514, 1, 0, 37.73
2024/12/27 11:43:43.514, 1, 0, 37.92
2024/12/27 11:43:44.514, 1, 0, 37.82
2024/12/27 11:43:45.514, 1, 0, 37.92
2024/12/27 11:43:46.514, 1, 0, 37.92
2024/12/27 11:43:47.515, 1, 0, 38.02
2024/12/27 11:43:48.515, 1, 0, 37.62
2024/12/27 11:43:49.515, 1, 0, 37.92
2024/12/27 11:43:50.515, 1, 0, 37.82
2024/12/27 11:43:51.515, 1, 53, 105.41
2024/12/27 11:43:52.515, 1, 96, 107.06
2024/12/27 11:43:53.515, 1, 96, 103.81
2024/12/27 11:43:54.516, 1, 96, 114.56
2024/12/27 11:43:55.516, 1, 96, 110.93
2024/12/27 11:43:56.516, 1, 96, 109.75
2024/12/27 11:43:57.516, 1, 96, 103.10
2024/12/27 11:43:58.516, 1, 96, 102.13
2024/12/27 11:43:59.516, 1, 96, 102.61
2024/12/27 11:44:00.516, 1, 95, 101.54
2024/12/27 11:44:01.517, 1, 96, 107.29
2024/12/27 11:44:02.517, 1, 96, 104.20
2024/12/27 11:44:03.517, 1, 96, 109.39
2024/12/27 11:44:04.517, 1, 96, 146.98
2024/12/27 11:44:05.517, 1, 96, 116.67
2024/12/27 11:44:06.517, 1, 96, 114.78
2024/12/27 11:44:07.518, 1, 96, 103.59
2024/12/27 11:44:08.518, 1, 96, 107.49
2024/12/27 11:44:09.518, 1, 96, 112.82
2024/12/27 11:44:10.518, 1, 96, 104.52
2024/12/27 11:44:11.518, 1, 95, 87.90
2024/12/27 11:44:12.518, 1, 96, 118.84
2024/12/27 11:44:13.518, 1, 96, 101.79
2024/12/27 11:44:14.519, 1, 96, 115.89
2024/12/27 11:44:15.519, 1, 96, 108.55
2024/12/27 11:44:16.519, 1, 96, 110.01
2024/12/27 11:44:17.519, 1, 96, 108.36
2024/12/27 11:44:18.519, 1, 96, 105.96
2024/12/27 11:44:19.519, 1, 96, 105.09
2024/12/27 11:44:20.519, 1, 96, 107.95
2024/12/27 11:44:21.520, 1, 96, 104.82
2024/12/27 11:44:22.520, 1, 96, 110.03
2024/12/27 11:44:23.520, 1, 96, 113.00
2024/12/27 11:44:24.520, 1, 96, 102.51
2024/12/27 11:44:25.520, 1, 96, 102.50
2024/12/27 11:44:26.520, 1, 96, 102.32
2024/12/27 11:44:27.520, 1, 96, 102.20
2024/12/27 11:44:28.521, 1, 96, 111.82
2024/12/27 11:44:29.521, 1, 96, 104.23
2024/12/27 11:44:30.521, 1, 96, 101.17
2024/12/27 11:44:31.521, 1, 96, 105.44
2024/12/27 11:44:32.521, 1, 96, 113.99
2024/12/27 11:44:33.521, 1, 96, 103.64
2024/12/27 11:44:34.521, 1, 95, 103.34
2024/12/27 11:44:35.522, 1, 96, 114.19
2024/12/27 11:44:36.522, 1, 96, 105.88
2024/12/27 11:44:37.522, 1, 96, 105.60
2024/12/27 11:44:38.522, 1, 96, 107.76
2024/12/27 11:44:39.522, 1, 96, 107.69
2024/12/27 11:44:40.522, 1, 96, 111.23
2024/12/27 11:44:41.522, 1, 96, 100.27
2024/12/27 11:44:42.523, 1, 96, 114.18
2024/12/27 11:44:43.523, 1, 94, 103.17
2024/12/27 11:44:44.523, 1, 96, 104.25
2024/12/27 11:44:45.523, 1, 96, 112.46
2024/12/27 11:44:46.523, 1, 96, 110.36
2024/12/27 11:44:47.523, 1, 96, 107.14
2024/12/27 11:44:48.524, 1, 96, 117.04
2024/12/27 11:44:49.524, 1, 96, 94.14
2024/12/27 11:44:50.524, 1, 95, 102.86
2024/12/27 11:44:51.524, 1, 96, 111.95
2024/12/27 11:44:52.524, 1, 96, 115.76
2024/12/27 11:44:53.524, 1, 96, 114.24
2024/12/27 11:44:54.524, 1, 96, 104.64
2024/12/27 11:44:55.525, 1, 96, 112.75
2024/12/27 11:44:56.525, 1, 96, 110.27
2024/12/27 11:44:57.525, 1, 96, 103.78
2024/12/27 11:44:58.525, 1, 96, 110.13
2024/12/27 11:44:59.525, 1, 96, 113.05
2024/12/27 11:45:00.525, 1, 96, 110.50
2024/12/27 11:45:01.525, 1, 96, 109.42
2024/12/27 11:45:02.526, 1, 94, 106.25
2024/12/27 11:45:03.526, 1, 96, 107.73
2024/12/27 11:45:04.526, 1, 96, 105.29
2024/12/27 11:45:05.526, 1, 96, 112.81
2024/12/27 11:45:06.526, 1, 96, 106.48
2024/12/27 11:45:07.526, 1, 96, 111.10
2024/12/27 11:45:08.527, 1, 94, 107.47
2024/12/27 11:45:09.527, 1, 96, 106.49
2024/12/27 11:45:10.527, 1, 96, 108.19
2024/12/27 11:45:11.527, 1, 96, 103.15
2024/12/27 11:45:12.527, 1, 96, 110.99
2024/12/27 11:45:13.527, 1, 96, 104.40
2024/12/27 11:45:14.527, 1, 96, 109.98
2024/12/27 11:45:15.528, 1, 96, 109.73
2024/12/27 11:45:16.528, 1, 95, 109.30
2024/12/27 11:45:17.528, 1, 96, 106.99
2024/12/27 11:45:18.528, 1, 96, 104.01
2024/12/27 11:45:19.528, 1, 96, 104.98
2024/12/27 11:45:20.528, 1, 96, 103.09
2024/12/27 11:45:21.528, 1, 96, 106.37
2024/12/27 11:45:22.529, 1, 96, 110.51
2024/12/27 11:45:23.529, 1, 96, 111.43
2024/12/27 11:45:24.529, 1, 96, 108.75
2024/12/27 11:45:25.529, 1, 96, 109.43
2024/12/27 11:45:26.529, 1, 96, 114.89
2024/12/27 11:45:27.529, 1, 96, 111.10
2024/12/27 11:45:28.530, 1, 96, 111.60
2024/12/27 11:45:29.530, 1, 96, 104.54
2024/12/27 11:45:30.530, 1, 96, 108.74
2024/12/27 11:45:31.530, 1, 96, 104.84
2024/12/27 11:45:32.530, 1, 96, 110.69
2024/12/27 11:45:33.530, 1, 94, 109.92
2024/12/27 11:45:34.530, 1, 95, 107.94
2024/12/27 11:45:35.531, 1, 96, 104.25
2024/12/27 11:45:36.531, 1, 96, 108.62
2024/12/27 11:45:37.531, 1, 96, 107.07
2024/12/27 11:45:38.531, 1, 96, 105.48
2024/12/27 11:45:39.531, 1, 96, 104.39
2024/12/27 11:45:40.531, 1, 95, 108.50
2024/12/27 11:45:41.531, 1, 96, 111.48
2024/12/27 11:45:42.532, 1, 96, 112.32
2024/12/27 11:45:43.532, 1, 96, 105.57
2024/12/27 11:45:44.532, 1, 96, 107.57
2024/12/27 11:45:45.532, 1, 96, 108.45
2024/12/27 11:45:46.532, 1, 95, 108.73
2024/12/27 11:45:47.532, 1, 95, 105.50
2024/12/27 11:45:48.532, 1, 96, 107.23
2024/12/27 11:45:49.533, 1, 96, 111.19
2024/12/27 11:45:50.533, 1, 96, 109.75
2024/12/27 11:45:51.533, 1, 96, 111.89
2024/12/27 11:45:52.533, 1, 96, 110.54
2024/12/27 11:45:53.533, 1, 95, 108.29
2024/12/27 11:45:54.533, 1, 96, 110.33
2024/12/27 11:45:55.534, 1, 96, 110.57
2024/12/27 11:45:56.534, 1, 96, 106.77
2024/12/27 11:45:57.534, 1, 96, 107.51
2024/12/27 11:45:58.534, 1, 96, 110.00
2024/12/27 11:45:59.534, 1, 95, 109.16
2024/12/27 11:46:00.534, 1, 95, 111.78
2024/12/27 11:46:01.534, 1, 96, 111.61
2024/12/27 11:46:02.535, 1, 95, 107.95
2024/12/27 11:46:03.535, 1, 96, 107.57
2024/12/27 11:46:04.535, 1, 96, 110.14
2024/12/27 11:46:05.535, 1, 95, 111.90
2024/12/27 11:46:06.535, 1, 95, 110.59
2024/12/27 11:46:07.535, 1, 96, 111.06
2024/12/27 11:46:08.535, 1, 96, 109.67
2024/12/27 11:46:09.536, 1, 96, 105.57
2024/12/27 11:46:10.536, 1, 96, 115.45
2024/12/27 11:46:11.536, 1, 96, 105.16
2024/12/27 11:46:12.536, 1, 95, 112.33
2024/12/27 11:46:13.536, 1, 96, 105.89
2024/12/27 11:46:14.536, 1, 96, 105.76
2024/12/27 11:46:15.537, 1, 96, 110.00
2024/12/27 11:46:16.537, 1, 96, 108.75
2024/12/27 11:46:17.537, 1, 95, 112.93
2024/12/27 11:46:18.537, 1, 95, 109.61
2024/12/27 11:46:19.537, 1, 95, 111.20
2024/12/27 11:46:20.537, 1, 96, 109.38
2024/12/27 11:46:21.537, 1, 96, 113.46
