file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_topp_0.3_run_1.csv,614,111.12,68226.47
gpu_monitor_topp_0.3_run_2.csv,621,110.5,68618.28
gpu_monitor_topp_0.3_run_3.csv,617,111.13,68568.06
gpu_monitor_topp_0.3_run_4.csv,614,111.14,68242.81
gpu_monitor_topp_0.3_run_5.csv,614,111.34,68361.49
gpu_monitor_topp_0.5_run_1.csv,622,110.07,68463.99
gpu_monitor_topp_0.5_run_2.csv,619,110.66,68499.82
gpu_monitor_topp_0.5_run_3.csv,622,110.08,68468.62
gpu_monitor_topp_0.5_run_4.csv,620,110.41,68453.82
gpu_monitor_topp_0.5_run_5.csv,621,110.35,68527.2
gpu_monitor_topp_0.7_run_1.csv,622,109.6,68173.69
gpu_monitor_topp_0.7_run_2.csv,612,111.12,68006.27
gpu_monitor_topp_0.7_run_3.csv,613,110.2,67554.72
gpu_monitor_topp_0.7_run_4.csv,609,110.9,67537.43
gpu_monitor_topp_0.7_run_5.csv,611,110.52,67526.04
gpu_monitor_topp_0.8_run_1.csv,620,110.34,68413.75
gpu_monitor_topp_0.8_run_2.csv,624,110.15,68736.48
gpu_monitor_topp_0.8_run_3.csv,615,110.74,68102.74
gpu_monitor_topp_0.8_run_4.csv,614,111.31,68345.61
gpu_monitor_topp_0.8_run_5.csv,620,110.11,68267.35
gpu_monitor_topp_0.9_run_1.csv,613,110.59,67793.27
gpu_monitor_topp_0.9_run_2.csv,617,110.38,68106.48
gpu_monitor_topp_0.9_run_3.csv,613,110.82,67932.31
gpu_monitor_topp_0.9_run_4.csv,616,110.27,67925.88
gpu_monitor_topp_0.9_run_5.csv,611,111.03,67838.96
gpu_monitor_topp_0.95_run_1.csv,620,110.89,68750.23
gpu_monitor_topp_0.95_run_2.csv,623,110.0,68527.49
gpu_monitor_topp_0.95_run_3.csv,621,110.3,68498.89
gpu_monitor_topp_0.95_run_4.csv,622,110.11,68489.01
gpu_monitor_topp_0.95_run_5.csv,620,110.63,68589.12
