timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/27 05:11:45.659, 1, 0, 37.87
2024/12/27 05:11:46.661, 1, 0, 37.63
2024/12/27 05:11:47.661, 1, 0, 37.93
2024/12/27 05:11:48.661, 1, 0, 37.49
2024/12/27 05:11:49.662, 1, 0, 37.82
2024/12/27 05:11:50.662, 1, 0, 37.52
2024/12/27 05:11:51.662, 1, 0, 37.52
2024/12/27 05:11:52.662, 1, 0, 37.82
2024/12/27 05:11:53.662, 1, 0, 37.52
2024/12/27 05:11:54.662, 1, 0, 37.62
2024/12/27 05:11:55.662, 1, 0, 37.92
2024/12/27 05:11:56.663, 1, 0, 37.52
2024/12/27 05:11:57.663, 1, 0, 37.92
2024/12/27 05:11:58.663, 1, 0, 37.73
2024/12/27 05:11:59.663, 1, 0, 37.52
2024/12/27 05:12:00.663, 1, 0, 37.82
2024/12/27 05:12:01.663, 1, 0, 37.52
2024/12/27 05:12:02.663, 1, 0, 37.62
2024/12/27 05:12:03.663, 1, 0, 37.71
2024/12/27 05:12:04.664, 1, 0, 37.62
2024/12/27 05:12:05.664, 1, 0, 37.62
2024/12/27 05:12:06.664, 1, 0, 37.62
2024/12/27 05:12:07.664, 1, 0, 37.43
2024/12/27 05:12:08.664, 1, 0, 37.62
2024/12/27 05:12:09.664, 1, 0, 37.62
2024/12/27 05:12:10.664, 1, 54, 37.62
2024/12/27 05:12:11.665, 1, 0, 37.31
2024/12/27 05:12:12.665, 1, 23, 38.41
2024/12/27 05:12:13.665, 1, 0, 37.32
2024/12/27 05:12:14.665, 1, 0, 37.33
2024/12/27 05:12:15.665, 1, 0, 37.72
2024/12/27 05:12:16.665, 1, 0, 37.22
2024/12/27 05:12:17.665, 1, 0, 37.62
2024/12/27 05:12:18.665, 1, 0, 37.62
2024/12/27 05:12:19.666, 1, 0, 37.27
2024/12/27 05:12:20.666, 1, 0, 37.52
2024/12/27 05:12:21.666, 1, 0, 37.32
2024/12/27 05:12:22.666, 1, 0, 37.32
2024/12/27 05:12:23.666, 1, 0, 37.62
2024/12/27 05:12:24.666, 1, 0, 37.22
2024/12/27 05:12:25.666, 1, 0, 37.52
2024/12/27 05:12:26.667, 1, 0, 37.23
2024/12/27 05:12:27.667, 1, 0, 37.57
2024/12/27 05:12:28.667, 1, 0, 37.62
2024/12/27 05:12:29.667, 1, 0, 37.28
2024/12/27 05:12:30.667, 1, 0, 37.32
2024/12/27 05:12:31.667, 1, 0, 37.62
2024/12/27 05:12:32.667, 1, 0, 37.62
2024/12/27 05:12:33.667, 1, 0, 37.52
2024/12/27 05:12:34.668, 1, 0, 37.59
2024/12/27 05:12:35.668, 1, 0, 37.62
2024/12/27 05:12:36.668, 1, 0, 37.62
2024/12/27 05:12:37.668, 1, 0, 37.62
2024/12/27 05:12:38.668, 1, 0, 37.52
2024/12/27 05:12:39.668, 1, 0, 37.62
2024/12/27 05:12:40.668, 1, 0, 37.32
2024/12/27 05:12:41.668, 1, 0, 37.22
2024/12/27 05:12:42.669, 1, 0, 37.62
2024/12/27 05:12:43.669, 1, 0, 37.62
2024/12/27 05:12:44.669, 1, 0, 37.62
2024/12/27 05:12:45.669, 1, 0, 37.32
2024/12/27 05:12:46.669, 1, 0, 37.52
2024/12/27 05:12:47.669, 1, 0, 37.52
2024/12/27 05:12:48.669, 1, 0, 37.42
2024/12/27 05:12:49.669, 1, 0, 37.52
2024/12/27 05:12:50.670, 1, 0, 37.62
2024/12/27 05:12:51.670, 1, 0, 37.42
2024/12/27 05:12:52.670, 1, 0, 37.52
2024/12/27 05:12:53.670, 1, 24, 47.00
2024/12/27 05:12:54.670, 1, 96, 113.04
2024/12/27 05:12:55.670, 1, 96, 98.27
2024/12/27 05:12:56.670, 1, 96, 101.82
2024/12/27 05:12:57.670, 1, 96, 100.85
2024/12/27 05:12:58.671, 1, 95, 105.64
2024/12/27 05:12:59.671, 1, 96, 106.38
2024/12/27 05:13:00.671, 1, 98, 109.97
2024/12/27 05:13:01.671, 1, 96, 116.00
2024/12/27 05:13:02.671, 1, 96, 113.22
2024/12/27 05:13:03.671, 1, 96, 105.88
2024/12/27 05:13:04.671, 1, 96, 105.43
2024/12/27 05:13:05.672, 1, 95, 104.64
2024/12/27 05:13:06.672, 1, 96, 100.83
2024/12/27 05:13:07.672, 1, 96, 104.43
2024/12/27 05:13:08.672, 1, 96, 105.48
2024/12/27 05:13:09.672, 1, 96, 115.43
2024/12/27 05:13:10.672, 1, 96, 106.54
2024/12/27 05:13:11.672, 1, 96, 105.47
2024/12/27 05:13:12.673, 1, 96, 113.25
2024/12/27 05:13:13.673, 1, 96, 113.62
2024/12/27 05:13:14.673, 1, 96, 109.91
2024/12/27 05:13:15.673, 1, 96, 106.14
2024/12/27 05:13:16.673, 1, 96, 115.68
2024/12/27 05:13:17.673, 1, 95, 102.87
2024/12/27 05:13:18.673, 1, 95, 111.55
2024/12/27 05:13:19.674, 1, 96, 104.84
2024/12/27 05:13:20.674, 1, 96, 104.32
2024/12/27 05:13:21.674, 1, 96, 103.98
2024/12/27 05:13:22.674, 1, 96, 106.72
2024/12/27 05:13:23.674, 1, 96, 109.28
2024/12/27 05:13:24.674, 1, 96, 112.52
2024/12/27 05:13:25.674, 1, 96, 109.10
2024/12/27 05:13:26.674, 1, 96, 101.22
2024/12/27 05:13:27.675, 1, 95, 101.27
2024/12/27 05:13:28.675, 1, 96, 116.32
2024/12/27 05:13:29.675, 1, 96, 107.65
2024/12/27 05:13:30.675, 1, 96, 103.49
2024/12/27 05:13:31.675, 1, 96, 102.31
2024/12/27 05:13:32.675, 1, 96, 105.94
2024/12/27 05:13:33.675, 1, 95, 135.22
2024/12/27 05:13:34.676, 1, 95, 110.49
2024/12/27 05:13:35.676, 1, 95, 106.50
2024/12/27 05:13:36.676, 1, 95, 108.50
2024/12/27 05:13:37.676, 1, 96, 103.86
2024/12/27 05:13:38.676, 1, 96, 109.60
2024/12/27 05:13:39.676, 1, 96, 105.91
2024/12/27 05:13:40.676, 1, 95, 111.57
2024/12/27 05:13:41.677, 1, 95, 106.03
2024/12/27 05:13:42.677, 1, 95, 103.34
2024/12/27 05:13:43.677, 1, 96, 106.74
2024/12/27 05:13:44.677, 1, 96, 105.47
2024/12/27 05:13:45.677, 1, 95, 108.95
2024/12/27 05:13:46.677, 1, 96, 111.83
2024/12/27 05:13:47.677, 1, 96, 108.45
2024/12/27 05:13:48.677, 1, 96, 111.78
2024/12/27 05:13:49.678, 1, 95, 107.47
