file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_typical_0.2_run_1.csv,617,109.44,67525.54
gpu_monitor_typical_0.2_run_2.csv,625,109.05,68158.04
gpu_monitor_typical_0.2_run_3.csv,619,109.46,67758.71
gpu_monitor_typical_0.2_run_4.csv,625,108.87,68045.41
gpu_monitor_typical_0.2_run_5.csv,619,109.42,67729.51
gpu_monitor_typical_0.5_run_1.csv,628,108.83,68344.22
gpu_monitor_typical_0.5_run_2.csv,621,109.63,68080.08
gpu_monitor_typical_0.5_run_3.csv,621,109.45,67969.83
gpu_monitor_typical_0.5_run_4.csv,622,109.27,67967.58
gpu_monitor_typical_0.5_run_5.csv,628,108.73,68280.5
gpu_monitor_typical_0.8_run_1.csv,629,108.43,68204.22
gpu_monitor_typical_0.8_run_2.csv,622,109.24,67946.79
gpu_monitor_typical_0.8_run_3.csv,629,108.58,68296.87
gpu_monitor_typical_0.8_run_4.csv,622,109.33,68003.41
gpu_monitor_typical_0.8_run_5.csv,622,109.4,68047.09
gpu_monitor_typical_0.9_run_1.csv,625,108.15,67593.35
gpu_monitor_typical_0.9_run_2.csv,619,108.98,67461.0
gpu_monitor_typical_0.9_run_3.csv,617,109.15,67343.51
gpu_monitor_typical_0.9_run_4.csv,619,109.07,67512.58
gpu_monitor_typical_0.9_run_5.csv,624,108.63,67782.21
gpu_monitor_typical_0.95_run_1.csv,623,108.9,67846.78
gpu_monitor_typical_0.95_run_2.csv,629,108.3,68120.43
gpu_monitor_typical_0.95_run_3.csv,623,109.09,67965.52
gpu_monitor_typical_0.95_run_4.csv,622,109.17,67902.29
gpu_monitor_typical_0.95_run_5.csv,629,108.71,68381.15
