file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_alpha_0.2_run_1.csv,722,108.57,78384.85
gpu_monitor_alpha_0.2_run_2.csv,721,108.55,78267.23
gpu_monitor_alpha_0.2_run_3.csv,724,108.44,78513.65
gpu_monitor_alpha_0.2_run_4.csv,726,107.7,78191.08
gpu_monitor_alpha_0.2_run_5.csv,726,108.41,78708.07
gpu_monitor_alpha_0.4_run_1.csv,711,107.62,76519.4
gpu_monitor_alpha_0.4_run_2.csv,720,107.46,77370.91
gpu_monitor_alpha_0.4_run_3.csv,716,108.9,77971.59
gpu_monitor_alpha_0.4_run_4.csv,712,108.96,77582.28
gpu_monitor_alpha_0.4_run_5.csv,717,108.94,78109.88
gpu_monitor_alpha_0.6_run_1.csv,796,108.2,86125.34
gpu_monitor_alpha_0.6_run_2.csv,790,109.28,86332.39
gpu_monitor_alpha_0.6_run_3.csv,790,109.43,86447.18
gpu_monitor_alpha_0.6_run_4.csv,795,108.59,86331.53
gpu_monitor_alpha_0.6_run_5.csv,796,107.49,85563.61
gpu_monitor_alpha_0.8_run_1.csv,1005,107.76,108295.12
gpu_monitor_alpha_0.8_run_2.csv,999,109.24,109132.22
gpu_monitor_alpha_0.8_run_3.csv,1005,108.42,108960.59
gpu_monitor_alpha_0.8_run_4.csv,1007,108.23,108986.72
gpu_monitor_alpha_0.8_run_5.csv,1000,108.98,108983.67
gpu_monitor_alpha_1.0_run_1.csv,1075,108.21,116322.24
gpu_monitor_alpha_1.0_run_2.csv,1072,108.5,116314.87
gpu_monitor_alpha_1.0_run_3.csv,1066,109.24,116453.57
gpu_monitor_alpha_1.0_run_4.csv,1071,108.6,116313.62
gpu_monitor_alpha_1.0_run_5.csv,1076,108.48,116727.83
