timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/26 13:40:23.285, 0, 0, 38.40
2024/12/26 13:40:24.287, 0, 0, 38.39
2024/12/26 13:40:25.287, 0, 0, 38.39
2024/12/26 13:40:26.287, 0, 0, 38.08
2024/12/26 13:40:27.287, 0, 0, 37.98
2024/12/26 13:40:28.287, 0, 0, 38.08
2024/12/26 13:40:29.287, 0, 0, 38.08
2024/12/26 13:40:30.287, 0, 0, 37.98
2024/12/26 13:40:31.288, 0, 0, 37.89
2024/12/26 13:40:32.288, 0, 0, 38.08
2024/12/26 13:40:33.288, 0, 0, 37.86
2024/12/26 13:40:34.288, 0, 0, 37.60
2024/12/26 13:40:35.288, 0, 0, 37.89
2024/12/26 13:40:36.289, 0, 0, 37.79
2024/12/26 13:40:37.289, 0, 0, 37.75
2024/12/26 13:40:38.289, 0, 0, 37.79
2024/12/26 13:40:39.289, 0, 0, 37.79
2024/12/26 13:40:40.289, 0, 0, 37.89
2024/12/26 13:40:41.289, 0, 0, 37.70
2024/12/26 13:40:42.290, 0, 0, 37.81
2024/12/26 13:40:43.290, 0, 0, 37.70
2024/12/26 13:40:44.290, 0, 0, 37.71
2024/12/26 13:40:45.290, 0, 0, 38.00
2024/12/26 13:40:46.290, 0, 0, 38.01
2024/12/26 13:40:47.290, 0, 0, 37.91
2024/12/26 13:40:48.291, 0, 0, 37.80
2024/12/26 13:40:49.291, 0, 0, 37.91
2024/12/26 13:40:50.291, 0, 0, 37.90
2024/12/26 13:40:51.291, 0, 40, 38.20
2024/12/26 13:40:52.292, 0, 0, 37.61
2024/12/26 13:40:53.292, 0, 34, 38.50
2024/12/26 13:40:54.292, 0, 35, 38.19
2024/12/26 13:40:55.292, 0, 0, 38.28
2024/12/26 13:40:56.292, 0, 0, 37.80
2024/12/26 13:40:57.293, 0, 0, 37.52
2024/12/26 13:40:58.293, 0, 0, 37.53
2024/12/26 13:40:59.293, 0, 0, 37.53
2024/12/26 13:41:00.293, 0, 0, 37.73
2024/12/26 13:41:01.293, 0, 0, 37.81
2024/12/26 13:41:02.294, 0, 5, 41.19
2024/12/26 13:41:03.294, 0, 96, 119.71
2024/12/26 13:41:04.294, 0, 97, 143.37
2024/12/26 13:41:05.294, 0, 97, 118.77
2024/12/26 13:41:06.294, 0, 97, 118.98
2024/12/26 13:41:07.294, 0, 97, 143.34
2024/12/26 13:41:08.295, 0, 97, 125.79
2024/12/26 13:41:09.295, 0, 97, 120.22
2024/12/26 13:41:10.295, 0, 96, 128.94
2024/12/26 13:41:11.295, 0, 97, 118.23
2024/12/26 13:41:12.295, 0, 97, 122.81
2024/12/26 13:41:13.295, 0, 97, 117.23
2024/12/26 13:41:14.295, 0, 98, 119.13
2024/12/26 13:41:15.296, 0, 97, 125.45
2024/12/26 13:41:16.296, 0, 97, 129.96
2024/12/26 13:41:17.296, 0, 97, 121.46
2024/12/26 13:41:18.296, 0, 96, 127.85
2024/12/26 13:41:19.296, 0, 96, 119.79
2024/12/26 13:41:20.296, 0, 97, 116.03
2024/12/26 13:41:21.296, 0, 97, 129.58
2024/12/26 13:41:22.297, 0, 97, 120.58
2024/12/26 13:41:23.297, 0, 97, 119.61
2024/12/26 13:41:24.297, 0, 97, 136.98
2024/12/26 13:41:25.297, 0, 97, 119.14
2024/12/26 13:41:26.297, 0, 97, 126.30
2024/12/26 13:41:27.297, 0, 97, 121.82
2024/12/26 13:41:28.297, 0, 97, 133.90
2024/12/26 13:41:29.297, 0, 99, 118.15
2024/12/26 13:41:30.298, 0, 97, 126.89
2024/12/26 13:41:31.298, 0, 97, 113.72
2024/12/26 13:41:32.298, 0, 97, 118.69
2024/12/26 13:41:33.298, 0, 97, 128.39
2024/12/26 13:41:34.298, 0, 97, 114.30
2024/12/26 13:41:35.298, 0, 96, 121.00
2024/12/26 13:41:36.298, 0, 97, 142.78
2024/12/26 13:41:37.299, 0, 97, 118.34
2024/12/26 13:41:38.299, 0, 97, 137.03
2024/12/26 13:41:39.299, 0, 97, 115.31
2024/12/26 13:41:40.299, 0, 97, 119.37
2024/12/26 13:41:41.299, 0, 97, 126.97
2024/12/26 13:41:42.299, 0, 97, 119.76
2024/12/26 13:41:43.299, 0, 97, 120.34
2024/12/26 13:41:44.300, 0, 97, 128.70
2024/12/26 13:41:45.300, 0, 97, 116.62
2024/12/26 13:41:46.300, 0, 97, 122.99
2024/12/26 13:41:47.300, 0, 97, 138.24
2024/12/26 13:41:48.300, 0, 97, 116.45
2024/12/26 13:41:49.300, 0, 96, 120.63
2024/12/26 13:41:50.300, 0, 97, 140.67
2024/12/26 13:41:51.301, 0, 97, 122.12
2024/12/26 13:41:52.301, 0, 96, 121.90
2024/12/26 13:41:53.301, 0, 97, 127.72
2024/12/26 13:41:54.301, 0, 97, 116.14
2024/12/26 13:41:55.301, 0, 97, 121.37
2024/12/26 13:41:56.301, 0, 97, 129.29
2024/12/26 13:41:57.301, 0, 97, 134.82
2024/12/26 13:41:58.301, 0, 97, 120.84
2024/12/26 13:41:59.302, 0, 97, 124.43
2024/12/26 13:42:00.302, 0, 96, 135.20
2024/12/26 13:42:01.302, 0, 97, 117.89
2024/12/26 13:42:02.302, 0, 97, 117.45
2024/12/26 13:42:03.302, 0, 97, 127.33
2024/12/26 13:42:04.302, 0, 97, 117.23
2024/12/26 13:42:05.303, 0, 96, 121.14
2024/12/26 13:42:06.303, 0, 97, 123.84
2024/12/26 13:42:07.303, 0, 97, 140.32
2024/12/26 13:42:08.303, 0, 97, 148.94
2024/12/26 13:42:09.303, 0, 97, 138.68
2024/12/26 13:42:10.303, 0, 97, 118.39
2024/12/26 13:42:11.303, 0, 97, 119.19
2024/12/26 13:42:12.304, 0, 97, 140.38
2024/12/26 13:42:13.304, 0, 96, 118.95
2024/12/26 13:42:14.304, 0, 97, 121.23
2024/12/26 13:42:15.304, 0, 97, 119.21
2024/12/26 13:42:16.304, 0, 97, 123.65
2024/12/26 13:42:17.304, 0, 97, 122.59
2024/12/26 13:42:18.304, 0, 97, 120.97
2024/12/26 13:42:19.305, 0, 97, 128.08
2024/12/26 13:42:20.305, 0, 97, 118.69
2024/12/26 13:42:21.305, 0, 97, 123.20
2024/12/26 13:42:22.305, 0, 96, 121.10
2024/12/26 13:42:23.305, 0, 97, 128.40
2024/12/26 13:42:24.305, 0, 97, 139.74
2024/12/26 13:42:25.305, 0, 97, 116.07
2024/12/26 13:42:26.306, 0, 97, 124.33
2024/12/26 13:42:27.306, 0, 97, 117.86
2024/12/26 13:42:28.306, 0, 97, 121.35
2024/12/26 13:42:29.306, 0, 99, 138.49
2024/12/26 13:42:30.306, 0, 97, 144.60
2024/12/26 13:42:31.306, 0, 97, 131.24
2024/12/26 13:42:32.306, 0, 97, 116.00
2024/12/26 13:42:33.306, 0, 96, 117.54
2024/12/26 13:42:34.307, 0, 97, 125.24
2024/12/26 13:42:35.307, 0, 97, 118.98
2024/12/26 13:42:36.307, 0, 97, 120.99
2024/12/26 13:42:37.307, 0, 97, 131.75
2024/12/26 13:42:38.307, 0, 96, 129.44
2024/12/26 13:42:39.307, 0, 96, 131.02
2024/12/26 13:42:40.307, 0, 97, 130.63
2024/12/26 13:42:41.308, 0, 96, 118.08
2024/12/26 13:42:42.308, 0, 96, 119.97
2024/12/26 13:42:43.308, 0, 96, 119.64
2024/12/26 13:42:44.308, 0, 96, 120.24
2024/12/26 13:42:45.308, 0, 97, 123.92
2024/12/26 13:42:46.308, 0, 97, 126.71
2024/12/26 13:42:47.309, 0, 97, 128.02
2024/12/26 13:42:48.309, 0, 97, 124.55
2024/12/26 13:42:49.309, 0, 97, 145.32
2024/12/26 13:42:50.309, 0, 97, 144.78
2024/12/26 13:42:51.309, 0, 96, 115.92
2024/12/26 13:42:52.309, 0, 96, 162.69
2024/12/26 13:42:53.309, 0, 97, 123.48
2024/12/26 13:42:54.310, 0, 96, 126.75
2024/12/26 13:42:55.310, 0, 97, 126.13
2024/12/26 13:42:56.310, 0, 97, 133.63
2024/12/26 13:42:57.311, 0, 96, 115.54
2024/12/26 13:42:58.311, 0, 97, 120.24
2024/12/26 13:42:59.311, 0, 97, 118.42
2024/12/26 13:43:00.311, 0, 97, 119.34
2024/12/26 13:43:01.311, 0, 97, 119.41
2024/12/26 13:43:02.311, 0, 97, 122.69
2024/12/26 13:43:03.311, 0, 97, 122.03
2024/12/26 13:43:04.311, 0, 97, 125.13
2024/12/26 13:43:05.312, 0, 97, 123.97
2024/12/26 13:43:06.312, 0, 97, 124.03
2024/12/26 13:43:07.312, 0, 97, 117.89
2024/12/26 13:43:08.312, 0, 97, 122.56
2024/12/26 13:43:09.312, 0, 97, 120.80
2024/12/26 13:43:10.312, 0, 97, 123.75
2024/12/26 13:43:11.313, 0, 97, 119.85
2024/12/26 13:43:12.313, 0, 97, 128.34
2024/12/26 13:43:13.313, 0, 97, 121.83
2024/12/26 13:43:14.313, 0, 97, 121.90
2024/12/26 13:43:15.313, 0, 97, 122.89
2024/12/26 13:43:16.313, 0, 97, 125.94
2024/12/26 13:43:17.313, 0, 97, 121.68
2024/12/26 13:43:18.314, 0, 97, 126.22
2024/12/26 13:43:19.314, 0, 97, 127.09
2024/12/26 13:43:20.314, 0, 97, 120.49
2024/12/26 13:43:21.314, 0, 97, 118.07
2024/12/26 13:43:22.314, 0, 97, 120.91
2024/12/26 13:43:23.314, 0, 97, 122.32
2024/12/26 13:43:24.314, 0, 97, 128.51
2024/12/26 13:43:25.315, 0, 97, 148.10
2024/12/26 13:43:26.315, 0, 97, 118.57
2024/12/26 13:43:27.315, 0, 99, 125.40
2024/12/26 13:43:28.315, 0, 97, 123.92
2024/12/26 13:43:29.315, 0, 97, 118.89
2024/12/26 13:43:30.315, 0, 97, 122.56
2024/12/26 13:43:31.315, 0, 97, 118.15
2024/12/26 13:43:32.316, 0, 97, 124.14
2024/12/26 13:43:33.316, 0, 97, 116.99
2024/12/26 13:43:34.316, 0, 96, 115.62
2024/12/26 13:43:35.316, 0, 96, 134.17
2024/12/26 13:43:36.316, 0, 97, 131.19
2024/12/26 13:43:37.316, 0, 97, 126.83
2024/12/26 13:43:38.316, 0, 97, 137.18
2024/12/26 13:43:39.317, 0, 97, 122.14
