timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/26 12:46:46.956, 1, 0, 37.32
2024/12/26 12:46:47.956, 1, 0, 37.39
2024/12/26 12:46:48.957, 1, 0, 37.52
2024/12/26 12:46:49.957, 1, 0, 37.31
2024/12/26 12:46:50.957, 1, 0, 37.43
2024/12/26 12:46:51.957, 1, 0, 37.21
2024/12/26 12:46:52.957, 1, 0, 37.50
2024/12/26 12:46:53.957, 1, 0, 37.32
2024/12/26 12:46:54.958, 1, 0, 37.57
2024/12/26 12:46:55.958, 1, 0, 37.31
2024/12/26 12:46:56.958, 1, 0, 37.32
2024/12/26 12:46:57.958, 1, 0, 37.52
2024/12/26 12:46:58.958, 1, 0, 37.63
2024/12/26 12:46:59.958, 1, 0, 37.42
2024/12/26 12:47:00.958, 1, 0, 37.42
2024/12/26 12:47:01.959, 1, 0, 37.32
2024/12/26 12:47:02.959, 1, 0, 37.41
2024/12/26 12:47:03.959, 1, 0, 37.52
2024/12/26 12:47:04.959, 1, 0, 37.31
2024/12/26 12:47:05.959, 1, 0, 37.31
2024/12/26 12:47:06.959, 1, 0, 37.41
2024/12/26 12:47:07.959, 1, 0, 37.41
2024/12/26 12:47:08.959, 1, 0, 37.42
2024/12/26 12:47:09.959, 1, 0, 37.41
2024/12/26 12:47:10.960, 1, 0, 37.32
2024/12/26 12:47:11.960, 1, 0, 37.51
2024/12/26 12:47:12.960, 1, 0, 37.32
2024/12/26 12:47:13.960, 1, 0, 37.43
2024/12/26 12:47:14.960, 1, 13, 37.97
2024/12/26 12:47:15.961, 1, 0, 37.51
2024/12/26 12:47:16.961, 1, 31, 37.59
2024/12/26 12:47:17.961, 1, 31, 37.74
2024/12/26 12:47:18.961, 1, 31, 37.97
2024/12/26 12:47:19.961, 1, 0, 37.33
2024/12/26 12:47:20.961, 1, 0, 37.31
2024/12/26 12:47:21.961, 1, 0, 37.22
2024/12/26 12:47:22.962, 1, 0, 37.33
2024/12/26 12:47:23.962, 1, 0, 37.43
2024/12/26 12:47:24.962, 1, 0, 37.41
2024/12/26 12:47:25.962, 1, 51, 105.82
2024/12/26 12:47:26.962, 1, 95, 106.36
2024/12/26 12:47:27.962, 1, 95, 103.74
2024/12/26 12:47:28.962, 1, 99, 104.51
2024/12/26 12:47:29.963, 1, 95, 104.67
2024/12/26 12:47:30.963, 1, 95, 107.04
2024/12/26 12:47:31.963, 1, 95, 109.93
2024/12/26 12:47:32.963, 1, 95, 103.65
2024/12/26 12:47:33.963, 1, 95, 105.61
2024/12/26 12:47:34.963, 1, 97, 104.33
2024/12/26 12:47:35.963, 1, 95, 108.81
2024/12/26 12:47:36.964, 1, 95, 106.22
2024/12/26 12:47:37.964, 1, 95, 103.52
2024/12/26 12:47:38.964, 1, 95, 111.36
2024/12/26 12:47:39.964, 1, 95, 105.01
2024/12/26 12:47:40.964, 1, 95, 106.55
2024/12/26 12:47:41.964, 1, 94, 153.09
2024/12/26 12:47:42.964, 1, 95, 108.02
2024/12/26 12:47:43.965, 1, 95, 103.30
2024/12/26 12:47:44.965, 1, 95, 106.89
2024/12/26 12:47:45.965, 1, 95, 107.78
2024/12/26 12:47:46.965, 1, 95, 105.72
2024/12/26 12:47:47.965, 1, 95, 156.81
2024/12/26 12:47:48.965, 1, 95, 107.82
2024/12/26 12:47:49.966, 1, 95, 107.71
2024/12/26 12:47:50.966, 1, 95, 111.59
2024/12/26 12:47:51.966, 1, 95, 106.04
2024/12/26 12:47:52.966, 1, 95, 108.69
2024/12/26 12:47:53.966, 1, 95, 106.99
2024/12/26 12:47:54.966, 1, 95, 109.93
2024/12/26 12:47:55.966, 1, 94, 157.19
2024/12/26 12:47:56.967, 1, 95, 101.07
2024/12/26 12:47:57.967, 1, 95, 103.93
2024/12/26 12:47:58.967, 1, 95, 105.74
2024/12/26 12:47:59.967, 1, 95, 101.26
2024/12/26 12:48:00.967, 1, 95, 109.11
2024/12/26 12:48:01.967, 1, 95, 106.36
2024/12/26 12:48:02.967, 1, 95, 107.75
2024/12/26 12:48:03.968, 1, 95, 107.29
2024/12/26 12:48:04.968, 1, 95, 104.99
2024/12/26 12:48:05.968, 1, 95, 107.52
2024/12/26 12:48:06.968, 1, 95, 101.82
2024/12/26 12:48:07.968, 1, 95, 108.77
2024/12/26 12:48:08.968, 1, 95, 107.81
2024/12/26 12:48:09.968, 1, 95, 107.96
2024/12/26 12:48:10.969, 1, 95, 107.36
2024/12/26 12:48:11.969, 1, 95, 109.08
2024/12/26 12:48:12.969, 1, 96, 106.12
2024/12/26 12:48:13.969, 1, 95, 105.53
2024/12/26 12:48:14.969, 1, 95, 107.23
2024/12/26 12:48:15.969, 1, 95, 106.34
2024/12/26 12:48:16.970, 1, 95, 109.30
2024/12/26 12:48:17.970, 1, 95, 108.36
2024/12/26 12:48:18.970, 1, 95, 109.33
2024/12/26 12:48:19.970, 1, 95, 145.99
2024/12/26 12:48:20.970, 1, 95, 108.79
2024/12/26 12:48:21.970, 1, 95, 109.65
2024/12/26 12:48:22.970, 1, 95, 108.83
2024/12/26 12:48:23.971, 1, 95, 110.31
2024/12/26 12:48:24.971, 1, 95, 160.38
2024/12/26 12:48:25.971, 1, 95, 107.74
2024/12/26 12:48:26.971, 1, 95, 109.92
2024/12/26 12:48:27.971, 1, 95, 155.10
2024/12/26 12:48:28.971, 1, 95, 110.61
2024/12/26 12:48:29.971, 1, 95, 111.73
2024/12/26 12:48:30.972, 1, 95, 108.00
2024/12/26 12:48:31.972, 1, 95, 107.10
2024/12/26 12:48:32.972, 1, 95, 104.88
2024/12/26 12:48:33.972, 1, 95, 105.65
2024/12/26 12:48:34.972, 1, 95, 103.77
2024/12/26 12:48:35.972, 1, 95, 102.27
2024/12/26 12:48:36.972, 1, 95, 103.05
2024/12/26 12:48:37.973, 1, 95, 102.89
2024/12/26 12:48:38.973, 1, 95, 112.86
2024/12/26 12:48:39.973, 1, 95, 111.29
2024/12/26 12:48:40.973, 1, 95, 110.88
2024/12/26 12:48:41.973, 1, 95, 102.31
2024/12/26 12:48:42.973, 1, 96, 106.47
2024/12/26 12:48:43.974, 1, 95, 112.13
2024/12/26 12:48:44.974, 1, 95, 112.15
2024/12/26 12:48:45.974, 1, 95, 107.59
2024/12/26 12:48:46.974, 1, 95, 110.87
2024/12/26 12:48:47.974, 1, 95, 106.18
2024/12/26 12:48:48.974, 1, 95, 113.77
2024/12/26 12:48:49.974, 1, 95, 108.11
2024/12/26 12:48:50.975, 1, 95, 106.57
2024/12/26 12:48:51.975, 1, 95, 111.79
2024/12/26 12:48:52.975, 1, 95, 110.16
2024/12/26 12:48:53.975, 1, 95, 108.12
2024/12/26 12:48:54.975, 1, 95, 102.44
2024/12/26 12:48:55.975, 1, 95, 110.92
2024/12/26 12:48:56.975, 1, 93, 109.03
2024/12/26 12:48:57.976, 1, 95, 107.68
2024/12/26 12:48:58.976, 1, 95, 112.59
2024/12/26 12:48:59.976, 1, 95, 111.17
2024/12/26 12:49:00.976, 1, 95, 111.37
2024/12/26 12:49:01.976, 1, 95, 107.84
2024/12/26 12:49:02.976, 1, 95, 102.59
2024/12/26 12:49:03.976, 1, 95, 108.25
2024/12/26 12:49:04.977, 1, 95, 104.93
2024/12/26 12:49:05.977, 1, 95, 103.01
2024/12/26 12:49:06.977, 1, 95, 106.10
2024/12/26 12:49:07.977, 1, 96, 113.24
2024/12/26 12:49:08.977, 1, 95, 108.21
