timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/26 12:31:33.987, 0, 0, 37.98
2024/12/26 12:31:34.989, 0, 0, 38.08
2024/12/26 12:31:35.989, 0, 0, 37.59
2024/12/26 12:31:36.989, 0, 0, 38.10
2024/12/26 12:31:37.989, 0, 0, 37.69
2024/12/26 12:31:38.990, 0, 0, 37.88
2024/12/26 12:31:39.990, 0, 0, 38.18
2024/12/26 12:31:40.990, 0, 0, 37.69
2024/12/26 12:31:41.990, 0, 0, 38.08
2024/12/26 12:31:42.990, 0, 0, 37.80
2024/12/26 12:31:43.990, 0, 0, 37.80
2024/12/26 12:31:44.990, 0, 0, 37.79
2024/12/26 12:31:45.991, 0, 0, 37.69
2024/12/26 12:31:46.991, 0, 0, 37.60
2024/12/26 12:31:47.991, 0, 0, 37.59
2024/12/26 12:31:48.991, 0, 0, 37.40
2024/12/26 12:31:49.991, 0, 0, 37.49
2024/12/26 12:31:50.991, 0, 0, 37.40
2024/12/26 12:31:51.992, 0, 0, 37.49
2024/12/26 12:31:52.992, 0, 0, 37.40
2024/12/26 12:31:53.992, 0, 0, 37.40
2024/12/26 12:31:54.992, 0, 0, 37.30
2024/12/26 12:31:55.992, 0, 0, 37.40
2024/12/26 12:31:56.993, 0, 0, 37.31
2024/12/26 12:31:57.993, 0, 0, 37.31
2024/12/26 12:31:58.993, 0, 0, 37.30
2024/12/26 12:31:59.993, 0, 0, 37.30
2024/12/26 12:32:00.993, 0, 0, 37.30
2024/12/26 12:32:01.993, 0, 16, 37.73
2024/12/26 12:32:02.994, 0, 0, 37.29
2024/12/26 12:32:03.994, 0, 34, 37.26
2024/12/26 12:32:04.994, 0, 34, 37.84
2024/12/26 12:32:05.994, 0, 34, 37.84
2024/12/26 12:32:06.994, 0, 0, 37.31
2024/12/26 12:32:07.994, 0, 0, 37.21
2024/12/26 12:32:08.994, 0, 0, 36.99
2024/12/26 12:32:09.994, 0, 0, 37.21
2024/12/26 12:32:10.995, 0, 0, 37.20
2024/12/26 12:32:11.995, 0, 0, 36.99
2024/12/26 12:32:12.995, 0, 80, 38.19
2024/12/26 12:32:13.995, 0, 95, 112.68
2024/12/26 12:32:14.995, 0, 96, 112.65
2024/12/26 12:32:15.995, 0, 95, 137.34
2024/12/26 12:32:16.995, 0, 95, 108.67
2024/12/26 12:32:17.996, 0, 94, 109.83
2024/12/26 12:32:18.996, 0, 94, 109.81
2024/12/26 12:32:19.996, 0, 96, 109.92
2024/12/26 12:32:20.996, 0, 96, 108.48
2024/12/26 12:32:21.996, 0, 96, 166.88
2024/12/26 12:32:22.996, 0, 95, 110.82
2024/12/26 12:32:23.996, 0, 95, 104.37
2024/12/26 12:32:24.997, 0, 95, 105.17
2024/12/26 12:32:25.997, 0, 96, 108.54
2024/12/26 12:32:26.997, 0, 95, 110.82
2024/12/26 12:32:27.997, 0, 95, 112.35
2024/12/26 12:32:28.997, 0, 95, 120.07
2024/12/26 12:32:29.997, 0, 95, 104.57
2024/12/26 12:32:30.997, 0, 94, 106.67
2024/12/26 12:32:31.998, 0, 94, 103.47
2024/12/26 12:32:32.998, 0, 95, 107.19
2024/12/26 12:32:33.998, 0, 97, 105.38
2024/12/26 12:32:34.998, 0, 95, 108.38
2024/12/26 12:32:35.998, 0, 96, 109.45
2024/12/26 12:32:36.998, 0, 96, 112.67
2024/12/26 12:32:37.998, 0, 95, 105.51
2024/12/26 12:32:38.999, 0, 95, 157.55
2024/12/26 12:32:39.999, 0, 96, 110.07
2024/12/26 12:32:40.999, 0, 95, 108.92
2024/12/26 12:32:41.999, 0, 95, 105.22
2024/12/26 12:32:42.999, 0, 95, 110.10
2024/12/26 12:32:43.999, 0, 95, 110.10
2024/12/26 12:32:44.999, 0, 96, 103.87
2024/12/26 12:32:46.000, 0, 96, 107.71
2024/12/26 12:32:47.000, 0, 96, 104.17
2024/12/26 12:32:48.000, 0, 95, 110.00
2024/12/26 12:32:49.000, 0, 95, 112.05
2024/12/26 12:32:50.000, 0, 95, 106.66
2024/12/26 12:32:51.000, 0, 95, 108.56
2024/12/26 12:32:52.001, 0, 96, 111.06
2024/12/26 12:32:53.001, 0, 95, 110.56
2024/12/26 12:32:54.001, 0, 94, 109.65
2024/12/26 12:32:55.001, 0, 95, 112.03
2024/12/26 12:32:56.001, 0, 96, 109.16
2024/12/26 12:32:57.001, 0, 96, 110.75
2024/12/26 12:32:58.001, 0, 96, 110.62
2024/12/26 12:32:59.002, 0, 96, 110.79
2024/12/26 12:33:00.002, 0, 95, 103.59
2024/12/26 12:33:01.002, 0, 95, 107.86
2024/12/26 12:33:02.002, 0, 94, 164.96
2024/12/26 12:33:03.002, 0, 96, 109.54
2024/12/26 12:33:04.002, 0, 95, 113.26
2024/12/26 12:33:05.002, 0, 96, 111.67
2024/12/26 12:33:06.003, 0, 95, 108.92
2024/12/26 12:33:07.003, 0, 95, 109.19
2024/12/26 12:33:08.003, 0, 95, 110.98
2024/12/26 12:33:09.003, 0, 95, 112.01
2024/12/26 12:33:10.003, 0, 96, 103.75
2024/12/26 12:33:11.003, 0, 96, 113.10
2024/12/26 12:33:12.003, 0, 95, 105.77
2024/12/26 12:33:13.004, 0, 95, 107.88
2024/12/26 12:33:14.004, 0, 96, 110.46
2024/12/26 12:33:15.004, 0, 95, 165.18
2024/12/26 12:33:16.004, 0, 95, 103.36
2024/12/26 12:33:17.004, 0, 95, 114.04
2024/12/26 12:33:18.004, 0, 95, 107.44
2024/12/26 12:33:19.004, 0, 96, 109.73
2024/12/26 12:33:20.005, 0, 95, 107.36
2024/12/26 12:33:21.005, 0, 95, 111.44
2024/12/26 12:33:22.005, 0, 95, 106.33
2024/12/26 12:33:23.005, 0, 96, 113.62
2024/12/26 12:33:24.005, 0, 96, 155.18
2024/12/26 12:33:25.005, 0, 95, 112.35
2024/12/26 12:33:26.006, 0, 95, 111.96
2024/12/26 12:33:27.006, 0, 95, 114.86
2024/12/26 12:33:28.006, 0, 96, 108.94
2024/12/26 12:33:29.006, 0, 95, 107.65
2024/12/26 12:33:30.006, 0, 96, 110.49
2024/12/26 12:33:31.006, 0, 98, 110.89
2024/12/26 12:33:32.006, 0, 95, 108.34
2024/12/26 12:33:33.007, 0, 95, 110.83
2024/12/26 12:33:34.007, 0, 96, 112.50
2024/12/26 12:33:35.007, 0, 95, 107.15
2024/12/26 12:33:36.007, 0, 95, 113.15
2024/12/26 12:33:37.007, 0, 95, 109.32
2024/12/26 12:33:38.007, 0, 98, 113.71
2024/12/26 12:33:39.007, 0, 96, 109.50
2024/12/26 12:33:40.008, 0, 95, 112.55
2024/12/26 12:33:41.008, 0, 95, 112.50
2024/12/26 12:33:42.008, 0, 94, 112.95
2024/12/26 12:33:43.008, 0, 94, 107.70
2024/12/26 12:33:44.008, 0, 95, 111.90
2024/12/26 12:33:45.008, 0, 95, 107.50
2024/12/26 12:33:46.008, 0, 95, 110.88
2024/12/26 12:33:47.009, 0, 95, 112.70
2024/12/26 12:33:48.009, 0, 96, 111.36
2024/12/26 12:33:49.009, 0, 96, 110.67
2024/12/26 12:33:50.009, 0, 96, 104.08
2024/12/26 12:33:51.009, 0, 96, 109.75
2024/12/26 12:33:52.009, 0, 95, 109.16
2024/12/26 12:33:53.010, 0, 95, 112.66
2024/12/26 12:33:54.010, 0, 95, 115.80
2024/12/26 12:33:55.010, 0, 95, 112.87
2024/12/26 12:33:56.010, 0, 95, 113.88
2024/12/26 12:33:57.010, 0, 95, 111.55
2024/12/26 12:33:58.010, 0, 94, 113.55
2024/12/26 12:33:59.010, 0, 95, 116.36
2024/12/26 12:34:00.011, 0, 95, 109.82
2024/12/26 12:34:01.011, 0, 95, 112.45
2024/12/26 12:34:02.011, 0, 95, 112.90
2024/12/26 12:34:03.011, 0, 95, 109.75
2024/12/26 12:34:04.011, 0, 96, 111.46
2024/12/26 12:34:05.011, 0, 97, 106.36
2024/12/26 12:34:06.011, 0, 95, 107.56
2024/12/26 12:34:07.012, 0, 95, 103.21
2024/12/26 12:34:08.012, 0, 95, 109.32
2024/12/26 12:34:09.012, 0, 96, 112.91
2024/12/26 12:34:10.012, 0, 96, 110.65
2024/12/26 12:34:11.012, 0, 95, 118.30
2024/12/26 12:34:12.012, 0, 96, 113.72
2024/12/26 12:34:13.012, 0, 95, 113.78
2024/12/26 12:34:14.013, 0, 95, 111.69
2024/12/26 12:34:15.013, 0, 95, 110.11
2024/12/26 12:34:16.013, 0, 95, 113.57
2024/12/26 12:34:17.013, 0, 95, 113.28
2024/12/26 12:34:18.013, 0, 95, 110.04
2024/12/26 12:34:19.013, 0, 95, 109.89
2024/12/26 12:34:20.013, 0, 95, 107.93
2024/12/26 12:34:21.014, 0, 95, 110.79
2024/12/26 12:34:22.014, 0, 94, 111.28
2024/12/26 12:34:23.014, 0, 95, 112.54
2024/12/26 12:34:24.014, 0, 95, 114.92
2024/12/26 12:34:25.014, 0, 95, 112.05
2024/12/26 12:34:26.014, 0, 95, 106.94
2024/12/26 12:34:27.015, 0, 95, 108.08
2024/12/26 12:34:28.015, 0, 95, 107.90
2024/12/26 12:34:29.015, 0, 95, 107.16
2024/12/26 12:34:30.015, 0, 94, 156.26
2024/12/26 12:34:31.015, 0, 96, 111.22
2024/12/26 12:34:32.015, 0, 95, 109.59
2024/12/26 12:34:33.015, 0, 95, 110.48
2024/12/26 12:34:34.016, 0, 94, 111.19
2024/12/26 12:34:35.016, 0, 95, 110.01
2024/12/26 12:34:36.016, 0, 95, 112.76
2024/12/26 12:34:37.016, 0, 95, 112.16
2024/12/26 12:34:38.016, 0, 95, 110.73
2024/12/26 12:34:39.016, 0, 96, 110.98
2024/12/26 12:34:40.016, 0, 95, 112.11
2024/12/26 12:34:41.017, 0, 95, 113.88
2024/12/26 12:34:42.017, 0, 95, 110.86
2024/12/26 12:34:43.017, 0, 95, 108.08
2024/12/26 12:34:44.017, 0, 95, 109.57
2024/12/26 12:34:45.017, 0, 95, 112.00
2024/12/26 12:34:46.017, 0, 95, 105.91
2024/12/26 12:34:47.017, 0, 95, 113.76
2024/12/26 12:34:48.018, 0, 95, 107.81
2024/12/26 12:34:49.018, 0, 95, 103.89
2024/12/26 12:34:50.018, 0, 95, 105.71
2024/12/26 12:34:51.018, 0, 95, 110.56
2024/12/26 12:34:52.018, 0, 95, 112.52
2024/12/26 12:34:53.018, 0, 95, 115.29
2024/12/26 12:34:54.019, 0, 93, 156.66
2024/12/26 12:34:55.019, 0, 95, 114.52
2024/12/26 12:34:56.019, 0, 95, 115.96
2024/12/26 12:34:57.019, 0, 95, 111.54
2024/12/26 12:34:58.019, 0, 95, 105.28
2024/12/26 12:34:59.019, 0, 95, 110.38
2024/12/26 12:35:00.020, 0, 95, 111.25
2024/12/26 12:35:01.020, 0, 95, 112.83
2024/12/26 12:35:02.020, 0, 95, 115.28
2024/12/26 12:35:03.020, 0, 95, 113.26
2024/12/26 12:35:04.020, 0, 95, 110.99
2024/12/26 12:35:05.020, 0, 95, 113.63
2024/12/26 12:35:06.020, 0, 95, 114.59
2024/12/26 12:35:07.021, 0, 95, 107.35
2024/12/26 12:35:08.021, 0, 95, 110.08
2024/12/26 12:35:09.021, 0, 93, 105.66
2024/12/26 12:35:10.021, 0, 96, 112.79
2024/12/26 12:35:11.021, 0, 95, 114.75
2024/12/26 12:35:12.021, 0, 97, 110.46
2024/12/26 12:35:13.021, 0, 95, 110.40
2024/12/26 12:35:14.022, 0, 95, 112.36
2024/12/26 12:35:15.022, 0, 95, 157.73
2024/12/26 12:35:16.022, 0, 95, 107.66
2024/12/26 12:35:17.022, 0, 95, 113.26
2024/12/26 12:35:18.022, 0, 95, 113.47
2024/12/26 12:35:19.022, 0, 95, 110.35
2024/12/26 12:35:20.022, 0, 95, 114.87
2024/12/26 12:35:21.023, 0, 95, 112.88
2024/12/26 12:35:22.023, 0, 94, 111.57
2024/12/26 12:35:23.023, 0, 94, 110.92
2024/12/26 12:35:24.023, 0, 95, 113.70
2024/12/26 12:35:25.023, 0, 95, 111.29
2024/12/26 12:35:26.023, 0, 95, 117.28
2024/12/26 12:35:27.024, 0, 95, 108.74
2024/12/26 12:35:28.024, 0, 95, 105.19
2024/12/26 12:35:29.024, 0, 96, 110.74
2024/12/26 12:35:30.024, 0, 95, 114.88
2024/12/26 12:35:31.024, 0, 95, 111.21
2024/12/26 12:35:32.024, 0, 95, 113.97
2024/12/26 12:35:33.024, 0, 95, 109.87
2024/12/26 12:35:34.025, 0, 93, 109.14
2024/12/26 12:35:35.025, 0, 96, 116.21
2024/12/26 12:35:36.025, 0, 95, 155.46
2024/12/26 12:35:37.025, 0, 95, 112.62
2024/12/26 12:35:38.025, 0, 95, 110.29
2024/12/26 12:35:39.025, 0, 95, 110.34
2024/12/26 12:35:40.025, 0, 95, 112.63
2024/12/26 12:35:41.026, 0, 95, 114.68
2024/12/26 12:35:42.026, 0, 95, 109.42
2024/12/26 12:35:43.026, 0, 95, 110.17
2024/12/26 12:35:44.026, 0, 95, 107.43
2024/12/26 12:35:45.026, 0, 95, 114.53
2024/12/26 12:35:46.026, 0, 95, 107.71
2024/12/26 12:35:47.026, 0, 95, 109.14
2024/12/26 12:35:48.027, 0, 95, 112.14
2024/12/26 12:35:49.027, 0, 95, 111.05
2024/12/26 12:35:50.027, 0, 95, 111.28
2024/12/26 12:35:51.027, 0, 95, 108.89
2024/12/26 12:35:52.027, 0, 95, 107.93
2024/12/26 12:35:53.027, 0, 95, 114.33
2024/12/26 12:35:54.027, 0, 96, 107.06
2024/12/26 12:35:55.028, 0, 95, 106.87
2024/12/26 12:35:56.028, 0, 96, 108.56
2024/12/26 12:35:57.028, 0, 95, 104.69
2024/12/26 12:35:58.028, 0, 95, 109.16
2024/12/26 12:35:59.028, 0, 95, 108.74
2024/12/26 12:36:00.028, 0, 94, 109.81
2024/12/26 12:36:01.029, 0, 95, 109.76
2024/12/26 12:36:02.029, 0, 95, 103.64
2024/12/26 12:36:03.029, 0, 95, 114.99
2024/12/26 12:36:04.029, 0, 95, 108.82
2024/12/26 12:36:05.029, 0, 95, 109.83
2024/12/26 12:36:06.029, 0, 96, 111.02
2024/12/26 12:36:07.029, 0, 96, 111.24
2024/12/26 12:36:08.030, 0, 95, 108.64
2024/12/26 12:36:09.030, 0, 95, 113.12
2024/12/26 12:36:10.030, 0, 95, 110.08
2024/12/26 12:36:11.030, 0, 95, 109.14
2024/12/26 12:36:12.030, 0, 95, 103.32
2024/12/26 12:36:13.030, 0, 95, 107.72
2024/12/26 12:36:14.030, 0, 95, 114.38
2024/12/26 12:36:15.031, 0, 95, 109.03
2024/12/26 12:36:16.031, 0, 97, 111.17
2024/12/26 12:36:17.031, 0, 95, 113.62
2024/12/26 12:36:18.031, 0, 95, 114.54
2024/12/26 12:36:19.031, 0, 95, 104.74
2024/12/26 12:36:20.031, 0, 95, 110.46
2024/12/26 12:36:21.031, 0, 95, 109.65
2024/12/26 12:36:22.032, 0, 97, 110.70
2024/12/26 12:36:23.032, 0, 95, 115.47
2024/12/26 12:36:24.032, 0, 95, 109.79
2024/12/26 12:36:25.032, 0, 95, 108.96
2024/12/26 12:36:26.032, 0, 95, 107.13
2024/12/26 12:36:27.032, 0, 95, 119.15
2024/12/26 12:36:28.032, 0, 95, 111.30
2024/12/26 12:36:29.033, 0, 95, 104.00
2024/12/26 12:36:30.033, 0, 95, 112.98
2024/12/26 12:36:31.033, 0, 95, 115.20
2024/12/26 12:36:32.033, 0, 95, 111.26
2024/12/26 12:36:33.033, 0, 96, 153.46
2024/12/26 12:36:34.033, 0, 95, 110.54
2024/12/26 12:36:35.034, 0, 95, 108.85
2024/12/26 12:36:36.034, 0, 95, 103.93
2024/12/26 12:36:37.034, 0, 95, 109.82
2024/12/26 12:36:38.034, 0, 95, 112.31
2024/12/26 12:36:39.034, 0, 95, 110.30
2024/12/26 12:36:40.034, 0, 95, 110.25
2024/12/26 12:36:41.034, 0, 95, 112.15
2024/12/26 12:36:42.035, 0, 95, 105.18
2024/12/26 12:36:43.035, 0, 95, 109.73
2024/12/26 12:36:44.035, 0, 95, 108.17
2024/12/26 12:36:45.035, 0, 95, 111.44
2024/12/26 12:36:46.035, 0, 94, 149.84
2024/12/26 12:36:47.035, 0, 95, 114.06
2024/12/26 12:36:48.035, 0, 95, 111.21
2024/12/26 12:36:49.036, 0, 95, 112.09
2024/12/26 12:36:50.036, 0, 94, 110.81
2024/12/26 12:36:51.036, 0, 95, 112.43
2024/12/26 12:36:52.036, 0, 95, 115.64
2024/12/26 12:36:53.036, 0, 95, 110.64
2024/12/26 12:36:54.036, 0, 95, 108.61
2024/12/26 12:36:55.036, 0, 95, 109.99
2024/12/26 12:36:56.037, 0, 95, 106.29
2024/12/26 12:36:57.037, 0, 95, 110.52
2024/12/26 12:36:58.037, 0, 95, 115.37
2024/12/26 12:36:59.037, 0, 95, 116.56
2024/12/26 12:37:00.037, 0, 95, 112.98
2024/12/26 12:37:01.037, 0, 95, 102.93
2024/12/26 12:37:02.037, 0, 95, 106.98
2024/12/26 12:37:03.037, 0, 95, 129.66
2024/12/26 12:37:04.037, 0, 95, 111.01
