file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_minp_0.02_run_1.csv,431,111.35,47993.13
gpu_monitor_minp_0.02_run_2.csv,431,111.55,48080.09
gpu_monitor_minp_0.02_run_3.csv,434,111.36,48329.09
gpu_monitor_minp_0.02_run_4.csv,431,111.84,48201.26
gpu_monitor_minp_0.02_run_5.csv,430,112.3,48289.01
gpu_monitor_minp_0.05_run_1.csv,441,112.78,49738.18
gpu_monitor_minp_0.05_run_2.csv,441,112.29,49520.45
gpu_monitor_minp_0.05_run_3.csv,439,111.4,48905.28
gpu_monitor_minp_0.05_run_4.csv,441,111.61,49217.84
gpu_monitor_minp_0.05_run_5.csv,441,111.98,49382.16
gpu_monitor_minp_0.1_run_1.csv,439,110.85,48664.68
gpu_monitor_minp_0.1_run_2.csv,436,113.0,49266.82
gpu_monitor_minp_0.1_run_3.csv,440,111.55,49082.47
gpu_monitor_minp_0.1_run_4.csv,438,111.48,48828.8
gpu_monitor_minp_0.1_run_5.csv,440,111.19,48922.48
gpu_monitor_minp_0.2_run_1.csv,446,111.79,49856.74
gpu_monitor_minp_0.2_run_2.csv,449,110.91,49799.01
gpu_monitor_minp_0.2_run_3.csv,446,111.74,49834.35
gpu_monitor_minp_0.2_run_4.csv,445,111.84,49770.61
gpu_monitor_minp_0.2_run_5.csv,450,110.99,49945.58
gpu_monitor_minp_0.3_run_1.csv,436,110.72,48271.79
gpu_monitor_minp_0.3_run_2.csv,437,111.64,48786.0
gpu_monitor_minp_0.3_run_3.csv,435,112.07,48749.44
gpu_monitor_minp_0.3_run_4.csv,433,111.26,48175.84
gpu_monitor_minp_0.3_run_5.csv,435,112.16,48790.93
