timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/26 07:52:50.586, 1, 0, 38.46
2024/12/26 07:52:51.587, 1, 0, 38.45
2024/12/26 07:52:52.587, 1, 0, 38.45
2024/12/26 07:52:53.587, 1, 0, 38.55
2024/12/26 07:52:54.587, 1, 0, 38.42
2024/12/26 07:52:55.588, 1, 0, 38.33
2024/12/26 07:52:56.588, 1, 0, 38.33
2024/12/26 07:52:57.588, 1, 0, 38.24
2024/12/26 07:52:58.589, 1, 0, 38.35
2024/12/26 07:52:59.589, 1, 0, 38.34
2024/12/26 07:53:00.589, 1, 0, 38.24
2024/12/26 07:53:01.589, 1, 0, 38.23
2024/12/26 07:53:02.589, 1, 0, 38.25
2024/12/26 07:53:03.590, 1, 0, 38.24
2024/12/26 07:53:04.590, 1, 0, 38.25
2024/12/26 07:53:05.591, 1, 0, 38.16
2024/12/26 07:53:06.591, 1, 0, 38.16
2024/12/26 07:53:07.591, 1, 0, 38.16
2024/12/26 07:53:08.592, 1, 0, 38.14
2024/12/26 07:53:09.592, 1, 0, 38.04
2024/12/26 07:53:10.592, 1, 0, 38.04
2024/12/26 07:53:11.592, 1, 0, 38.04
2024/12/26 07:53:12.592, 1, 0, 38.16
2024/12/26 07:53:13.592, 1, 0, 38.04
2024/12/26 07:53:14.593, 1, 0, 37.95
2024/12/26 07:53:15.593, 1, 0, 38.06
2024/12/26 07:53:16.593, 1, 0, 38.04
2024/12/26 07:53:17.593, 1, 0, 37.93
2024/12/26 07:53:18.594, 1, 24, 38.52
2024/12/26 07:53:19.594, 1, 0, 37.95
2024/12/26 07:53:20.594, 1, 31, 38.52
2024/12/26 07:53:21.594, 1, 33, 38.60
2024/12/26 07:53:22.594, 1, 30, 38.52
2024/12/26 07:53:23.594, 1, 0, 37.95
2024/12/26 07:53:24.595, 1, 0, 37.98
2024/12/26 07:53:25.595, 1, 0, 37.77
2024/12/26 07:53:26.595, 1, 0, 37.98
2024/12/26 07:53:27.595, 1, 0, 37.78
2024/12/26 07:53:28.595, 1, 0, 37.85
2024/12/26 07:53:29.595, 1, 74, 108.04
2024/12/26 07:53:30.596, 1, 96, 105.09
2024/12/26 07:53:31.596, 1, 95, 109.65
2024/12/26 07:53:32.596, 1, 96, 106.70
2024/12/26 07:53:33.596, 1, 96, 104.84
2024/12/26 07:53:34.596, 1, 96, 109.55
2024/12/26 07:53:35.596, 1, 96, 108.72
2024/12/26 07:53:36.596, 1, 95, 106.06
2024/12/26 07:53:37.597, 1, 95, 109.62
2024/12/26 07:53:38.597, 1, 95, 111.06
2024/12/26 07:53:39.597, 1, 96, 106.17
2024/12/26 07:53:40.597, 1, 96, 109.76
2024/12/26 07:53:41.597, 1, 95, 108.71
2024/12/26 07:53:42.597, 1, 96, 107.06
2024/12/26 07:53:43.598, 1, 93, 160.53
2024/12/26 07:53:44.598, 1, 95, 109.16
2024/12/26 07:53:45.598, 1, 96, 109.82
2024/12/26 07:53:46.598, 1, 96, 107.85
2024/12/26 07:53:47.598, 1, 96, 108.18
2024/12/26 07:53:48.598, 1, 96, 107.09
2024/12/26 07:53:49.598, 1, 96, 105.32
2024/12/26 07:53:50.599, 1, 95, 107.51
2024/12/26 07:53:51.599, 1, 96, 107.31
2024/12/26 07:53:52.599, 1, 95, 104.92
2024/12/26 07:53:53.599, 1, 96, 108.40
2024/12/26 07:53:54.599, 1, 96, 110.93
2024/12/26 07:53:55.599, 1, 96, 109.21
2024/12/26 07:53:56.600, 1, 95, 109.70
2024/12/26 07:53:57.600, 1, 96, 110.17
2024/12/26 07:53:58.600, 1, 95, 112.54
2024/12/26 07:53:59.600, 1, 96, 108.16
2024/12/26 07:54:00.600, 1, 95, 106.55
2024/12/26 07:54:01.600, 1, 96, 109.26
2024/12/26 07:54:02.601, 1, 96, 105.67
2024/12/26 07:54:03.601, 1, 96, 108.71
2024/12/26 07:54:04.601, 1, 95, 108.06
2024/12/26 07:54:05.601, 1, 95, 108.06
2024/12/26 07:54:06.601, 1, 96, 106.49
2024/12/26 07:54:07.601, 1, 95, 106.55
2024/12/26 07:54:08.602, 1, 96, 107.00
2024/12/26 07:54:09.602, 1, 96, 110.62
2024/12/26 07:54:10.602, 1, 96, 111.06
2024/12/26 07:54:11.602, 1, 96, 106.52
2024/12/26 07:54:12.602, 1, 95, 116.18
2024/12/26 07:54:13.602, 1, 96, 107.35
2024/12/26 07:54:14.602, 1, 96, 109.00
2024/12/26 07:54:15.603, 1, 96, 109.76
2024/12/26 07:54:16.603, 1, 95, 110.61
2024/12/26 07:54:17.603, 1, 96, 111.21
2024/12/26 07:54:18.603, 1, 95, 106.71
2024/12/26 07:54:19.603, 1, 95, 106.93
2024/12/26 07:54:20.603, 1, 95, 107.69
2024/12/26 07:54:21.604, 1, 95, 111.09
2024/12/26 07:54:22.604, 1, 95, 107.61
2024/12/26 07:54:23.604, 1, 95, 107.02
2024/12/26 07:54:24.604, 1, 95, 112.66
2024/12/26 07:54:25.604, 1, 95, 108.43
2024/12/26 07:54:26.604, 1, 96, 109.43
2024/12/26 07:54:27.605, 1, 95, 108.37
2024/12/26 07:54:28.605, 1, 95, 108.11
2024/12/26 07:54:29.605, 1, 95, 110.93
2024/12/26 07:54:30.605, 1, 95, 111.50
2024/12/26 07:54:31.605, 1, 95, 108.81
2024/12/26 07:54:32.605, 1, 95, 106.11
2024/12/26 07:54:33.605, 1, 96, 112.49
2024/12/26 07:54:34.606, 1, 95, 110.31
2024/12/26 07:54:35.606, 1, 95, 109.20
2024/12/26 07:54:36.606, 1, 95, 111.01
2024/12/26 07:54:37.606, 1, 95, 106.94
2024/12/26 07:54:38.606, 1, 96, 110.22
2024/12/26 07:54:39.606, 1, 96, 112.19
2024/12/26 07:54:40.607, 1, 98, 111.09
2024/12/26 07:54:41.607, 1, 95, 105.92
2024/12/26 07:54:42.607, 1, 96, 111.37
2024/12/26 07:54:43.607, 1, 95, 112.79
2024/12/26 07:54:44.607, 1, 95, 110.96
2024/12/26 07:54:45.607, 1, 96, 107.36
2024/12/26 07:54:46.608, 1, 95, 109.63
2024/12/26 07:54:47.608, 1, 95, 111.31
2024/12/26 07:54:48.608, 1, 95, 110.05
2024/12/26 07:54:49.608, 1, 96, 107.38
2024/12/26 07:54:50.608, 1, 96, 104.53
2024/12/26 07:54:51.608, 1, 95, 114.46
2024/12/26 07:54:52.608, 1, 95, 109.70
2024/12/26 07:54:53.609, 1, 95, 111.07
2024/12/26 07:54:54.609, 1, 95, 109.41
2024/12/26 07:54:55.609, 1, 95, 106.46
2024/12/26 07:54:56.609, 1, 96, 110.82
2024/12/26 07:54:57.609, 1, 96, 106.40
2024/12/26 07:54:58.609, 1, 95, 107.45
2024/12/26 07:54:59.610, 1, 95, 110.10
2024/12/26 07:55:00.610, 1, 96, 109.57
2024/12/26 07:55:01.610, 1, 95, 109.27
2024/12/26 07:55:02.610, 1, 95, 108.32
2024/12/26 07:55:03.610, 1, 95, 112.55
2024/12/26 07:55:04.610, 1, 95, 109.81
2024/12/26 07:55:05.611, 1, 95, 111.29
2024/12/26 07:55:06.611, 1, 95, 108.04
2024/12/26 07:55:07.611, 1, 96, 112.50
2024/12/26 07:55:08.611, 1, 95, 108.90
2024/12/26 07:55:09.611, 1, 95, 113.67
2024/12/26 07:55:10.611, 1, 95, 113.83
2024/12/26 07:55:11.611, 1, 95, 111.16
2024/12/26 07:55:12.612, 1, 95, 108.98
2024/12/26 07:55:13.612, 1, 96, 109.40
2024/12/26 07:55:14.612, 1, 96, 109.73
2024/12/26 07:55:15.612, 1, 95, 108.58
2024/12/26 07:55:16.612, 1, 95, 106.08
2024/12/26 07:55:17.612, 1, 95, 106.02
2024/12/26 07:55:18.613, 1, 95, 109.08
2024/12/26 07:55:19.613, 1, 96, 111.50
2024/12/26 07:55:20.613, 1, 96, 110.33
2024/12/26 07:55:21.613, 1, 95, 107.82
2024/12/26 07:55:22.613, 1, 95, 111.90
2024/12/26 07:55:23.613, 1, 96, 109.52
2024/12/26 07:55:24.613, 1, 95, 106.43
2024/12/26 07:55:25.614, 1, 95, 108.82
2024/12/26 07:55:26.614, 1, 96, 109.29
2024/12/26 07:55:27.614, 1, 96, 106.41
2024/12/26 07:55:28.614, 1, 96, 126.09
2024/12/26 07:55:29.614, 1, 95, 110.14
2024/12/26 07:55:30.614, 1, 95, 117.03
2024/12/26 07:55:31.615, 1, 95, 110.99
2024/12/26 07:55:32.615, 1, 95, 108.02
2024/12/26 07:55:33.615, 1, 95, 110.15
2024/12/26 07:55:34.615, 1, 95, 112.45
2024/12/26 07:55:35.615, 1, 96, 86.81
2024/12/26 07:55:36.615, 1, 95, 113.00
2024/12/26 07:55:37.616, 1, 95, 109.81
2024/12/26 07:55:38.616, 1, 95, 109.42
2024/12/26 07:55:39.616, 1, 95, 109.52
2024/12/26 07:55:40.616, 1, 95, 109.53
2024/12/26 07:55:41.616, 1, 95, 112.69
2024/12/26 07:55:42.616, 1, 95, 155.82
2024/12/26 07:55:43.616, 1, 96, 110.04
2024/12/26 07:55:44.617, 1, 96, 109.13
2024/12/26 07:55:45.617, 1, 96, 111.22
2024/12/26 07:55:46.617, 1, 95, 109.24
2024/12/26 07:55:47.617, 1, 96, 111.30
